Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,9.915,10.276,9.915,10.234,69894,0
2005-02-28,10.319,10.655,10.009,10.594,59043,0
2005-03-01,10.527,10.62,10.243,10.398,65711,0
2005-03-02,10.353,10.473,10.31,10.423,22983,0
2005-03-03,10.482,10.482,10.328,10.438,34577,0
2005-03-04,10.544,10.544,10.234,10.328,57606,0
2005-03-07,10.43,10.568,10.268,10.371,37884,0
2005-03-08,10.353,10.353,10.165,10.182,23306,0
2005-03-09,10.293,10.293,9.804,9.923,24501,0
2005-03-10,9.881,10.268,9.84,9.847,30723,0
2005-03-11,10.009,10.457,9.84,10.182,175503,0
2005-03-14,10.096,10.096,9.2812,9.872,88130,0
2005-03-15,9.847,10.31,9.847,10.146,33455,0
2005-03-16,10.319,10.319,9.804,9.907,63879,0
2005-03-17,9.813,10,9.76,9.813,11162,0
2005-03-18,9.881,10,9.2812,9.631,63331,0
2005-03-21,9.4615,9.847,9.4525,9.675,26652,0
2005-03-22,9.855,9.855,9.4525,9.514,18666,0
2005-03-23,9.4961,9.564,9.1856,9.2388,38026,0
2005-03-24,9.2812,9.614,9.2812,9.564,38987,0
2005-03-28,9.53,9.745,9.3736,9.4525,29076,0
2005-03-29,9.597,9.64,9.3815,9.3982,29384,0
2005-03-30,9.4961,9.907,9.4525,9.795,76661,0
2005-03-31,9.923,10.182,9.823,10.182,35082,0
2005-04-01,10.137,10.137,9.84,9.992,27715,0
2005-04-04,9.96,10.071,9.622,9.778,73503,0
2005-04-05,9.727,10.234,9.727,10.2,101948,0
2005-04-06,10.252,10.346,10.096,10.123,55266,0
2005-04-07,10.137,10.31,10.009,10.155,49514,0
2005-04-08,10.137,10.226,10.009,10.054,74210,0
2005-04-11,10.13,10.302,10.096,10.302,10931,0
2005-04-12,10.276,10.527,10.104,10.2,130606,0
2005-04-13,10.182,10.389,10.096,10.217,31103,0
2005-04-14,10.31,10.31,10.037,10.276,111444,0
2005-04-15,10.096,10.259,10.054,10.096,13049,0
2005-04-18,10.293,10.293,9.977,10.054,23558,0
2005-04-19,10.054,10.173,9.95,9.984,61666,0
2005-04-20,10.063,10.063,9.3224,9.657,96363,0
2005-04-21,9.649,9.96,9.555,9.84,56915,0
2005-04-22,9.84,10.226,9.84,9.95,84794,0
2005-04-25,9.84,10.079,9.745,9.855,21891,0
2005-04-26,9.907,10.063,9.863,9.907,27520,0
2005-04-27,9.863,10,9.745,9.915,9077,0
2005-04-28,9.778,10.088,9.778,10.088,17748,0
2005-04-29,10.226,10.465,10.018,10.259,32926,0
2005-05-02,10.362,10.362,9.881,10.063,37423,0
2005-05-03,9.96,10.276,9.787,10.054,39184,0
2005-05-04,9.968,10.31,9.795,10.243,58467,0
2005-05-05,10.096,10.243,9.968,10.173,29479,0
2005-05-06,10.208,10.217,9.795,9.932,72421,0
2005-05-09,9.881,10.088,9.881,10.018,36151,0
2005-05-10,10.009,10.088,9.881,9.881,19899,0
2005-05-11,9.881,10.009,9.666,9.745,38642,0
2005-05-12,9.709,9.96,9.675,9.753,75289,0
2005-05-13,9.631,9.778,9.589,9.693,42901,0
2005-05-16,9.666,9.745,9.1596,9.4525,111272,0
2005-05-17,9.4525,9.4525,9.3224,9.3224,31910,0
2005-05-18,9.3815,9.64,9.3649,9.614,53614,0
2005-05-19,9.7,9.745,9.539,9.675,41029,0
2005-05-20,9.666,9.745,9.547,9.58,17156,0
2005-05-23,9.631,9.631,9.3649,9.58,19219,0
2005-05-24,9.4615,9.709,9.4525,9.522,45112,0
2005-05-25,9.522,9.631,9.3736,9.4701,33000,0
2005-05-26,10.045,10.544,9.666,10.398,453582,0
2005-05-27,10.482,10.655,10.353,10.646,215261,0
2005-05-31,10.655,11.212,10.414,10.878,200856,0
2005-06-01,11.059,11.129,10.767,10.836,77491,0
2005-06-02,10.853,11.041,10.561,10.878,56850,0
2005-06-03,10.945,11.041,10.887,10.955,41439,0
2005-06-06,11.006,11.076,10.827,10.845,93549,0
2005-06-07,10.869,10.955,10.759,10.853,37075,0
2005-06-08,11.909,13.637,11.636,13.165,1220679,0
2005-06-09,13.148,13.982,12.94,13.937,465522,0
2005-06-10,13.937,14.281,13.566,14.03,204983,0
2005-06-13,13.637,13.955,13.207,13.698,181558,0
2005-06-14,13.749,13.964,13.397,13.921,160546,0
2005-06-15,14.03,14.883,14.006,14.865,308339,0
2005-06-16,14.803,15.467,14.735,15.432,175559,0
2005-06-17,15.467,15.467,14.927,15.001,166392,0
2005-06-20,14.927,15.252,14.927,15.15,98381,0
2005-06-21,15.208,15.381,14.883,15.123,87425,0
2005-06-22,15.07,15.15,14.331,14.678,123557,0
2005-06-23,14.978,15.035,14.744,14.82,75865,0
2005-06-24,14.927,15.785,14.788,15.159,1672685,0
2005-06-27,15.2,15.303,14.598,14.726,210242,0
2005-06-28,14.76,15.467,14.688,15.061,101676,0
2005-06-29,15.115,15.115,14.642,15.035,75789,0
2005-06-30,15.142,15.45,14.839,15.381,74845,0
2005-07-01,15.467,15.484,14.909,15.07,46971,0
2005-07-05,15.252,15.578,14.933,15.477,76238,0
2005-07-06,15.586,15.586,15.319,15.45,61096,0
2005-07-07,15.467,15.467,15.133,15.467,66226,0
2005-07-08,15.277,15.542,15.123,15.501,86263,0
2005-07-11,15.423,15.612,15.259,15.45,86882,0
2005-07-12,15.492,15.492,14.624,14.726,209461,0
2005-07-13,14.454,14.669,13.148,14.006,430290,0
2005-07-14,14.273,14.273,13.798,14.038,65103,0
2005-07-15,13.937,14.469,13.628,14.304,54207,0
2005-07-18,14.125,14.589,14.073,14.412,58595,0
2005-07-19,14.462,14.942,14.1,14.469,43479,0
2005-07-20,14.607,15.467,14.607,15.39,128431,0
2005-07-21,15.39,15.467,14.478,14.607,151490,0
2005-07-22,14.702,15.501,14.702,15.467,184446,0
2005-07-25,15.459,15.542,15.173,15.2,40098,0
2005-07-26,15.312,15.364,15.035,15.191,44432,0
2005-07-27,15.364,15.612,14.735,15.173,145891,0
2005-07-28,15.106,15.621,15.07,15.423,105332,0
2005-07-29,15.414,16.524,15.208,16.224,377357,0
2005-08-01,16.41,16.41,15.165,15.551,135028,0
2005-08-02,15.612,15.802,15.2,15.294,105278,0
2005-08-03,15.217,15.345,14.607,14.702,105422,0
2005-08-04,14.779,15.173,14.634,15.088,48921,0
2005-08-05,14.942,15.328,14.66,14.919,151708,0
