Date,Open,High,Low,Close,Volume,OpenInt
2016-11-10,14.963,14.963,14.822,14.822,556,0
2016-11-16,14.523,14.523,14.523,14.523,206,0
2016-11-22,14.523,14.523,14.474,14.474,363,0
2016-11-25,14.203,14.203,14.203,14.203,1023,0
2016-12-01,14.385,14.385,14.385,14.385,291,0
2016-12-07,14.278,14.386,14.278,14.386,613,0
2016-12-14,14.815,14.815,14.815,14.815,1942,0
2016-12-16,14.542,14.542,14.194,14.194,412,0
2016-12-19,14.045,14.142,14.045,14.142,327,0
2016-12-22,13.989,14.214,13.878,13.878,1976,0
2016-12-29,14.326,14.326,14.326,14.326,560,0
2017-01-05,14.432,14.432,14.432,14.432,447,0
2017-01-06,14.581,14.783,14.581,14.783,1009,0
2017-01-17,15.04,15.04,15.04,15.04,201,0
2017-01-23,15.613,15.613,15.118,15.118,663,0
2017-01-25,15.554,15.554,15.554,15.554,2015,0
2017-01-27,15.454,15.478,15.386,15.386,966,0
2017-01-30,15.386,15.464,15.386,15.454,3928,0
2017-02-01,15.603,15.653,15.583,15.653,1444,0
2017-02-06,15.488,15.832,15.488,15.832,245,0
2017-02-08,15.623,15.623,15.623,15.623,149,0
2017-02-13,15.592,15.681,15.554,15.681,2820,0
2017-02-14,15.876,15.876,15.464,15.592,2271,0
2017-03-01,15.633,15.633,15.633,15.633,302,0
2017-03-20,15.633,15.633,15.633,15.633,0,0
2017-04-04,16.616,16.616,16.507,16.587,3123,0
2017-04-05,16.703,16.703,16.703,16.703,511,0
2017-04-07,16.487,16.487,16.304,16.308,452,0
2017-04-10,16.242,16.297,16.242,16.249,697,0
2017-04-11,16.247,16.247,16.247,16.247,273,0
2017-04-17,16.32,16.32,16.32,16.32,201,0
2017-04-19,16.159,16.289,16.15,16.15,6360,0
2017-04-20,16.239,16.368,16.239,16.239,911,0
2017-04-26,16.785,16.795,16.785,16.785,1227,0
2017-04-27,16.487,16.487,16.487,16.487,235,0
2017-04-28,16.815,16.815,16.679,16.679,1511,0
2017-05-01,17.014,17.122,16.914,17.062,16101572,0
2017-05-02,17.271,17.271,17.077,17.112,80910,0
2017-05-03,16.954,17.132,16.922,17.053,55354,0
2017-05-04,16.844,16.844,16.695,16.695,39845,0
2017-05-05,16.805,16.904,16.661,16.894,69547,0
2017-05-08,16.937,17.053,16.815,16.944,41454,0
2017-05-09,17.142,17.201,17.043,17.132,48622,0
2017-05-10,17.509,17.509,17.024,17.043,58577,0
2017-05-11,17.32,17.32,17.127,17.127,35765,0
2017-05-12,17.343,17.375,17.231,17.281,64227,0
2017-05-15,17.509,17.549,17.37,17.469,117453,0
2017-05-16,17.609,17.609,17.479,17.479,59006,0
2017-05-17,17.46,17.46,17.102,17.127,72184,0
2017-05-18,17.043,17.119,16.368,16.606,68007,0
2017-05-19,16.855,17.092,16.855,17.062,79717,0
2017-05-22,17.122,17.142,16.984,17.132,100211,0
2017-05-23,16.97,17.072,16.964,16.974,60417,0
2017-05-24,16.944,17.122,16.944,17.034,45304,0
2017-05-25,17.024,17.205,17.014,17.081,52161,0
2017-05-26,16.914,17.271,16.914,17.261,28317,0
2017-05-30,17.231,17.231,17.072,17.072,49892,0
2017-05-31,17.181,17.311,16.904,16.914,33897,0
2017-06-01,16.954,17.112,16.954,16.994,42221,0
2017-06-02,17.271,17.271,17.072,17.122,124507,0
2017-06-05,17.053,17.231,17.053,17.102,127343,0
2017-06-06,17.043,17.261,17.043,17.172,60008,0
2017-06-07,17.301,17.301,17.122,17.206,49991,0
2017-06-08,17.36,17.44,17.36,17.44,50666,0
2017-06-09,17.46,17.559,17.256,17.32,36227,0
2017-06-12,17.33,17.33,17.122,17.152,14787,0
2017-06-13,17.241,17.33,17.212,17.271,55641,0
2017-06-14,17.42,17.469,17.202,17.241,65917,0
2017-06-15,17.032,17.181,17.032,17.102,78861,0
2017-06-16,17.133,17.207,17.083,17.202,28596,0
2017-06-19,17.412,17.47,17.351,17.391,49233,0
2017-06-20,17.252,17.351,17.202,17.212,45964,0
