Date,Open,High,Low,Close,Volume,OpenInt
2016-10-28,53.344,53.344,52.862,52.862,407,0
2016-10-31,53.648,53.648,53.648,53.648,1425,0
2016-11-01,53.256,53.256,53.256,53.256,1221,0
2016-11-02,52.802,52.802,52.802,52.802,509,0
2016-11-07,53.51,53.51,53.51,53.51,1935,0
2016-11-09,53.048,53.048,53.048,53.048,509,0
2016-11-15,51.046,51.046,50.667,50.667,1221,0
2016-11-16,50.249,50.249,50.249,50.249,305,0
2016-11-18,50.329,50.329,50.329,50.329,407,0
2016-11-21,50.781,50.781,50.781,50.781,1121,0
2016-11-25,50.937,50.937,50.937,50.937,153,0
2016-12-21,50.374,50.374,50.374,50.374,608,0
2016-12-29,50.866,50.866,50.866,50.866,622,0
2016-12-30,50.916,50.916,50.916,50.916,347,0
2017-01-04,51.625,51.625,51.191,51.227,1405,0
2017-01-05,53.415,53.415,53.356,53.415,2912,0
2017-01-09,52.097,52.097,52.097,52.097,344,0
2017-01-11,52.471,52.697,52.471,52.697,1829,0
2017-01-12,53.003,53.003,53.003,53.003,782,0
2017-01-19,52.756,52.756,52.747,52.747,244,0
2017-02-15,55.855,55.855,55.855,55.855,174,0
2017-02-23,56.79,56.79,56.79,56.79,410,0
2017-03-02,55.531,55.531,55.531,55.531,345,0
2017-03-08,55.678,55.678,55.676,55.676,433,0
2017-03-13,56.209,56.209,56.209,56.209,305,0
2017-03-14,56.269,56.269,56.239,56.239,488,0
2017-03-15,56.229,56.229,56.229,56.229,311,0
2017-03-16,57.656,57.656,57.656,57.656,101,0
2017-03-20,57.656,57.656,57.656,57.656,0,0
2017-03-21,58.202,58.318,57.745,57.745,1050,0
2017-03-22,55.59,55.59,55.59,55.59,507,0
2017-03-23,57.735,57.735,57.735,57.735,101,0
2017-03-24,57.932,57.932,57.932,57.932,102,0
2017-03-27,57.666,57.774,57.666,57.774,215,0
2017-03-28,58.012,58.012,58.012,58.012,245,0
2017-03-29,57.883,57.972,57.883,57.972,587,0
2017-03-30,57.409,57.58,57.409,57.542,598,0
2017-03-31,57.429,57.429,57.429,57.429,101,0
2017-04-03,57.497,57.497,57.497,57.497,172,0
2017-04-04,57.487,57.487,57.487,57.487,189,0
2017-04-05,57.596,57.646,57.596,57.646,359,0
2017-04-06,57.409,57.409,57.322,57.322,1807,0
2017-04-10,57.164,57.164,57.164,57.164,237,0
2017-04-13,57.646,57.666,57.646,57.646,456,0
2017-04-17,58.229,59.523,58.229,59.523,585,0
2017-04-26,58.93,58.93,58.93,58.93,294,0
2017-04-27,59.523,59.622,59.276,59.276,650,0
2017-04-28,58.959,58.959,58.515,58.515,417,0
2017-05-02,59.276,59.276,59.276,59.276,183,0
2017-05-03,60.609,60.649,60.609,60.649,259,0
2017-05-04,60.097,60.097,60.097,60.097,255,0
2017-05-08,58.861,58.861,58.861,58.861,266,0
2017-05-09,59.315,59.75,59.315,59.75,590,0
2017-05-10,59.523,59.898,59.523,59.898,424,0
2017-05-11,62.062,62.2,62.062,62.2,1702,0
2017-05-12,62.24,62.24,61.934,61.934,1866,0
2017-05-15,62.427,62.427,62.427,62.427,399,0
2017-05-17,61.152,62.318,61.015,62.318,1026,0
2017-05-18,60.609,60.609,60.609,60.609,205,0
2017-05-19,61.192,61.192,61.192,61.192,404,0
2017-05-22,62.664,62.664,62.239,62.239,2157,0
2017-05-24,62.792,62.792,60.748,60.748,79428,0
2017-05-31,61.252,61.252,60.56,60.56,330,0
2017-06-02,61.735,61.785,61.735,61.785,1963,0
2017-06-05,61.281,61.29,61.281,61.29,1115,0
2017-06-06,61.696,61.735,61.38,61.449,830,0
2017-06-07,61.067,61.222,61.067,61.16,1140,0
2017-06-09,61.419,61.894,60.826,60.826,4298,0
2017-06-12,60.886,60.886,60.574,60.574,303,0
2017-06-14,60.876,60.876,60.876,60.876,303,0
2017-06-15,60.221,60.221,60.221,60.221,153,0
2017-06-16,60.213,60.213,60.213,60.213,395,0
2017-06-20,60.786,60.786,60.786,60.786,206,0
2017-06-21,60.934,60.934,60.756,60.756,310,0
2017-06-22,61.192,61.192,61.192,61.192,155,0
2017-06-23,61.271,61.39,61.271,61.39,402,0
2017-06-26,61.85,61.85,61.683,61.683,672,0
