Date,Open,High,Low,Close,Volume,OpenInt
2005-10-26,14.444,14.444,14.444,14.444,0,0
2005-10-27,14.444,14.45,14.444,14.444,197507,0
2005-10-28,14.444,14.45,14.444,14.444,93683,0
2005-10-31,14.444,14.45,14.444,14.45,149369,0
2005-11-01,14.45,14.45,14.444,14.444,41423,0
2005-11-02,14.45,14.456,14.444,14.456,21812,0
2005-11-03,14.456,14.456,14.444,14.444,13304,0
2005-11-04,14.45,14.45,14.444,14.444,29762,0
2005-11-07,14.456,14.529,14.444,14.501,26610,0
2005-11-08,14.465,14.465,14.444,14.444,37721,0
2005-11-09,14.444,14.501,14.444,14.479,19610,0
2005-11-10,14.45,14.456,14.444,14.444,16319,0
2005-11-11,14.479,14.479,14.444,14.456,9329,0
2005-11-14,14.456,14.509,14.444,14.486,19750,0
2005-11-15,14.479,14.479,14.45,14.472,21261,0
2005-11-16,14.479,14.551,14.45,14.529,39910,0
2005-11-17,14.588,14.662,14.465,14.551,24555,0
2005-11-18,14.588,14.588,14.444,14.444,29627,0
2005-11-21,14.45,14.465,14.444,14.444,226315,0
2005-11-22,14.516,14.516,14.444,14.444,173512,0
2005-11-23,14.444,14.45,14.444,14.444,113430,0
2005-11-25,14.444,14.45,14.444,14.444,41009,0
2005-11-28,14.444,14.45,14.444,14.45,95056,0
2005-11-29,14.45,14.45,14.444,14.444,217815,0
2005-11-30,14.444,14.45,14.444,14.45,59796,0
2005-12-01,14.444,14.45,13.975,13.982,363614,0
2005-12-02,14.012,14.15,13.982,14.143,71461,0
2005-12-05,14.103,14.228,14.089,14.228,46223,0
2005-12-06,14.228,14.37,14.228,14.37,195864,0
2005-12-07,14.438,14.438,14.299,14.335,33883,0
2005-12-08,14.312,14.312,14.228,14.252,62134,0
2005-12-09,14.299,14.299,14.155,14.155,26471,0
2005-12-12,14.089,14.216,14.089,14.193,76814,0
2005-12-13,14.208,14.208,14.051,14.122,24688,0
2005-12-14,13.935,14.012,13.577,13.706,54046,0
2005-12-15,13.795,13.795,13.38,13.577,42244,0
2005-12-16,13.463,13.577,13.38,13.38,28796,0
2005-12-19,13.197,13.367,12.914,13.243,89295,0
2005-12-20,13.181,13.367,12.914,12.922,74614,0
2005-12-21,12.782,13.218,12.649,12.99,110147,0
2005-12-22,12.868,13.218,12.86,13.169,70225,0
2005-12-23,13.019,13.181,12.935,13.073,37308,0
2005-12-27,12.962,13.073,12.929,12.935,84492,0
2005-12-28,12.935,13.289,12.929,13.289,45403,0
2005-12-29,13.25,13.367,13.197,13.25,37993,0
2005-12-30,12.999,13.25,12.999,13.065,91486,0
2006-01-03,12.999,13.25,12.901,13.103,36072,0
2006-01-04,12.999,13.148,12.947,13.11,40735,0
2006-01-05,13.073,13.289,13.042,13.218,17283,0
2006-01-06,13.181,13.25,13.08,13.148,29903,0
2006-01-09,13.119,13.352,13.11,13.148,34292,0
2006-01-10,13.11,13.36,13.073,13.36,30587,0
2006-01-11,13.431,13.431,13.218,13.327,28119,0
2006-01-12,13.297,13.463,13.297,13.463,38136,0
2006-01-13,13.405,13.719,13.405,13.719,47318,0
2006-01-17,13.719,13.719,13.397,13.514,29487,0
2006-01-18,13.405,13.498,12.929,13.405,109039,0
2006-01-19,13.273,13.498,13.148,13.202,28796,0
2006-01-20,13.289,13.613,13.289,13.613,35943,0
2006-01-23,13.537,13.613,13.367,13.447,27297,0
2006-01-24,13.373,13.568,13.218,13.344,33607,0
2006-01-25,13.289,13.484,13.218,13.373,48423,0
2006-01-26,13.491,13.498,13.367,13.373,77905,0
2006-01-27,13.373,13.523,13.367,13.463,47189,0
2006-01-30,13.405,13.471,13.289,13.327,89702,0
2006-01-31,13.289,13.438,13.218,13.405,64333,0
2006-02-01,13.405,13.463,13.25,13.367,64333,0
2006-02-02,13.336,13.367,13.224,13.36,31958,0
2006-02-03,13.417,13.514,13.25,13.514,56376,0
2006-02-06,13.514,13.649,13.289,13.649,42244,0
2006-02-07,13.537,13.599,13.38,13.593,31276,0
2006-02-08,13.498,13.577,13.373,13.484,34974,0
2006-02-09,13.523,13.593,13.498,13.593,34566,0
2006-02-10,13.627,13.706,13.514,13.649,25782,0
2006-02-13,13.577,13.606,13.498,13.498,36485,0
2006-02-14,13.546,13.641,13.447,13.53,44854,0
2006-02-15,13.53,13.577,13.454,13.537,48552,0
2006-02-16,13.561,13.561,13.438,13.454,34017,0
2006-02-17,13.438,13.491,13.438,13.46,46772,0
2006-02-21,13.454,13.491,13.297,13.484,53217,0
2006-02-22,13.463,13.463,13.373,13.46,36485,0
2006-02-23,13.463,13.463,13.327,13.438,67348,0
2006-02-24,13.537,13.537,13.289,13.352,54871,0
2006-02-27,13.423,13.491,13.289,13.373,75031,0
2006-02-28,13.498,13.498,13.303,13.405,80110,0
2006-03-01,13.46,13.46,13.327,13.431,37993,0
2006-03-02,13.417,13.431,13.327,13.36,53217,0
2006-03-03,13.327,13.431,13.297,13.431,39086,0
2006-03-06,13.498,13.498,13.319,13.491,38682,0
2006-03-07,13.431,13.471,13.373,13.431,21538,0
2006-03-08,13.38,13.568,13.36,13.568,36072,0
2006-03-09,13.613,13.613,13.311,13.491,84766,0
2006-03-10,13.491,13.613,13.327,13.613,47592,0
2006-03-13,13.613,13.613,13.319,13.438,58708,0
2006-03-14,13.491,13.491,13.367,13.447,34974,0
2006-03-15,13.46,13.491,13.367,13.463,39227,0
2006-03-16,13.561,13.577,13.405,13.463,58708,0
2006-03-17,13.498,13.568,13.417,13.568,23591,0
2006-03-20,13.568,13.613,13.38,13.561,39359,0
2006-03-21,13.577,13.577,13.289,13.417,70771,0
2006-03-22,13.491,13.491,13.336,13.405,72836,0
2006-03-23,13.431,13.431,13.282,13.319,50196,0
2006-03-24,13.352,13.352,13.148,13.197,59255,0
2006-03-27,13.161,13.202,12.894,12.981,76674,0
2006-03-28,13.056,13.056,12.787,12.929,88746,0
2006-03-29,13.034,13.034,12.707,12.868,86959,0
2006-03-30,12.942,12.947,12.853,12.947,41833,0
2006-03-31,12.999,13.011,12.86,12.968,45264,0
2006-04-03,12.942,13.073,12.901,13.011,43343,0
2006-04-04,13.011,13.181,12.999,13.161,39359,0
2006-04-05,13.161,13.197,12.999,13.175,52805,0
2006-04-06,13.034,13.273,12.962,13.218,60489,0
2006-04-07,13.148,13.282,13.119,13.282,41833,0
2006-04-10,13.218,13.273,13.127,13.209,44302,0
2006-04-11,13.155,13.243,13.034,13.135,45810,0
2006-04-12,13.169,13.273,12.894,13.11,43208,0
2006-04-13,13.088,13.088,12.868,12.99,46223,0
2006-04-17,13.25,13.25,12.714,12.894,43482,0
2006-04-18,12.999,13.181,12.83,12.999,43343,0
2006-04-19,12.999,13.042,12.744,12.853,44443,0
2006-04-20,12.801,12.999,12.714,12.853,43897,0
2006-04-21,13.034,13.073,12.868,12.962,26610,0
2006-04-24,12.999,12.999,12.714,12.714,66934,0
2006-04-25,12.853,12.914,12.728,12.752,72146,0
2006-04-26,12.894,12.894,12.714,12.839,51028,0
2006-04-27,12.782,12.935,12.782,12.922,46912,0
2006-04-28,12.894,12.954,12.853,12.929,41559,0
2006-05-01,12.816,13.034,12.816,12.999,35668,0
2006-05-02,13.027,13.367,12.914,13.056,59666,0
2006-05-03,12.999,13.161,12.901,13.141,37862,0
2006-05-04,13.181,13.218,12.99,13.218,28528,0
