Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,3.2435,3.315,3.2435,3.2971,524032,0
2005-02-28,3.2701,3.3328,3.2345,3.315,430641,0
2005-03-01,3.2971,3.4402,3.2971,3.4133,596818,0
2005-03-02,3.3506,3.5561,3.3328,3.4489,374474,0
2005-03-03,3.4311,3.4936,3.315,3.4133,305012,0
2005-03-04,3.4311,3.4311,3.3506,3.3952,174113,0
2005-03-07,3.3596,3.4311,3.2701,3.3952,177023,0
2005-03-08,3.4311,3.4311,3.3417,3.3417,209529,0
2005-03-09,3.3328,3.3685,3.2523,3.2971,160367,0
2005-03-10,3.2701,3.2971,3.2345,3.2881,144720,0
2005-03-11,3.2345,3.3417,3.2076,3.2793,206277,0
2005-03-14,3.2614,3.315,3.172,3.2166,219436,0
2005-03-15,3.2345,3.2435,3.0737,3.1272,242255,0
2005-03-16,3.1272,3.1809,3.0559,3.0647,197467,0
2005-03-17,3.0201,3.1005,3.0113,3.0737,197620,0
2005-03-18,3.1094,3.1094,2.9753,3.029,236333,0
2005-03-21,3.0021,3.2255,2.9753,3.2076,275455,0
2005-03-22,3.1898,3.2435,3.0737,3.0737,254711,0
2005-03-23,3.0559,3.0826,2.9307,2.9485,299769,0
2005-03-24,2.9933,3.1272,2.9485,2.9933,167604,0
2005-03-28,2.9753,3.038,2.904,3.0113,161852,0
2005-03-29,3.0559,3.1005,2.9753,3.0737,106301,0
2005-03-30,3.0559,3.1272,3.029,3.1005,112743,0
2005-03-31,3.0737,3.1364,3.0021,3.1184,199591,0
2005-04-01,3.1005,3.172,2.9753,3.0021,125368,0
2005-04-04,3.0021,3.1005,2.9844,3.0559,75147,0
2005-04-05,3.029,3.0737,2.9753,3.0201,82143,0
2005-04-06,3.0737,3.1005,3.0021,3.0469,95087,0
2005-04-07,3.0201,3.0737,3.0021,3.029,52078,0
2005-04-08,3.0113,3.029,2.9485,2.9576,75510,0
2005-04-11,2.9576,2.9933,2.9396,2.9576,75453,0
2005-04-12,2.9485,3.0737,2.9396,3.029,108597,0
2005-04-13,3.0559,3.0559,2.9396,2.9396,143088,0
2005-04-14,2.9396,2.9753,2.9307,2.9396,93799,0
2005-04-15,2.9396,2.9664,2.904,2.9307,98568,0
2005-04-18,2.9396,2.9753,2.904,2.9307,112416,0
2005-04-19,2.9307,3.029,2.9307,3.0021,145086,0
2005-04-20,3.0021,3.0113,2.9128,2.9307,94849,0
2005-04-21,2.9307,3.0021,2.9307,3.0021,81978,0
2005-04-22,2.9753,3.0021,2.9576,3.0021,76425,0
2005-04-25,2.9753,3.029,2.9753,3.029,47246,0
2005-04-26,3.0021,3.0647,2.9753,2.9753,98018,0
2005-04-27,2.9753,3.029,2.9396,2.9753,51874,0
2005-04-28,2.9664,2.9933,2.6985,2.7789,463809,0
2005-04-29,2.7789,2.8593,2.7521,2.7521,356429,0
2005-05-02,2.7521,2.904,2.7253,2.8949,84040,0
2005-05-03,2.7521,2.9396,2.743,2.8772,356021,0
2005-05-04,2.8681,2.9933,2.8413,2.9396,118950,0
2005-05-05,2.9485,3.0021,2.8413,2.9485,124090,0
2005-05-06,2.9128,2.9664,2.8056,2.8593,121507,0
2005-05-09,2.8772,2.9576,2.8234,2.9576,80532,0
2005-05-10,2.9307,2.9844,2.8325,2.8503,80410,0
2005-05-11,2.8325,2.8862,2.7609,2.8056,136527,0
2005-05-12,2.8056,2.8593,2.8056,2.8413,34526,0
2005-05-13,2.8145,2.8593,2.7521,2.7966,119089,0
2005-05-16,2.8056,2.8325,2.743,2.7609,133291,0
2005-05-17,2.7609,2.8413,2.743,2.8413,50589,0
2005-05-18,2.8413,2.8593,2.7966,2.8234,86014,0
2005-05-19,2.7876,2.8772,2.7876,2.8234,64963,0
2005-05-20,2.7876,2.8325,2.7343,2.7521,167441,0
2005-05-23,2.7521,2.8056,2.7343,2.7876,457474,0
2005-05-24,2.7789,2.8593,2.7789,2.8413,193230,0
2005-05-25,2.8413,2.8681,2.8325,2.8413,79563,0
2005-05-26,2.8325,2.8681,2.8325,2.8593,57402,0
2005-05-27,2.8593,2.8593,2.8325,2.8503,67080,0
2005-05-31,2.8593,2.8949,2.8325,2.8681,409376,0
2005-06-01,2.8949,2.9396,2.8862,2.9396,126805,0
2005-06-02,2.9396,2.9664,2.9128,2.9664,151048,0
2005-06-03,2.9396,2.9753,2.9217,2.9396,70253,0
2005-06-06,2.9217,2.9753,2.9217,2.9576,124211,0
2005-06-07,3.0021,3.038,2.9844,3.0113,132899,0
2005-06-08,3.0113,3.0559,2.9844,3.0201,110576,0
2005-06-09,3.038,3.0826,2.9753,3.0737,101839,0
2005-06-10,3.0826,3.1005,3.0469,3.0826,72450,0
2005-06-13,3.1005,3.1451,3.0113,3.0647,122947,0
2005-06-14,3.0469,3.0915,3.029,3.0647,138458,0
2005-06-15,3.029,3.0737,2.9753,3.0201,170918,0
2005-06-16,3.0201,3.0647,3.0021,3.038,133556,0
2005-06-17,3.0737,3.0737,2.9753,2.9933,164479,0
2005-06-20,2.9753,3.0021,2.9753,2.9753,86527,0
2005-06-21,2.9933,3.0737,2.9664,3.038,109371,0
2005-06-22,3.0737,3.0915,3.0021,3.0826,88594,0
2005-06-23,3.0737,3.0737,2.9753,2.9753,149421,0
2005-06-24,2.9576,3.038,2.9307,3.0021,525753,0
2005-06-27,2.9753,3.0559,2.9664,2.9933,110356,0
2005-06-28,2.9844,3.0469,2.9753,3.038,94618,0
2005-06-29,3.0737,3.1364,3.0113,3.0559,147126,0
2005-06-30,3.0469,3.1005,3.0201,3.0201,120626,0
2005-07-01,3.0113,3.0647,3.0021,3.0559,96428,0
2005-07-05,3.0021,3.1272,3.0021,3.1272,96039,0
2005-07-06,3.1272,3.2701,3.1094,3.2435,251662,0
2005-07-07,3.1451,3.2345,3.1272,3.172,95627,0
2005-07-08,3.172,3.2255,3.1364,3.1988,107544,0
2005-07-11,3.172,3.2701,3.1451,3.2435,223749,0
2005-07-12,3.2345,3.2793,3.1809,3.2345,284972,0
2005-07-13,3.2255,3.2701,3.1451,3.1988,1645256,0
2005-07-14,3.2435,3.2614,3.1272,3.1272,211488,0
2005-07-15,3.1094,3.1988,3.0559,3.163,227007,0
2005-07-18,3.1451,3.2701,3.1451,3.2435,137295,0
2005-07-19,3.2345,3.3328,3.1988,3.3239,156699,0
2005-07-20,3.3239,3.3328,3.163,3.2971,106119,0
2005-07-21,3.2701,3.3328,3.2435,3.3328,127741,0
