Date,Open,High,Low,Close,Volume,OpenInt
1980-01-02,1.1614,1.1859,1.1614,1.1697,100521,0
1980-01-03,1.1697,1.1697,1.1534,1.1614,293302,0
1980-01-04,1.1614,1.1944,1.1614,1.1859,225805,0
1980-01-07,1.1859,1.1859,1.1697,1.178,90809,0
1980-01-08,1.178,1.178,1.1614,1.1697,316124,0
1980-01-09,1.1697,1.1859,1.1614,1.1614,854171,0
1980-01-10,1.1614,1.178,1.1614,1.1614,207351,0
1980-01-11,1.1614,1.1697,1.1614,1.1614,157819,0
1980-01-14,1.1614,1.1859,1.1614,1.1859,185498,0
1980-01-15,1.1859,1.2026,1.1859,1.1859,142766,0
1980-01-16,1.1859,1.2026,1.1697,1.1697,280190,0
1980-01-17,1.1697,1.1859,1.1614,1.1697,187441,0
1980-01-18,1.1697,1.1697,1.1201,1.1368,741511,0
1980-01-21,1.1368,1.1368,1.1284,1.1368,223375,0
1980-01-22,1.1368,1.1368,1.1122,1.1201,298157,0
1980-01-23,1.1201,1.1697,1.1201,1.1368,307869,0
1980-01-24,1.1284,1.1284,1.1201,1.1201,433154,0
1980-01-25,1.1201,1.1201,1.0955,1.0955,666242,0
1980-01-28,1.0955,1.1201,1.0955,1.1122,186957,0
1980-01-29,1.1122,1.1122,1.1037,1.1122,260282,0
1980-01-30,1.1122,1.1122,1.1037,1.1122,132082,0
1980-01-31,1.1122,1.1201,1.1037,1.1122,305928,0
1980-02-01,1.1122,1.1201,1.0955,1.1201,153450,0
1980-02-04,1.1201,1.1201,1.1037,1.1037,98091,0
1980-02-05,1.1037,1.1201,1.1037,1.1201,257369,0
1980-02-06,1.1201,1.1201,1.1122,1.1122,963915,0
1980-02-07,1.1122,1.1201,1.1122,1.1122,1259644,0
1980-02-08,1.1122,1.1122,1.0708,1.0955,1230997,0
1980-02-11,1.0955,1.0955,1.0708,1.0708,714317,0
1980-02-12,1.0708,1.0708,1.0544,1.0708,569124,0
1980-02-13,1.0708,1.0873,1.0708,1.0791,593888,0
1980-02-14,1.0791,1.0791,1.0708,1.0708,1031414,0
1980-02-15,1.0708,1.0708,1.0626,1.0708,256884,0
1980-02-19,1.0708,1.0708,1.0626,1.0708,398679,0
1980-02-20,1.0708,1.0708,1.0544,1.0708,333119,0
1980-02-21,1.0626,1.0626,1.0461,1.0461,504538,0
1980-02-22,1.0461,1.0544,1.0133,1.0461,390907,0
1980-02-25,1.0461,1.0461,1.0133,1.0297,438498,0
1980-02-26,1.0297,1.0379,1.0213,1.0297,497739,0
1980-02-27,1.0297,1.0297,0.9884,1.005,4543269,0
1980-02-28,1.005,1.005,0.9884,0.9968,527359,0
1980-02-29,0.9968,1.0461,0.9968,1.0461,763363,0
1980-03-03,1.0461,1.0461,1.0133,1.0379,1674831,0
1980-03-04,1.0379,1.0379,1.0133,1.0133,324379,0
1980-03-05,1.0133,1.0297,0.9804,0.9804,515706,0
1980-03-06,0.9804,0.9884,0.9804,0.9804,455494,0
1980-03-07,0.9804,1.005,0.9636,0.9968,443838,0
1980-03-10,0.9968,1.0461,0.9884,1.0461,844455,0
1980-03-11,1.0379,1.0379,1.0297,1.0379,247170,0
1980-03-12,1.0379,1.0379,1.0213,1.0297,951289,0
1980-03-13,1.0297,1.0379,1.0213,1.0297,473948,0
1980-03-14,1.0297,1.0791,1.0297,1.0708,499196,0
1980-03-17,1.0708,1.0791,1.0544,1.0708,612825,0
1980-03-18,1.0708,1.0873,1.0708,1.0873,406933,0
1980-03-19,1.0873,1.0955,1.0708,1.0955,792498,0
1980-03-20,1.0955,1.1201,1.0955,1.1122,200553,0
1980-03-21,1.1037,1.1037,1.0955,1.1037,196668,0
1980-03-24,1.0955,1.0955,1.0626,1.0708,147622,0
1980-03-25,1.0626,1.0626,1.0297,1.0544,851257,0
1980-03-26,1.0544,1.0708,1.0544,1.0626,221432,0
1980-03-27,1.0626,1.0626,1.0461,1.0544,466174,0
1980-03-28,1.0708,1.0708,1.0213,1.0626,317582,0
1980-03-31,1.0626,1.0873,1.0626,1.0626,960517,0
1980-04-01,1.0873,1.1122,1.0873,1.1122,662844,0
1980-04-02,1.1122,1.1534,1.0791,1.1449,600204,0
1980-04-03,1.1449,1.1449,1.1201,1.1284,566692,0
1980-04-07,1.1284,1.1368,1.1037,1.1284,317096,0
1980-04-08,1.1284,1.1449,1.1284,1.1368,458406,0
1980-04-09,1.1368,1.1614,1.1368,1.1614,449178,0
1980-04-10,1.1614,1.1944,1.1614,1.1944,725971,0
1980-04-11,1.1944,1.2109,1.1944,1.1944,503077,0
1980-04-14,1.1944,1.1944,1.1697,1.1697,416161,0
1980-04-15,1.1697,1.178,1.1614,1.178,149078,0
1980-04-16,1.1859,1.2109,1.1859,1.2109,1827797,0
1980-04-17,1.2109,1.2356,1.2026,1.2109,460833,0
1980-04-18,1.2109,1.2109,1.1944,1.1944,544839,0
1980-04-21,1.1944,1.2109,1.1859,1.1859,280190,0
1980-04-22,1.1859,1.2109,1.1614,1.1944,668673,0
1980-04-23,1.2109,1.2275,1.2109,1.2275,1299465,0
1980-04-24,1.2275,1.2605,1.1944,1.2437,1688430,0
1980-04-25,1.2437,1.2437,1.2356,1.2356,1013448,0
1980-04-28,1.2356,1.2522,1.2356,1.2437,356431,0
1980-04-29,1.2437,1.2522,1.2356,1.2356,307385,0
1980-04-30,1.2356,1.2437,1.2275,1.2356,296216,0
1980-05-01,1.2356,1.2356,1.2192,1.2192,274368,0
1980-05-02,1.2192,1.2356,1.2192,1.2275,229689,0
1980-05-05,1.2356,1.2437,1.2356,1.2437,578349,0
1980-05-06,1.2437,1.2605,1.2437,1.2437,1023645,0
1980-05-07,1.2437,1.2769,1.2437,1.2769,518620,0
1980-05-08,1.2769,1.2931,1.2605,1.2685,545329,0
