Date,Open,High,Low,Close,Volume,OpenInt
2014-10-01,12.6,13.32,12.6,13.28,2893100,0
2014-10-02,13.25,13.25,13.01,13.15,448948,0
2014-10-03,13.15,13.23,13.13,13.22,204392,0
2014-10-06,13.2,13.22,13.15,13.17,135982,0
2014-10-07,13.15,13.2,13.05,13.07,170588,0
2014-10-08,13.16,13.23,13.14,13.2,140548,0
2014-10-09,13.2,13.23,13.06,13.16,92180,0
2014-10-10,13.14,13.14,13,13.07,148251,0
2014-10-13,13.01,13.08,12.97,13.01,139217,0
2014-10-14,13.05,13.088,13.01,13.02,81302,0
2014-10-15,13.02,13.035,12.845,13,97232,0
2014-10-16,12.97,13.02,12.8,12.95,95217,0
2014-10-17,13,13.05,12.995,13.04,58275,0
2014-10-20,13.01,13.04,13,13.01,47024,0
2014-10-21,13,13.09,12.94,13.09,40727,0
2014-10-22,13.1,13.1,13.02,13.02,17345,0
2014-10-23,12.98,13.08,12.95,13.08,38161,0
2014-10-24,13,13.04,12.96,13.04,11832,0
2014-10-27,13.08,13.13,12.961,13.06,20458,0
2014-10-28,13.15,13.19,13.001,13.01,47390,0
2014-10-29,12.99,13.17,12.98,13.13,16590,0
2014-10-30,13.05,13.2,13.01,13.2,24550,0
2014-10-31,13.2,13.4,13.2,13.4,100703,0
2014-11-03,13.49,13.83,13.48,13.78,33488,0
2014-11-04,13.84,13.84,13.7,13.71,4830,0
2014-11-05,13.6,13.79,13.6,13.77,16616,0
2014-11-06,13.7,13.85,13.7,13.83,56382,0
2014-11-07,13.78,13.99,13.75,13.85,60534,0
2014-11-10,13.95,13.95,13.8,13.89,23053,0
2014-11-11,13.87,13.99,13.82,13.86,44311,0
2014-11-12,13.83,13.86,13.75,13.78,41859,0
2014-11-13,13.78,13.83,13.61,13.81,36160,0
2014-11-14,13.77,13.77,13.51,13.75,29923,0
2014-11-17,13.78,13.98,13.6,13.93,45854,0
2014-11-18,13.8,13.9,13.71,13.78,12532,0
2014-11-19,13.71,13.99,13.71,13.85,7584,0
2014-11-20,13.82,13.85,13.81,13.84,5251,0
2014-11-21,13.85,13.85,13.8,13.85,10067,0
2014-11-24,13.85,13.86,13.78,13.85,35386,0
2014-11-25,13.83,13.98,13.83,13.96,8033,0
2014-11-26,13.95,13.95,13.95,13.95,2900,0
2014-11-28,13.98,13.98,13.9,13.9,641,0
2014-12-01,13.81,13.89,13.81,13.88,17319,0
2014-12-02,13.82,13.94,13.81,13.94,5695,0
2014-12-03,13.95,13.98,13.82,13.9,3550,0
2014-12-04,13.87,13.9,13.83,13.89,5791,0
2014-12-05,13.9,13.99,13.89,13.99,8771,0
2014-12-08,13.91,13.99,13.91,13.98,29278,0
2014-12-09,13.99,14.75,13.98,14.75,62570,0
2014-12-10,14.71,14.94,14.36,14.41,14395,0
2014-12-11,14.55,14.83,14.55,14.74,12148,0
2014-12-12,14.8,14.9,13.92,14.48,21957,0
2014-12-15,14.43,14.73,13.93,14.11,7254,0
2014-12-16,14.01,14.48,14.01,14.46,34343,0
2014-12-17,14.33,14.65,14.06,14.2,11062,0
2014-12-18,14.27,14.4,14.11,14.23,14935,0
2014-12-19,14.26,14.4,14.05,14.27,169291,0
2014-12-22,14.12,14.53,14.12,14.39,13560,0
2014-12-23,14.45,14.45,14.34,14.41,5214,0
2014-12-24,14.13,14.43,14.13,14.42,1578,0
2014-12-26,14.4,14.4,14.16,14.17,4271,0
2014-12-29,14.23,14.4,14.21,14.4,11555,0
2014-12-30,14.2,14.4,14.18,14.37,1121,0
2014-12-31,14.4,14.4,14.39,14.39,2238,0
2015-01-02,14.3,14.4,14.14,14.3,10758,0
2015-01-05,14.23,14.5,14.19,14.47,15551,0
2015-01-06,14.47,14.47,14.28,14.47,27411,0
2015-01-07,14.47,14.68,14.29,14.53,22596,0
2015-01-08,14.62,14.74,14.36,14.73,7208,0
2015-01-09,14.65,14.7,14.43,14.69,8740,0
2015-01-12,14.57,14.7,14.57,14.69,1200,0
2015-01-13,14.7,14.7,14.49,14.68,6710,0
2015-01-14,14.69,14.7,14.51,14.7,898,0
2015-01-15,14.7,14.7,14.68,14.7,2529,0
2015-01-16,14.69,14.69,14.69,14.69,200,0
2015-01-20,14.6,14.6,14.6,14.6,100,0
2015-01-21,14.6,14.6,14.6,14.6,300,0
2015-01-22,14.46,14.68,14.25,14.68,20561,0
2015-01-23,14.56,14.65,14.56,14.65,3548,0
2015-01-26,14.65,14.74,14.65,14.71,4912,0
2015-01-28,14.6,14.8,14.18,14.8,3422,0
2015-01-29,14.85,14.93,14.8,14.9,12314,0
2015-01-30,14.94,15.46,14.891,15.46,16927,0
2015-02-02,15.05,15.3,14.64,15.17,12619,0
2015-02-03,15.3,15.5,15.3,15.35,12624,0
2015-02-04,15.34,15.4,15.06,15.1,13364,0
2015-02-05,15.2,15.3,14.891,15.3,13362,0
2015-02-06,15.45,15.47,15.25,15.47,17379,0
2015-02-09,15.3,15.47,15.21,15.46,9224,0
2015-02-10,15.46,15.54,14.93,15.51,6226,0
2015-02-11,15.55,15.6,15.45,15.45,1767,0
2015-02-12,15.49,15.58,15.28,15.28,35562,0
2015-02-13,15.4,15.48,15.22,15.4,4130,0
2015-02-17,15.29,15.59,15.29,15.29,7719,0
2015-02-18,15.39,15.46,15.3,15.46,2019,0
2015-02-19,15.4,15.73,15.4,15.71,21715,0
2015-02-20,15.66,16,15.61,15.8,8523,0
2015-02-23,15.72,15.86,15.69,15.86,1017,0
2015-02-24,15.69,15.86,15.43,15.82,8407,0
2015-02-25,15.82,15.82,15.7,15.73,3037,0
2015-02-26,15.67,15.7,15.49,15.7,15545,0
2015-02-27,15.6,15.93,15.5,15.772,22263,0
2015-03-02,15.53,15.56,15.51,15.56,300,0
2015-03-03,15.73,15.73,15.56,15.6,4100,0
2015-03-04,15.6,15.85,15.6,15.85,3300,0
2015-03-05,15.63,15.74,15.6,15.68,1900,0
2015-03-06,15.69,15.75,15.69,15.75,2500,0
2015-03-09,15.74,15.75,15.49,15.49,12500,0
2015-03-10,15.4,15.6,15.35,15.35,11000,0
2015-03-11,15.5,15.74,15.36,15.39,5900,0
2015-03-12,15.39,15.58,15.38,15.58,1000,0
2015-03-13,15.46,15.59,15.46,15.59,500,0
2015-03-16,15.6,15.6,15.53,15.54,6800,0
2015-03-17,15.53,15.6,15.53,15.6,5200,0
2015-03-18,15.54,15.55,15.37,15.41,8100,0
2015-03-19,15.6,15.6,15.38,15.54,7900,0
2015-03-20,15.45,15.6,15.45,15.6,5600,0
2015-03-25,15.39,15.47,15.35,15.35,3700,0
2015-03-26,15.36,15.54,15.35,15.51,1400,0
2015-03-27,15.4,15.4,15.33,15.38,7000,0
2015-03-30,15.38,15.6,15.38,15.47,6400,0
2015-03-31,15.52,15.6,15.51,15.51,8700,0
2015-04-01,15.46,15.54,15.45,15.54,5000,0
2015-04-02,15.54,15.54,15.5,15.52,7300,0
2015-04-06,15.43,15.53,15.42,15.5,14200,0
2015-04-07,15.5,15.52,15.5,15.52,2129,0
2015-04-08,15.39,15.52,15.39,15.5,9000,0
2015-04-10,15.5,15.6,15.41,15.6,25300,0
2015-04-13,15.51,15.51,15.51,15.51,100,0
2015-04-14,15.51,15.6,15.5,15.6,1900,0
2015-04-15,15.59,15.6,15.59,15.6,1179,0
2015-04-20,15.527,15.6,15.527,15.6,3941,0
2015-04-21,15.6,15.6,15.5,15.54,22033,0
2015-04-22,15.5,15.6,15.5,15.6,783,0
2015-04-23,15.6,15.6,15.6,15.6,1100,0
2015-04-24,15.6,15.6,15.56,15.59,800,0
2015-04-27,15.5,15.6,15.5,15.55,2100,0
2015-04-30,15.5,15.56,15.5,15.51,1500,0
2015-05-01,15.7,15.9,15.7,15.9,21100,0
2015-05-04,15.92,17.46,15.92,16.4,20400,0
2015-05-05,16.05,16.72,16.05,16.41,2700,0
2015-05-06,16.48,16.5,16.19,16.35,10147,0
2015-05-07,16.22,16.47,16.22,16.47,3300,0
2015-05-08,16.6,16.74,16.6,16.72,1400,0
2015-05-11,16.58,17.41,16.58,16.58,5900,0
2015-05-12,16.58,16.58,16.05,16.53,8717,0
2015-05-13,16.13,16.5,16.13,16.5,200,0
2015-05-14,16.64,16.64,16.5,16.5,2700,0
2015-05-15,16.2,16.23,16.07,16.12,4218,0
2015-05-18,16.14,16.37,16.13,16.37,1114,0
2015-05-19,16.22,16.38,16.22,16.38,1700,0
2015-05-20,16.21,16.21,16.21,16.21,200,0
2015-05-21,16.2,16.38,16.2,16.38,156900,0
2015-05-22,16.22,16.39,16.2,16.39,9400,0
2015-05-26,16.4,16.4,16.2,16.3,4799,0
2015-05-28,16.28,16.349,16.17,16.34,35400,0
2015-05-29,16.2,16.35,16.15,16.35,17400,0
2015-06-01,16.4,16.4,16.3,16.3,11800,0
2015-06-02,16.3,16.32,16.235,16.32,16435,0
2015-06-03,16.31,16.35,16.3,16.3,10900,0
2015-06-04,16.34,16.4,16.33,16.33,3500,0
2015-06-05,16.31,16.36,16.31,16.36,2600,0
2015-06-08,16.3,16.55,16.23,16.33,8300,0
2015-06-09,16.3,16.4,16.26,16.4,5366,0
2015-06-10,16.42,17.02,16.42,17.02,11806,0
2015-06-11,17.45,17.45,16.85,17.37,593,0
2015-06-12,17.01,17.05,16.4,16.95,5600,0
2015-06-15,16.97,17.5,16.64,17.26,17500,0
2015-06-16,17.21,17.5,17.01,17.35,15200,0
2015-06-17,17.2,18.84,17.04,18.15,112900,0
2015-06-18,18.2,18.32,18,18.24,18700,0
2015-06-19,17.79,18.5,17.51,17.51,37700,0
2015-06-22,17.89,17.89,17.2,17.21,6900,0
2015-06-23,17.35,17.35,17.01,17.25,8634,0
2015-06-24,17.37,18.33,17.34,18.14,8800,0
2015-06-25,18.2,18.38,17.49,17.49,6000,0
2015-06-26,17.93,18.22,17.32,17.99,10200,0
2015-06-29,17.41,17.8,17.41,17.46,1800,0
2015-06-30,17.71,18.08,17.55,17.55,2864,0
2015-07-01,17.81,17.81,17.45,17.51,5800,0
2015-07-02,17.75,17.75,17.63,17.71,2900,0
2015-07-06,17.64,17.66,17.4,17.49,3200,0
2015-07-07,17.51,17.51,17.33,17.4,5200,0
2015-07-08,17.25,17.64,17.25,17.58,5800,0
2015-07-09,17.47,17.54,17.42,17.42,700,0
2015-07-10,17.69,17.69,17.69,17.69,800,0
2015-07-13,17.48,17.48,17.48,17.48,100,0
2015-07-14,17.45,17.45,17.42,17.43,544,0
2015-07-15,17.34,17.61,17.34,17.61,1801,0
2015-07-16,17.81,17.81,17.7,17.7,600,0
2015-07-17,17.5,17.7,17.5,17.69,2200,0
2015-07-20,17.55,17.55,17.55,17.55,1500,0
2015-07-23,17.63,17.65,17.6,17.64,2100,0
2015-07-27,17.6,17.63,17.5,17.5,5900,0
2015-07-28,17.69,17.69,17.51,17.62,1500,0
2015-07-29,17.59,17.81,17.51,17.51,3200,0
2015-07-30,17.58,17.75,17.4,17.47,5000,0
2015-07-31,17.8,18.12,17.8,18.05,7300,0
2015-08-03,18.1,18.14,18,18.14,3430,0
2015-08-04,18.34,18.34,18.32,18.32,1000,0
2015-08-05,18.15,18.18,18.14,18.18,1400,0
2015-08-06,18.29,18.47,18.18,18.42,6495,0
2015-08-12,18,18.05,18,18.05,3100,0
2015-08-13,18.11,18.15,18.1,18.14,5200,0
2015-08-14,18.25,18.47,18.25,18.4,9700,0
2015-08-17,18.32,18.32,18.32,18.32,100,0
2015-08-18,18.49,18.5,18.45,18.45,5200,0
2015-08-19,18.49,18.49,18.28,18.28,2600,0
2015-08-20,18.01,18.15,18,18.13,4100,0
2015-08-21,18.14,18.25,18.14,18.25,4100,0
2015-08-24,18.02,18.19,17.96,18.19,9969,0
2015-08-25,18.16,18.16,17.77,17.89,10000,0
2015-08-26,17.99,17.99,17.8,17.82,2000,0
2015-08-27,17.92,17.92,17.9,17.91,5300,0
2015-08-28,17.84,17.84,17.57,17.63,19600,0
2015-08-31,17.55,17.8,17.5,17.56,2600,0
2015-09-01,17.49,17.79,17.49,17.78,2500,0
2015-09-02,17.8,17.8,17.43,17.43,2900,0
2015-09-03,17.4,17.45,17.4,17.45,900,0
2015-09-04,17.4,17.57,17.4,17.57,400,0
2015-09-08,17.58,17.6,17.55,17.55,2000,0
2015-09-09,17.75,17.75,17.57,17.74,300,0
2015-09-10,17.55,17.99,17.55,17.57,9485,0
2015-09-11,17.62,17.77,17.62,17.77,1200,0
2015-09-14,17.76,17.76,17.55,17.58,3400,0
2015-09-15,17.56,17.64,17.55,17.55,4500,0
2015-09-16,17.59,17.65,17.4,17.6,4200,0
2015-09-17,17.65,17.65,17.65,17.65,800,0
2015-09-18,17.62,17.75,17.62,17.75,12400,0
2015-09-21,17.75,17.75,17.41,17.75,4000,0
2015-09-22,17.4,17.51,17.4,17.41,1500,0
2015-09-23,17.51,17.57,17.4,17.57,300,0
2015-09-24,17.42,17.5,17.41,17.44,1735,0
2015-09-25,17.75,17.75,17.73,17.73,700,0
2015-09-28,17.715,17.715,17.418,17.42,1774,0
2015-09-29,17.59,17.7,17.58,17.6,9700,0
2015-09-30,17.53,17.99,16.82,17.34,15300,0
2015-10-01,17.38,17.38,17.38,17.38,100,0
2015-10-02,17.1,17.16,16.8,16.91,26300,0
2015-10-05,17.04,17.04,16.9,16.94,6351,0
2015-10-06,16.82,16.9,16.8,16.9,25200,0
2015-10-07,16.9,17.5,16.81,16.87,29100,0
2015-10-08,16.9,17.01,16.9,16.99,2900,0
2015-10-09,17.03,17.03,16.9,16.93,14600,0
2015-10-12,16.97,17.1,16.78,17,43165,0
2015-10-13,17.17,17.17,17,17.13,17500,0
2015-10-14,17.17,17.2,17.11,17.15,4300,0
2015-10-15,17.02,17.2,17.02,17.2,5400,0
2015-10-16,17.15,17.4,17.1,17.25,15600,0
2015-10-19,17.19,17.48,17.18,17.46,4400,0
2015-10-20,17.18,17.45,17.17,17.45,9911,0
2015-10-21,17.33,17.48,17.18,17.46,9100,0
2015-10-22,17.43,17.48,17.4,17.42,8700,0
2015-10-23,17.45,17.45,17.28,17.45,2900,0
2015-10-26,17.45,17.45,17.23,17.44,6600,0
