Date,Open,High,Low,Close,Volume,OpenInt
1989-10-04,2.1693,2.2408,2.1451,2.2026,10798050,0
1989-10-05,2.212,2.3077,2.2026,2.2694,3376926,0
1989-10-06,2.2837,2.3077,2.2408,2.2408,1441691,0
1989-10-09,2.2408,2.2408,2.2026,2.2408,567215,0
1989-10-10,2.2552,2.2552,2.2026,2.2313,781545,0
1989-10-11,2.2026,2.212,2.1693,2.212,659311,0
1989-10-12,2.212,2.2408,2.212,2.2313,315214,0
1989-10-13,2.2313,2.2313,2.1693,2.1881,2077561,0
1989-10-16,2.0925,2.1693,2.0925,2.1693,2053698,0
1989-10-17,2.1451,2.2026,2.1451,2.2026,964477,0
1989-10-18,2.2026,2.2552,2.1881,2.2408,590241,0
1989-10-19,2.2313,2.2408,2.2313,2.2408,544190,0
1989-10-20,2.2313,2.2313,2.212,2.2313,124326,0
1989-10-23,2.2408,2.2552,2.2408,2.2408,45624,0
1989-10-24,2.2408,2.2552,2.2313,2.2552,360842,0
1989-10-25,2.2408,2.2694,2.212,2.2408,318141,0
1989-10-26,2.2408,2.2552,2.2408,2.2408,119724,0
1989-10-27,2.2408,2.2408,2.2026,2.212,238606,0
1989-10-30,2.212,2.212,2.2026,2.2026,131024,0
1989-10-31,2.2026,2.212,2.2026,2.2026,222283,0
1989-11-01,2.212,2.2552,2.212,2.2552,374233,0
1989-11-02,2.2837,2.3266,2.2837,2.3266,68233,0
1989-11-03,2.3077,2.4223,2.3077,2.408,585214,0
1989-11-06,2.3937,2.3937,2.2694,2.2694,138558,0
1989-11-07,2.2408,2.3649,2.2026,2.3649,380517,0
1989-11-08,2.3649,2.3937,2.3508,2.3937,123913,0
1989-11-09,2.3937,2.3937,2.3649,2.3649,31816,0
1989-11-10,2.3649,2.3649,2.2408,2.2552,110092,0
1989-11-13,2.2552,2.2552,2.212,2.2408,48560,0
1989-11-14,2.2694,2.2694,2.1881,2.2313,223961,0
1989-11-15,2.2408,2.2694,2.2313,2.2552,92096,0
1989-11-16,2.2408,2.2837,2.2408,2.2837,157816,0
1989-11-17,2.2837,2.3266,2.2837,2.3266,130610,0
1989-11-20,2.3363,2.3363,2.2934,2.2934,22603,0
1989-11-21,2.2837,2.3508,2.2837,2.3508,56930,0
1989-11-22,2.3649,2.4223,2.3649,2.4223,133539,0
1989-11-24,2.4462,2.5991,2.4462,2.5705,299308,0
1989-11-27,2.561,2.5845,2.5133,2.5274,132703,0
1989-11-28,2.5274,2.5274,2.4892,2.4892,293026,0
1989-11-29,2.4748,2.4748,2.4462,2.4608,31816,0
1989-11-30,2.4748,2.561,2.4748,2.5465,372978,0
1989-12-01,2.5465,2.5991,2.5465,2.561,186697,0
1989-12-04,2.5845,2.6277,2.5274,2.6277,90002,0
1989-12-05,2.5991,2.6277,2.561,2.561,48979,0
1989-12-06,2.561,2.6422,2.561,2.6277,349955,0
1989-12-07,2.6277,2.6277,2.5705,2.5991,112608,0
1989-12-08,2.5705,2.5991,2.5705,2.5991,64047,0
1989-12-11,2.6134,2.6659,2.5845,2.6422,160329,0
1989-12-12,2.6516,2.6659,2.6277,2.6516,585636,0
1989-12-13,2.6422,2.7806,2.6277,2.7806,209306,0
1989-12-14,2.7473,2.7662,2.7328,2.7473,204703,0
1989-12-15,2.7662,2.7662,2.7232,2.7328,81214,0
1989-12-18,2.7089,2.7473,2.6659,2.6659,117209,0
1989-12-19,2.6659,2.6947,2.6659,2.6947,112608,0
1989-12-20,2.6947,2.7328,2.6803,2.7089,87070,0
1989-12-21,2.7328,2.7473,2.6947,2.7328,91258,0
1989-12-22,2.7473,2.7473,2.7328,2.7473,90838,0
1989-12-26,2.7328,2.7328,2.7089,2.7089,51074,0
1989-12-27,2.6947,2.6947,2.6659,2.6659,75351,0
1989-12-28,2.6803,2.6803,2.6659,2.6659,5858,0
1989-12-29,2.6659,2.7806,2.6516,2.7806,114700,0
1990-01-02,2.7473,2.7473,2.6659,2.6803,101723,0
1990-01-03,2.6947,2.6947,2.6659,2.6659,189214,0
1990-01-04,2.6659,2.6947,2.5991,2.5991,87070,0
1990-01-05,2.5845,2.5845,2.5133,2.561,52749,0
1990-01-08,2.5274,2.5465,2.5034,2.5133,460889,0
1990-01-09,2.4892,2.5034,2.4748,2.4748,147771,0
1990-01-10,2.4413,2.4413,2.3697,2.3842,410238,0
1990-01-11,2.3985,2.4413,2.3842,2.4269,181674,0
1990-01-12,2.3985,2.4128,2.3697,2.3985,83303,0
1990-01-15,2.4128,2.4128,2.3985,2.3985,13394,0
1990-01-16,2.3697,2.3842,2.3122,2.3842,90417,0
1990-01-17,2.3985,2.4795,2.3985,2.3985,113024,0
1990-01-18,2.3697,2.3985,2.3697,2.3842,82465,0
1990-01-19,2.4128,2.4269,2.4128,2.4269,4602,0
1990-01-22,2.4128,2.4269,2.3985,2.4128,29721,0
1990-01-23,2.4413,2.4413,2.4128,2.4269,53164,0
1990-01-24,2.4128,2.4128,2.3697,2.3697,13814,0
1990-01-25,2.3697,2.3985,2.3555,2.3985,130610,0
1990-01-26,2.3842,2.3985,2.3555,2.3555,23865,0
1990-01-29,2.3697,2.3697,2.3122,2.3316,232331,0
1990-01-30,2.3122,2.3459,2.2741,2.3459,286744,0
1990-01-31,2.3697,2.5226,2.3697,2.5226,396420,0
1990-02-01,2.5367,2.5367,2.5083,2.5226,78278,0
1990-02-02,2.5367,2.5659,2.5367,2.5367,376755,0
1990-02-05,2.5659,2.5659,2.5367,2.5367,85400,0
1990-02-06,2.5367,2.5659,2.5083,2.5465,51904,0
1990-02-07,2.5659,2.5894,2.5659,2.5894,17161,0
1990-02-08,2.6183,2.7566,2.6183,2.6849,181258,0
1990-02-09,2.7138,2.7566,2.6183,2.6468,93772,0
1990-02-12,2.6468,2.6468,2.5659,2.5659,14647,0
1990-02-13,2.5894,2.604,2.5894,2.604,13814,0
1990-02-14,2.604,2.6183,2.5894,2.5894,17161,0
1990-02-15,2.604,2.6183,2.604,2.604,79535,0
1990-02-16,2.6183,2.6183,2.6183,2.6183,16744,0
1990-02-20,2.6325,2.6325,2.604,2.604,12143,0
