Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,31.027,31.342,30.369,31.267,329360,0
2005-02-28,31.277,31.5,30.879,31.314,239230,0
2005-03-01,31.537,31.592,30.247,30.833,649554,0
2005-03-02,30.145,30.73,30.054,30.434,567511,0
2005-03-03,30.746,31.072,30.321,30.889,831644,0
2005-03-04,31.416,31.787,31.183,31.704,661738,0
2005-03-07,31.704,31.752,31.296,31.537,616568,0
2005-03-08,31.628,32.095,31.547,31.908,366229,0
2005-03-09,31.815,31.815,30.443,30.964,646968,0
2005-03-10,31.305,31.628,30.879,31.286,433614,0
2005-03-11,31.296,31.351,30.163,30.775,818925,0
2005-03-14,30.145,30.861,30.145,30.453,622817,0
2005-03-15,30.462,30.471,27.965,28.846,2951403,0
2005-03-16,28.8,29.403,28.753,29.262,1266549,0
2005-03-17,29.035,29.441,28.894,29.22,517487,0
2005-03-18,29.309,29.728,29.173,29.403,1214801,0
2005-03-21,29.403,29.626,29.125,29.238,691492,0
2005-03-22,29.173,29.356,28.3,28.514,900106,0
2005-03-23,28.57,28.66,27.856,27.856,548970,0
2005-03-24,28.152,28.541,27.176,28.197,860974,0
2005-03-28,28.012,28.65,27.956,28.522,648693,0
2005-03-29,28.522,28.624,27.501,27.548,615058,0
2005-03-30,27.828,28.365,27.678,28.271,1090390,0
2005-03-31,28.615,29.078,28.522,29.035,716502,0
2005-04-01,29.682,29.692,28.522,28.827,485254,0
2005-04-04,28.522,28.522,28.105,28.346,630366,0
2005-04-05,28.753,28.753,27.828,28.187,561581,0
2005-04-06,28.598,29.096,28.45,29.035,562013,0
2005-04-07,29.22,29.543,28.932,29.543,328821,0
2005-04-08,29.553,29.776,29.069,29.125,332053,0
2005-04-11,29.356,29.728,29.04,29.272,207101,0
2005-04-12,29.22,29.655,28.477,29.543,299497,0
2005-04-13,29.543,29.626,28.846,28.959,542390,0
2005-04-14,28.988,29.025,27.928,27.983,337553,0
2005-04-15,27.566,27.938,26.918,26.918,475439,0
2005-04-18,27.131,27.344,26.807,27.299,575164,0
2005-04-19,27.781,28.235,27.726,28.058,689335,0
2005-04-20,28.29,28.29,27.612,27.63,566219,0
2005-04-21,27.865,28.346,27.781,28.281,258527,0
2005-04-22,28.253,28.31,27.501,27.828,284727,0
2005-04-25,27.965,28.152,27.65,27.726,638777,0
2005-04-26,27.64,28.486,27.602,27.809,196430,0
2005-04-27,27.92,27.92,27.085,27.131,388871,0
2005-04-28,26.909,27.065,26.632,26.632,610634,0
2005-04-29,26.862,26.974,26.074,26.749,457763,0
2005-05-02,26.844,27.131,26.695,27.075,552849,0
2005-05-03,27.029,27.402,26.388,27.176,453341,0
2005-05-04,27.281,28.18,27.065,28.058,621955,0
2005-05-05,28.058,28.244,27.566,27.809,542068,0
2005-05-06,28.477,28.477,27.745,27.92,596620,0
2005-05-09,27.938,28.477,27.781,28.338,420240,0
2005-05-10,28.338,28.338,27.52,27.965,433614,0
2005-05-11,28.085,28.152,27.602,27.92,337877,0
2005-05-12,28.012,28.085,27.157,27.492,463475,0
2005-05-13,27.492,27.901,26.956,27.363,1132652,0
2005-05-16,27.501,27.576,26.965,27.233,322132,0
2005-05-17,27.326,27.326,25.971,26.947,962098,0
2005-05-18,26.956,27.54,26.956,27.492,754455,0
2005-05-19,27.736,28.29,27.185,28.143,964681,0
2005-05-20,27.91,27.965,27.43,27.688,565358,0
2005-05-23,27.688,28.039,27.621,27.828,480615,0
2005-05-24,27.592,27.726,27.373,27.64,403425,0
2005-05-25,27.828,27.828,27.473,27.592,380246,0
2005-05-26,27.688,27.892,27.42,27.875,415931,0
2005-05-27,28.039,28.458,27.947,28.29,532043,0
2005-05-31,28.384,28.412,28.039,28.105,357821,0
2005-06-01,27.92,28.29,27.736,28.17,1088019,0
2005-06-02,28.225,28.79,28.161,28.753,756826,0
2005-06-03,28.753,29.941,28.753,29.747,759415,0
2005-06-06,29.728,30.426,29.617,29.96,985060,0
2005-06-07,29.96,30.209,29.06,29.125,864097,0
2005-06-08,29.384,29.589,28.865,29.262,344345,0
2005-06-09,28.988,29.804,28.782,29.692,456468,0
2005-06-10,29.969,30.406,29.728,30.154,414209,0
2005-06-13,30.247,31.528,30.247,31.119,813642,0
2005-06-14,31.351,31.51,30.746,31.49,923607,0
2005-06-15,31.464,31.945,30.842,31.101,1113571,0
2005-06-16,31.166,31.647,30.981,31.072,866900,0
2005-06-17,31.119,31.277,30.833,31.065,569342,0
2005-06-20,30.794,31.072,30.627,30.908,308013,0
2005-06-21,30.73,30.833,30.434,30.609,400622,0
2005-06-22,30.609,30.609,30.311,30.573,319439,0
2005-06-23,30.481,30.564,29.173,29.728,562122,0
2005-06-24,29.636,29.682,29.105,29.421,366874,0
2005-06-27,29.173,29.913,28.978,29.886,809868,0
2005-06-28,29.886,30.284,29.421,30.228,311356,0
2005-06-29,30.555,30.756,30.311,30.627,385422,0
2005-06-30,30.702,30.908,30.321,30.673,343478,0
2005-07-01,30.369,30.369,29.617,29.767,274591,0
2005-07-05,29.45,30.108,29.291,29.813,682112,0
2005-07-06,29.822,30.063,29.58,29.831,373347,0
2005-07-07,29.497,29.822,28.949,29.795,501854,0
2005-07-08,29.337,29.776,29.192,29.543,407737,0
2005-07-11,29.356,29.58,29.182,29.22,652251,0
2005-07-12,29.173,30.054,28.949,29.868,565464,0
2005-07-13,30.099,30.518,29.572,30.163,528162,0
2005-07-14,30.842,31.229,30.712,31.019,803723,0
2005-07-15,31.072,31.537,30.947,31.081,754240,0
2005-07-18,30.851,31.704,30.765,31.296,473396,0
2005-07-19,31.21,31.473,30.842,31.332,317177,0
2005-07-20,30.35,31.537,30.293,31.258,576136,0
2005-07-21,31.183,31.76,31.027,31.398,426389,0
2005-07-22,31.398,31.416,30.683,31.148,582063,0
2005-07-25,30.321,30.775,30.181,30.181,615162,0
2005-07-26,29.822,30.181,29.728,30.108,746907,0
2005-07-27,29.96,30.453,29.589,30.054,493014,0
2005-07-28,30.5,30.609,30.063,30.518,510373,0
2005-07-29,30.59,30.6,29.988,29.997,368710,0
2005-08-01,30.378,30.581,30.054,30.191,605353,0
2005-08-02,30.5,30.609,30.145,30.303,568156,0
2005-08-03,30.397,30.609,30.378,30.471,749173,0
2005-08-04,30.471,30.794,30.387,30.545,424986,0
2005-08-05,30.609,30.746,30.063,30.303,277285,0
2005-08-08,30.609,30.746,30.443,30.746,434902,0
2005-08-09,30.842,31.61,30.842,31.454,513173,0
2005-08-10,31.519,32.124,31.416,31.6,919834,0
2005-08-11,31.908,32.002,31.592,31.667,601579,0
2005-08-12,31.49,31.88,31.166,31.416,446227,0
2005-08-15,30.303,33.067,30.303,32.984,824964,0
2005-08-16,33.076,33.256,32.584,32.659,517274,0
2005-08-17,32.659,33.53,32.428,33.374,511021,0
2005-08-18,33.393,33.393,32.38,32.603,445793,0
2005-08-19,32.819,32.837,31.983,32.324,390273,0
2005-08-22,32.418,33.966,32.418,33.921,514682,0
2005-08-23,33.8,33.8,32.846,33.141,271570,0
2005-08-24,32.743,32.79,32.428,32.556,530530,0
2005-08-25,32.51,32.855,31.955,32.809,633600,0
2005-08-26,33.716,33.921,32.547,32.65,703783,0
2005-08-29,32.603,32.632,32.279,32.463,497759,0
2005-08-30,32.556,32.593,32.231,32.482,544119,0
2005-08-31,32.974,33.265,32.51,33.265,649232,0
2005-09-01,33.302,33.374,32.965,33.169,399221,0
2005-09-02,33.374,33.393,33.189,33.227,369571,0
2005-09-06,33.283,33.902,33.208,33.866,415286,0
2005-09-07,33.947,34.163,33.781,34.032,305857,0
2005-09-08,34.032,34.245,33.762,33.892,235351,0
2005-09-09,34.125,34.293,33.902,34.17,263163,0
2005-09-12,33.995,33.995,33.141,33.652,575922,0
2005-09-13,33.42,33.947,33.274,33.596,311462,0
2005-09-14,33.393,33.995,33.346,33.957,277071,0
2005-09-15,33.957,34.218,32.65,32.993,585302,0
2005-09-16,33.021,34.236,33.021,33.921,466062,0
2005-09-19,33.818,34.125,33.716,33.966,420995,0
2005-09-20,33.856,34.302,33.671,34.023,280521,0
2005-09-21,34.245,34.312,33.928,34.199,579478,0
2005-09-22,34.199,34.46,33.856,34.321,575922,0
2005-09-23,34.443,35.943,34.443,35.739,647719,0
2005-09-26,35.71,36.174,35.136,35.71,522554,0
2005-09-27,35.71,35.71,34.923,35.016,267262,0
2005-09-28,35.48,36.927,35.254,36.127,1088558,0
2005-09-29,36.127,36.221,35.629,36.174,1135672,0
2005-09-30,35.99,36.099,35.739,35.804,466062,0
2005-10-03,35.757,36.174,35.757,35.915,334211,0
