Date,Open,High,Low,Close,Volume,OpenInt
2007-06-15,30,30,30,30,0,0
2007-06-18,29.5,29.5,26,29,153680,0
2007-06-19,29,29,27.5,28.75,12900,0
2007-06-20,28.75,28.75,27.5,27.75,12880,0
2007-06-21,27.75,28.45,26.5,27.5,12880,0
2007-06-22,28,28.9,27.5,27.5,5160,0
2007-06-25,27.5,28.2,27.5,28.05,4560,0
2007-06-26,27.75,27.9,27.5,27.5,6200,0
2007-06-27,28,28,27.5,27.55,2640,0
2007-06-28,27.55,27.55,26.75,27.25,5280,0
2007-06-29,27.25,27.25,26.05,26.35,6120,0
2007-07-02,26.05,26.5,25.75,26,3520,0
2007-07-03,25.25,26.1,25.25,26.1,6020,0
2007-07-05,25.25,26.5,25.25,26.5,1880,0
2007-07-06,26,28,25.8,25.8,2820,0
2007-07-09,26.5,27.75,25.8,26.5,26000,0
2007-07-10,26.5,28.25,26.25,28,19200,0
2007-07-11,28.5,29.75,28.25,28.5,18580,0
2007-07-12,29.5,29.5,27.65,28.25,13380,0
2007-07-13,28.75,29.1,28.4,28.5,13280,0
2007-07-16,29,29.75,28.75,29.55,33580,0
2007-07-17,29.35,30,29.3,29.7,23140,0
2007-07-18,29.75,29.75,28.8,29.5,2500,0
2007-07-19,29,29.5,28.6,29.05,6440,0
2007-07-20,29.45,29.5,29.25,29.45,1200,0
2007-07-23,29.5,29.5,29,29,2420,0
2007-07-24,29.45,29.5,28.25,28.25,4740,0
2007-07-25,28.25,28.45,27.85,28.45,16820,0
2007-07-26,28.4,28.4,26.5,27.5,3580,0
2007-07-27,27.5,29,26.65,28.5,6960,0
2007-07-30,29.5,29.5,27.95,27.95,2420,0
2007-07-31,28.2,28.2,26.1,26.95,2420,0
2007-08-01,27.25,27.25,25,25.45,12420,0
2007-08-02,25.95,25.95,24.75,25.5,9600,0
2007-08-03,25.5,25.75,24.55,24.55,3580,0
2007-08-06,25.5,25.5,24.75,24.75,660,0
2007-08-07,24.5,25.45,23.25,25.2,13040,0
2007-08-08,25.2,25.2,22.2,23.5,3500,0
2007-08-09,24.8,24.8,20,22.5,17760,0
2007-08-10,23.35,23.35,20.25,21.5,3760,0
2007-08-13,20.1,23,19.75,23,20000,0
2007-08-14,22.05,22.7,20.95,22.4,2940,0
2007-08-15,21.5,21.5,20,21.15,2200,0
2007-08-16,21.15,21.75,20.95,21.7,2360,0
2007-08-17,21.95,21.95,19.95,20.85,4000,0
2007-08-20,20.9,20.9,19.95,20.9,1960,0
2007-08-21,21.25,21.25,19.55,20.05,2140,0
2007-08-22,20.45,20.45,19.3,19.75,1880,0
2007-08-23,20.1,20.1,19.45,19.6,1040,0
2007-08-24,19.5,19.5,17.25,17.8,9760,0
2007-08-27,17.55,20.35,17.55,18.7,1560,0
2007-08-28,19.5,20.7,19.05,19.25,1940,0
2007-08-29,20,21,18.75,21,1040,0
2007-08-30,21.95,21.95,20,20.95,920,0
2007-08-31,20.05,20.95,18.75,20.2,1020,0
2007-09-04,20,20.1,18.75,20,2440,0
2007-09-05,19,19.85,16.3,16.35,12880,0
2007-09-06,16.45,19.3,16.25,19.3,3240,0
2007-09-07,19.9,19.9,16.5,19,2280,0
2007-09-10,19.7,19.7,17.5,18.5,600,0
2007-09-11,19.75,19.75,19,19,6640,0
2007-09-12,19.45,19.5,18,18.3,3200,0
2007-09-13,17.05,19.05,17.05,19.05,260,0
2007-09-14,18.5,19.5,16.25,19.5,5440,0
2007-09-17,19.5,19.5,18.25,18.55,620,0
2007-09-18,19,19.5,19,19.5,1300,0
2007-09-19,18.75,19.5,17.75,19,3600,0
2007-09-20,17.8,19,17.25,18.5,620,0
2007-09-21,17.5,17.75,14.3,17.4,3440,0
2007-09-24,16.75,18.5,16.75,18.5,1620,0
2007-09-25,18.25,18.25,16.4,17,2720,0
2007-09-26,17.5,17.9,17.1,17.5,7280,0
2007-09-27,18.5,18.5,16.25,17.95,1700,0
2007-09-28,17,17.5,16.55,17.5,2820,0
2007-10-01,16.6,17.5,16.6,16.75,5600,0
2007-10-02,17.05,18,16.5,17.5,19000,0
2007-10-03,17.5,17.95,17.4,17.95,7260,0
2007-10-04,17.5,17.85,17.25,17.75,3020,0
2007-10-05,17.95,19.5,17.5,19.5,2580,0
2007-10-08,18.75,19.25,17.7,18.25,360,0
2007-10-09,17.75,18.25,17.5,17.5,1240,0
2007-10-10,17.5,19.5,17.5,19.25,8720,0
2007-10-11,19.7,22,18.9,21.25,15620,0
2007-10-12,20,20.5,19.05,20.45,7420,0
2007-10-15,20.45,20.45,20,20,320,0
2007-10-16,19.5,20,18.5,19.5,1040,0
2007-10-17,20,20,18.75,19.5,2540,0
2007-10-18,18.5,19.5,17.5,18.75,2880,0
2007-10-19,18.75,19.25,18.7,19,1580,0
2007-10-22,19,19,18.05,18.75,2060,0
2007-10-23,18.75,18.75,17.55,18.25,3440,0
2007-10-24,18.9,18.9,16.75,17,4780,0
2007-10-25,17,17.75,17,17.75,980,0
2007-10-26,17.75,17.75,16.75,17.5,8860,0
2007-10-29,17.25,17.45,16,16.25,3460,0
2007-10-30,16.45,17.5,14.75,15.55,52040,0
2007-10-31,16,16.45,16,16,560,0
2007-11-01,15.75,15.75,15,15.45,1840,0
2007-11-02,15,17.7,15,16.25,2840,0
2007-11-05,17.4,17.4,15,16.4,5120,0
2007-11-06,16.05,16.25,14.7,14.75,9040,0
2007-11-07,16.15,16.2,14.75,16.2,2380,0
2007-11-08,15.45,15.7,14.8,15.2,2700,0
2007-11-09,15,15.45,10.85,15.45,13020,0
2007-11-12,14.95,16.15,13.1,15.45,27520,0
2007-11-13,15.05,16.15,13.8,15.6,6820,0
2007-11-14,15,15.5,14.1,15.5,2660,0
2007-11-15,15,15,14.75,15,940,0
2007-11-16,14.95,15,14.3,14.6,1780,0
2007-11-19,14.75,15,14.25,15,2140,0
2007-11-20,14.5,15.75,14.5,15,13900,0
2007-11-21,14.55,15.2,13.4,15,1620,0
2007-11-23,14.5,15.85,13.75,14.4,2600,0
2007-11-26,13.8,14.95,13.8,14.95,840,0
2007-11-27,14.5,14.95,14.1,14.9,760,0
2007-11-28,14.5,14.5,13.5,14.45,2240,0
2007-11-29,13.75,21.8,10.5,16,1760,0
2007-11-30,15.05,16.1,13.25,16.1,2260,0
2007-12-03,14,15,14,14.95,10360,0
2007-12-04,14.15,14.75,13,14.35,2820,0
2007-12-05,13.75,14.25,10.1,11.5,39800,0
2007-12-06,11.5,13.75,11.5,13.45,10740,0
2007-12-07,13,13.75,12.5,13.25,2760,0
2007-12-10,14.25,14.25,11.5,12.5,3580,0
2007-12-11,12.5,13.25,12,12.75,4100,0
2007-12-12,12.5,13,11.05,13,11460,0
2007-12-13,12.5,12.5,11.5,12.45,4980,0
2007-12-14,12.5,12.5,11.5,11.5,27020,0
2007-12-17,11.25,12.15,10.25,11.15,13260,0
2007-12-18,11.2,13,11.2,11.9,3740,0
2007-12-19,11.75,11.75,10.75,11.5,2260,0
2007-12-20,10.45,11.15,10,10.75,6220,0
2007-12-21,10.75,11.3,10.3,11.25,1380,0
2007-12-24,10.85,12,10.3,12,1460,0
2007-12-26,11.5,12,10.5,12,32320,0
2007-12-27,11,11.25,10.55,10.7,3220,0
2007-12-28,10.65,11.05,9.9,11.05,5720,0
2007-12-31,11.75,11.75,9.9,9.9,5835,0
2008-01-02,9.1,12.5,9.1,12.5,4680,0
2008-01-03,12.85,12.95,11.05,12.25,4960,0
2008-01-04,11.75,12.4,11,12.4,4820,0
2008-01-07,12,12,11,12,1880,0
2008-01-08,12,12,11.3,11.9,1381,0
2008-01-09,11.95,12,11.05,11.9,1820,0
2008-01-10,12.6,13.25,12.25,12.85,9920,0
2008-01-11,12,12.5,12,12.5,660,0
2008-01-14,12.5,12.5,12.5,12.5,100,0
2008-01-15,12.25,12.5,12.25,12.5,820,0
2008-01-16,12.25,12.25,11.75,12,1740,0
2008-01-17,11.25,11.85,9.55,11,5880,0
2008-01-18,10.5,10.7,9.75,10.45,2600,0
2008-01-22,10.75,10.75,8.75,9.45,7720,0
2008-01-23,9.5,9.5,7.5,8.75,5240,0
2008-01-24,9.45,10.25,9.2,10,4580,0
2008-01-25,10.15,13,10.15,12.5,10940,0
2008-01-28,12.75,12.75,12,12.25,1920,0
2008-01-29,12.25,12.25,10.75,11.75,11273,0
2008-01-30,11.5,12.15,10.5,12.15,6400,0
2008-01-31,12.15,12.15,10.55,12,1840,0
2008-02-01,11.5,12.25,11.5,12.25,980,0
2008-02-04,12.5,13.25,12.25,12.25,4440,0
2008-02-05,12,12.25,11.5,12.15,1980,0
2008-02-06,11.95,12.2,11,11.95,1420,0
2008-02-07,11.5,11.9,11.45,11.7,740,0
2008-02-08,11.5,11.5,10.25,11.25,3260,0
2008-02-11,11,11.5,11,11.35,1160,0
2008-02-12,11.4,11.5,11.2,11.2,34040,0
2008-02-13,11,12.3,10.25,12.3,1900,0
2008-02-14,11.95,12.85,11,11.75,1860,0
2008-02-15,11.75,11.75,10.25,11.7,3320,0
2008-02-19,11,11.75,10.75,11.75,460,0
2008-02-20,11.05,12,11,12,5740,0
2008-02-21,11.65,12,11.25,12,1620,0
2008-02-22,10.65,11.5,10.65,11.4,2820,0
2008-02-25,11.3,11.95,10.55,11.5,9480,0
2008-02-26,11.25,11.5,10.5,11,3260,0
2008-02-27,10.75,11.95,10.75,11.95,5606,0
2008-02-28,11.6,13,11.6,13,4001,0
2008-02-29,12.9,13,12.5,13,5599,0
2008-03-03,13.4,13.4,12.75,13,2540,0
2008-03-04,12.75,12.75,12.55,12.7,1280,0
2008-03-05,13,13.75,12.75,13,3180,0
2008-03-06,13.25,13.25,12.25,12.25,880,0
2008-03-07,12,14.85,12,14.5,12100,0
2008-03-10,14.95,14.95,13.15,14.2,8260,0
2008-03-11,15.15,15.15,13.5,14.45,520,0
2008-03-12,14.45,17.25,13.75,15.75,8331,0
2008-03-13,16,16.2,15,15.5,4769,0
2008-03-14,15,15.75,14.25,14.7,3480,0
2008-03-17,14.85,14.95,14.25,14.25,60,0
2008-03-18,13.75,14.7,13.75,14.25,4280,0
2008-03-19,14.5,15.25,14.5,15.25,60,0
2008-03-20,14.75,15.45,13.05,15.25,6080,0
2008-03-24,16.6,16.6,14,15.15,1320,0
2008-03-25,15.15,15.2,14,15.2,2020,0
2008-03-26,13.85,15.05,13.05,14,3440,0
2008-03-27,14,15.3,13.05,15,4380,0
2008-03-28,15,15,13.75,14.8,205488,0
2008-03-31,15,15,13.8,14.85,10380,0
2008-04-01,14.8,15,13.85,14.25,5740,0
2008-04-02,14.5,15.3,13.75,15.3,3540,0
2008-04-03,14.5,15.2,14.25,14.65,1702,0
2008-04-04,14.75,14.75,14,14.15,1820,0
2008-04-07,14.3,15.25,14.3,15.25,4873,0
2008-04-08,15,15,14.8,14.85,700,0
2008-04-09,14.5,15.1,14.5,15.1,83960,0
2008-04-10,15.25,17.5,15.2,16.75,21340,0
2008-04-11,17.25,17.75,17,17.5,3440,0
2008-04-14,17.7,17.75,17.45,17.55,776,0
2008-04-15,17.7,17.7,17.25,17.3,1592,0
2008-04-16,17.1,17.3,16.25,16.75,1600,0
2008-04-17,16.45,16.45,16,16.25,920,0
2008-04-18,16,17.25,15.75,15.8,2150,0
2008-04-21,15.75,16.75,15.5,16.2,6140,0
2008-04-22,15.95,16.25,15.25,15.75,5935,0
2008-04-23,16,16.5,16,16.3,2960,0
2008-04-24,16.5,17.85,16.15,16.3,3640,0
2008-04-25,15,16.5,15,16.4,5040,0
2008-04-28,15.75,16.15,15.75,16.15,850,0
2008-04-29,16.15,16.5,14,16,160656,0
2008-04-30,17.45,17.5,15.95,16.7,3045,0
2008-05-01,15.25,17.25,15.25,16,1607,0
2008-05-02,16,16.5,16,16.45,1460,0
2008-05-05,16.25,16.4,16.25,16.25,270,0
2008-05-06,16.5,16.5,16,16.25,1331,0
2008-05-07,16.7,16.7,15.6,16,3000,0
2008-05-08,16,16,15.5,15.7,2180,0
2008-05-09,15.5,15.55,14,14.9,5387,0
2008-05-12,15.25,15.75,14.6,15.75,6685,0
2008-05-13,15.25,15.25,14.75,14.75,3912,0
2008-05-14,14.75,15.25,14.75,15.25,14487,0
2008-05-15,15,15,15,15,140,0
2008-05-16,14.15,15.9,14,15.9,13250,0
2008-05-19,16.2,16.2,14.25,15.25,3014,0
2008-05-20,15.25,16.25,15,16.25,560,0
2008-05-21,16.25,16.75,15.15,16.75,2380,0
2008-05-22,16.5,16.5,15.75,16,800,0
2008-05-23,16,16,15.5,15.75,930,0
2008-05-27,15.75,16.15,15,15.05,5350,0
2008-05-28,15,15,14.25,14.3,2020,0
2008-05-29,13.8,14.9,13.5,14.45,3034,0
2008-05-30,15,15,13.8,14.7,2700,0
2008-06-02,14.25,14.75,14,14,520,0
2008-06-03,14.75,15.65,14.2,15.05,10906,0
2008-06-04,15.1,17.9,15.1,16.5,29690,0
2008-06-05,16.95,17,15.9,17,20426,0
2008-06-06,17,17,15.25,16.3,2293,0
2008-06-09,16.15,17,16.15,17,6562,0
2008-06-10,17.75,17.75,16.75,17,3305,0
2008-06-11,17.25,17.5,17,17,720,0
2008-06-12,17,17.1,16.5,16.9,2000,0
2008-06-13,16.9,17.1,16.45,17.1,2044,0
2008-06-16,16.5,16.6,16.5,16.55,820,0
2008-06-17,16.8,21.1,16.8,20.95,18838,0
2008-06-18,22.7,22.7,20.5,20.75,10079,0
2008-06-19,20.5,20.65,19.25,20.1,4095,0
2008-06-20,19.5,19.95,18.75,19.75,1682,0
2008-06-23,19.9,19.9,18,19.25,10570,0
2008-06-24,19.7,19.95,18.6,19.75,4868,0
2008-06-25,19.45,19.65,19,19.5,1546,0
2008-06-26,19.25,19.5,18.7,19.25,1786,0
2008-06-27,19.25,19.25,18.7,19,5394,0
2008-06-30,19.45,19.5,18.75,19.25,1600,0
2008-07-01,19,19.75,18.75,19.75,5168,0
2008-07-02,19.05,19.25,16.8,17.9,8421,0
