Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,19,19.4,18,18.9,20171,0
2005-02-28,18.9,19.9,18.9,19.6,21053,0
2005-03-01,19.8,20,19,20,15981,0
2005-03-02,20,21.6,19.9,21.5,47833,0
2005-03-03,22.4,22.9,20,21,63463,0
2005-03-04,20.5,22.9,20.4,22,32793,0
2005-03-07,23,24.1,22.8,24.05,57056,0
2005-03-08,24.5,28,24.1,26.8,72986,0
2005-03-09,27.5,29.4,27.4,28.7,74207,0
2005-03-10,29.1,29.5,18.2,19.4,171937,0
2005-03-11,20.5,24,19.4,19.8,73279,0
2005-03-14,20,21.5,18.2,18.4,33047,0
2005-03-15,18.5,18.6,13.5,17.5,84027,0
2005-03-16,16,17.4,15,16,18683,0
2005-03-17,15.1,16.9,15,16.4,16020,0
2005-03-18,16.5,17.6,16.5,17,7937,0
2005-03-21,17.5,17.5,15.5,15.8,14216,0
2005-03-22,15.8,15.8,14.4,14.7,18936,0
2005-03-23,14.5,15,13.4,14.1,21088,0
2005-03-24,14,14.1,12.5,13,23442,0
2005-03-28,12.3,12.3,11.2,11.5,40792,0
2005-03-29,11.2,12.5,11,12,17126,0
2005-03-30,12.4,12.8,11.7,12.5,9305,0
2005-03-31,12.5,15,12.5,15,22423,0
2005-04-01,17,18.7,16,17.5,23408,0
2005-04-04,18.4,21,18.3,19.9,24369,0
2005-04-05,19.8,20,17.5,17.5,17331,0
2005-04-06,17.5,17.5,14,15.3,21069,0
2005-04-07,15.1,15.8,14.8,15.2,14092,0
2005-04-08,14.5,15,14.3,14.7,8919,0
2005-04-11,14.5,14.5,13.6,14.5,4760,0
2005-04-12,14.2,14.8,14.1,14.8,2544,0
2005-04-13,14.9,14.9,13.1,13.1,8170,0
2005-04-14,14,14,13,13.3,10076,0
2005-04-15,13.4,14,13.4,13.5,7494,0
2005-04-18,13.5,13.5,12.5,12.8,15141,0
2005-04-19,12.7,13.7,12.7,13.2,10953,0
2005-04-20,13.5,14,13.5,13.7,4912,0
2005-04-21,12.8,13.7,12.65,13.7,3375,0
2005-04-22,13.6,14.3,13.5,14.3,4290,0
2005-04-25,14.4,14.9,14.4,14.6,5602,0
2005-04-26,14.5,14.7,13,13.4,6187,0
2005-04-27,13.4,13.5,11.5,12.8,8007,0
2005-04-28,12.5,12.5,11.4,11.9,10220,0
2005-04-29,12,12,11.3,11.6,4924,0
2005-05-02,11.6,12.1,11.5,12.1,2832,0
2005-05-03,12,12.1,11.7,11.7,1380,0
2005-05-04,11.8,12.6,11.8,12.6,2900,0
2005-05-05,12.8,15.5,12.8,14,5566,0
2005-05-06,14.4,15,14,14.2,3138,0
2005-05-09,13.9,13.9,13,13.2,8053,0
2005-05-10,13.4,13.4,12,12.1,4641,0
2005-05-11,12.2,12.2,10.5,11.4,14296,0
2005-05-12,11.4,11.6,11.4,11.6,1203,0
2005-05-13,11.6,11.8,11.5,11.8,5160,0
2005-05-16,11.6,11.8,11,11.5,3040,0
2005-05-17,11.4,11.5,11.3,11.4,1559,0
2005-05-18,11.4,11.7,11.4,11.7,1311,0
2005-05-19,11.7,11.7,11.3,11.3,1626,0
2005-05-20,11.3,11.5,11.1,11.5,5804,0
2005-05-23,11.3,11.5,11.3,11.5,1025,0
2005-05-24,11.6,12.5,11.6,12.5,3364,0
2005-05-25,12.2,12.9,11,11.7,10640,0
2005-05-26,12,12,11.3,11.9,5356,0
2005-05-27,11.9,13.3,11.5,12,13356,0
2005-05-31,11.8,12.5,11.3,12.1,7124,0
2005-06-01,12.1,12.1,11.3,11.6,9170,0
2005-06-02,11.6,12,11.6,11.8,1902,0
2005-06-03,11.6,12.3,11.5,12.2,8124,0
2005-06-06,12.5,14,12.4,12.5,11909,0
2005-06-07,12.2,12.2,11.7,11.9,4533,0
2005-06-08,12,12.2,11.6,12,3395,0
2005-06-09,12.4,12.7,12,12.3,1478,0
2005-06-10,12,12.7,12,12.6,2335,0
2005-06-13,12.6,13.7,12.6,13.5,6353,0
2005-06-14,13.5,14.8,13.5,14,7168,0
2005-06-15,14,14.4,12.2,13.4,13162,0
2005-06-16,13.2,13.7,12.8,13.2,2648,0
2005-06-17,14,19.3,13.5,18.3,75641,0
2005-06-20,19.4,20.7,15.9,17.5,74226,0
2005-06-21,17.9,18,16.2,16.3,16155,0
2005-06-22,16.1,17,15.3,16.9,19506,0
2005-06-23,16.9,17.3,16.3,16.6,13430,0
2005-06-24,16.7,17.5,16.2,16.6,9535,0
2005-06-27,16.3,16.5,15.3,15.4,7255,0
2005-06-28,15.5,16.2,15.2,16,4056,0
2005-06-29,15.8,15.8,15.1,15.5,6253,0
2005-06-30,16.7,19,16.7,17,31533,0
2005-07-01,17.5,17.5,16.2,17,8277,0
2005-07-05,17.1,17.2,15.5,16.2,20979,0
2005-07-06,16.3,18.4,16.3,16.5,16057,0
2005-07-07,16.8,17,16,16.5,3756,0
2005-07-08,16.8,18.2,16.8,17.8,16902,0
2005-07-11,18.1,19,18,18.5,13236,0
2005-07-12,18.8,19.8,18.5,19.7,17316,0
2005-07-13,19.9,21.3,18,20.5,48217,0
2005-07-14,20.9,21.5,17,17.5,42120,0
2005-07-15,17.3,17.9,15.8,17.3,27419,0
2005-07-18,17.3,18.5,16.7,17.5,4646,0
2005-07-19,18,18,17.5,17.9,2526,0
2005-07-20,18.1,18.1,17.7,18,6026,0
2005-07-21,18,18,17.2,17.8,3300,0
2005-07-22,17.8,18,17.4,17.6,5720,0
2005-07-25,19.6,20.4,18.5,19.4,43152,0
2005-07-26,19.5,20.7,18.6,19.8,21076,0
2005-07-27,20.3,20.7,19.6,20.5,12019,0
2005-07-28,20,22.4,20,22.2,23462,0
2005-07-29,22.2,24.5,22.2,23.5,27337,0
2005-08-01,24.5,27.3,23.9,26.5,61655,0
2005-08-02,27.9,28.6,26,26,82332,0
2005-08-03,25.9,26.5,25.8,26,25357,0
2005-08-04,26,26.1,23.1,24.2,43642,0
2005-08-05,24.1,24.2,22.8,23.4,40256,0
2005-08-08,23.5,25.3,22.9,23.5,34003,0
2005-08-09,24.2,26,24,25.7,23470,0
2005-08-10,26.2,27.3,24,25,42238,0
2005-08-11,25.3,25.8,24.5,25,12629,0
2005-08-12,25,25.9,24.1,24.3,14033,0
2005-08-15,24.3,26.2,24.3,25.4,11247,0
2005-08-16,25,25,19.4,21.4,77547,0
2005-08-17,21.5,22.8,20.5,21.4,22907,0
2005-08-18,22.6,22.7,20.5,20.7,9032,0
2005-08-19,20.6,21.9,20.5,21.5,14681,0
2005-08-22,21.2,22.3,21,22.3,18595,0
2005-08-23,22.5,22.9,22,22.5,8204,0
2005-08-24,22.5,24.7,22.5,24,16002,0
2005-08-25,24,24.8,23.5,23.5,14812,0
2005-08-26,23.3,23.5,22.6,23.4,4206,0
2005-08-29,22.4,23.6,22.3,23.5,12947,0
2005-08-30,23.6,23.6,22.8,23.3,5748,0
2005-08-31,23.4,24.5,22.8,24.3,8272,0
2005-09-01,24.4,25.9,24.3,25.1,9749,0
2005-09-02,25.6,25.85,24.5,25.6,13221,0
2005-09-06,25.6,25.7,23.3,23.5,21425,0
2005-09-07,23.6,23.6,22.5,23.5,7402,0
2005-09-08,23.9,24.9,23.9,24.4,6038,0
2005-09-09,24.7,26.5,24.5,26.5,21552,0
2005-09-12,25.5,26.5,24.1,24.8,25424,0
2005-09-13,24.6,25.5,24.1,24.4,11658,0
2005-09-14,24.4,25.4,24.3,24.5,7847,0
2005-09-15,24.6,25,23.5,24.5,6366,0
