Date,Open,High,Low,Close,Volume,OpenInt
1981-12-31,2.8219,2.851,2.8002,2.851,264937,0
1982-01-04,2.851,2.8804,2.8219,2.851,281064,0
1982-01-05,2.851,2.851,2.8219,2.851,149282,0
1982-01-06,2.8219,2.851,2.8002,2.8219,229098,0
1982-01-07,2.8219,2.851,2.8002,2.8219,421254,0
1982-01-08,2.9091,2.9381,2.851,2.9381,139911,0
1982-01-11,2.8804,2.9091,2.851,2.851,123232,0
1982-01-12,2.851,2.851,2.8219,2.851,131645,0
1982-01-13,2.851,2.8804,2.8219,2.851,74300,0
1982-01-14,2.851,2.8804,2.8219,2.8804,79812,0
1982-01-15,2.851,2.8804,2.8219,2.851,78435,0
1982-01-18,2.851,2.8804,2.8219,2.8804,111792,0
1982-01-19,2.8804,2.8804,2.851,2.8804,88494,0
1982-01-20,2.8804,2.8804,2.851,2.8804,225789,0
1982-01-21,2.851,2.8804,2.8219,2.8804,131366,0
1982-01-22,2.9091,2.9381,2.851,2.8804,124201,0
1982-01-25,2.8804,2.8804,2.851,2.8804,315389,0
1982-01-26,2.8804,2.9091,2.851,2.9091,134262,0
1982-01-27,2.9091,2.9381,2.8804,2.9091,144189,0
1982-01-28,2.9381,2.9671,2.9091,2.9671,603759,0
1982-01-29,2.996,2.996,2.9671,2.996,149973,0
1982-02-01,2.9381,2.9671,2.8804,2.9091,228683,0
1982-02-02,2.9091,2.9381,2.8804,2.8804,99524,0
1982-02-03,2.9091,2.9091,2.8804,2.8804,106967,0
1982-02-04,2.9091,2.9091,2.8804,2.9091,177816,0
1982-02-05,2.9091,2.9381,2.8804,2.9381,96765,0
1982-02-08,2.9091,2.9381,2.8804,2.9381,240403,0
1982-02-09,2.9091,2.9381,2.8804,2.9381,200559,0
1982-02-10,2.9381,2.9671,2.9091,2.9671,105728,0
1982-02-11,2.9381,2.9671,2.9091,2.9671,428832,0
1982-02-12,2.9671,2.9671,2.9381,2.9671,62995,0
1982-02-16,2.9381,2.9381,2.9091,2.9381,83535,0
1982-02-17,2.9671,2.9671,2.9381,2.9671,133850,0
1982-02-18,2.9671,2.9671,2.9381,2.9671,94150,0
1982-02-19,2.9671,2.9671,2.9381,2.9671,135224,0
1982-02-22,3.0252,3.0252,2.996,2.996,235299,0
1982-02-23,3.0542,3.105,2.996,3.105,183885,0
1982-02-24,3.0758,3.105,3.0542,3.105,177268,0
1982-02-25,3.0758,3.105,3.0542,3.105,190501,0
1982-02-26,3.105,3.134,3.0758,3.134,114411,0
1982-03-01,3.105,3.134,3.0758,3.0758,659451,0
1982-03-02,3.134,3.1629,3.105,3.134,419186,0
1982-03-03,3.134,3.1629,3.105,3.1629,350675,0
1982-03-04,3.134,3.1629,3.105,3.134,145151,0
