Date,Open,High,Low,Close,Volume,OpenInt
1977-01-03,0.44917,0.45687,0.44917,0.44917,557345,0
1977-01-04,0.44917,0.44917,0.43346,0.44131,917108,0
1977-01-05,0.44131,0.44131,0.43346,0.43346,895407,0
1977-01-06,0.43346,0.44131,0.43346,0.44131,1002764,0
1977-01-07,0.44131,0.44131,0.44131,0.44131,597319,0
1977-01-10,0.44131,0.44917,0.44131,0.44917,825738,0
1977-01-11,0.44917,0.44917,0.44131,0.44131,1138675,0
1977-01-12,0.44131,0.44917,0.44131,0.44131,606455,0
1977-01-13,0.44131,0.44917,0.44131,0.44917,1668608,0
1977-01-14,0.44917,0.44917,0.44917,0.44917,567623,0
1977-01-17,0.44917,0.44917,0.44131,0.44131,700104,0
1977-01-18,0.44131,0.44917,0.44131,0.44917,592749,0
1977-01-19,0.44917,0.44917,0.44131,0.44917,1002764,0
1977-01-20,0.44917,0.44917,0.44131,0.44131,672696,0
1977-01-21,0.44131,0.44917,0.44131,0.44917,1417344,0
1977-01-24,0.44917,0.44917,0.44131,0.44131,1167227,0
1977-01-25,0.44917,0.44917,0.44131,0.44131,847435,0
1977-01-26,0.44917,0.44917,0.44917,0.44917,1247173,0
1977-01-27,0.44917,0.44917,0.44917,0.44917,720667,0
1977-01-28,0.44917,0.45687,0.44917,0.44917,860002,0
1977-01-31,0.44917,0.44917,0.44917,0.44917,722946,0
1977-02-01,0.44917,0.44917,0.44917,0.44917,724093,0
1977-02-02,0.44917,0.44917,0.44131,0.44131,479682,0
1977-02-03,0.44131,0.44917,0.43346,0.44131,1119259,0
1977-02-04,0.44131,0.44131,0.43346,0.44131,647572,0
1977-02-07,0.44131,0.44131,0.43346,0.43346,565338,0
1977-02-08,0.43346,0.44131,0.43346,0.43346,615593,0
1977-02-09,0.43346,0.43346,0.41766,0.41766,3324650,0
1977-02-10,0.41766,0.42552,0.41766,0.41766,1265449,0
1977-02-11,0.41766,0.42552,0.41766,0.41766,1111264,0
1977-02-14,0.41766,0.41766,0.40983,0.41766,783480,0
1977-02-15,0.41766,0.41766,0.41766,0.41766,1233468,0
1977-02-16,0.41766,0.42552,0.41766,0.42552,3672995,0
1977-02-17,0.42552,0.42552,0.42552,0.42552,606455,0
1977-02-18,0.42552,0.42552,0.42552,0.42552,716101,0
1977-02-22,0.42552,0.42552,0.42552,0.42552,828023,0
1977-02-23,0.42552,0.42552,0.42552,0.42552,1393358,0
1977-02-24,0.42552,0.42552,0.41766,0.41766,700104,0
1977-02-25,0.41766,0.42552,0.41766,0.42552,961648,0
1977-02-28,0.42552,0.43346,0.42552,0.43346,511659,0
1977-03-01,0.43346,0.44131,0.43346,0.43346,742364,0
1977-03-02,0.43346,0.44131,0.43346,0.43346,1287148,0
1977-03-03,0.43346,0.44131,0.43346,0.44131,603027,0
1977-03-04,0.44131,0.44131,0.44131,0.44131,729801,0
1977-03-07,0.44131,0.44131,0.44131,0.44131,597319,0
1977-03-08,0.44131,0.44131,0.43346,0.43346,1252885,0
1977-03-09,0.43346,0.43346,0.42552,0.42552,744650,0
1977-03-10,0.42552,0.43346,0.42552,0.43346,936521,0
1977-03-11,0.43346,0.43346,0.42552,0.43346,847435,0
1977-03-14,0.43346,0.43346,0.43346,0.43346,606455,0
1977-03-15,0.43346,0.44131,0.43346,0.44131,1158091,0
1977-03-16,0.44131,0.44917,0.44131,0.44131,1014184,0
1977-03-17,0.44131,0.44131,0.44131,0.44131,1290574,0
1977-03-18,0.44131,0.44131,0.43346,0.43346,974211,0
1977-03-21,0.43346,0.44131,0.43346,0.43346,724093,0
1977-03-22,0.43346,0.43346,0.42552,0.43346,931954,0
1977-03-23,0.43346,0.43346,0.42552,0.42552,1258595,0
1977-03-24,0.42552,0.43346,0.42552,0.42552,583616,0
1977-03-25,0.42552,0.42552,0.41766,0.41766,838303,0
1977-03-28,0.41766,0.41766,0.41766,0.41766,1075859,0
1977-03-29,0.41766,0.41766,0.41766,0.41766,1284863,0
1977-03-30,0.41766,0.41766,0.40983,0.40983,1113547,0
1977-03-31,0.40983,0.41766,0.40191,0.40191,722946,0
1977-04-01,0.40191,0.40983,0.40191,0.40983,968502,0
1977-04-04,0.40983,0.40983,0.40191,0.40191,2673654,0
1977-04-05,0.40191,0.40191,0.39394,0.39394,1825077,0
1977-04-06,0.39394,0.40191,0.39394,0.40191,976496,0
1977-04-07,0.40191,0.40983,0.40191,0.40983,1335114,0
1977-04-11,0.40983,0.40983,0.40983,0.40983,1180930,0
1977-04-12,0.41766,0.41766,0.41766,0.41766,1122686,0
1977-04-13,0.41766,0.41766,0.40983,0.41766,2284199,0
1977-04-14,0.41766,0.42552,0.41766,0.42552,2410970,0
1977-04-15,0.42552,0.43346,0.42552,0.42552,4047602,0
1977-04-18,0.42552,0.42552,0.41766,0.42552,3028848,0
1977-04-19,0.41766,0.41766,0.40983,0.40983,2792433,0
1977-04-20,0.40983,0.41766,0.40983,0.41766,1805660,0
1977-04-21,0.41766,0.41766,0.40983,0.40983,2721626,0
1977-04-22,0.40983,0.41766,0.40983,0.40983,1449326,0
1977-04-25,0.40983,0.41766,0.40983,0.41766,1188927,0
1977-04-26,0.41766,0.41766,0.41766,0.41766,847435,0
1977-04-27,0.41766,0.41766,0.41766,0.41766,1079285,0
1977-04-28,0.41766,0.41766,0.40983,0.41766,979923,0
1977-04-29,0.41766,0.41766,0.41766,0.41766,1658331,0
1977-05-02,0.41766,0.42552,0.41766,0.42552,719523,0
1977-05-03,0.42552,0.43346,0.42552,0.42552,1144384,0
1977-05-04,0.42552,0.42552,0.42552,0.42552,1367093,0
1977-05-05,0.42552,0.42552,0.42552,0.42552,960507,0
1977-05-06,0.41766,0.41766,0.41766,0.41766,615593,0
1977-05-09,0.41766,0.41766,0.41766,0.41766,378036,0
1977-05-10,0.41766,0.42552,0.41766,0.42552,1300852,0
1977-05-11,0.42552,0.42552,0.41766,0.41766,970784,0
1977-05-12,0.41766,0.42552,0.41766,0.42552,1395646,0
1977-05-13,0.42552,0.42552,0.41766,0.42552,672696,0
1977-05-16,0.42552,0.42552,0.42552,0.42552,965075,0
1977-05-17,0.42552,0.42552,0.42552,0.42552,663558,0
1977-05-18,0.42552,0.42552,0.42552,0.42552,1529271,0
1977-05-19,0.42552,0.42552,0.42552,0.42552,806323,0
1977-05-20,0.42552,0.42552,0.41766,0.41766,663558,0
1977-05-23,0.41766,0.42552,0.40983,0.40983,1608076,0
1977-05-24,0.40983,0.40983,0.40983,0.40983,1156948,0
1977-05-25,0.40983,0.41766,0.40983,0.40983,1132962,0
1977-05-26,0.40983,0.40983,0.40983,0.40983,1274582,0
1977-05-27,0.40983,0.41766,0.40983,0.40983,1071289,0
1977-05-31,0.40983,0.41766,0.40983,0.40983,1156948,0
1977-06-01,0.40983,0.41766,0.40983,0.41766,1225475,0
1977-06-02,0.41766,0.42552,0.41766,0.42552,1075859,0
1977-06-03,0.42552,0.42552,0.41766,0.41766,973071,0
1977-06-06,0.41766,0.41766,0.41766,0.41766,744650,0
1977-06-07,0.41766,0.41766,0.41766,0.41766,1154661,0
1977-06-08,0.41766,0.42552,0.41766,0.42552,1058725,0
1977-06-09,0.42552,0.42552,0.41766,0.41766,1126111,0
1977-06-10,0.41766,0.42552,0.41766,0.41766,1066721,0
1977-06-13,0.41766,0.42552,0.41766,0.42552,860002,0
1977-06-14,0.42552,0.43346,0.42552,0.43346,1766830,0
1977-06-15,0.43346,0.43346,0.42552,0.43346,716101,0
1977-06-16,0.43346,0.43346,0.42552,0.42552,805181,0
1977-06-17,0.42552,0.42552,0.42552,0.42552,431717,0
1977-06-20,0.42552,0.42552,0.42552,0.42552,646428,0
