Date,Open,High,Low,Close,Volume,OpenInt
2010-05-24,13.36,13.36,12.686,12.728,65983,0
2010-05-25,12.515,12.515,11.839,11.839,4614,0
2010-05-26,11.627,11.713,11.499,11.713,6504,0
2010-05-27,11.924,12.137,11.839,12.008,7449,0
2010-05-28,12.22,12.22,12.22,12.22,595,0
2010-06-01,12.008,12.092,10.782,11.924,615476,0
2010-06-02,12.72,13.311,11.704,12.245,4132060,0
2010-06-03,12.28,12.38,11.654,11.698,2291202,0
2010-06-04,11.689,11.736,11.172,11.609,1946353,0
2010-06-07,11.672,11.789,11.399,11.475,1346309,0
2010-06-08,11.499,11.627,11.205,11.426,2085244,0
2010-06-09,11.499,11.544,10.945,10.984,2073390,0
2010-06-10,10.91,11.078,10.174,10.41,3955945,0
2010-06-11,10.376,11.205,10.274,11.085,2063584,0
2010-06-14,11.272,11.572,11.129,11.272,1880495,0
2010-06-15,11.264,11.499,11.101,11.172,1539604,0
2010-06-16,11.03,11.426,10.8,11.348,1475029,0
2010-06-17,11.49,11.49,11.221,11.409,801079,0
2010-06-18,11.426,11.587,11.281,11.399,1859232,0
2010-06-21,11.499,11.518,11.229,11.238,1245757,0
2010-06-22,11.165,11.518,10.967,11.356,1034557,0
2010-06-23,11.101,11.499,10.875,11.325,1384309,0
2010-06-24,11.165,11.366,11.062,11.213,1306016,0
2010-06-25,11.221,11.594,11.002,11.563,10346415,0
2010-06-28,11.453,11.453,11.129,11.318,1297419,0
2010-06-29,11.264,11.264,10.682,10.722,1181799,0
2010-06-30,10.667,11.109,10.667,10.726,1381940,0
2010-07-01,10.682,10.739,10.064,10.699,1190781,0
2010-07-02,10.792,11.11,10.486,10.974,1155417,0
2010-07-06,11.172,11.409,10.974,11.045,1612765,0
2010-07-07,11.095,11.499,11.095,11.475,1107890,0
2010-07-08,11.698,11.698,11.281,11.482,879494,0
2010-07-09,11.453,11.754,11.373,11.736,510677,0
2010-07-12,11.654,11.722,11.499,11.704,427897,0
2010-07-13,11.832,12.137,11.763,12.042,1223753,0
2010-07-14,11.976,11.976,11.318,11.508,1089753,0
2010-07-15,11.644,11.644,10.782,11.418,1057441,0
2010-07-16,11.331,11.38,10.792,10.842,1157512,0
