Date,Open,High,Low,Close,Volume,OpenInt
2013-10-08,12.884,23.837,12.884,23.781,11191,0
2013-10-10,25.77,26.689,25.77,26.689,1315,0
2013-10-11,23.006,23.006,13.841,13.841,2370,0
2013-10-15,13.622,13.622,13.622,13.622,216,0
2013-10-16,12.249,12.249,12.249,12.249,116,0
2013-10-18,10.953,10.953,10.953,10.953,194,0
2013-10-21,11.891,11.891,11.891,11.891,332,0
2013-10-22,11.507,11.507,11.507,11.507,116,0
2013-10-23,11.507,12.884,11.043,12.884,882,0
2013-10-31,12.186,12.195,12.186,12.195,1847,0
2013-11-01,12.791,12.791,12.791,12.791,160,0
2013-11-05,11.964,12.057,11.964,12.057,498,0
2013-11-06,12.011,12.011,12.011,12.011,763,0
2013-11-07,11.643,11.732,10.768,11.732,2175,0
2013-11-08,11.77,11.964,11.77,11.964,513,0
2013-11-11,11.964,11.964,11.964,11.964,1084,0
2013-11-12,11.964,12.057,11.964,12.057,792,0
2013-11-18,12.011,12.011,12.011,12.011,389,0
2013-11-19,12.011,12.092,12.011,12.092,650,0
2013-11-20,12.092,12.092,11.964,11.964,1630,0
2013-11-22,11.964,11.964,11.964,11.964,116,0
2013-11-27,12.148,12.148,12.148,12.148,1304,0
2013-11-29,11.945,11.945,11.945,11.945,176,0
2013-12-02,12.148,12.186,12.148,12.186,3041,0
2013-12-03,12.057,12.057,11.846,11.846,481,0
2013-12-10,12.424,12.424,12.424,12.424,608,0
2013-12-11,12.296,12.296,12.296,12.296,116,0
2013-12-17,12.451,12.451,12.451,12.451,320,0
2013-12-20,12.98,12.98,12.98,12.98,788,0
2013-12-31,13.554,13.61,13.554,13.61,434,0
2014-01-10,13.175,13.175,13.175,13.175,380,0
2014-01-16,12.961,12.961,12.961,12.961,329,0
2014-01-17,13.008,13.008,12.851,12.851,788,0
2014-01-21,11.221,13.22,11.221,13.063,1959,0
2014-02-06,12.498,12.498,12.434,12.434,432,0
2014-02-10,13.147,13.887,13.147,13.147,215,0
2014-02-20,13.102,13.102,12.869,12.869,546,0
2014-02-25,13.055,13.055,13.055,13.055,115,0
2014-02-28,13.396,13.638,13.295,13.581,1790,0
2014-03-17,12.99,12.99,12.99,12.99,129,0
2014-03-21,13.41,13.41,12.971,13.037,2431,0
2014-03-24,12.888,12.99,12.888,12.962,1212,0
2014-03-26,13.037,13.037,13.037,13.037,428,0
2014-03-27,12.99,12.99,12.99,12.99,1043,0
2014-04-01,13.094,13.157,13.084,13.139,3227,0
2014-04-02,13.139,13.139,13.129,13.129,1841,0
2014-04-07,12.888,12.888,12.888,12.888,428,0
2014-04-09,12.831,12.831,12.831,12.831,487,0
2014-04-10,12.2,12.804,12.133,12.2,6628,0
2014-04-11,12.2,12.246,12.105,12.246,4940,0
2014-04-14,12.086,12.105,11.976,11.976,4070,0
2014-04-15,12.124,12.124,12.105,12.105,12605,0
2014-04-16,12.153,12.153,12.105,12.153,865,0
2014-04-21,12.105,12.105,11.847,12.06,3372,0
2014-04-22,12.06,12.32,12.014,12.114,8437,0
2014-04-23,12.153,12.386,12.014,12.386,13872,0
2014-04-24,12.153,12.377,12.086,12.358,2202,0
2014-04-25,12.823,13.037,12.153,12.936,2682,0
2014-04-28,12.712,12.945,12.21,12.945,857,0
2014-04-29,12.945,12.952,12.945,12.952,857,0
2014-04-30,13.037,13.037,12.945,13.037,1287,0
2014-05-01,13.037,13.037,13.037,13.037,1512,0
2014-05-02,13.129,13.129,13.037,13.037,4295,0
2014-05-05,13.037,13.057,13.037,13.037,12242,0
2014-05-06,13.037,13.047,13.037,13.047,5819,0
2014-05-07,13.129,13.41,13.129,13.41,3365,0
2014-05-08,13.635,13.829,13.458,13.829,2364,0
2014-05-09,13.968,14.061,13.968,14.014,5397,0
2014-05-12,14.247,14.573,14.247,14.267,3757,0
2014-05-13,14.573,14.573,14.528,14.573,1343,0
2014-05-14,14.619,14.619,14.619,14.619,114,0
2014-05-15,14.619,14.669,14.619,14.669,2253,0
2014-05-16,14.619,14.619,14.619,14.619,3222,0
2014-05-19,14.639,14.639,14.639,14.639,264,0
2014-05-21,14.535,14.553,14.528,14.528,5016,0
2014-05-22,14.528,14.528,14.433,14.511,1610,0
2014-05-27,14.511,14.511,14.511,14.511,333,0
2014-05-28,14.52,14.553,14.443,14.553,6763,0
2014-05-29,14.688,14.688,14.688,14.688,428,0
2014-05-30,14.511,14.535,13.698,14.2,6550,0
2014-06-02,14.35,14.424,14.35,14.35,3279,0
2014-06-03,14.543,14.697,14.543,14.697,2897,0
2014-06-04,14.659,14.659,14.543,14.619,3113,0
2014-06-05,14.714,14.9,14.714,14.9,7193,0
2014-06-06,15.051,15.051,15.051,15.051,215,0
2014-06-09,15.086,15.086,15.041,15.041,12974,0
2014-06-10,15.061,15.069,14.926,14.974,6014,0
2014-06-12,14.465,14.465,14.465,14.465,3115,0
2014-06-17,14.512,14.53,14.475,14.503,24168,0
2014-06-18,14.494,14.546,14.494,14.546,3738,0
2014-06-19,14.699,14.743,14.699,14.743,749,0
2014-06-20,14.725,14.725,14.725,14.725,376,0
