Date,Open,High,Low,Close,Volume,OpenInt
2013-05-31,11.264,11.264,11.264,11.264,2756,0
2013-06-05,11.019,11.019,11.019,11.019,403,0
2013-06-06,10.91,10.91,10.91,10.91,9188,0
2013-06-11,11.047,11.047,11.047,11.047,10436,0
2013-06-12,11.209,11.209,11.209,11.209,2599,0
2013-06-13,11.1,11.1,11.1,11.1,1973,0
2013-06-14,11.073,11.073,11.073,11.073,1838,0
2013-06-17,11.155,11.155,11.155,11.155,1286,0
2013-06-21,11.073,11.073,11.073,11.073,3598,0
2013-06-25,11.073,11.073,11.073,11.073,1055,0
2013-06-26,11.073,11.073,11.073,11.073,1103,0
2013-06-27,11.073,11.073,11.073,11.073,414,0
2013-07-09,11.114,11.114,11.114,11.114,9188,0
2013-07-12,11.237,11.237,11.237,11.237,184,0
2013-07-15,11.155,11.155,11.155,11.155,1065,0
2013-07-17,11.264,11.264,11.264,11.264,9924,0
2013-07-22,11.345,11.345,11.345,11.345,1200,0
2013-07-23,11.319,11.319,11.319,11.319,1274,0
2013-07-26,11.427,11.427,11.427,11.427,275,0
2013-07-30,11.564,11.564,11.564,11.564,5048,0
2013-07-31,11.536,11.536,11.536,11.536,425,0
2013-08-01,11.644,11.644,11.644,11.644,542,0
2013-08-02,11.536,11.536,11.536,11.536,368,0
2013-08-05,11.672,11.672,11.672,11.672,2517,0
2013-08-06,11.644,11.644,11.644,11.644,919,0
2013-08-07,11.617,11.617,11.617,11.617,848,0
2013-08-13,11.617,11.617,11.617,11.617,275,0
2013-08-15,11.672,11.672,11.672,11.672,184,0
2013-08-16,11.617,11.617,11.617,11.617,9371,0
2013-08-19,11.564,11.564,11.564,11.564,11764,0
2013-08-22,11.617,11.617,11.617,11.617,2900,0
2013-08-23,11.672,11.672,11.672,11.672,368,0
2013-08-26,11.699,11.699,11.699,11.699,5800,0
2013-08-27,11.781,11.781,11.781,11.781,735,0
2013-08-28,11.863,11.863,11.863,11.863,735,0
2013-08-29,11.917,11.917,11.917,11.917,368,0
2013-08-30,12.189,12.189,12.189,12.189,5329,0
2013-09-03,12.243,12.243,12.243,12.243,735,0
2013-09-04,12.352,12.352,12.352,12.352,584,0
2013-09-05,12.406,12.406,12.406,12.406,632,0
2013-09-06,12.422,12.422,12.422,12.422,675,0
2013-09-10,12.406,12.406,12.406,12.406,3652,0
2013-09-13,12.406,12.406,12.406,12.406,434,0
2013-09-17,12.406,12.406,12.406,12.406,1698,0
2013-09-23,12.625,12.625,12.625,12.625,184,0
2013-09-25,12.053,12.053,12.053,12.053,7438,0
2013-09-26,12.189,12.189,12.189,12.189,2793,0
2013-09-30,12.515,12.515,12.515,12.515,1056,0
2013-10-02,12.161,12.161,12.161,12.161,368,0
2013-10-04,12.26,12.26,12.26,12.26,12864,0
2013-10-07,12.243,12.243,12.243,12.243,11181,0
2013-10-08,12.38,12.38,12.38,12.38,423,0
2013-10-10,12.216,12.216,12.216,12.216,21318,0
2013-10-11,12.625,12.625,12.625,12.625,25578,0
2013-10-14,12.652,12.652,12.652,12.652,845,0
2013-10-15,12.678,12.678,12.678,12.678,551,0
2013-10-16,12.706,12.706,12.706,12.706,1286,0
2013-10-17,12.76,12.76,12.76,12.76,1103,0
2013-10-21,12.76,12.76,12.76,12.76,10015,0
2013-10-22,12.747,12.747,12.747,12.747,32160,0
2013-10-23,12.76,12.76,12.76,12.76,2022,0
2013-10-24,12.76,12.76,12.76,12.76,2031,0
2013-10-25,13.958,13.958,13.958,13.958,1337,0
2013-10-28,13.021,13.021,13.021,13.021,1887,0
2013-10-29,13.876,13.876,13.876,13.876,184,0
2013-10-30,13.604,13.604,13.604,13.604,3125,0
2013-11-01,13.196,13.196,13.196,13.196,5818,0
2013-11-04,13.196,13.196,13.196,13.196,2656,0
2013-11-08,13.196,13.196,13.196,13.196,184,0
2013-11-14,13.604,13.604,13.604,13.604,24751,0
2013-11-15,13.876,13.876,13.876,13.876,612,0
2013-11-18,13.958,13.958,13.958,13.958,551,0
2013-11-20,13.604,13.604,13.604,13.604,869,0
2013-11-21,13.549,13.549,13.549,13.549,1884,0
2013-11-22,13.767,13.767,13.767,13.767,11059,0
2013-11-25,13.739,13.739,13.739,13.739,5880,0
2013-11-26,13.876,13.876,13.876,13.876,2687,0
2013-11-27,14.569,14.569,14.569,14.569,3006,0
2013-11-29,14.283,14.283,14.283,14.283,176,0
2013-12-02,14.97,14.97,14.97,14.97,2538,0
2013-12-03,14.855,14.855,14.855,14.855,1050,0
2013-12-04,14.427,14.427,14.427,14.427,683,0
2013-12-05,15.484,15.484,15.484,15.484,2101,0
2013-12-09,15.626,15.626,15.626,15.626,1778,0
2013-12-10,15.141,15.141,15.141,15.141,4297,0
2013-12-11,15.284,15.284,15.284,15.284,1576,0
2013-12-12,15.198,15.198,15.198,15.198,2712,0
2013-12-13,15.198,15.198,15.198,15.198,169,0
2013-12-17,15.313,15.313,15.313,15.313,1085,0
2013-12-18,15.484,15.484,15.484,15.484,701,0
2013-12-19,15.427,15.427,15.427,15.427,673,0
2013-12-20,15.883,15.883,15.883,15.883,1873,0
2013-12-26,15.712,15.712,15.712,15.712,289,0
2013-12-27,15.712,15.712,15.712,15.712,1540,0
2013-12-30,15.798,15.798,15.798,15.798,184,0
2013-12-31,15.998,15.998,15.998,15.998,606,0
2014-01-03,16.084,16.084,16.084,16.084,1293,0
2014-01-06,16.027,16.027,16.027,16.027,3322,0
2014-01-07,16.055,16.055,16.055,16.055,984,0
2014-01-08,15.427,15.427,15.427,15.427,4638,0
2014-01-09,15.427,15.427,15.427,15.427,701,0
2014-01-15,15.484,15.484,15.484,15.484,483,0
2014-01-17,15.57,15.57,15.57,15.57,349,0
2014-01-21,15.455,15.455,15.455,15.455,2450,0
2014-01-22,15.455,15.455,15.455,15.455,2221,0
2014-01-23,15.455,15.455,15.455,15.455,3133,0
2014-01-28,15.57,15.57,15.57,15.57,1584,0
2014-02-06,15.146,15.146,15.146,15.146,6096,0
2014-02-07,15.141,15.141,15.141,15.141,3500,0
2014-02-10,15.083,15.083,15.083,15.083,9192,0
2014-02-12,15.056,15.056,15.056,15.056,7860,0
2014-02-13,15.112,15.112,15.112,15.112,16810,0
2014-02-14,15.141,15.141,15.141,15.141,2560,0
2014-02-18,15.307,15.307,15.307,15.307,177,0
2014-02-19,15.141,15.141,15.141,15.141,1085,0
2014-02-20,15.056,15.056,15.056,15.056,1071,0
2014-02-24,15.056,15.056,15.056,15.056,468,0
2014-02-25,14.941,14.941,14.941,14.941,1372,0
2014-02-26,15.083,15.083,15.083,15.083,177,0
2014-02-27,15.141,15.141,15.141,15.141,4332,0
2014-02-28,14.998,14.998,14.998,14.998,473,0
2014-03-03,14.998,14.998,14.998,14.998,176,0
2014-03-04,14.97,14.97,14.97,14.97,875,0
2014-03-05,14.998,14.998,14.998,14.998,946,0
2014-03-06,14.998,14.998,14.998,14.998,2992,0
2014-03-10,15.112,15.112,15.112,15.112,2274,0
2014-03-11,15.141,15.141,15.141,15.141,12584,0
2014-03-12,15.061,15.061,15.061,15.061,1050,0
2014-03-14,15.141,15.141,15.141,15.141,323,0
2014-03-17,15.061,15.061,15.061,15.061,8068,0
2014-03-18,15.169,15.169,15.169,15.169,2775,0
2014-03-21,15.169,15.169,15.169,15.169,414,0
2014-03-24,15.061,15.061,15.061,15.061,1290,0
2014-03-25,15.141,15.141,15.141,15.141,7656,0
2014-03-26,15.061,15.061,15.061,15.061,2030,0
2014-03-28,15.061,15.061,15.061,15.061,27208,0
2014-03-31,15.198,15.198,15.198,15.198,3908,0
2014-04-01,15.198,15.198,15.198,15.198,1911,0
2014-04-02,15.255,15.255,15.255,15.255,19752,0
2014-04-03,15.198,15.198,15.198,15.198,3462,0
2014-04-04,15.541,15.541,15.541,15.541,9861,0
2014-04-07,15.57,15.57,15.57,15.57,35109,0
2014-04-08,15.626,15.626,15.626,15.626,200,0
2014-04-10,15.684,15.684,15.684,15.684,349,0
2014-04-11,15.626,15.626,15.626,15.626,4391,0
2014-04-15,15.655,15.655,15.655,15.655,7826,0
2014-04-16,15.626,15.626,15.626,15.626,5364,0
2014-04-22,15.827,15.827,15.827,15.827,1065,0
2014-04-25,15.626,15.626,15.626,15.626,812,0
2014-04-28,15.626,15.626,15.626,15.626,1331,0
2014-05-01,15.626,15.626,15.626,15.626,2250,0
2014-05-02,15.598,15.598,15.598,15.598,2400,0
2014-05-06,15.712,15.712,15.712,15.712,8895,0
2014-05-07,15.77,15.77,15.77,15.77,31079,0
2014-05-08,15.712,15.712,15.712,15.712,16529,0
2014-05-09,15.655,15.655,15.655,15.655,1547,0
2014-05-12,15.827,15.827,15.827,15.827,758,0
2014-05-13,15.712,15.712,15.712,15.712,2486,0
2014-05-14,15.655,15.655,15.655,15.655,794,0
2014-05-16,15.941,15.941,15.941,15.941,4579,0
2014-05-19,15.741,15.741,15.741,15.741,2622,0
2014-05-20,16.712,16.712,16.712,16.712,36105,0
2014-05-23,16.57,16.57,16.57,16.57,1690,0
2014-05-28,16.027,16.027,16.027,16.027,2650,0
2014-05-30,16.027,16.027,16.027,16.027,920,0
2014-06-02,16.57,16.57,16.57,16.57,7192,0
2014-06-03,16.055,16.055,16.055,16.055,1511,0
2014-06-04,16.055,16.055,16.055,16.055,875,0
2014-06-05,16.055,16.055,16.055,16.055,2051,0
2014-06-06,16.084,16.084,16.084,16.084,1864,0
2014-06-13,16.226,16.226,16.226,16.226,758,0
2014-06-16,16.14,16.14,16.14,16.14,1050,0
2014-06-18,16.284,16.284,16.284,16.284,1226,0
2014-06-19,16.255,16.255,16.255,16.255,744,0
2014-06-23,16.284,16.284,16.284,16.284,5034,0
2014-06-25,16.341,16.341,16.341,16.341,1050,0
2014-06-26,16.398,16.398,16.398,16.398,2538,0
2014-06-27,16.512,16.512,16.512,16.512,1826,0
2014-06-30,16.341,16.341,16.341,16.341,1750,0
2014-07-01,16.37,16.37,16.37,16.37,635,0
2014-07-02,16.341,16.341,16.341,16.341,12721,0
2014-07-07,16.318,16.318,16.318,16.318,2441,0
2014-07-08,16.255,16.255,16.255,16.255,176,0
2014-07-09,16.226,16.226,16.226,16.226,176,0
2014-07-11,16.398,16.398,16.398,16.398,525,0
2014-07-15,16.284,16.284,16.284,16.284,525,0
2014-07-16,16.226,16.226,16.226,16.226,395,0
2014-07-17,16.198,16.198,16.198,16.198,993,0
2014-07-21,16.169,16.169,16.169,16.169,651,0
2014-07-22,16.169,16.169,16.169,16.169,1204,0
2014-07-24,16.198,16.198,16.198,16.198,737,0
2014-07-25,16.027,16.027,16.027,16.027,2111,0
2014-07-28,16.198,16.198,16.198,16.198,392,0
2014-07-30,16.255,16.255,16.255,16.255,1260,0
2014-07-31,16.146,16.146,16.146,16.146,176,0
2014-08-14,16.055,16.055,16.055,16.055,4705,0
2014-08-15,16.14,16.14,16.14,16.14,264,0
2014-08-18,16.055,16.055,16.055,16.055,8510,0
2014-08-19,16.084,16.084,16.084,16.084,653,0
2014-08-20,16.084,16.084,16.084,16.084,2023,0
2014-08-26,16.169,16.169,16.169,16.169,417,0
2014-08-27,16.084,16.084,16.084,16.084,3199,0
2014-08-28,16.084,16.084,16.084,16.084,176,0
2014-09-03,16.009,16.009,16.009,16.009,2034,0
2014-09-04,16.027,16.027,16.027,16.027,3676,0
2014-09-08,15.712,15.712,15.712,15.712,1050,0
2014-09-11,15.998,15.998,15.998,15.998,176,0
2014-09-12,16.113,16.113,16.113,16.113,1295,0
2014-09-16,15.941,15.941,15.941,15.941,663,0
2014-09-19,16.113,16.113,16.113,16.113,551,0
2014-09-22,15.958,15.958,15.958,15.958,4558,0
2014-09-23,15.946,15.946,15.946,15.946,358,0
2014-09-24,16.055,16.055,16.055,16.055,349,0
2014-09-30,15.883,15.883,15.883,15.883,1129,0
2014-10-02,15.883,15.883,15.883,15.883,695,0
2014-10-03,15.827,15.827,15.827,15.827,6126,0
2014-10-07,15.827,15.827,15.827,15.827,699,0
2014-10-09,15.77,15.77,15.77,15.77,1602,0
2014-10-10,15.798,15.798,15.798,15.798,901,0
2014-10-13,15.798,15.798,15.798,15.798,193,0
2014-10-14,16.055,16.055,16.055,16.055,701,0
2014-10-15,16.055,16.055,16.055,16.055,667,0
2014-10-16,16.027,16.027,16.027,16.027,3220,0
2014-10-17,16.027,16.027,16.027,16.027,17021,0
2014-10-22,15.883,15.883,15.883,15.883,306,0
2014-10-24,16.055,16.055,16.055,16.055,1545,0
2014-10-27,16.055,16.055,16.055,16.055,910,0
2014-10-29,15.883,15.883,15.883,15.883,21358,0
2014-10-30,15.941,15.941,15.941,15.941,20199,0
2014-10-31,15.912,15.912,15.912,15.912,2504,0
2014-11-04,15.883,15.883,15.883,15.883,1838,0
2014-11-06,15.992,15.992,15.992,15.992,1750,0
2014-11-14,16.055,16.055,16.055,16.055,639,0
2014-11-17,16.055,16.055,16.055,16.055,6126,0
2014-11-18,16.084,16.084,16.084,16.084,405,0
2014-11-19,15.998,15.998,15.998,15.998,3462,0
2014-11-24,16.055,16.055,16.055,16.055,613,0
2014-12-01,16.027,16.027,16.027,16.027,525,0
2014-12-03,15.946,15.946,15.946,15.946,1265,0
2014-12-04,15.946,15.946,15.946,15.946,176,0
2014-12-08,16.055,16.055,16.055,16.055,9255,0
2014-12-09,16.084,16.084,16.084,16.084,2346,0
2014-12-10,16.113,16.113,16.113,16.113,4509,0
2014-12-11,16.947,16.947,16.947,16.947,4882,0
2014-12-15,16.198,16.198,16.198,16.198,2068,0
2014-12-18,16.408,16.408,16.408,16.408,838,0
2014-12-19,16.198,16.198,16.198,16.198,1000,0
2014-12-22,16.648,16.648,16.648,16.648,1935,0
2015-01-02,16.018,16.018,16.018,16.018,1201,0
2015-01-13,16.018,16.018,16.018,16.018,2531,0
2015-01-14,16.192,16.192,16.192,16.192,833,0
2015-01-15,16.192,16.192,16.192,16.192,935,0
2015-01-20,16.192,16.192,16.192,16.192,1494,0
2015-01-21,16.198,16.198,16.198,16.198,209,0
2015-01-22,16.078,16.078,16.078,16.078,7657,0
2015-01-23,16.108,16.108,16.108,16.108,2560,0
2015-01-26,16.108,16.108,16.108,16.108,387,0
2015-01-27,16.318,16.318,16.318,16.318,2192,0
2015-01-28,16.108,16.108,16.108,16.108,6719,0
2015-01-30,16.288,16.288,16.288,16.288,1902,0
2015-02-02,16.108,16.108,16.108,16.108,1086,0
2015-02-06,16.198,16.198,16.198,16.198,1935,0
2015-02-09,16.288,16.288,16.288,16.288,601,0
2015-02-10,16.288,16.288,16.288,16.288,353,0
2015-02-11,16.198,16.198,16.198,16.198,6564,0
2015-02-13,16.288,16.288,16.288,16.288,668,0
2015-02-17,16.228,16.228,16.228,16.228,2619,0
2015-02-18,16.318,16.318,16.318,16.318,9778,0
2015-02-23,16.288,16.288,16.288,16.288,455,0
2015-02-24,16.327,16.327,16.327,16.327,43820,0
2015-02-25,16.438,16.438,16.438,16.438,4736,0
2015-02-26,16.498,16.498,16.498,16.498,7614,0
2015-02-27,16.468,16.468,16.468,16.468,5543,0
2015-03-02,16.78,16.78,16.78,16.78,5253,0
2015-03-05,16.528,16.528,16.528,16.528,1285,0
2015-03-10,16.528,16.528,16.528,16.528,1917,0
2015-03-11,16.528,16.528,16.528,16.528,1337,0
2015-03-12,16.528,16.528,16.528,16.528,1315,0
2015-03-13,16.534,16.534,16.534,16.534,537,0
2015-03-18,16.438,16.438,16.438,16.438,2319,0
2015-03-19,16.774,16.774,16.774,16.774,7731,0
2015-03-20,17.038,17.038,17.038,17.038,500,0
2015-03-23,16.558,16.558,16.558,16.558,1342,0
2015-03-24,16.57,16.57,16.57,16.57,1334,0
2015-03-25,16.498,16.498,16.498,16.498,2339,0
2015-03-26,16.798,16.798,16.798,16.798,13679,0
2015-03-27,16.798,16.798,16.798,16.798,5384,0
2015-03-30,16.774,16.774,16.774,16.774,3777,0
2015-03-31,16.558,16.558,16.558,16.558,833,0
2015-04-01,16.947,16.947,16.947,16.947,4991,0
2015-04-02,17.038,17.038,17.038,17.038,8600,0
2015-04-06,17.098,17.098,17.098,17.098,10767,0
2015-04-08,17.098,17.098,17.098,17.098,1360,0
2015-04-09,17.247,17.247,17.247,17.247,3723,0
2015-04-14,17.02,17.02,17.02,17.02,1073,0
2015-04-16,17.068,17.068,17.068,17.068,1148,0
2015-04-21,16.947,16.947,16.947,16.947,2149,0
2015-04-24,17.128,17.128,17.128,17.128,17813,0
2015-04-28,17.098,17.098,17.098,17.098,18335,0
2015-04-29,16.978,16.978,16.978,16.978,50680,0
2015-04-30,17.247,17.247,17.247,17.247,33671,0
2015-05-04,17.308,17.308,17.308,17.308,882,0
2015-05-05,17.368,17.368,17.368,17.368,1028,0
2015-05-07,17.008,17.008,17.008,17.008,3167,0
2015-05-08,17.038,17.038,17.038,17.038,1716,0
2015-05-12,17.038,17.038,17.038,17.038,2760,0
2015-05-13,17.038,17.038,17.038,17.038,4930,0
2015-05-14,17.068,17.068,17.068,17.068,5982,0
2015-05-15,17.038,17.038,17.038,17.038,3354,0
2015-05-18,17.158,17.158,17.158,17.158,23026,0
2015-05-21,17.158,17.158,17.158,17.158,8523,0
2015-05-26,17.158,17.158,17.158,17.158,2452,0
2015-05-27,17.17,17.17,17.17,17.17,15782,0
2015-05-28,17.158,17.158,17.158,17.158,83344,0
2015-05-29,17.158,17.158,17.158,17.158,88592,0
2015-06-01,17.158,17.158,17.158,17.158,95012,0
2015-06-02,17.338,17.338,17.338,17.338,13376,0
2015-06-03,17.368,17.368,17.368,17.368,20819,0
2015-06-04,17.368,17.368,17.368,17.368,1495,0
2015-06-05,17.338,17.338,17.338,17.338,22653,0
2015-06-08,17.338,17.338,17.338,17.338,833,0
2015-06-09,17.338,17.338,17.338,17.338,3751,0
2015-06-10,17.247,17.247,17.247,17.247,57057,0
2015-06-11,17.308,17.308,17.308,17.308,1227,0
