Date,Open,High,Low,Close,Volume,OpenInt
2016-10-17,30.751,32.043,30.695,32.043,1756133,0
2016-10-18,31.638,31.831,31.089,31.099,693478,0
2016-10-19,31.35,31.831,31.311,31.388,693159,0
2016-10-20,31.33,31.523,30.821,30.839,1003139,0
2016-10-21,30.695,31.042,30.589,30.821,470193,0
2016-10-24,30.917,31.33,30.897,30.973,1360835,0
2016-10-25,31.301,31.388,31.099,31.244,432695,0
2016-10-26,31.089,31.725,31.069,31.638,791574,0
2016-10-27,31.532,31.577,31.003,31.138,400912,0
2016-10-28,31.099,31.591,31.032,31.485,370766,0
2016-10-31,31.426,31.764,31.272,31.658,350846,0
2016-11-01,31.88,31.899,31.165,31.272,483097,0
2016-11-02,31.234,31.436,30.973,30.973,268572,0
2016-11-03,30.936,31.099,30.675,30.751,992672,0
2016-11-04,31.185,31.572,31.032,31.119,419615,0
2016-11-07,31.369,31.519,31.272,31.311,407105,0
2016-11-08,31.378,31.523,31.06,31.185,257300,0
2016-11-09,30.645,30.927,30.443,30.617,258836,0
2016-11-10,30.539,30.569,29.292,29.336,395519,0
2016-11-11,29.374,29.394,28.709,28.795,360673,0
2016-11-14,28.863,28.988,28.083,28.333,293902,0
2016-11-15,28.563,29.172,28.458,29.114,335504,0
2016-11-16,29.168,29.265,28.71,28.778,309098,0
2016-11-17,28.875,29.245,28.865,29.119,144393,0
2016-11-18,29.089,29.284,28.982,29.119,137411,0
2016-11-21,29.382,29.674,29.187,29.275,220830,0
2016-11-22,29.43,29.557,29.323,29.362,329468,0
2016-11-23,29.177,29.644,29.099,29.44,1101343,0
2016-11-25,29.382,29.527,29.129,29.158,186356,0
2016-11-28,29.372,29.99,29.372,29.917,160019,0
2016-11-29,29.761,29.814,29.577,29.625,189661,0
2016-11-30,29.751,29.751,28.954,28.982,290689,0
2016-12-01,29.051,29.46,28.72,29.382,292048,0
2016-12-02,29.45,29.557,29.245,29.372,209250,0
2016-12-05,29.44,29.479,29.196,29.333,243394,0
2016-12-06,29.353,29.557,29.216,29.284,261460,0
2016-12-07,29.294,29.771,29.255,29.684,221237,0
2016-12-08,29.722,29.941,29.508,29.839,196888,0
2016-12-09,29.917,30.131,29.81,29.888,166098,0
