Date,Open,High,Low,Close,Volume,OpenInt
2016-07-06,46.788,48.309,46.012,47.464,6746928,0
2016-07-07,47.335,47.712,47.061,47.455,5519927,0
2016-07-08,47.672,50.306,47.245,49.899,4269096,0
2016-07-11,48.915,50.923,48.686,50.814,5959071,0
2016-07-12,50.694,50.754,49.959,50.268,5586425,0
2016-07-13,50.268,50.794,49.531,50.316,4894058,0
2016-07-14,50.029,51.429,49.65,51.26,3502593,0
2016-07-15,51.469,51.599,50.306,50.923,3712061,0
2016-07-18,50.465,51.27,50.208,50.983,1566930,0
2016-07-19,50.734,51.25,50.138,51.24,1966412,0
2016-07-20,51.529,51.609,49.71,50.039,3371906,0
2016-07-21,50.098,50.316,49.69,49.939,3055436,0
2016-07-22,49.7,49.989,48.995,49.104,2465404,0
2016-07-25,48.925,49.154,47.573,48.686,3063195,0
2016-07-26,48.27,49.124,47.99,48.985,1580888,0
2016-07-27,48.785,49.204,48.422,48.627,1638421,0
2016-07-28,48.447,48.795,48.055,48.359,2940690,0
2016-07-29,48.17,48.507,47.722,47.921,4511122,0
2016-08-01,47.821,48.22,47.305,47.514,2998970,0
2016-08-02,47.215,47.732,46.896,47.215,3287011,0
2016-08-03,47.215,49.184,47.066,48.985,4738350,0
2016-08-04,49.293,49.809,49.184,49.73,3065178,0
2016-08-05,49.959,50.674,49.959,50.278,2681956,0
2016-08-08,50.326,50.564,49.64,49.749,2129229,0
2016-08-09,48.437,50.228,48.13,50.158,1084414,0
2016-08-10,50.168,50.494,49.799,50.148,1187945,0
2016-08-11,50.425,52.394,50.396,52.234,2004702,0
2016-08-12,51.689,52.554,51.489,52.394,1295570,0
2016-08-15,52.632,53.446,52.544,53.339,1466731,0
2016-08-16,53.259,53.626,52.951,53.229,1008331,0
2016-08-17,53.349,53.407,53.021,53.091,1038515,0
2016-08-18,52.901,53.199,52.613,52.841,879948,0
2016-08-19,52.632,52.632,51.399,51.609,1203333,0
2016-08-22,51.609,51.728,50.774,50.953,1088203,0
2016-08-23,51.053,51.788,50.834,51.589,2528937,0
2016-08-24,51.022,51.539,50.368,51.131,696032,0
2016-08-25,50.942,51.649,50.743,51.379,1391342,0
2016-08-26,51.399,52.097,51.29,51.629,941945,0
2016-08-29,51.539,52.545,51.319,52.166,1049733,0
2016-08-30,51.947,53.221,51.947,52.365,956572,0
2016-08-31,52.225,52.574,51.758,52.425,1661330,0
2016-09-01,52.713,52.863,51.897,52.385,963855,0
2016-09-02,52.773,53.221,52.564,53.131,844734,0
2016-09-06,53.251,53.301,52.047,52.485,1299838,0
2016-09-07,52.186,52.873,51.778,52.693,1751349,0
2016-09-08,52.435,52.713,52.027,52.087,1102930,0
2016-09-09,51.529,51.768,50.314,50.314,2160757,0
2016-09-12,49.787,51.201,49.627,50.972,1860603,0
2016-09-13,50.623,51.161,49.737,49.807,1614629,0
2016-09-14,49.817,50.266,49.409,49.787,1157659,0
2016-09-15,49.747,50.364,49.27,50.256,1423849,0
2016-09-16,49.877,50.156,49.191,50.027,2362858,0
2016-09-19,50.176,51.166,50.146,50.543,974138,0
2016-09-20,50.543,50.843,49.977,50.017,1075443,0
2016-09-21,50.236,50.773,49.987,50.743,854820,0
2016-09-22,51.111,51.748,51.052,51.399,1652907,0
2016-09-23,51.062,51.339,50.414,50.643,810962,0
2016-09-26,50.424,51.25,50.067,50.982,1071250,0
2016-09-27,50.863,51.539,50.813,51.369,1201984,0
2016-09-28,51.499,51.529,51.111,51.479,909900,0
2016-09-29,50.853,51.369,50.404,50.463,1446311,0
2016-09-30,50.883,51.032,50.047,50.663,1953160,0
2016-10-03,50.374,51.419,50.374,51.151,1367859,0
2016-10-04,51.022,51.211,50.324,50.573,1218424,0
2016-10-05,50.783,51.057,50.364,50.703,888639,0
2016-10-06,50.593,50.733,50.266,50.463,764542,0
2016-10-07,50.266,50.573,49.637,49.697,1066596,0
2016-10-10,49.997,50.086,49.667,49.717,1025946,0
2016-10-11,49.687,49.927,48.791,48.991,1394752,0
2016-10-12,49.171,49.171,48.423,48.761,1624576,0
2016-10-13,48.404,49.449,47.776,48.593,1211486,0
2016-10-14,48.841,49.702,48.583,49.231,873105,0
2016-10-17,49.33,49.358,48.682,48.831,1121764,0
2016-10-18,49.419,50.086,48.771,48.861,1151940,0
2016-10-19,49.041,49.563,48.235,49.161,756020,0
2016-10-20,48.911,48.951,48.215,48.473,1425915,0
2016-10-21,47.995,48.662,47.906,48.443,1713502,0
2016-10-24,48.642,49.031,48.135,48.325,1275541,0
2016-10-25,48.275,48.275,47.637,47.697,1282196,0
2016-10-26,47.578,47.896,47.319,47.548,1576828,0
2016-10-27,47.468,47.468,46.592,47.269,3158896,0
2016-10-28,49.997,51.449,49.499,49.977,3986287,0
2016-10-31,49.977,51.111,49.807,50.813,1569048,0
2016-11-01,50.703,50.783,49.757,50.256,1778415,0
2016-11-02,50.216,50.912,50.047,50.086,883901,0
2016-11-03,50.057,50.962,49.757,50.743,1149772,0
2016-11-04,50.783,51.419,50.304,50.873,1575557,0
2016-11-07,51.329,51.828,50.798,51.549,1413437,0
2016-11-08,51.639,52.554,51.131,52.405,1169086,0
2016-11-09,51.748,53.679,51.663,53.211,1681700,0
2016-11-10,53.699,55.081,53.444,53.949,1801615,0
2016-11-11,53.839,54.485,53.033,53.151,1418815,0
2016-11-14,53.549,53.809,53.241,53.569,2638617,0
2016-11-15,53.689,54.196,53.439,53.869,1711399,0
2016-11-16,53.539,54.201,53.459,54.186,1540691,0
2016-11-17,54.127,54.405,53.669,54.245,937432,0
2016-11-18,54.225,54.495,53.839,54.375,1159271,0
2016-11-21,53.998,54.904,53.749,54.575,1397820,0
2016-11-22,54.555,55.582,54.375,55.182,1332866,0
2016-11-23,55.422,55.742,55.082,55.612,1056565,0
2016-11-25,55.89,55.959,55.262,55.781,490936,0
2016-11-28,55.89,56.049,55.132,55.402,1053469,0
2016-11-29,55.172,55.791,55.023,55.092,1081620,0
2016-11-30,55.462,55.964,54.615,54.805,4713373,0
2016-12-01,54.954,55.023,53.818,54.007,3330202,0
2016-12-02,54.106,54.845,53.828,54.295,2554070,0
2016-12-05,54.585,54.705,53.388,53.728,1408861,0
2016-12-06,53.788,53.938,53.359,53.818,2289088,0
2016-12-07,53.818,54.22,53.229,54.056,3296845,0
2016-12-08,54.186,54.275,53.254,53.498,2210625,0
2016-12-09,53.329,53.978,53.139,53.818,1446255,0
2016-12-12,53.698,54.186,53.558,53.808,1535411,0
2016-12-13,54.096,54.265,53.071,53.668,2730609,0
2016-12-14,53.708,55.147,53.688,54.066,1564965,0
2016-12-15,54.027,55.102,53.748,54.625,1575995,0
2016-12-16,54.675,54.835,54.215,54.645,2655091,0
2016-12-19,54.625,54.845,54.206,54.775,1173294,0
2016-12-20,55.052,55.272,54.625,54.865,1191912,0
2016-12-21,54.785,54.785,53.738,53.938,1463532,0
2016-12-22,53.938,54.795,53.508,53.908,1548546,0
2016-12-23,54.146,54.575,53.588,54.325,523497,0
2016-12-27,54.565,54.655,53.928,54.275,408882,0
2016-12-28,54.475,54.475,53.289,53.568,593002,0
2016-12-29,53.808,53.958,53.408,53.828,481088,0
2016-12-30,54.017,54.295,53.209,53.448,707825,0
2017-01-03,53.708,54.001,52.811,53.548,1606533,0
2017-01-04,53.938,54.345,53.788,54.066,1492163,0
2017-01-05,54.146,54.515,53.528,53.758,1413649,0
2017-01-06,53.718,54.017,53.209,53.688,1264284,0
2017-01-09,53.838,54.017,53.408,53.548,745857,0
2017-01-10,53.548,53.898,53.299,53.618,1316062,0
2017-01-11,53.598,53.698,53.081,53.478,3704252,0
2017-01-12,53.289,53.708,53.179,53.488,2037057,0
2017-01-13,54.215,54.974,54.215,54.575,1403511,0
2017-01-17,54.255,54.345,53.488,53.948,1239729,0
2017-01-18,53.928,54.215,53.668,53.958,1350641,0
2017-01-19,54.046,54.495,53.818,54.086,823862,0
2017-01-20,54.235,54.495,54.027,54.335,1767270,0
2017-01-23,54.136,54.625,53.408,53.928,1341576,0
2017-01-24,54.126,54.805,53.907,54.515,1704791,0
2017-01-25,54.755,55.152,54.515,54.983,1761882,0
2017-01-26,54.815,55.791,54.575,55.502,2306465,0
2017-01-27,55.542,55.811,55.362,55.742,1574008,0
2017-01-30,55.742,55.742,54.565,55.252,1575937,0
2017-01-31,55.052,55.352,54.725,55.122,1798851,0
2017-02-01,55.282,55.462,54.62,54.944,1163663,0
2017-02-02,54.615,55.312,54.315,55.023,1901610,0
2017-02-03,55.372,56.459,54.885,55.831,1452338,0
2017-02-06,55.512,55.752,55.322,55.622,882629,0
2017-02-07,55.811,55.929,55.372,55.452,1904456,0
2017-02-08,54.785,56.199,54.699,55.989,4643786,0
2017-02-09,55.969,56.956,55.969,56.827,1132145,0
