Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,130.56,133.32,129.24,131.04,75470,0
2005-02-28,131.04,131.28,126.84,128.16,140614,0
2005-03-01,128.28,130.44,128.04,128.28,111965,0
2005-03-02,127.56,130.56,126.96,130.08,123107,0
2005-03-03,130.08,131.52,125.4,125.4,125195,0
2005-03-04,125.76,127.08,123.24,125.76,106486,0
2005-03-07,125.52,128.88,125.16,126.12,98105,0
2005-03-08,126.48,127.32,122.16,123,144851,0
2005-03-09,122.04,123.36,116.88,117.36,238300,0
2005-03-10,117.12,122.4,116.76,121.8,199530,0
2005-03-11,120.84,122.4,119.52,120.84,112577,0
2005-03-14,120.84,122.76,117.12,117.72,94511,0
2005-03-15,119.04,122.04,118.68,120.96,188395,0
2005-03-16,120,122.04,115.92,121.44,93686,0
2005-03-17,121.32,123,120.72,122.28,108433,0
2005-03-18,121.92,123.12,120.36,121.2,100042,0
2005-03-21,120.36,121.56,118.44,120.48,62990,0
2005-03-22,120.36,120.84,118.92,119.04,62049,0
2005-03-23,118.44,119.52,111.6,112.8,201501,0
2005-03-24,113.52,118.68,113.28,116.64,154008,0
2005-03-28,116.64,118.56,114.72,115.8,77434,0
2005-03-29,117.12,117.72,113.04,115.44,146918,0
2005-03-30,117,124.08,116.52,123.72,159641,0
2005-03-31,123.96,124.56,120.6,122.4,121329,0
2005-04-01,125.28,125.28,117.84,119.52,71638,0
2005-04-04,118.92,122.64,117.6,121.56,68922,0
2005-04-05,120.84,120.84,115.44,117.24,65305,0
2005-04-06,117,120.24,117,117.96,89659,0
2005-04-07,117.24,120.84,116.4,120,54298,0
2005-04-08,121.08,121.32,115.32,116.76,77661,0
2005-04-11,116.16,117.96,115.68,115.92,40791,0
2005-04-12,116.52,124.56,116.52,123.96,170921,0
2005-04-13,123.96,128.76,123,124.92,148277,0
2005-04-14,124.68,125.52,121.2,122.04,83802,0
2005-04-15,120.96,122.28,114.72,117.84,105155,0
2005-04-18,117.72,121.32,116.04,118.68,80452,0
2005-04-19,120.36,121.56,118.44,120.36,44018,0
2005-04-20,120.24,124.92,120.24,122.16,91358,0
2005-04-21,123.36,132.48,123.36,131.16,143468,0
2005-04-22,130.68,135.12,129.48,133.44,177752,0
2005-04-25,134.16,134.88,126.84,129.36,86548,0
2005-04-26,128.4,131.76,126.72,129.48,86753,0
2005-04-27,127.8,133.08,124.56,129.6,142824,0
2005-04-28,132.24,141,131.88,134.52,381863,0
2005-04-29,135.84,138,132.96,134.4,117517,0
2005-05-02,135.6,136.68,132,134.88,89281,0
2005-05-03,133.92,135.24,131.88,133.2,83030,0
2005-05-04,132.84,135.12,132.84,134.52,107303,0
2005-05-05,134.76,136.56,123.84,136.56,120079,0
