Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,3.0347,3.0436,3.0347,3.0436,4835,0
2005-02-28,3.0347,3.0436,2.9787,3.016,18801,0
2005-03-01,3.0347,3.0347,3.0253,3.0253,2147,0
2005-03-02,3.0067,3.0067,2.9787,2.9882,12888,0
2005-03-03,2.9787,2.9976,2.9787,2.9976,4835,0
2005-03-04,3.0253,3.0347,3.0067,3.0347,16113,0
2005-03-07,3.0347,3.0347,3.0067,3.0347,38136,0
2005-03-08,3.0067,3.0625,3.0067,3.0625,59623,0
2005-03-09,3.0625,3.2767,3.0625,3.2115,116560,0
2005-03-10,3.2302,3.2393,3.2021,3.2393,24708,0
2005-03-11,3.2115,3.2115,3.1838,3.193,15575,0
2005-03-14,3.2115,3.2115,3.2021,3.2021,5909,0
2005-03-15,3.2021,3.2021,3.1092,3.1092,88630,0
2005-03-16,3.1276,3.1276,2.9787,3.0067,265878,0
2005-03-17,3.0347,3.1182,3.0347,3.1092,48340,0
2005-03-18,3.1276,3.1653,3.1276,3.1653,2685,0
2005-03-21,3.1838,3.2302,3.1838,3.2302,7518,0
2005-03-22,3.2302,3.2491,3.193,3.193,39748,0
2005-03-23,3.193,3.2115,3.1653,3.2115,46192,0
2005-03-24,3.2393,3.2953,3.2393,3.2953,22023,0
2005-03-28,3.3045,3.3141,3.2581,3.2581,45124,0
2005-03-29,3.2393,3.2581,3.2393,3.2581,4835,0
2005-03-30,3.2302,3.2491,3.193,3.193,55862,0
2005-03-31,3.2115,3.2115,3.2115,3.2115,1074,0
2005-04-01,3.2115,3.2115,3.1092,3.1092,22023,0
2005-04-04,3.0905,3.1368,3.0814,3.1276,28466,0
2005-04-05,3.1368,3.1368,3.1182,3.1368,9129,0
2005-04-06,3.1092,3.1838,3.1092,3.1838,42431,0
2005-04-07,3.193,3.2207,3.193,3.2207,11814,0
2005-04-08,3.2393,3.2581,3.2393,3.2581,6448,0
2005-04-11,3.2581,3.2581,3.2115,3.2207,19874,0
2005-04-12,3.2393,3.2581,3.2393,3.2581,23097,0
2005-04-13,3.2581,3.2767,3.2581,3.2767,21484,0
2005-04-14,3.2767,3.2859,3.2767,3.2767,18801,0
2005-04-15,3.2859,3.3141,3.2581,3.3141,76809,0
2005-04-18,3.3233,3.3512,3.3141,3.3328,37064,0
2005-04-19,3.3512,3.3977,3.3512,3.3977,38136,0
2005-04-20,3.3977,3.4166,3.3233,3.3233,39212,0
2005-04-21,3.3328,3.3512,3.2953,3.3233,85941,0
2005-04-22,3.3419,3.3604,3.2953,3.3419,38671,0
2005-04-25,3.3419,3.3695,3.2953,3.3512,27392,0
2005-04-26,3.3328,3.3512,3.3233,3.3233,14502,0
2005-04-27,3.3512,3.4166,3.3512,3.3791,30079,0
2005-04-28,3.4166,3.444,3.3512,3.3512,41894,0
2005-04-29,3.3791,3.3977,3.3695,3.3977,24172,0
2005-05-02,3.4166,3.444,3.4166,3.444,24708,0
2005-05-03,3.4627,3.4721,3.444,3.4721,20411,0
2005-05-04,3.4721,3.4816,3.4721,3.4816,13431,0
2005-05-05,3.5099,3.5371,3.5099,3.5371,10743,0
2005-05-06,3.5842,3.6774,3.5467,3.6774,42972,0
