Date,Open,High,Low,Close,Volume,OpenInt
2010-08-23,13.539,13.661,13.455,13.455,6370,0
2010-08-24,13.512,13.512,13.512,13.512,200,0
2010-08-25,13.493,13.493,13.493,13.493,100,0
2010-08-26,13.502,13.512,13.427,13.512,557,0
2010-08-27,13.484,13.613,13.464,13.613,2265,0
2010-08-31,13.633,13.69,13.613,13.613,1181,0
2010-09-02,13.671,13.752,13.671,13.752,429,0
2010-09-07,13.708,13.79,13.708,13.752,1838,0
2010-09-08,13.893,13.91,13.893,13.91,657,0
2010-09-09,13.983,13.983,13.983,13.983,657,0
2010-09-10,14.112,14.542,14.112,14.296,1944,0
2010-09-14,14.296,14.306,14.296,14.296,1072,0
2010-09-15,14.344,14.344,14.344,14.344,657,0
2010-09-17,15.354,15.429,14.607,14.627,2304,0
2010-09-20,14.726,14.726,14.726,14.726,308,0
2010-09-21,14.661,14.815,14.661,14.815,953,0
2010-09-22,14.645,14.726,14.645,14.645,332,0
2010-09-23,14.588,14.68,14.542,14.635,865,0
2010-09-24,14.523,14.523,14.24,14.306,3988,0
2010-09-27,14.44,14.542,14.431,14.497,1417,0
2010-09-28,14.542,14.635,14.542,14.635,200,0
2010-09-29,14.635,14.851,14.617,14.69,3237,0
2010-09-30,14.751,14.86,14.726,14.726,2867,0
2010-10-01,14.68,14.68,14.588,14.588,969,0
2010-10-04,14.607,14.69,14.532,14.607,1811,0
2010-10-05,14.568,14.807,14.568,14.607,7124,0
2010-10-06,14.661,14.869,14.661,14.742,3123,0
2010-10-07,14.617,14.815,14.607,14.815,1181,0
2010-10-08,14.954,14.954,14.851,14.851,200,0
2010-10-12,14.733,14.823,14.733,14.79,2488,0
2010-10-13,14.733,15.047,14.733,14.851,5618,0
2010-10-14,14.851,14.879,14.851,14.86,1019,0
2010-10-15,14.888,15.057,14.888,15.001,3194,0
2010-10-18,14.982,15.065,14.954,15.065,2813,0
2010-10-21,14.954,15.095,14.954,15.095,2371,0
2010-10-22,15.095,15.311,15.001,15.311,1181,0
2010-10-25,15.095,15.095,14.86,14.915,2090,0
2010-10-26,15.161,15.364,15.065,15.225,9069,0
2010-10-28,15.235,15.282,15.235,15.282,2533,0
2010-10-29,15.144,15.207,14.851,14.906,3678,0
2010-11-01,15.057,15.057,14.815,14.823,1686,0
2010-11-04,14.934,14.954,14.934,14.934,1626,0
2010-11-05,15.047,15.047,14.934,14.934,1292,0
2010-11-08,14.954,14.954,14.954,14.954,200,0
2010-11-09,14.954,14.973,14.944,14.944,1292,0
2010-11-10,14.944,14.944,14.944,14.944,308,0
2010-11-15,14.906,14.906,14.906,14.906,150,0
2010-11-16,14.924,14.924,14.924,14.924,1181,0
2010-11-17,14.906,14.906,14.851,14.851,813,0
2010-11-23,14.815,14.815,14.726,14.726,969,0
2010-11-24,14.718,14.815,14.718,14.807,1305,0
2010-11-26,14.733,14.733,14.733,14.733,762,0
2010-11-29,14.597,14.607,14.515,14.607,1890,0
2010-11-30,14.468,14.588,14.306,14.383,9180,0
2010-12-01,14.401,14.488,14.401,14.488,1114,0
2010-12-02,14.532,14.842,14.532,14.733,1520,0
2010-12-06,14.635,14.635,14.635,14.635,429,0
2010-12-07,14.578,14.588,14.578,14.588,717,0
2010-12-08,14.515,14.515,14.515,14.515,557,0
2010-12-09,14.45,14.45,14.45,14.45,2703,0
2010-12-10,14.401,14.45,14.401,14.45,557,0
2010-12-13,14.383,14.383,14.306,14.306,557,0
2010-12-14,14.316,14.316,14.316,14.316,150,0
2010-12-15,14.431,14.44,14.431,14.44,429,0
2010-12-16,14.176,14.354,14.157,14.354,1072,0
2010-12-17,14.326,14.326,14.24,14.24,1072,0
2010-12-21,14.167,14.354,14.167,14.354,762,0
2010-12-22,14.316,14.354,14.148,14.148,2813,0
2010-12-23,14.057,14.057,9.835,13.974,8764,0
2010-12-27,13.809,13.809,13.809,13.809,1241,0
2010-12-28,13.92,13.92,13.92,13.92,308,0
2010-12-29,13.726,13.893,13.726,13.856,2111,0
2010-12-30,13.865,13.974,13.752,13.91,2544,0
2011-01-03,13.95,13.993,13.829,13.983,2399,0
2011-01-04,14.083,14.363,13.809,13.966,5179,0
2011-01-05,14.057,14.074,14.057,14.074,691,0
2011-01-06,14.326,14.344,14.326,14.344,308,0
2011-01-07,14.344,14.344,14.344,14.344,429,0
2011-01-10,14.296,14.306,14.296,14.306,969,0
2011-01-12,14.185,14.194,14.185,14.194,657,0
2011-01-13,14.278,14.742,14.13,14.13,1453,0
2011-01-14,14.222,14.222,14.222,14.222,100,0
2011-01-18,14.316,15.188,14.316,14.815,3678,0
2011-01-19,14.78,14.78,14.306,14.718,2517,0
2011-01-20,14.851,15.321,14.815,14.815,2051,0
2011-01-21,14.906,14.906,14.497,14.497,4196,0
2011-01-24,14.588,15.448,14.588,14.807,5912,0
2011-01-25,14.515,14.635,14.515,14.635,1402,0
2011-01-26,14.888,15.263,14.888,15.263,613,0
2011-01-27,15.354,15.678,15.105,15.503,14897,0
2011-01-28,15.632,15.632,15.282,15.282,4851,0
2011-01-31,15.373,15.373,15.373,15.373,100,0
2011-02-01,15.457,15.466,15.382,15.382,767,0
2011-02-02,15.538,15.632,15.538,15.557,4142,0
2011-02-04,15.538,15.649,15.466,15.466,2687,0
2011-02-07,15.557,15.659,15.466,15.659,2856,0
2011-02-08,15.566,15.669,15.566,15.641,1111,0
2011-02-09,15.678,15.678,15.678,15.678,210,0
2011-02-10,15.659,15.659,15.42,15.448,5829,0
2011-02-11,15.557,15.744,15.557,15.697,7733,0
2011-02-14,15.697,15.772,15.697,15.772,3584,0
2011-02-15,15.715,15.753,15.604,15.753,5072,0
2011-02-16,15.782,15.871,15.782,15.871,4016,0
2011-02-18,15.829,15.898,15.744,15.802,2592,0
2011-02-22,15.838,15.838,15.792,15.792,5180,0
2011-02-23,15.753,15.792,15.744,15.792,1181,0
2011-02-25,15.744,15.871,15.744,15.871,1072,0
2011-03-01,15.838,15.838,15.838,15.838,2372,0
2011-03-02,15.88,15.88,15.753,15.753,699,0
2011-03-03,15.753,16.649,15.753,16.206,5749,0
2011-03-04,16.575,16.575,16.115,16.133,2051,0
2011-03-07,16.347,16.347,16.318,16.318,1626,0
2011-03-08,16.546,16.556,16.206,16.215,2703,0
2011-03-11,15.792,15.973,15.792,15.802,8652,0
2011-03-14,16.124,16.124,16.124,16.124,100,0
2011-03-15,16.404,16.487,16.096,16.198,2632,0
2011-03-16,16.375,16.394,16.124,16.394,2390,0
2011-03-17,16.299,16.44,16.299,16.412,609,0
2011-03-18,16.347,16.487,16.347,16.487,2236,0
2011-03-21,15.973,16.002,15.963,16.002,657,0
2011-03-22,16.171,16.241,16.171,16.241,200,0
2011-03-23,16.153,16.153,16.153,16.153,100,0
2011-03-25,16.076,16.076,16.076,16.076,2051,0
2011-03-28,16.086,16.394,16.048,16.394,1664,0
2011-03-29,16.222,16.538,16.222,16.531,2085,0
2011-03-30,16.394,16.575,15.715,16.299,2992,0
2011-03-31,16.531,16.531,16.215,16.215,308,0
2011-04-01,16.206,16.206,15.862,15.862,2151,0
2011-04-04,16.096,16.096,16.086,16.086,200,0
2011-04-05,15.856,16.162,15.715,15.973,2638,0
2011-04-06,16.002,16.02,15.782,15.963,3816,0
2011-04-07,16.02,16.432,15.848,15.848,2220,0
2011-04-08,16.086,16.086,16.086,16.086,488,0
2011-04-11,15.898,16.854,15.81,15.829,9186,0
2011-04-12,15.963,16.289,15.954,16.086,3788,0
2011-04-13,16.096,17.031,16.067,16.366,3344,0
2011-04-15,16.162,16.198,16.029,16.048,1895,0
2011-04-19,16.206,16.206,15.782,15.973,5013,0
2011-04-20,15.856,16.162,15.856,16.162,718,0
2011-04-25,16.198,16.198,16.179,16.179,821,0
2011-04-26,16.206,16.669,16.206,16.394,566,0
2011-04-28,16.394,16.669,16.394,16.669,1744,0
2011-04-29,16.669,16.799,16.162,16.799,1520,0
2011-05-02,16.468,16.531,16.029,16.124,5098,0
2011-05-03,16.356,16.521,16.124,16.162,5002,0
2011-05-04,16.394,16.575,16.171,16.171,1974,0
2011-05-05,16.546,16.546,16.096,16.124,3695,0
2011-05-06,16.375,16.375,16.171,16.171,308,0
2011-05-09,16.394,16.948,16.394,16.468,3252,0
2011-05-11,16.458,16.458,16.251,16.251,4646,0
2011-05-12,16.356,16.575,16.356,16.575,814,0
2011-05-16,16.575,16.64,16.487,16.487,2344,0
2011-05-17,16.458,16.458,16.106,16.106,3344,0
2011-05-18,16.261,16.64,16.261,16.468,2565,0
2011-05-19,16.412,16.412,16.261,16.261,1066,0
2011-05-20,16.289,16.289,16.289,16.289,200,0
2011-05-23,16.241,16.241,16.206,16.206,4546,0
2011-05-24,16.206,16.206,16.124,16.206,2824,0
2011-05-25,15.936,15.936,15.936,15.936,200,0
2011-05-26,16.153,16.153,16.153,16.153,285,0
2011-05-27,16.153,16.206,16.153,16.153,3621,0
2011-05-31,15.819,16.28,15.819,16.002,974,0
2011-06-01,15.871,16.106,15.871,15.898,557,0
2011-06-02,15.973,16.02,15.819,15.907,1402,0
2011-06-03,16.153,16.153,15.782,15.838,881,0
2011-06-06,15.862,15.862,15.706,15.792,3570,0
2011-06-07,15.697,15.782,15.401,15.782,1944,0
2011-06-08,15.744,15.744,15.744,15.744,100,0
2011-06-09,15.734,15.744,15.715,15.715,963,0
2011-06-10,15.391,15.391,15.144,15.329,1292,0
2011-06-13,15.329,15.336,15.329,15.336,2918,0
2011-06-16,15.659,15.659,15.345,15.345,1413,0
2011-06-20,15.282,15.329,15.047,15.245,2003,0
2011-06-21,15.292,15.292,15.292,15.292,387,0
2011-06-22,15.282,15.282,15.282,15.282,429,0
2011-06-28,15.321,15.521,15.321,15.513,1731,0
2011-06-29,15.438,15.438,15.401,15.41,308,0
2011-06-30,15.557,15.604,15.503,15.604,2686,0
2011-07-01,15.448,15.513,15.448,15.513,200,0
2011-07-05,15.557,16.28,15.557,15.724,1784,0
2011-07-06,15.557,15.734,15.503,15.734,1789,0
2011-07-07,15.724,15.734,15.649,15.724,2815,0
2011-07-08,15.566,15.566,15.566,15.566,337,0
2011-07-11,15.566,15.566,15.566,15.566,289,0
2011-07-12,15.734,15.973,15.575,15.744,12741,0
2011-07-13,15.744,15.744,15.613,15.613,762,0
2011-07-14,15.575,15.632,15.513,15.513,5839,0
