Date,Open,High,Low,Close,Volume,OpenInt
2014-03-13,17,18.73,14.1,14.31,2356169,0
2014-03-14,14.6,15.7,14.4,14.65,374081,0
2014-03-17,14.5,15.656,14.46,15.15,199633,0
2014-03-18,15.5,15.5,14.9,15.24,112043,0
2014-03-19,15.35,15.35,14.55,14.71,104796,0
2014-03-20,14.5,15.08,13.2,13.43,113518,0
2014-03-21,13.5,13.99,12.98,13.55,80923,0
2014-03-24,13.31,14,11.76,11.97,150323,0
2014-03-25,11.97,12.49,11.23,11.53,183254,0
2014-03-26,11.79,11.79,11.05,11.1,69400,0
2014-03-27,11.02,11.36,10.85,10.925,45953,0
2014-03-28,10.85,11.3,10.85,11.14,69393,0
2014-03-31,11.5,11.75,11.01,11.47,43894,0
2014-04-01,11.69,12.44,11.41,11.55,87321,0
2014-04-02,11.42,12.41,11.42,12.01,85773,0
2014-04-03,12.03,12.1,11.02,11.22,49257,0
2014-04-04,11.5,11.6,10.66,10.75,39864,0
2014-04-07,10.65,10.94,9.9,10.04,65733,0
2014-04-08,9.97,10.08,8.78,9.1,130343,0
2014-04-09,9.16,9.7,9.16,9.52,21522,0
2014-04-10,9.5,9.67,9,9.022,47769,0
2014-04-11,9.08,9.68,8.8,9.51,20914,0
2014-04-14,10,10.14,9.2,9.99,43014,0
2014-04-15,10.15,10.39,9.1004,9.46,36135,0
2014-04-16,9.56,9.73,8.89,8.89,34967,0
2014-04-17,9.23,9.3,8.58,8.58,29805,0
2014-04-21,8.85,9,8.58,8.87,29661,0
2014-04-22,9.49,9.49,8.75,9.11,21013,0
2014-04-23,9.65,9.78,9.31,9.62,33551,0
2014-04-24,9.85,9.96,9.1,9.25,30147,0
2014-04-25,9.33,9.4,8.86,9,32638,0
2014-04-28,9.2,9.2,8.463,8.61,53324,0
2014-04-29,8.65,8.7999,8.07,8.14,26552,0
2014-04-30,8.03,8.25,7.79,8.05,18683,0
2014-05-01,8.37,8.44,8.09,8.26,6480,0
2014-05-02,8.44,8.44,7.8301,8.16,15132,0
2014-05-05,7.9201,8.19,7.792,8.1,16091,0
2014-05-06,8.1,8.1,7.8,7.8,10184,0
2014-05-07,7.8118,7.86,7.2701,7.42,27439,0
2014-05-08,7.62,7.62,6.84,6.867,30943,0
2014-05-09,6.97,8.2299,6.8,7.01,38093,0
2014-05-12,7.08,7.2,7.06,7.13,18757,0
2014-05-13,7.94,7.94,7.12,7.12,33831,0
2014-05-14,7.18,7.22,6.9392,7.0399,6200,0
2014-05-15,6.929,7.04,6.605,6.71,23663,0
2014-05-16,6.6,6.74,6.38,6.45,33719,0
2014-05-19,6.4301,7,6.4301,6.99,10968,0
2014-05-20,6.95,7.5399,6.62,6.65,10723,0
2014-05-21,6.69,7.1,6.688,6.97,23697,0
2014-05-22,7.266,7.266,6.72,6.72,11132,0
2014-05-23,6.73,7.17,6.51,6.51,5912,0
2014-05-27,6.45,7.17,6.38,6.65,48986,0
2014-05-28,6.6,6.74,6.42,6.66,12808,0
2014-05-29,6.67,7,6.6,6.81,40871,0
2014-05-30,6.71,7.01,6.7,6.74,37109,0
2014-06-02,6.7,7,6.7,7,10941,0
2014-06-03,6.9,7.35,6.73,7.22,36381,0
2014-06-04,7.6,7.6002,7.18,7.3,30979,0
2014-06-05,7.34,7.5,7.26,7.5,14558,0
2014-06-06,7.3101,7.83,7.3101,7.64,9453,0
2014-06-09,7.6199,7.755,7.04,7.4,31835,0
2014-06-10,7.5,8.64,7.5,8.64,61000,0
2014-06-11,8.64,10.27,8.5,9.99,127064,0
2014-06-12,11,11,9.65,9.97,40440,0
2014-06-13,10.22,11.032,9.75,10.29,18693,0
2014-06-16,10.3,10.3,9.663,9.95,19793,0
2014-06-17,10,10.06,9.62,10.02,12839,0
2014-06-18,9.97,9.97,9.6,9.7,8666,0
2014-06-19,9.7,9.702,9.05,9.2,17303,0
2014-06-20,8.6,9.21,8.57,8.8,55170,0
2014-06-23,8.75,9.64,8.75,9.3,11591,0
2014-06-24,9.82,9.82,9.42,9.49,8882,0
2014-06-25,9.92,9.92,9.3601,9.51,17319,0
2014-06-26,9.57,9.97,9.57,9.8,8100,0
2014-06-27,9.9,10.02,9.151,9.89,12333,0
2014-06-30,10,10,9.63,9.74,3880,0
2014-07-01,9.75,10.27,9.71,9.84,32552,0
2014-07-02,9.85,10.18,9.7,9.7,15500,0
2014-07-03,9.55,9.55,9.03,9.03,14109,0
2014-07-07,9.05,9.18,8.63,8.72,7300,0
2014-07-08,8.47,9,7.54,7.79,26548,0
2014-07-09,7.79,8.13,7.79,7.9201,35260,0
