Date,Open,High,Low,Close,Volume,OpenInt
2016-06-07,23.563,24.264,23.563,23.994,20603,0
2016-06-08,23.592,23.983,23.563,23.62,19565,0
2016-06-09,23.786,23.798,23.786,23.798,586,0
2016-06-10,23.657,23.815,23.657,23.702,5572,0
2016-06-13,23.731,23.889,23.666,23.666,6860,0
2016-06-14,23.813,23.815,23.751,23.751,3908,0
2016-06-15,23.815,23.815,23.751,23.809,2096,0
2016-06-16,23.815,24.125,23.789,24.125,6824,0
2016-06-17,24.125,24.125,24.125,24.125,424,0
2016-06-20,24.086,24.125,23.807,23.807,1497,0
2016-06-21,23.807,24.125,23.807,23.956,3750,0
2016-06-22,23.947,24.125,23.798,23.938,4600,0
2016-06-23,23.962,23.966,23.751,23.798,24248,0
2016-06-24,23.702,23.798,23.702,23.702,2773,0
2016-06-27,23.657,23.77,23.657,23.77,1701,0
2016-06-28,23.798,23.798,23.775,23.798,3291,0
2016-06-29,23.798,23.798,23.657,23.721,9588,0
2016-06-30,23.78,23.798,23.702,23.751,19315,0
2016-07-01,24.497,24.497,23.798,24.497,3081,0
2016-07-05,23.957,24.88,23.811,23.844,10689,0
2016-07-06,24.215,24.215,23.798,23.807,5357,0
2016-07-07,23.815,24.012,23.789,24.012,6964,0
2016-07-08,23.798,23.844,23.702,23.751,7499,0
2016-07-11,24.067,24.067,23.711,23.751,8297,0
2016-07-12,23.798,24.152,23.751,23.751,2164,0
2016-07-13,24.241,24.241,23.611,23.611,14464,0
2016-07-14,23.657,23.692,23.331,23.611,111480,0
2016-07-15,23.518,23.518,23.425,23.471,60589,0
2016-07-18,23.471,23.592,23.471,23.524,31228,0
2016-07-19,23.524,23.684,23.518,23.543,17292,0
2016-07-20,23.598,23.69,23.559,23.559,29790,0
2016-07-21,23.589,23.786,23.589,23.776,9686,0
2016-07-22,24.09,24.161,23.699,24.019,8516,0
2016-07-25,24.001,24.001,23.767,23.767,14539,0
2016-07-26,23.955,23.955,23.86,23.926,1488,0
2016-07-27,23.907,23.955,23.899,23.916,4259,0
2016-07-28,23.916,23.974,23.887,23.887,2555,0
2016-07-29,23.964,23.974,23.925,23.925,855,0
2016-08-01,23.926,23.964,23.926,23.945,1116,0
2016-08-02,23.972,23.974,23.907,23.928,6278,0
2016-08-04,23.983,24.34,23.887,23.916,11221,0
2016-08-05,23.936,23.936,23.842,23.887,6682,0
2016-08-08,23.86,24.273,23.795,24.029,31746,0
2016-08-09,24.029,24.124,23.842,23.842,3461,0
2016-08-10,24.029,24.029,23.765,23.86,5368,0
2016-08-11,24.009,24.009,23.757,23.855,5945,0
2016-08-12,23.842,23.842,23.842,23.842,533,0
2016-08-15,23.897,24.047,23.842,23.85,27960,0
2016-08-16,23.916,23.974,23.889,23.936,16128,0
2016-08-17,24.112,24.235,23.992,24.198,7645,0
2016-08-18,24.59,24.59,24.26,24.308,8124,0
2016-08-19,24.27,24.722,24.184,24.722,9599,0
2016-08-22,24.919,24.919,24.543,24.676,8990,0
2016-08-23,24.639,24.92,24.354,24.648,5405,0
2016-08-24,24.685,25.076,24.629,24.77,7596,0
2016-08-25,25.094,25.094,24.797,25.02,5398,0
2016-08-26,24.855,24.916,24.855,24.916,320,0
2016-08-29,25.09,25.109,25.006,25.025,1471,0
2016-08-30,25.1,25.1,24.75,24.75,3151,0
2016-08-31,24.731,24.91,24.731,24.731,4218,0
2016-09-01,24.818,24.818,24.74,24.76,638,0
2016-09-02,25.081,25.478,24.779,25.169,2014,0
2016-09-06,25.015,25.439,24.939,24.939,5965,0
2016-09-07,24.77,24.92,24.77,24.849,1751,0
2016-09-08,25.421,25.421,24.731,24.731,2704,0
2016-09-09,24.639,24.639,24.639,24.639,740,0
2016-09-12,24.676,25.299,24.639,24.731,3951,0
2016-09-13,24.667,24.667,24.176,24.221,5227,0
2016-09-14,24.279,24.279,23.987,24.033,5016,0
2016-09-15,23.978,24.076,23.836,23.872,82355,0
2016-09-16,23.881,23.92,23.836,23.881,53704,0
2016-09-19,24.003,24.021,23.945,24.013,16033,0
2016-09-20,24.013,24.135,24.003,24.106,59988,0
2016-09-21,24.03,24.163,23.974,24.021,109273,0
2016-09-22,24.021,24.021,23.974,24.003,42443,0
2016-09-23,24.021,24.106,23.983,24.021,30191,0
2016-09-26,24.021,24.316,23.964,23.974,46138,0
2016-09-27,24.211,24.211,24.039,24.051,13224,0
2016-09-28,24.048,24.106,23.993,24.003,11691,0
2016-09-29,24.116,24.116,23.993,24.013,29879,0
2016-09-30,24.021,24.116,23.993,24.078,8132,0
2016-10-03,24.135,24.145,24.013,24.078,7276,0
2016-10-04,24.087,24.116,23.946,24.021,7607,0
2016-10-05,24.021,24.078,24.003,24.013,7584,0
2016-10-06,24.013,24.106,23.926,23.945,12323,0
2016-10-07,24.021,24.021,23.993,24.021,11442,0
2016-10-10,24.021,24.021,23.996,24.021,5358,0
2016-10-11,24.013,24.021,23.974,24.021,10183,0
2016-10-12,24.035,24.056,23.993,24.021,27033,0
2016-10-13,24.068,24.068,24.013,24.021,14266,0
2016-10-14,23.974,24.087,23.974,24.036,26723,0
2016-10-17,24.021,24.097,23.993,24.097,46037,0
2016-10-18,24.087,24.087,24.013,24.068,14934,0
2016-10-19,24.161,24.161,24.056,24.103,13630,0
2016-10-20,24.072,24.112,24.072,24.103,8799,0
2016-10-21,24.074,24.103,24.032,24.099,9791,0
2016-10-24,24.103,24.141,24.044,24.083,13350,0
2016-10-25,24.088,24.103,23.969,24.093,10838,0
2016-10-26,24.064,24.208,24.064,24.208,26841,0
2016-10-27,24.16,24.468,24.16,24.255,27557,0
2016-10-28,24.351,24.542,24.333,24.342,4437,0
2016-10-31,24.398,24.485,24.38,24.446,2070,0
2016-11-01,24.256,24.599,24.255,24.284,6201,0
2016-11-02,24.265,24.579,24.265,24.533,8219,0
2016-11-03,24.321,24.8,24.284,24.37,2198,0
2016-11-04,24.542,24.542,24.437,24.437,1517,0
2016-11-07,24.608,24.608,24.189,24.388,4430,0
2016-11-08,24.18,24.361,24.112,24.361,2840,0
2016-11-09,24.226,24.379,24.083,24.093,4014,0
2016-11-10,24.161,24.589,23.538,23.548,19582,0
2016-11-11,23.654,23.692,21.963,23.692,96321,0
2016-11-14,23.168,24.456,23.168,23.806,22690,0
2016-11-15,23.947,23.957,23.639,23.957,18066,0
2016-11-16,23.957,24.495,23.918,24.206,28002,0
2016-11-17,24.34,24.34,23.582,23.957,41771,0
2016-11-18,23.809,24.029,23.774,23.966,3765,0
2016-11-21,23.966,24.187,23.832,23.832,4503,0
