Date,Open,High,Low,Close,Volume,OpenInt
2009-06-02,11.83,11.83,11.83,11.83,0,0
2009-06-03,11.476,11.621,11.309,11.52,6760035,0
2009-06-04,11.476,11.476,11.305,11.326,734120,0
2009-06-05,11.274,11.6,11.274,11.531,679518,0
2009-06-08,11.52,11.546,11.415,11.435,236530,0
2009-06-09,11.345,11.373,10.506,11.131,1423045,0
2009-06-10,11.18,11.339,10.895,10.996,698920,0
2009-06-11,11.026,11.196,10.812,11.122,600541,0
2009-06-12,10.807,11.042,10.736,11.001,272864,0
2009-06-15,11.208,11.291,10.943,11.208,492525,0
2009-06-16,11.38,11.482,11.279,11.415,302097,0
2009-06-17,11.18,11.456,11.136,11.415,177716,0
2009-06-18,11.326,11.524,11.326,11.476,182609,0
2009-06-19,11.587,11.793,11.449,11.633,262944,0
2009-06-22,11.559,11.813,11.559,11.8,692547,0
2009-06-23,11.817,11.89,11.71,11.76,655345,0
2009-06-24,11.793,11.848,11.73,11.84,197004,0
2009-06-25,11.83,11.86,11.813,11.854,384903,0
2009-06-26,11.86,12.008,11.807,11.976,174173,0
2009-06-29,12.002,12.119,11.8,12.065,348230,0
2009-06-30,12.065,12.142,11.866,12.142,441446,0
2009-07-01,12.127,12.127,11.947,12.085,92815,0
2009-07-02,11.866,12.013,11.807,11.83,214288,0
2009-07-06,11.776,11.83,11.531,11.658,183566,0
2009-07-07,11.658,12.097,11.546,11.848,323236,0
2009-07-08,11.682,11.83,11.663,11.682,172106,0
2009-07-09,11.724,11.745,11.531,11.553,107295,0
2009-07-10,11.524,11.546,11.387,11.546,167228,0
2009-07-13,11.546,11.546,11.332,11.38,121988,0
2009-07-14,11.404,11.471,11.279,11.387,75977,0
2009-07-15,11.38,11.553,11.309,11.415,145798,0
2009-07-16,11.274,11.387,11.244,11.368,70441,0
2009-07-17,11.423,11.73,11.423,11.593,98738,0
2009-07-20,11.531,11.73,11.531,11.649,147881,0
2009-07-21,11.649,11.788,11.633,11.717,172302,0
2009-07-22,11.654,11.682,11.267,11.476,495504,0
2009-07-23,11.435,11.566,11.095,11.512,365426,0
2009-07-24,11.449,11.956,11.427,11.89,367353,0
2009-07-27,11.83,11.942,11.621,11.668,346445,0
2009-07-28,11.476,11.89,11.435,11.654,118079,0
2009-07-29,11.689,11.689,11.339,11.444,110370,0
2009-07-30,11.566,11.73,11.392,11.593,152594,0
2009-07-31,11.538,11.649,11.471,11.613,91574,0
2009-08-03,11.663,11.682,11.497,11.593,415511,0
2009-08-04,11.633,11.735,11.573,11.695,241996,0
2009-08-05,11.73,11.871,11.675,11.871,110957,0
2009-08-06,11.866,11.89,11.776,11.866,179897,0
