Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,9.989,10.333,9.89,10.283,459317,0
2005-02-28,10.263,10.263,9.506,9.684,718142,0
2005-03-01,9.694,9.801,9.546,9.605,484417,0
2005-03-02,9.506,10.038,9.506,9.635,636033,0
2005-03-03,9.674,9.969,9.506,9.585,545897,0
2005-03-04,9.684,9.771,9.3878,9.625,401802,0
2005-03-07,9.605,9.684,9.3486,9.4963,471409,0
2005-03-08,9.4074,9.674,9.3684,9.4567,397024,0
2005-03-09,9.3586,9.761,9.3586,9.4377,416942,0
2005-03-10,9.4863,9.939,9.1025,9.86,1468698,0
2005-03-11,9.89,10.136,9.742,9.939,658593,0
2005-03-14,9.999,10.019,9.644,9.761,501285,0
2005-03-15,9.742,9.939,9.674,9.841,465414,0
2005-03-16,9.722,9.771,9.4467,9.4763,678206,0
2005-03-17,9.4178,9.595,9.3486,9.4666,512667,0
2005-03-18,9.4666,9.546,9.2502,9.526,686132,0
2005-03-21,9.4763,9.4863,8.9353,9.083,626277,0
2005-03-22,8.9747,9.3684,8.9747,9.073,376497,0
2005-03-23,9.083,9.083,8.6401,8.6697,550978,0
2005-03-24,8.6204,8.9551,8.6204,8.7288,475272,0
2005-03-28,8.7583,8.9551,8.6894,8.7383,475170,0
2005-03-29,8.8073,8.8961,8.3448,8.3547,853192,0
2005-03-30,8.4235,8.6794,8.4235,8.5515,344083,0
2005-03-31,8.5515,8.5614,8.1677,8.3842,383814,0
2005-04-01,8.3547,8.6105,7.528,7.6265,1874462,0
2005-04-04,7.6265,7.7938,7.2329,7.6758,1407016,0
2005-04-05,7.528,7.5379,7.0262,7.1148,1549688,0
2005-04-06,7.2033,7.3116,6.8688,6.9967,1090675,0
2005-04-07,6.8982,7.6758,6.8885,7.4691,890283,0
2005-04-08,7.7742,9.1124,7.4691,8.0792,4334758,0
2005-04-11,8.0693,8.1481,7.7742,7.9119,1023304,0
2005-04-12,9.142,10.461,8.6598,10.461,10733092,0
2005-04-13,9.742,10.363,9.625,9.86,4079899,0
2005-04-14,9.87,10.589,9.3976,10.283,3004770,0
2005-04-15,10.185,11.022,10.136,10.215,3703602,0
2005-04-18,10.215,11.209,9.821,11.022,3181688,0
2005-04-19,10.973,11.888,10.53,11.405,5949788,0
2005-04-20,11.405,11.7,10.895,11.219,2939023,0
2005-04-21,11.229,11.612,10.715,10.815,2306445,0
2005-04-22,10.835,10.983,9.821,9.989,2229418,0
2005-04-25,9.999,10.333,9.899,10.185,1936553,0
2005-04-26,10.205,10.353,9.694,9.791,2373616,0
2005-04-27,9.791,10.765,9.27,10.735,2921137,0
2005-04-28,10.825,11.318,8.7383,8.9551,5442608,0
2005-04-29,8.9551,9.526,8.9353,9.2307,1373787,0
2005-05-02,9.2307,9.625,9.2207,9.536,824840,0
2005-05-03,9.536,9.605,9.2502,9.4567,430661,0
2005-05-04,9.4467,9.89,9.2995,9.781,1266680,0
2005-05-05,9.87,9.989,9.625,9.694,904916,0
2005-05-06,9.791,9.86,9.644,9.674,750964,0
2005-05-09,9.742,10.146,9.644,9.989,1268814,0
2005-05-10,9.89,10.146,9.1025,9.3779,1110187,0
2005-05-11,9.3878,10.491,9.3878,9.909,2412940,0
2005-05-12,9.742,9.949,9.1517,9.2307,1316574,0
2005-05-13,9.1617,9.506,8.6598,8.8272,855733,0
2005-05-16,8.7483,9.073,8.6598,8.9747,633493,0
2005-05-17,8.9157,9.1025,8.1677,8.3941,2526450,0
2005-05-18,8.3941,8.5614,8.0398,8.4926,1522353,0
2005-05-19,8.5417,9.1912,8.2859,8.9649,1251539,0
2005-05-20,8.9944,9.0042,8.6894,8.9747,1117604,0
2005-05-23,8.9551,9.0929,8.7483,8.9845,1833917,0
2005-05-24,10.333,10.805,10.058,10.333,4263829,0
2005-05-25,10.333,11.219,10.086,10.825,2824091,0
2005-05-26,10.825,11.612,10.55,10.825,4668271,0
2005-05-27,10.745,10.933,10.058,10.126,1886556,0
2005-05-31,10.086,10.471,10.058,10.156,636947,0
2005-06-01,10.165,10.205,9.831,10.146,794152,0
2005-06-02,10.165,10.175,9.989,10.086,512567,0
2005-06-03,10.038,10.048,9.821,9.841,676275,0
2005-06-06,9.801,9.89,9.664,9.704,767630,0
2005-06-07,9.751,10.086,9.694,9.732,718547,0
2005-06-08,9.781,9.781,9.4567,9.575,512567,0
2005-06-09,9.526,9.635,9.4074,9.565,392960,0
2005-06-10,9.595,9.712,9.329,9.4467,514192,0
2005-06-13,9.4278,9.605,9.2109,9.3684,645788,0
2005-06-14,9.3486,9.565,9.3192,9.565,315832,0
2005-06-15,9.555,9.841,9.3684,9.751,698123,0
2005-06-16,9.732,9.88,9.674,9.821,511753,0
2005-06-17,9.791,9.919,9.674,9.674,931133,0
2005-06-20,9.506,9.536,8.7681,8.8368,1441057,0
2005-06-21,8.7583,9.201,8.5121,8.532,1585254,0
2005-06-22,8.5417,8.6105,8.0792,8.1382,1264851,0
2005-06-23,8.158,8.2367,7.7643,7.8726,1210383,0
2005-06-24,7.8726,7.9414,7.3904,7.5773,1496339,0
2005-06-27,7.528,7.7052,7.2822,7.5479,604022,0
2005-06-28,7.5577,7.8233,7.5184,7.7544,797302,0
2005-06-29,7.8529,7.8726,7.6069,7.7544,369486,0
2005-06-30,7.7348,7.8823,7.5773,7.6658,678001,0
2005-07-01,7.6856,7.8037,7.2428,7.292,904510,0
2005-07-05,7.3806,7.597,7.1738,7.5577,527403,0
2005-07-06,7.4985,7.6364,7.1345,7.2033,504639,0
2005-07-07,7.105,7.4101,6.8885,7.4001,603109,0
2005-07-08,7.4495,7.843,7.4395,7.7544,584918,0
2005-07-11,7.7643,8.6401,7.7348,8.3547,1281414,0
2005-07-12,8.3647,8.4334,7.9808,8.2367,547015,0
2005-07-13,8.1382,8.8468,8.0497,8.2661,1589218,0
2005-07-14,8.4631,8.5417,8.2957,8.3647,931033,0
2005-07-15,8.3842,8.4433,8.2661,8.2957,557583,0
2005-07-18,8.2957,8.3253,7.8726,7.8823,530146,0
2005-07-19,8.0005,8.2268,7.8726,8.1677,487466,0
2005-07-20,8.1677,8.3842,7.8923,8.2563,575467,0
2005-07-21,8.3647,8.3647,7.9709,7.9709,314917,0
2005-07-22,7.9808,8.1875,7.8923,8.1285,271729,0
2005-07-25,8.1875,8.2268,7.8923,7.9218,394180,0
2005-07-26,7.9316,8.3055,7.8923,8.2661,668245,0
2005-07-27,8.2761,8.3746,7.9709,8.1285,543457,0
2005-07-28,8.2268,8.2661,8.1382,8.1776,342150,0
2005-07-29,8.158,8.2957,8.158,8.2268,214823,0
2005-08-01,8.2367,8.532,8.1677,8.4334,472426,0
2005-08-02,8.1186,8.581,8.1186,8.4728,786227,0
2005-08-03,8.4728,8.6304,8.3547,8.581,396823,0
2005-08-04,8.4826,8.6401,8.3746,8.3746,600669,0
2005-08-05,8.4433,8.581,8.3647,8.4631,599653,0
2005-08-08,8.4728,8.6008,8.3746,8.4433,511144,0
2005-08-09,8.4728,8.5515,8.3647,8.4235,372738,0
