Date,Open,High,Low,Close,Volume,OpenInt
2016-04-28,5.9724,7.769,5.9724,5.9724,264749,0
2016-04-29,6.1065,6.1635,6.0201,6.1156,25079,0
2016-05-02,6.1635,6.1635,5.9724,6.0869,33496,0
2016-05-03,6.1156,6.2972,5.9724,6.1065,55158,0
2016-05-04,6.2687,6.2782,5.9533,6.2019,69437,0
2016-05-05,6.2877,6.7847,6.2401,6.6891,109560,0
2016-05-06,6.7847,6.9948,6.5943,6.7274,73447,0
2016-05-09,6.8706,6.9279,6.708,6.8325,82905,0
2016-05-10,6.9279,6.9279,6.6891,6.7847,34235,0
2016-05-11,6.9185,6.9185,6.5459,6.7128,85742,0
2016-05-12,6.6891,6.8038,6.6891,6.8038,43837,0
2016-05-13,6.8038,6.823,6.6122,6.8038,90015,0
2016-05-16,6.9569,6.9569,6.6505,6.7272,16298,0
2016-05-17,6.7077,6.9667,6.6694,6.9667,20894,0
2016-05-18,6.9187,7.1871,6.7097,7.1871,6960,0
2016-05-19,7.1871,7.1871,6.8132,6.8516,6452,0
2016-05-20,6.9283,7.1871,6.8997,7.1871,5971,0
2016-05-23,7.101,7.4266,7.0529,7.1295,51149,0
2016-05-24,7.2636,7.3403,6.9476,7.1486,12027,0
2016-05-25,7.1394,7.1394,6.8708,6.9858,20126,0
2016-05-26,6.7751,7.1394,6.7751,7.1394,19773,0
2016-05-27,7.1394,7.1394,6.6988,6.9569,15218,0
2016-05-31,6.9667,7.0434,6.6793,7.0434,3709,0
2016-06-01,6.7272,6.8997,6.7272,6.7846,6429,0
2016-06-02,6.8613,6.8613,6.7751,6.8516,2650,0
2016-06-03,7.0529,7.0913,6.823,7.0913,6991,0
2016-06-06,6.7461,6.8997,6.7461,6.8516,19953,0
2016-06-07,6.8132,6.8997,6.7943,6.8422,4313,0
2016-06-08,6.9091,7.1394,6.8326,7.1394,19879,0
2016-06-09,7.1394,7.1394,6.8516,6.8516,5697,0
2016-06-10,6.9559,6.9858,6.8614,6.9858,13152,0
2016-06-13,7.0627,7.4169,7.0482,7.302,56185,0
2016-06-14,7.302,7.302,7.139,7.1676,27987,0
2016-06-15,7.094,7.3116,7.094,7.1869,38611,0
2016-06-16,7.081,7.2346,6.8888,6.9946,46825,0
2016-06-17,7.2443,7.2443,6.8888,6.9466,87056,0
2016-06-20,7.0907,7.4172,7.062,7.2636,29629,0
2016-06-21,7.206,7.3214,7.206,7.3214,24961,0
2016-06-22,7.206,7.5614,7.206,7.5614,38703,0
2016-06-23,7.5902,7.6863,7.4653,7.6479,46982,0
2016-06-24,7.3309,7.8114,7.3309,7.744,502336,0
2016-06-27,7.8017,7.8114,7.5614,7.6768,53633,0
2016-06-28,7.8786,8.1282,7.6863,7.84,63342,0
2016-06-29,7.9457,8.1379,7.8786,8.09,36226,0
2016-06-30,8.1667,8.6183,8.0764,8.4551,130061,0
2016-07-01,8.4551,8.5321,8.1379,8.5222,33393,0
2016-07-05,8.6376,8.6559,8.5124,8.6277,73570,0
2016-07-06,8.7337,8.7337,8.5124,8.6183,32160,0
2016-07-07,8.6277,8.6277,8.5124,8.5222,8555,0
2016-07-08,8.6183,8.6277,8.3589,8.5607,59136,0
2016-07-11,8.6474,8.6474,8.4166,8.5222,36662,0
2016-07-12,8.4166,8.5799,8.378,8.5607,58400,0
2016-07-13,8.6202,8.7649,8.4758,8.6684,39727,0
2016-07-14,8.688,8.7735,8.688,8.7457,17033,0
2016-07-15,8.8421,8.8421,8.6013,8.6684,36107,0
2016-07-18,8.6494,8.7552,8.6202,8.7265,17300,0
2016-07-19,8.6947,8.6973,8.5724,8.6398,12711,0
2016-07-20,8.5627,8.6588,8.4956,8.5627,17259,0
2016-07-21,8.4955,8.5724,8.3894,8.4855,18160,0
2016-07-22,8.446,8.447,8.2832,8.3123,15830,0
2016-07-25,8.3315,8.399,8.3025,8.3795,8297,0
2016-07-26,8.3894,8.428,8.0713,8.1099,22598,0
2016-07-27,8.1484,8.2062,8.0618,8.1967,20084,0
2016-07-28,8.2159,8.2159,8.1001,8.1198,10487,0
2016-07-29,8.1967,8.2337,8.0618,8.1484,15926,0
