Date,Open,High,Low,Close,Volume,OpenInt
1984-12-18,2.7947,2.8195,2.7612,2.8195,562026,0
1984-12-19,2.8195,2.8862,2.8195,2.861,517390,0
1984-12-20,2.8529,2.861,2.8444,2.861,478842,0
1984-12-21,2.8444,2.8529,2.8195,2.8195,312464,0
1984-12-24,2.8444,2.861,2.8444,2.861,105506,0
1984-12-26,2.8774,2.9025,2.861,2.8774,245503,0
1984-12-27,2.861,2.8862,2.6282,2.6282,971885,0
1984-12-28,2.6533,2.7198,2.6533,2.6779,2313049,0
1984-12-31,2.6613,2.6779,2.487,2.5449,1168698,0
1985-01-02,2.5618,2.6779,2.5618,2.6198,892754,0
1985-01-03,2.6448,2.6779,2.6448,2.6779,158261,0
1985-01-04,2.6867,2.7031,2.6779,2.6867,353046,0
1985-01-07,2.6867,2.6867,2.6282,2.6448,186666,0
1985-01-08,2.6448,2.6613,2.6448,2.6533,525506,0
1985-01-09,2.6613,2.7198,2.6613,2.7112,411883,0
1985-01-10,2.7198,2.7198,2.7198,2.7198,223189,0
1985-01-11,2.7198,2.728,2.7031,2.7112,379419,0
1985-01-14,2.7112,2.7198,2.7112,2.7198,243480,0
1985-01-15,2.7361,2.7447,2.7031,2.728,462610,0
1985-01-16,2.7031,2.7198,2.7031,2.7198,562026,0
1985-01-17,2.7112,2.7198,2.6613,2.6947,424057,0
1985-01-18,2.7198,2.7198,2.7031,2.7198,168404,0
1985-01-21,2.7198,2.7447,2.7198,2.7361,462610,0
1985-01-22,2.7198,2.7198,2.6779,2.7112,385506,0
1985-01-23,2.7112,2.7198,2.7031,2.7112,172463,0
1985-01-24,2.7198,2.7528,2.7198,2.7447,367246,0
1985-01-25,2.7447,2.7528,2.7198,2.7198,243480,0
1985-01-28,2.7112,2.861,2.7112,2.8363,862727,0
1985-01-29,2.8774,2.9191,2.861,2.9025,1271771,0
1985-01-30,2.8195,2.8195,2.7612,2.8195,941450,0
1985-01-31,2.8195,2.8195,2.7695,2.8028,407419,0
1985-02-01,2.8028,2.8774,2.7863,2.8195,468292,0
1985-02-04,2.8444,2.9359,2.8444,2.9359,608697,0
1985-02-05,2.994,3.0358,2.994,3.0193,670378,0
1985-02-06,2.994,3.1689,2.994,3.1522,1012871,0
1985-02-07,3.1689,3.3265,3.127,3.3265,1943773,0
1985-02-08,3.2269,3.2853,3.2021,3.2269,1545278,0
1985-02-11,3.2102,3.2102,3.1106,3.1689,930092,0
1985-02-12,3.1689,3.3434,3.144,3.3187,998261,0
1985-02-13,3.3766,3.3766,3.2604,3.3019,1078609,0
1985-02-14,3.3187,3.4764,3.3019,3.4764,2468061,0
1985-02-15,3.493,3.518,3.4016,3.4016,1248233,0
1985-02-19,3.3766,3.493,3.3265,3.493,466666,0
1985-02-20,3.518,3.6262,3.493,3.518,1159771,0
1985-02-21,3.5098,3.518,3.4349,3.4764,505624,0
1985-02-22,3.4598,3.4764,3.3934,3.4016,362783,0
1985-02-25,3.3766,3.3766,3.2604,3.3766,410670,0
1985-02-26,3.3766,3.4517,3.3766,3.4016,686613,0
1985-02-27,3.4185,3.4598,3.4185,3.4517,467478,0
1985-02-28,3.4764,3.6429,3.4517,3.6429,689855,0
1985-03-01,3.6096,3.6262,3.568,3.6096,698783,0
1985-03-04,3.6096,3.6096,3.518,3.5762,349798,0
1985-03-05,3.5513,3.6429,3.5513,3.6096,254841,0
1985-03-06,3.5931,3.5931,3.5762,3.5931,271885,0
1985-03-07,3.5513,3.568,3.4598,3.5513,557566,0
1985-03-08,3.5513,3.5513,3.5098,3.518,168814,0
1985-03-11,3.4016,3.4016,3.3434,3.4016,297854,0
1985-03-12,3.3766,3.4016,3.3434,3.4016,120928,0
1985-03-13,3.3766,3.3934,3.2684,3.2853,183424,0
1985-03-14,3.2684,3.2853,3.2604,3.2684,153392,0
1985-03-15,3.2684,3.2853,3.2604,3.2853,95769,0
1985-03-18,3.2853,3.3187,3.2604,3.2684,146901,0
1985-03-19,3.2684,3.3019,3.2021,3.2604,750726,0
1985-03-20,3.2684,3.2853,3.2437,3.2853,512117,0
1985-03-21,3.2684,3.4185,3.2684,3.4185,205334,0
1985-03-22,3.4185,3.4517,3.3265,3.3265,223189,0
1985-03-25,3.3265,3.3602,3.2684,3.2853,246725,0
1985-03-26,3.3019,3.3434,3.2684,3.3265,628988,0
1985-03-27,3.2853,3.3019,3.2604,3.2853,436638,0
1985-03-28,3.2853,3.3602,3.2853,3.3019,404986,0
1985-03-29,3.3265,3.3434,3.2853,3.3187,689855,0
1985-04-01,3.3187,3.3265,3.2684,3.3019,341682,0
1985-04-02,3.3019,3.3934,3.3019,3.3434,2840585,0
1985-04-03,3.3602,3.3602,3.3019,3.3187,1947829,0
1985-04-04,3.3187,3.3187,3.2853,3.2853,1555826,0
1985-04-08,3.2853,3.3187,3.2853,3.3019,576231,0
1985-04-09,3.3019,3.3434,3.2853,3.3265,908985,0
1985-04-10,3.3265,3.4016,3.3265,3.3766,602204,0
1985-04-11,3.4016,3.4185,3.3766,3.4016,633855,0
1985-04-12,3.4349,3.4517,3.3766,3.4349,917103,0
1985-04-15,3.4349,3.493,3.4349,3.4517,487767,0
1985-04-16,3.4517,3.4598,3.4185,3.4598,418782,0
1985-04-17,3.4598,3.4764,3.4349,3.4598,378201,0
1985-04-18,3.4764,3.5347,3.4598,3.5098,976348,0
1985-04-19,3.5098,3.6429,3.493,3.568,851365,0
1985-04-22,3.568,3.568,3.4598,3.5347,953622,0
1985-04-23,3.518,3.5931,3.5098,3.5931,1971366,0
1985-04-24,3.5931,3.6096,3.5098,3.518,787247,0
1985-04-25,3.5513,3.6511,3.5347,3.6429,660640,0
1985-04-26,3.668,3.726,3.668,3.726,430957,0
1985-04-29,3.7095,3.7095,3.6429,3.6511,446380,0
1985-04-30,3.6096,3.6262,3.5762,3.6096,392813,0
1985-05-01,3.6096,3.6262,3.5347,3.5347,719885,0
1985-05-02,3.493,3.5347,3.4764,3.518,754782,0
1985-05-03,3.5347,3.5931,3.5347,3.568,850551,0
1985-05-06,3.5762,3.5762,3.5098,3.5098,308406,0
1985-05-07,3.5098,3.518,3.4764,3.5098,316522,0
1985-05-08,3.493,3.5762,3.493,3.5513,508059,0
1985-05-09,3.5762,3.6844,3.5762,3.6511,838378,0
1985-05-10,3.7012,3.8256,3.7012,3.7592,923595,0
1985-05-13,3.7592,3.8757,3.7592,3.8177,791304,0
1985-05-14,3.8008,3.9175,3.8008,3.8757,411477,0
1985-05-15,3.8757,3.9175,3.8757,3.9006,311652,0
1985-05-16,3.9338,3.9756,3.9006,3.9338,572987,0
1985-05-17,3.9922,4.0672,3.9756,4.0171,822147,0
1985-05-20,4.0754,4.0919,4.0086,4.0086,839189,0
1985-05-21,4.034,4.1083,3.9506,4.1083,749914,0
1985-05-22,4.1417,4.1835,4.1083,4.1083,744232,0
1985-05-23,4.1252,4.1417,4.0919,4.1083,194782,0
1985-05-24,4.0919,4.2003,4.0919,4.2003,478842,0
1985-05-28,4.225,4.3248,4.2082,4.2833,708521,0
1985-05-29,4.3165,4.4578,4.2833,4.4578,608697,0
1985-05-30,4.491,4.5162,4.2666,4.3414,715825,0
1985-05-31,4.3414,4.4002,4.2833,4.358,381451,0
1985-06-03,4.3747,4.3912,4.2998,4.3165,316522,0
1985-06-04,4.3747,4.4331,4.3414,4.4165,420407,0
1985-06-05,4.4578,4.5162,4.4165,4.4165,876521,0
1985-06-06,4.4002,4.4002,4.2833,4.3165,512117,0
1985-06-07,4.3248,4.3414,4.2583,4.2998,481275,0
1985-06-10,4.2833,4.2833,4.2583,4.2833,127420,0
1985-06-11,4.2833,4.3248,4.2833,4.3248,438262,0
1985-06-12,4.3165,4.3248,4.2998,4.2998,327884,0
1985-06-13,4.2998,4.2998,4.0754,4.1835,1382150,0
1985-06-14,4.1835,4.2003,4.0919,4.1252,328696,0
1985-06-17,4.1502,4.2082,4.1252,4.1671,376583,0
1985-06-18,4.1671,4.2003,4.1252,4.1417,100640,0
1985-06-19,4.1417,4.1417,4.0505,4.0754,652523,0
1985-06-20,4.1083,4.3248,3.9175,3.9588,1600467,0
1985-06-21,3.9175,4.0505,3.9175,4.0171,643598,0
1985-06-24,4.0672,4.1252,4.0505,4.1083,534841,0
1985-06-25,4.1083,4.225,4.0919,4.1835,702025,0
1985-06-26,4.1835,4.3165,4.1835,4.3165,1012871,0
1985-06-27,4.3248,4.4165,4.3248,4.4002,766957,0
1985-06-28,4.4578,4.566,4.4331,4.5494,1205217,0
1985-07-01,4.566,4.566,4.3747,4.4578,1002317,0
1985-07-02,4.4745,4.491,4.4002,4.4002,590843,0
1985-07-03,4.4331,4.4578,4.3248,4.3414,491019,0
1985-07-05,4.3414,4.358,4.3165,4.358,294609,0
1985-07-08,4.3248,4.3747,4.2583,4.2833,452869,0
1985-07-09,4.3248,4.3248,4.225,4.3248,621684,0
1985-07-10,4.3414,4.3747,4.2998,4.3248,426899,0
1985-07-11,4.2998,4.3912,4.2998,4.358,330318,0
1985-07-12,4.3747,4.4165,4.3248,4.3912,475596,0
1985-07-15,4.4498,4.5076,4.4165,4.5076,534841,0
1985-07-16,4.6243,4.6408,4.6243,4.6243,980405,0
1985-07-17,4.6243,4.6243,4.5494,4.5494,922785,0
1985-07-18,4.5162,4.5162,4.3747,4.3747,2705045,0
1985-07-19,4.358,4.3912,4.3165,4.3747,383883,0
1985-07-22,4.3912,4.4745,4.3912,4.4002,1016118,0
1985-07-23,4.4165,4.5076,4.3912,4.4578,900871,0
1985-07-24,4.4578,4.4578,4.1671,4.2583,1972989,0
1985-07-25,4.2419,4.2583,3.9588,3.9922,4005221,0
1985-07-26,4.0171,4.1671,3.9922,4.0505,2126379,0
1985-07-29,4.034,4.034,3.7843,3.8256,2442903,0
1985-07-30,3.8008,3.8757,3.7676,3.8591,1749799,0
1985-07-31,4.0171,4.0505,3.8757,4.0171,2213219,0
1985-08-01,4.0505,4.1502,4.0505,4.1252,2152352,0
1985-08-02,4.1252,4.1417,4.0672,4.0754,658202,0
1985-08-05,4.0754,4.0919,3.9922,4.034,1301797,0
1985-08-06,4.034,4.0754,3.8425,3.9338,1068058,0
1985-08-07,3.9006,3.9338,3.8425,3.9006,764525,0
1985-08-08,3.8757,3.9588,3.8757,3.9588,1380524,0
1985-08-09,3.9588,3.9756,3.9588,3.9588,358725,0
1985-08-12,3.9922,3.9922,3.9338,3.9338,323016,0
1985-08-13,3.9338,3.9338,3.8924,3.9175,190725,0
1985-08-14,3.9506,3.9922,3.9006,3.9006,215074,0
1985-08-15,3.9006,3.9006,3.7592,3.8008,525103,0
1985-08-16,3.7592,3.7843,3.7095,3.7676,450435,0
1985-08-19,3.7426,3.7426,3.6096,3.6262,915479,0
1985-08-20,3.6096,3.7592,3.5931,3.7426,2297626,0
1985-08-21,3.7426,3.7676,3.726,3.7676,1386204,0
1985-08-22,3.7843,3.8177,3.7676,3.7843,1922671,0
1985-08-23,3.7592,3.7592,3.7012,3.7095,514552,0
1985-08-26,3.726,3.7676,3.7012,3.7592,477219,0
1985-08-27,3.7592,3.8008,3.7592,3.7843,469103,0
1985-08-28,3.8008,3.8591,3.8008,3.8591,1215768,0
1985-08-29,3.8924,3.9006,3.7676,3.8757,768580,0
1985-08-30,3.8757,3.8924,3.8757,3.8757,458552,0
1985-09-03,3.8757,3.9006,3.8591,3.8757,374958,0
1985-09-04,3.8425,3.8425,3.7095,3.7592,755593,0
1985-09-05,3.7592,3.7592,3.668,3.7095,513739,0
1985-09-06,3.7095,3.7592,3.7095,3.7095,346550,0
1985-09-09,3.7095,3.7426,3.6096,3.6096,460174,0
1985-09-10,3.6262,3.668,3.518,3.5513,753972,0
1985-09-11,3.568,3.5931,3.3265,3.4598,1253102,0
1985-09-12,3.4598,3.6429,3.4598,3.5513,1601280,0
1985-09-13,3.568,3.6096,3.5098,3.518,939827,0
1985-09-16,3.493,3.5098,3.4517,3.4598,331940,0
1985-09-17,3.4598,3.4764,3.3602,3.3766,578668,0
1985-09-18,3.3602,3.3766,3.2604,3.2853,1337508,0
1985-09-19,3.2853,3.3434,3.2853,3.3187,1093217,0
1985-09-20,3.4016,3.5513,3.4016,3.4517,1116755,0
1985-09-23,3.5347,3.6262,3.5347,3.5931,732872,0
1985-09-24,3.6262,3.6429,3.5347,3.568,559190,0
1985-09-25,3.5513,3.5513,3.4349,3.518,409045,0
1985-09-26,3.5098,3.5513,3.4764,3.518,475596,0
1985-09-30,3.5098,3.6096,3.5098,3.6096,402552,0
1985-10-01,3.668,3.7012,3.6429,3.6844,339246,0
1985-10-02,3.6844,3.8008,3.6844,3.726,288928,0
1985-10-03,3.7012,3.7012,3.6511,3.668,274321,0
1985-10-04,3.6429,3.6429,3.4764,3.5098,447999,0
1985-10-07,3.5098,3.5513,3.4598,3.5347,284871,0
1985-10-08,3.518,3.568,3.518,3.5347,284871,0
1985-10-09,3.568,3.8757,3.5513,3.8757,2343074,0
1985-10-10,3.9006,3.9338,3.8256,3.8591,803481,0
1985-10-11,3.8425,3.9506,3.8256,3.9006,1244987,0
1985-10-14,3.9175,4.0171,3.9175,4.0086,777507,0
1985-10-15,3.9922,4.034,3.9338,3.9588,1225508,0
1985-10-16,3.9506,3.9588,3.9006,3.9588,360349,0
1985-10-17,3.9922,4.0171,3.9588,3.9756,659827,0
1985-10-18,3.9922,3.9922,3.9588,3.9588,306783,0
1985-10-21,3.9756,3.9922,3.9506,3.9756,373333,0
1985-10-22,3.9756,4.0086,3.9006,3.9175,426088,0
1985-10-23,3.9006,3.9588,3.9006,3.9338,349798,0
1985-10-24,3.9588,3.9756,3.8924,3.8924,660640,0
1985-10-25,3.9006,3.9006,3.7012,3.7592,673624,0
1985-10-28,3.7592,3.9756,3.7592,3.9175,318143,0
1985-10-29,3.9338,3.9922,3.9006,3.9338,432579,0
1985-10-30,3.9175,3.9922,3.9175,3.9756,387132,0
1985-10-31,4.0171,4.0754,3.9756,4.0171,1693796,0
1985-11-01,3.9922,4.0919,3.9588,3.9922,866784,0
1985-11-04,3.9588,4.0171,3.9506,3.9588,400115,0
1985-11-05,3.9588,4.0171,3.9506,3.9756,348175,0
1985-11-06,3.9506,4.0086,3.9506,3.9756,771826,0
1985-11-07,3.9922,3.9922,3.9506,3.9506,274321,0
1985-11-08,3.9506,3.9588,3.7592,3.8177,933334,0
1985-11-11,3.8591,3.9006,3.8177,3.9006,659827,0
1985-11-12,3.9338,3.9756,3.9175,3.9506,608697,0
1985-11-13,3.9588,3.9756,3.9338,3.9506,406609,0
1985-11-14,3.9506,3.9588,3.8924,3.9588,499130,0
1985-11-15,3.9506,3.9588,3.9006,3.9338,254841,0
1985-11-18,3.9338,4.0505,3.9175,4.0505,1098087,0
1985-11-19,4.0505,4.0919,4.034,4.034,611942,0
1985-11-20,4.0505,4.1502,4.0505,4.1502,1011248,0
1985-11-21,4.1835,4.2666,4.1835,4.225,786437,0
1985-11-22,4.225,4.2419,4.1417,4.1502,2789455,0
1985-11-25,4.2003,4.2003,4.1083,4.1835,878959,0
1985-11-26,4.2003,4.2003,4.1252,4.1417,225622,0
1985-11-27,4.1417,4.2419,4.1417,4.225,743418,0
1985-11-29,4.2082,4.2082,4.1671,4.1835,538088,0
1985-12-02,4.1502,4.1835,4.1417,4.1671,185857,0
1985-12-03,4.1502,4.1835,4.0754,4.1835,459365,0
1985-12-04,4.1502,4.2666,4.1502,4.2583,921159,0
1985-12-05,4.2583,4.3414,4.1671,4.1671,1115941,0
1985-12-06,4.1502,4.2082,4.1252,4.2082,465854,0
