Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,14.346,14.356,13.917,13.964,27294,0
2005-02-28,14.039,14.039,13.964,14.039,16759,0
2005-03-01,13.917,14.059,13.869,13.879,8612,0
2005-03-02,13.869,13.869,13.362,13.581,18954,0
2005-03-03,13.362,13.772,13.362,13.772,17951,0
2005-03-04,13.466,14.126,13.466,14.049,4576,0
2005-03-07,14.049,14.049,13.992,14.001,6646,0
2005-03-08,14.011,14.116,14.001,14.116,3122,0
2005-03-09,13.869,14.213,13.869,14.213,2267,0
2005-03-10,14.203,14.203,14.059,14.059,2249,0
2005-03-11,14.011,14.107,13.628,14.107,7747,0
2005-03-14,14.107,14.107,13.888,13.888,1439,0
2005-03-15,13.342,14.107,13.342,14.107,3555,0
2005-03-16,13.676,13.676,13.638,13.676,1465,0
2005-03-17,13.561,13.561,13.505,13.561,1882,0
2005-03-18,13.973,13.973,13.581,13.581,524,0
2005-03-21,13.676,13.676,13.581,13.591,6095,0
2005-03-22,13.666,13.763,13.666,13.676,7420,0
2005-03-23,14.107,14.107,14.107,14.107,175,0
2005-03-24,14.107,14.107,13.869,13.879,2261,0
2005-03-28,13.485,13.772,13.485,13.485,2799,0
2005-03-29,13.333,13.333,12.787,12.864,5083,0
2005-03-30,12.873,12.873,12.52,12.52,2190,0
2005-03-31,12.72,13.294,12.432,12.911,11731,0
2005-04-01,12.701,13.064,12.672,13.064,21489,0
2005-04-04,12.72,12.901,12.72,12.796,1672,0
2005-04-05,12.739,12.959,12.739,12.95,1330,0
2005-04-06,12.911,13.246,12.911,13.246,318,0
2005-04-07,13.246,13.735,13.246,13.735,6482,0
2005-04-08,13.628,13.628,13.628,13.628,2195,0
2005-04-11,13.255,13.294,13.228,13.228,2164,0
2005-04-13,13.391,13.391,13.008,13.008,2039,0
2005-04-14,12.959,13.054,12.959,13.008,4671,0
2005-04-15,13.008,13.008,13.008,13.008,2091,0
2005-04-18,13.581,13.581,12.959,12.959,3046,0
2005-04-19,13.15,13.294,13.15,13.15,2875,0
2005-04-20,13.485,13.744,13.485,13.485,6049,0
2005-04-21,13.514,13.581,13.198,13.542,3938,0
2005-04-22,13.581,13.581,13.418,13.418,1795,0
2005-04-25,13.676,13.869,13.676,13.676,30507,0
2005-04-26,13.82,13.84,13.82,13.84,1975,0
2005-04-27,13.964,14.107,13.954,14.107,6104,0
2005-04-28,14.107,14.203,14.107,14.135,4001,0
2005-04-29,14.28,14.29,14.107,14.203,2655,0
2005-05-02,14.155,14.203,13.964,14.203,1271,0
