Date,Open,High,Low,Close,Volume,OpenInt
2010-08-23,15.139,15.245,15.063,15.107,10289,0
2010-08-24,15.1,15.221,14.95,15.063,9738,0
2010-08-25,14.712,14.712,14.435,14.441,11225,0
2010-08-26,14.598,14.598,14.441,14.478,17841,0
2010-08-27,14.573,14.741,14.464,14.685,9897,0
2010-08-30,14.529,14.68,14.378,14.561,17075,0
2010-08-31,14.648,14.786,14.553,14.553,19510,0
2010-09-01,14.547,14.926,14.547,14.806,12351,0
2010-09-02,14.907,14.926,14.755,14.919,18285,0
2010-09-03,14.843,14.919,14.61,14.723,29971,0
2010-09-07,14.831,14.837,14.616,14.781,10175,0
2010-09-08,14.831,14.88,14.63,14.749,11159,0
2010-09-09,14.793,14.88,14.685,14.862,12489,0
2010-09-10,14.831,14.919,14.831,14.919,13539,0
2010-09-13,14.88,14.919,14.781,14.818,7315,0
2010-09-14,14.911,15.169,14.786,14.843,7077,0
2010-09-15,15.014,15.014,14.862,14.968,3300,0
2010-09-16,15.019,15.094,14.944,15.094,7151,0
2010-09-17,15.051,15.056,14.749,15,3404,0
2010-09-20,14.911,14.968,14.786,14.812,29677,0
2010-09-21,14.855,14.994,14.831,14.831,8587,0
2010-09-22,14.837,15.088,14.837,14.843,6042,0
2010-09-23,14.88,15.032,14.831,15.032,3530,0
2010-09-24,14.957,14.98,14.937,14.98,11335,0
2010-09-27,15.032,15.032,14.862,14.862,6003,0
2010-09-28,14.862,14.862,14.768,14.843,13594,0
2010-09-29,14.98,15.063,14.976,15.014,6247,0
2010-09-30,15.037,15.063,14.976,14.988,7347,0
2010-10-01,14.85,15.044,14.85,15.044,794,0
2010-10-04,15.032,15.221,15.032,15.202,6560,0
2010-10-05,15.094,15.182,14.911,15.139,8031,0
2010-10-06,15.188,15.252,15.083,15.094,8801,0
2010-10-07,15.221,15.41,15.221,15.354,5517,0
2010-10-08,15.384,15.41,15.188,15.41,12582,0
2010-10-11,15.391,15.391,15.094,15.29,15396,0
2010-10-12,15.252,15.284,15.245,15.252,7633,0
2010-10-13,15.252,15.41,15.252,15.284,4459,0
2010-10-14,15.372,15.372,15.284,15.339,18125,0
2010-10-15,15.41,15.567,15.354,15.377,11901,0
2010-10-18,15.358,15.403,15.346,15.365,14627,0
2010-10-19,15.377,15.377,15.252,15.252,3532,0
2010-10-20,15.271,15.346,15.252,15.346,5890,0
2010-10-21,15.346,15.346,15.069,15.069,952,0
2010-10-22,15.221,15.315,15.069,15.069,4690,0
2010-10-25,15.245,15.245,14.962,14.962,7037,0
2010-10-26,14.88,15.284,14.88,15.284,12554,0
2010-10-27,15.284,15.296,15.063,15.284,6885,0
2010-10-28,15.232,15.661,15.119,15.119,20852,0
2010-10-29,15.132,15.188,14.931,14.937,6201,0
2010-11-01,15.056,15.063,15.044,15.056,4291,0
2010-11-02,15.182,15.491,15.182,15.265,2861,0
2010-11-03,15.075,15.139,14.968,15.114,6518,0
2010-11-04,15.303,15.346,15.303,15.346,6941,0
2010-11-05,15.151,15.502,15.151,15.502,1813,0
2010-11-08,15.472,15.567,15.472,15.472,886,0
2010-11-09,15.597,15.597,15.239,15.483,1759,0
2010-11-10,15.403,15.597,15.403,15.597,825,0
2010-11-11,15.354,15.365,15.346,15.346,1273,0
2010-11-12,15.214,15.346,15.127,15.202,4260,0
2010-11-15,15.127,15.321,14.911,15.284,6046,0
2010-11-16,15.037,15.119,14.868,15.119,4357,0
2010-11-17,14.824,14.843,14.761,14.761,794,0
2010-11-18,14.824,14.824,14.818,14.818,317,0
2010-11-19,14.907,14.907,14.749,14.749,4003,0
2010-11-22,14.868,14.868,14.749,14.862,2861,0
2010-11-23,14.755,14.862,14.749,14.812,5620,0
2010-11-24,14.868,14.875,14.868,14.875,2160,0
