Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,25.945,26.173,25.718,25.763,182510,0
2005-02-28,25.763,27.129,25.763,26.81,509327,0
2005-03-01,26.173,26.854,25.718,25.991,349708,0
2005-03-02,25.718,25.945,25.718,25.945,242408,0
2005-03-03,25.945,26.445,25.718,26.4,329372,0
2005-03-04,25.945,26.49,25.945,26.4,197501,0
2005-03-07,26.4,26.445,25.945,25.945,168454,0
2005-03-08,25.945,25.991,25.491,25.808,230238,0
2005-03-09,25.945,25.945,25.261,25.355,330107,0
2005-03-10,25.355,25.945,25.355,25.718,209452,0
2005-03-11,25.718,26.08,25.491,26.08,114321,0
2005-03-14,26.173,26.173,25.491,25.718,218483,0
2005-03-15,25.808,25.945,24.898,24.898,306998,0
2005-03-16,24.898,25.398,24.354,24.535,239545,0
2005-03-17,24.443,24.579,23.806,24.125,546275,0
2005-03-18,23.899,24.807,23.806,24.397,620063,0
2005-03-21,24.354,25.261,24.125,24.807,233599,0
2005-03-22,24.807,25.718,24.579,25.355,529004,0
2005-03-23,25.945,25.945,24.125,24.443,291852,0
2005-03-24,24.125,24.807,24.125,24.354,288121,0
2005-03-28,24.306,24.807,23.67,23.851,346210,0
2005-03-29,23.899,24.807,23.442,23.577,520242,0
2005-03-30,23.577,24.489,23.442,24.216,244116,0
2005-03-31,23.67,24.354,23.215,24.354,522007,0
2005-04-01,23.987,23.987,23.577,23.67,457062,0
2005-04-04,23.442,23.899,23.261,23.306,203873,0
2005-04-05,23.215,23.67,23.215,23.351,263528,0
2005-04-06,23.078,23.761,22.986,23.67,197515,0
2005-04-07,23.306,25.261,22.986,25.034,626821,0
2005-04-08,25.034,25.127,24.354,24.852,231594,0
2005-04-11,24.579,26.173,24.579,25.945,372369,0
2005-04-12,25.718,26.173,25.127,26.173,199498,0
2005-04-13,25.624,26.173,25.491,25.945,105772,0
2005-04-14,25.491,25.945,24.807,24.944,239365,0
2005-04-15,24.672,25.491,24.079,25.034,175587,0
2005-04-18,24.944,25.034,24.579,24.579,79006,0
2005-04-19,24.535,25.491,24.535,25.491,96524,0
2005-04-20,25.034,25.718,24.807,25.079,99318,0
2005-04-21,25.079,25.624,24.579,25.034,124926,0
2005-04-22,24.624,25.261,23.899,24.354,452030,0
2005-04-25,24.354,24.807,23.987,24.489,321861,0
2005-04-26,24.443,24.443,23.67,23.67,203089,0
2005-04-27,23.943,24.354,22.849,23.167,913578,0
2005-04-28,23.078,23.167,22.352,22.897,1345934,0
