Date,Open,High,Low,Close,Volume,OpenInt
2016-10-24,9.09,9.09,9.07,9.09,1805,0
2016-10-26,9.0813,9.0813,9.0813,9.0813,1000,0
2016-11-02,9.0899,9.0899,9.0899,9.0899,157,0
2016-11-04,8.8464,8.88,8.8464,8.88,387,0
2016-11-07,9.0899,9.0899,9.0899,9.0899,159,0
2016-11-08,8.81,9.09,8.81,9.09,1314,0
2016-11-17,8.9499,8.95,8.9499,8.95,1600,0
2016-11-18,8.9,8.9,8.881,8.8999,2988,0
2016-11-28,8.85,8.865,8.85,8.85,2144,0
2016-11-29,8.9834,9,8.952,8.952,4620,0
2016-11-30,9,9.05,8.9734,9,4788,0
2016-12-01,8.9999,8.9999,8.9999,8.9999,400,0
2016-12-06,9.09,9.09,9.0898,9.09,7097,0
2016-12-07,9.1325,9.1325,9.13,9.13,1000,0
2016-12-08,9.14,9.14,9.1397,9.1397,11500,0
2016-12-12,9.14,9.2,9,9.2,11500,0
2016-12-13,9.2,9.2,9.03,9.03,211,0
2016-12-15,9.25,9.25,9.09,9.09,1280,0
2016-12-16,9.01,9.25,9.01,9.25,4786,0
2016-12-19,9.099,9.1,9.099,9.1,5500,0
2016-12-21,9.1141,9.1141,9.1141,9.1141,114,0
2016-12-22,9.11,9.11,9.11,9.11,3928,0
2016-12-23,9.1099,9.1099,9.109,9.109,2500,0
2016-12-29,9.01,9.25,9.01,9.25,5637,0
2016-12-30,9.14,9.25,9.0875,9.25,5432,0
2017-01-04,9.1,9.1,9.1,9.1,159,0
2017-01-06,9.4,9.6,9.4,9.6,730,0
2017-01-10,11,11,11,11,1442,0
2017-01-12,11,11,9.15,9.335,1336,0
2017-01-20,10.89,10.89,9.97,10.2,941,0
2017-01-23,10.6999,10.6999,10.6999,10.6999,250,0
2017-01-27,9.71,9.71,9.71,9.71,220,0
2017-01-30,9.7001,9.7001,9.7,9.7,2777,0
2017-01-31,9.81,9.81,9.81,9.81,105,0
2017-02-01,9.56,9.6554,9.51,9.51,800,0
2017-02-02,9.51,9.51,9.51,9.51,110,0
2017-02-07,9.7099,9.76,9.6957,9.76,1200,0
2017-02-09,9.51,9.51,9.51,9.51,1144,0
2017-02-10,9.8,9.8,9.8,9.8,200,0
2017-02-13,9.7199,9.8,9.7199,9.7998,478,0
2017-02-21,10.046,10.046,9.8294,9.8294,1114,0
2017-02-22,9.99,9.99,9.99,9.99,100,0
2017-02-23,9.87,9.87,9.87,9.87,100,0
2017-02-24,9.8,9.8308,9.8,9.8001,500,0
2017-03-01,9.8292,9.8292,9.8292,9.8292,100,0
