Date,Open,High,Low,Close,Volume,OpenInt
2006-11-15,59.621,59.621,59.621,59.621,0,0
2006-11-16,59.621,62.721,59.223,62.482,9088622,0
2006-11-17,62.482,63.198,60.614,62.244,1170351,0
2006-11-20,62.204,64.47,61.807,63.993,1116335,0
2006-11-21,63.993,64.43,62.005,62.045,579088,0
2006-11-22,62.522,62.999,61.21,61.25,450901,0
2006-11-24,60.813,60.813,60.018,60.575,139784,0
2006-11-27,59.819,60.018,57.832,58.627,846376,0
2006-11-28,59.223,59.66,58.229,59.621,454324,0
2006-11-29,59.621,60.336,59.223,60.296,273379,0
2006-11-30,60.257,63.993,60.217,63.595,671419,0
2006-12-01,62.999,63.397,61.21,63.238,199460,0
2006-12-04,62.602,62.721,61.409,62.244,402041,0
2006-12-05,62.204,62.761,61.886,62.085,149419,0
2006-12-06,61.608,61.886,60.813,61.846,482326,0
2006-12-07,61.807,62.403,61.767,62.005,217876,0
2006-12-08,62.562,63.397,62.005,63.317,226858,0
2006-12-11,63.317,64.39,63.039,64.112,541425,0
2006-12-12,63.794,64.192,63.238,64.192,54596,0
2006-12-13,63.993,64.35,62.562,63.834,135282,0
2006-12-14,62.641,65.344,62.641,64.788,255038,0
2006-12-15,64.39,66.775,64.152,66.735,1510553,0
2006-12-18,66.338,67.53,65.543,66.855,400456,0
2006-12-19,65.622,66.378,64.827,64.907,381413,0
2006-12-20,64.907,67.769,64.788,66.974,541323,0
2006-12-21,67.173,69.438,66.974,68.802,247916,0
2006-12-22,68.802,68.921,65.98,67.769,278711,0
2006-12-26,68.365,68.524,67.093,67.093,126451,0
2006-12-27,67.371,67.967,66.934,67.57,164137,0
2006-12-28,68.166,68.405,67.093,67.57,84912,0
2006-12-29,67.967,69.478,67.888,69.12,127681,0
2007-01-03,69.12,70.273,67.57,68.683,511332,0
2007-01-04,69.359,69.796,67.57,68.564,169597,0
2007-01-05,68.961,69.319,67.967,69.319,90750,0
2007-01-08,68.365,69.478,66.855,68.842,173824,0
2007-01-09,68.087,68.206,66.616,67.61,194328,0
2007-01-10,66.815,67.967,65.901,67.888,872642,0
2007-01-11,67.769,68.524,66.338,66.338,938786,0
2007-01-12,65.344,68.365,65.185,68.007,144414,0
2007-01-16,69.239,69.557,67.371,68.603,82244,0
2007-01-17,68.961,69.518,67.808,69.001,74372,0
2007-01-18,69.478,70.074,68.603,69.08,145116,0
2007-01-19,69.2,69.359,68.047,68.842,86018,0
2007-01-22,69.995,73.532,68.444,72.3,468763,0
2007-01-23,70.511,75.678,70.511,74.605,270763,0
2007-01-24,74.327,77.109,73.93,76.831,645961,0
2007-01-25,79.097,79.295,75.519,75.877,954561,0
2007-01-26,75.519,76.513,74.446,75.082,79225,0
2007-01-29,75.281,77.109,74.009,75.201,146075,0
2007-01-30,74.724,75.519,73.373,74.605,635545,0
2007-01-31,73.81,74.724,72.538,74.009,178806,0
2007-02-01,74.327,77.109,74.327,75.321,113340,0
2007-02-02,75.44,75.917,75.122,75.122,79451,0
2007-02-05,75.519,77.308,74.367,77.229,163910,0
2007-02-06,76.434,79.136,76.434,78.341,531586,0
2007-02-07,77.547,79.693,77.547,79.335,127908,0
