Date,Open,High,Low,Close,Volume,OpenInt
2007-05-03,24.216,24.216,24.216,24.216,0,0
2007-05-04,26.627,27.635,25.035,25.258,26418216,0
2007-05-07,25.419,25.47,23.645,24.001,5294396,0
2007-05-08,24.063,24.207,22.827,22.995,3228191,0
2007-05-09,23.005,23.627,22.398,22.852,2494358,0
2007-05-10,22.969,23.042,22.15,22.346,1563076,0
2007-05-11,22.712,22.914,21.955,21.972,1474190,0
2007-05-14,21.946,23.077,21.937,22.312,2353041,0
2007-05-15,22.587,22.896,22.124,22.578,1766872,0
2007-05-16,22.596,22.951,22.355,22.809,1173127,0
2007-05-17,23.005,23.042,21.946,22.042,802201,0
2007-05-18,22.23,22.23,21.098,21.483,1848182,0
2007-05-21,21.402,22.115,20.986,21.856,1203469,0
2007-05-22,22.042,22.56,21.92,22.23,876163,0
2007-05-23,22.541,22.587,21.749,21.884,596458,0
2007-05-24,21.884,22.052,21.723,21.784,518691,0
2007-05-25,22.141,22.141,21.884,22.024,305461,0
2007-05-29,22.105,22.434,21.866,22.23,507953,0
2007-05-30,20.813,21.022,19.801,20.903,4283869,0
2007-05-31,20.813,21.179,20.379,20.575,946489,0
2007-06-01,20.777,21.465,20.593,21.419,632392,0
2007-06-04,21.447,21.465,20.949,21.063,669475,0
2007-06-05,21.056,21.269,20.858,21.197,708798,0
2007-06-06,21.215,21.784,20.986,21.758,559453,0
2007-06-07,21.67,21.866,21.402,21.624,467912,0
2007-06-08,21.465,22.415,21.465,22.381,1060748,0
2007-06-11,22.203,22.977,21.989,22.791,707342,0
2007-06-12,22.596,23.154,22.596,23.154,771606,0
2007-06-13,23.404,23.441,22.312,22.522,1684619,0
2007-06-14,22.514,22.712,22.077,22.158,545292,0
2007-06-15,22.068,22.55,21.989,22.55,775503,0
2007-06-18,22.596,22.623,22.194,22.276,309244,0
2007-06-19,22.23,22.346,21.802,22.042,600518,0
2007-06-20,22.15,22.363,21.784,21.838,386693,0
2007-06-21,21.679,21.731,21.286,21.67,509305,0
2007-06-22,21.615,21.615,20.986,21.312,6600195,0
2007-06-25,21.179,21.242,20.664,21.08,815465,0
2007-06-26,21.08,21.758,20.912,21.688,908854,0
2007-06-27,21.465,22.175,21.303,21.972,433071,0
2007-06-28,21.92,22.042,21.643,21.964,302226,0
2007-06-29,22.059,22.068,21.697,21.893,390344,0
2007-07-02,21.955,22.024,21.758,21.998,488222,0
2007-07-03,21.937,22.105,21.749,21.972,146079,0
2007-07-05,21.838,21.937,21.197,21.875,653667,0
2007-07-06,19.88,20.777,19.568,20.147,3559354,0
2007-07-09,20.173,20.271,19.605,19.649,1344144,0
2007-07-10,19.596,19.623,18.954,18.954,907496,0
2007-07-11,18.964,19.426,18.838,19.131,530222,0
2007-07-12,19.265,19.755,19.122,19.559,901539,0
2007-07-13,19.478,19.632,19.166,19.347,273338,0
2007-07-16,19.347,19.347,18.972,18.998,315084,0
2007-07-17,18.964,19.159,18.803,18.891,251217,0
2007-07-18,18.872,18.937,18.151,18.57,760813,0
2007-07-19,18.57,18.918,18.039,18.402,777976,0
2007-07-20,18.367,19.043,18.048,18.66,1072850,0
2007-07-23,18.758,18.928,18.472,18.614,346879,0
2007-07-24,18.519,18.553,17.68,17.74,903168,0
2007-07-25,17.913,18.02,17.393,17.594,924115,0
2007-07-26,17.44,17.913,16.94,17.731,1060081,0
2007-07-27,17.384,18.964,17.349,18.5,752977,0
2007-07-30,19.166,20.031,19.15,19.923,1238439,0
2007-07-31,19.923,20.271,19.54,19.596,628146,0
2007-08-01,19.861,19.861,18.705,19.452,901486,0
2007-08-02,19.363,20.057,19.274,19.801,1203964,0
2007-08-03,19.727,19.923,18.918,18.964,1172533,0
2007-08-06,19.043,19.043,18.063,18.705,1150464,0
2007-08-07,18.561,19.586,18.314,19.382,1273200,0
2007-08-08,19.605,20.619,19.256,19.826,812413,0
2007-08-09,19.487,20.575,19.283,20.226,1158417,0
2007-08-10,20.103,20.725,20.013,20.281,727305,0
2007-08-13,20.539,20.912,20.244,20.379,535548,0
