Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,23.264,23.647,23.104,23.59,283107,0
2005-02-28,23.559,23.691,23.552,23.599,340687,0
2005-03-01,23.821,23.851,23.656,23.704,282499,0
2005-03-02,23.624,23.875,23.492,23.673,186456,0
2005-03-03,23.647,23.698,23.305,23.552,228962,0
2005-03-04,23.664,23.795,23.599,23.682,239251,0
2005-03-07,23.779,24.082,23.779,23.935,311165,0
2005-03-08,23.935,23.935,23.647,23.779,411737,0
2005-03-09,23.673,23.682,23.232,23.353,384422,0
2005-03-10,23.264,23.582,23.232,23.516,401573,0
2005-03-11,23.552,23.664,23.296,23.346,265836,0
2005-03-14,23.28,23.673,23.28,23.552,278698,0
2005-03-15,23.543,23.631,23.386,23.426,276125,0
2005-03-16,23.386,23.552,23.166,23.19,297197,0
2005-03-17,23.273,23.331,23.149,23.225,164523,0
2005-03-18,23.426,23.436,22.971,23.142,422765,0
2005-03-21,23.018,23.257,22.938,23.134,164523,0
2005-03-22,23.24,23.288,22.587,22.692,292049,0
2005-03-23,22.611,22.75,22.301,22.637,417376,0
2005-03-24,22.571,22.858,22.545,22.774,361509,0
2005-03-28,22.791,23.018,22.651,22.858,359062,0
2005-03-29,22.774,23.216,22.659,22.742,348647,0
2005-03-30,22.858,23.043,22.791,22.981,136348,0
2005-03-31,22.88,23.174,22.871,23.158,266326,0
2005-04-01,23.158,23.339,22.253,22.971,323412,0
2005-04-04,22.896,23.264,22.733,23.225,382461,0
2005-04-05,23.199,23.305,22.953,23.182,290458,0
2005-04-06,23.321,23.321,22.914,23.036,321206,0
2005-04-07,22.953,23.166,22.815,23.043,114052,0
2005-04-08,23.018,23.086,22.865,22.938,302953,0
2005-04-11,22.99,23.003,22.767,22.905,164403,0
2005-04-12,22.896,23.117,22.482,23.003,373151,0
2005-04-13,22.938,22.938,22.43,22.537,469805,0
2005-04-14,22.529,22.651,22.203,22.227,240111,0
2005-04-15,22.237,22.237,21.748,21.879,499209,0
2005-04-18,21.957,22.194,21.631,22.071,231901,0
2005-04-19,22.071,22.156,21.804,22.056,448856,0
2005-04-20,21.975,22.016,21.452,21.712,679776,0
2005-04-21,21.917,22.04,21.535,21.94,437833,0
2005-04-22,21.94,22.08,21.835,21.975,252236,0
2005-04-25,22.056,22.246,21.957,22.227,762717,0
2005-04-26,22.246,22.301,21.787,21.94,297319,0
2005-04-27,21.94,22.253,21.639,22.071,287516,0
2005-04-28,22.047,22.097,21.712,21.755,268532,0
2005-04-29,21.835,22.114,21.721,22.025,212055,0
2005-05-02,22.056,22.194,21.852,22.114,324513,0
2005-05-03,21.804,21.983,21.673,21.86,336398,0
2005-05-04,21.755,22.047,21.755,21.957,265591,0
2005-05-05,21.835,22.147,21.567,21.835,456576,0
2005-05-06,21.796,21.975,21.59,21.879,254934,0
2005-05-09,21.886,22.123,21.639,22.123,257506,0
2005-05-10,21.957,22.08,21.804,21.909,208134,0
2005-05-11,22.025,22.025,21.648,21.852,187800,0
2005-05-12,21.94,22.009,21.657,21.657,288990,0
2005-05-13,21.665,21.844,21.403,21.755,423381,0
2005-05-16,21.778,22.123,21.755,22.08,397529,0
2005-05-17,22.04,22.424,21.983,22.375,311165,0
2005-05-18,22.368,22.692,22.317,22.621,236924,0
2005-05-19,22.651,22.733,22.334,22.529,165383,0
2005-05-20,22.58,22.727,22.415,22.659,134754,0
2005-05-23,22.644,22.815,22.489,22.545,175791,0
2005-05-24,22.465,22.767,22.465,22.711,233740,0
2005-05-25,22.727,22.727,22.465,22.571,280783,0
2005-05-26,22.676,22.995,22.571,22.995,170403,0
2005-05-27,22.938,23.216,22.865,23.142,209726,0
2005-05-31,23.182,23.273,23.06,23.117,239007,0
2005-06-01,23.125,23.664,23.125,23.508,224428,0
2005-06-02,23.552,23.829,23.484,23.631,304669,0
2005-06-03,23.656,23.868,23.469,23.516,173957,0
2005-06-06,23.492,23.729,23.418,23.698,128996,0
2005-06-07,23.704,24.114,23.704,23.844,258487,0
2005-06-08,23.875,24.099,23.859,23.958,234477,0
2005-06-09,23.875,24.114,23.753,24.039,232390,0
2005-06-10,24.024,24.186,23.909,24.082,215485,0
2005-06-13,23.982,24.448,23.909,24.413,311529,0
2005-06-14,24.368,24.413,24.186,24.252,338604,0
2005-06-15,24.284,24.316,24.047,24.307,226512,0
2005-06-16,24.245,24.42,24.12,24.42,84039,0
2005-06-17,24.482,24.569,24.325,24.42,373151,0
2005-06-20,24.325,24.53,24.307,24.439,97636,0
2005-06-21,24.439,24.49,24.284,24.334,134754,0
2005-06-22,24.413,24.646,24.393,24.595,167833,0
2005-06-23,24.482,24.807,24.448,24.75,258608,0
2005-06-24,24.767,24.79,24.344,24.49,221001,0
2005-06-27,24.429,24.774,24.368,24.709,176774,0
2005-06-28,24.807,25.02,24.734,25.004,206296,0
