Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,15.706,16.047,15.579,16.047,397965,0
2005-02-28,15.971,16.631,15.743,15.88,845929,0
2005-03-01,15.909,16.074,15.607,15.772,433224,0
2005-03-02,15.678,16.018,15.617,15.752,348220,0
2005-03-03,15.936,15.971,15.579,15.853,315468,0
2005-03-04,15.706,15.971,15.678,15.781,226642,0
2005-03-07,15.807,16.256,15.781,16.165,397453,0
2005-03-08,16.265,16.33,15.835,15.945,413958,0
2005-03-09,16.074,16.074,15.678,15.807,395413,0
2005-03-10,15.532,15.762,14.773,14.956,924627,0
2005-03-11,14.661,14.917,14.295,14.516,700843,0
2005-03-14,14.424,14.498,14.047,14.123,667554,0
2005-03-15,14.077,14.203,13.993,14.166,538714,0
2005-03-16,14.203,14.87,14.174,14.651,906568,0
2005-03-17,14.727,14.826,14.633,14.773,562462,0
2005-03-18,14.773,14.834,14.432,14.452,706048,0
2005-03-21,14.432,14.862,14.385,14.699,452630,0
2005-03-22,14.643,15.093,14.623,14.844,567269,0
2005-03-23,14.817,15.021,14.606,14.643,454109,0
2005-03-24,14.643,14.87,14.633,14.754,453537,0
2005-03-28,14.801,14.984,14.295,14.361,583111,0
2005-03-29,14.49,14.651,13.876,13.983,514526,0
2005-03-30,14.123,14.57,14.057,14.552,306318,0
2005-03-31,14.561,14.561,13.955,14.038,511371,0
2005-04-01,14.432,14.48,14.038,14.377,546977,0
2005-04-04,14.385,14.908,14.241,14.781,610500,0
2005-04-05,14.817,15.073,14.746,14.908,601575,0
2005-04-06,15.003,15.109,14.844,14.966,607852,0
2005-04-07,15.038,15.394,14.87,15.376,614077,0
2005-04-08,15.478,15.624,15.194,15.312,708513,0
2005-04-11,15.257,15.468,15.118,15.137,631422,0
2005-04-12,15.073,15.569,14.927,15.495,670065,0
2005-04-13,15.404,15.66,15.404,15.45,670931,0
2005-04-14,15.441,15.569,15.376,15.414,653675,0
2005-04-15,15.433,15.569,15.064,15.174,766953,0
2005-04-18,15.284,15.815,15.184,15.79,1006092,0
2005-04-19,15.843,15.99,15.174,15.588,1018104,0
2005-04-20,15.478,15.825,15.257,15.45,534700,0
2005-04-21,15.45,15.871,15.35,15.743,503608,0
2005-04-22,15.66,15.835,15.128,15.478,428381,0
2005-04-25,15.752,15.752,15.486,15.569,290651,0
2005-04-26,15.588,15.688,15.293,15.322,393691,0
2005-04-27,15.322,15.55,15.147,15.433,230708,0
2005-04-28,15.312,15.394,14.853,14.889,353558,0
2005-04-29,15.038,15.073,14.671,14.993,368339,0
2005-05-02,15.799,16.099,15.147,15.66,944963,0
2005-05-03,15.579,15.772,15.35,15.624,402977,0
2005-05-04,13.572,13.746,12.655,13.149,2939166,0
2005-05-05,13.233,13.857,13.197,13.746,1264532,0
2005-05-06,14.166,14.524,13.472,13.928,1136449,0
2005-05-09,14.067,14.615,14.067,14.452,712042,0
2005-05-10,14.507,14.533,13.928,13.937,528963,0
2005-05-11,13.919,14.25,13.82,14.222,420665,0
2005-05-12,14.25,14.424,13.849,13.965,553435,0
2005-05-13,13.781,14.342,13.761,14.184,451366,0
2005-05-16,14.203,14.352,14.157,14.342,349815,0
2005-05-17,14.352,14.615,14.194,14.533,400282,0
2005-05-18,14.623,15.045,14.385,15.003,511044,0
2005-05-19,14.773,15.102,14.773,15.073,306100,0
2005-05-20,15.118,15.35,14.993,15.322,330595,0
2005-05-23,15.963,16.559,15.807,16.559,1178235,0
2005-05-24,16.541,16.869,16.448,16.678,717859,0
2005-05-25,16.733,16.733,16.156,16.402,592566,0
2005-05-26,16.495,17,16.402,16.861,660277,0
2005-05-27,16.933,16.933,16.521,16.585,679957,0
2005-05-31,16.715,17.107,16.495,16.916,760143,0
2005-06-01,17.098,17.312,16.779,16.953,735927,0
2005-06-02,16.851,17.237,16.056,16.742,1338767,0
2005-06-03,16.823,17.41,16.614,17,895915,0
2005-06-06,17.125,17.153,16.698,16.98,425628,0
2005-06-07,16.99,17.39,16.971,17.019,502589,0
2005-06-08,17.21,17.21,16.715,16.724,389576,0
2005-06-09,16.285,16.505,15.275,16.33,1275875,0
2005-06-10,16.285,16.531,16.201,16.303,405782,0
2005-06-13,16.374,16.505,16.099,16.275,378833,0
2005-06-14,16.256,16.394,16.147,16.294,296079,0
2005-06-15,16.374,16.374,15.98,16.339,612325,0
2005-06-16,16.402,16.448,16.192,16.43,336976,0
2005-06-17,16.541,16.541,16.037,16.174,769849,0
2005-06-20,16.174,16.312,15.825,16.118,616717,0
2005-06-21,16.237,16.285,16.056,16.183,306236,0
2005-06-22,16.366,16.366,16.099,16.201,291389,0
2005-06-23,16.165,16.265,15.99,15.998,346802,0
2005-06-24,15.99,16.156,15.688,15.835,562615,0
2005-06-27,15.706,15.807,15.504,15.733,327346,0
2005-06-28,15.772,16.201,15.752,16.201,295646,0
2005-06-29,16.237,16.265,16.056,16.22,315502,0
2005-06-30,16.312,16.312,16.018,16.037,456589,0
2005-07-05,18.237,18.465,16.878,17.237,4353604,0
2005-07-06,17.181,17.22,16.285,16.513,1183765,0
2005-07-07,16.128,16.631,16.099,16.594,493082,0
2005-07-08,16.678,16.933,16.513,16.861,378168,0
2005-07-11,16.861,16.933,16.495,16.807,401991,0
2005-07-12,16.724,16.815,16.321,16.513,519142,0
2005-07-13,16.513,16.622,16.339,16.394,309361,0
2005-07-14,16.551,16.631,15.945,15.99,527954,0
2005-07-15,15.899,16.037,15.799,16.037,489606,0
2005-07-18,15.899,16.028,15.632,15.67,668789,0
2005-07-19,15.762,15.825,15.45,15.617,559166,0
2005-07-20,15.468,15.762,15.367,15.752,322446,0
2005-07-21,15.642,16.237,15.579,15.843,626660,0
2005-07-22,15.781,15.955,15.404,15.772,490239,0
2005-07-25,15.678,15.698,15.433,15.441,363583,0
2005-07-26,15.386,15.67,15.386,15.514,279683,0
2005-07-27,15.478,16.037,15.284,15.98,600798,0
2005-07-28,15.98,16.487,15.871,16.448,736077,0
2005-07-29,16.641,16.789,16.42,16.448,458824,0
2005-08-01,16.412,16.568,16.183,16.439,430143,0
2005-08-02,16.559,16.715,16.33,16.468,575548,0
2005-08-03,16.312,16.622,16.312,16.585,466955,0
2005-08-04,16.678,17.22,16.495,16.916,1161763,0
2005-08-05,16.823,17.172,16.688,16.823,705460,0
2005-08-08,16.869,17.045,16.742,16.888,436663,0
2005-08-09,16.888,17.098,16.851,17.055,310711,0
2005-08-10,17.009,17.181,16.698,16.832,557656,0
2005-08-11,16.888,17.172,16.823,17.162,502626,0
2005-08-12,17.009,17.055,16.577,16.906,417092,0
2005-08-15,16.815,17.036,16.751,16.99,272196,0
2005-08-16,16.851,16.963,16.374,16.495,394274,0
2005-08-17,16.374,16.659,16.374,16.513,245288,0
2005-08-18,16.495,16.707,16.487,16.622,330263,0
2005-08-19,16.559,16.807,16.531,16.733,290169,0
2005-08-22,16.77,17.073,16.669,16.906,430384,0
