Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,3.948,4.2622,3.9381,4.2328,113203,0
2005-02-28,4.164,4.3604,4.1246,4.3114,105901,0
2005-03-01,4.2721,4.4194,4.1444,4.2524,82117,0
2005-03-02,4.1444,4.1936,4.1246,4.1444,34559,0
2005-03-03,4.1246,4.1246,3.9774,4.0559,98383,0
2005-03-04,4.115,4.3703,4.0266,4.2132,117100,0
2005-03-07,4.1444,4.3211,4.1444,4.2917,46990,0
2005-03-08,4.1246,4.2524,4.1246,4.1444,37783,0
2005-03-09,4.1444,4.2032,4.0854,4.105,43027,0
2005-03-10,4.105,4.1738,4.0658,4.0658,32065,0
2005-03-11,4.0266,4.1246,4.0266,4.0266,38814,0
2005-03-14,4.0167,4.0854,3.7416,3.8398,116147,0
2005-03-15,3.7908,3.8694,3.6337,3.6828,79248,0
2005-03-16,3.5747,3.722,3.5454,3.722,68056,0
2005-03-17,3.6337,3.722,3.5454,3.5846,44195,0
2005-03-18,3.6337,3.7319,3.4372,3.5061,82143,0
2005-03-21,3.3881,3.4863,3.2703,3.398,136136,0
2005-03-22,3.4176,3.5158,3.3489,3.4568,87336,0
2005-03-23,3.4863,3.781,3.4372,3.7319,137872,0
2005-03-24,3.8106,3.9676,3.7711,3.8596,118075,0
2005-03-28,4.0167,4.0167,3.8302,3.8302,52367,0
2005-03-29,3.8398,3.8398,3.6926,3.7319,72132,0
2005-03-30,3.7416,3.7416,3.5846,3.7024,35614,0
2005-03-31,3.7122,3.781,3.5944,3.6632,26177,0
2005-04-01,3.7319,3.781,3.6043,3.6926,30516,0
2005-04-04,3.6337,3.6828,3.5551,3.6043,21853,0
2005-04-05,3.5061,3.7024,3.5061,3.614,33444,0
2005-04-06,3.6337,3.8398,3.6337,3.781,66695,0
2005-04-07,3.7614,3.8302,3.6926,3.7614,101970,0
2005-04-08,3.8302,4.0266,3.8302,3.948,111613,0
2005-04-11,3.948,4.0069,3.8398,3.8596,17631,0
2005-04-12,3.9577,4.1246,3.6828,3.7515,177139,0
2005-04-13,3.7416,3.8891,3.5846,3.6337,64471,0
2005-04-14,3.5551,3.6729,3.5454,3.5747,32844,0
2005-04-15,3.5454,3.7711,3.4962,3.5551,48486,0
2005-04-18,3.3881,3.565,3.339,3.5551,79288,0
2005-04-19,3.5747,3.6436,3.398,3.4863,30835,0
2005-04-20,3.4372,3.4766,3.3489,3.4275,67351,0
2005-04-21,3.5354,3.5354,3.3784,3.4372,29117,0
2005-04-22,3.4275,3.4275,3.2114,3.2409,64972,0
2005-04-25,3.339,3.3881,3.1917,3.2016,63760,0
2005-04-26,3.1819,3.2899,3.1819,3.1917,38239,0
2005-04-27,3.5258,3.6239,3.1623,3.2213,46590,0
2005-04-28,3.2802,3.2802,3.1917,3.231,14352,0
2005-04-29,3.2703,3.2802,3.0739,3.231,78453,0
2005-05-02,3.2999,3.4176,3.0445,3.1328,200048,0
2005-05-03,3.1917,3.2016,3.0247,3.0346,49409,0
2005-05-04,3.0247,3.1623,3.0247,3.0837,20955,0
2005-05-05,3.1328,3.1328,3.0445,3.0739,11231,0
2005-05-06,3.1819,3.1819,2.9954,3.0051,54258,0
2005-05-09,2.9855,3.1721,2.9855,3.1524,33168,0
2005-05-10,3.1033,3.2899,3.0936,3.1524,25726,0
2005-05-11,3.1524,3.2899,3.1427,3.2899,47335,0
2005-05-12,3.3096,3.398,3.123,3.1328,92463,0
2005-05-13,3.4471,4.3014,3.4471,4.2721,787729,0
2005-05-16,4.4684,4.9496,4.4194,4.488,1402658,0
2005-05-17,4.3703,4.4586,3.9381,4.0756,778537,0
2005-05-18,4.2228,4.2228,3.9774,4.0854,224600,0
2005-05-19,4.1738,4.2132,3.9873,4.0658,279810,0
2005-05-20,4.0559,4.2032,3.9873,4.0756,152896,0
2005-05-23,4.0854,4.5176,4.0854,4.5176,631881,0
2005-05-24,4.4194,4.488,4.2721,4.3899,172361,0
2005-05-25,4.3703,4.6354,4.3211,4.4096,251388,0
2005-05-26,4.4684,4.5766,4.2917,4.4194,150720,0
2005-05-27,5.0184,5.6764,4.9006,5.6666,2653608,0
2005-05-31,6.4227,7.2379,6.3344,7.2281,8751843,0
2005-06-01,7.6603,7.8075,6.9236,7.0219,6168500,0
2005-06-02,7.0612,8.7111,6.8746,8.6816,8854893,0
2005-06-03,9.3297,10.381,8.9761,9.0942,24102464,0
2005-06-06,9.4566,10.105,8.8681,10.095,13552464,0
2005-06-07,10.734,10.784,9.762,10.018,12044193,0
2005-06-08,10.066,10.066,9.2413,9.3791,5314176,0
2005-06-09,9.3989,9.752,9.1234,9.4765,3031017,0
2005-06-10,9.605,11.49,9.4283,11.49,12674488,0
2005-06-13,12.011,13.68,11.883,13.651,19328046,0
2005-06-14,12.708,13.062,10.724,10.784,13990538,0
2005-06-15,11.275,11.825,10.704,10.754,8494542,0
2005-06-16,11.116,11.186,9.899,10.508,7204052,0
2005-06-17,7.8959,8.2887,6.9236,6.9923,19262752,0
2005-06-20,7.1791,7.67,6.7961,6.8943,7684865,0
2005-06-21,7.0709,7.1987,6.7764,6.9335,3846307,0
2005-06-22,6.9728,7.3263,6.7861,6.8843,2568114,0
2005-06-23,6.9335,6.9923,6.3245,6.3736,2868392,0
2005-06-24,6.4031,6.629,6.1969,6.2853,1564095,0
2005-06-27,6.3245,7.8075,6.2853,7.729,10581802,0
2005-06-28,8.0039,8.5441,7.5914,7.7387,10592889,0
2005-06-29,7.9451,7.9843,7.1005,7.1791,3305484,0
2005-06-30,7.395,7.8075,7.2183,7.4638,3251715,0
2005-07-01,7.6112,7.7486,7.2773,7.5325,1763354,0
2005-07-05,7.4245,7.7583,7.2576,7.395,1145914,0
2005-07-06,7.5521,7.6406,7.3656,7.4049,971035,0
2005-07-07,7.346,7.4638,7.1791,7.3753,882264,0
2005-07-08,7.9744,9.2806,7.9156,9.2806,14915195,0
2005-07-11,9.752,10.066,9.2806,9.3592,12302238,0
2005-07-12,9.32,9.4383,8.6913,8.6913,4223779,0
2005-07-13,9.0646,9.4964,8.8681,8.9271,5186729,0
2005-07-14,9.202,9.3101,8.7504,8.986,1892578,0
2005-07-15,8.9664,9.0155,8.5441,8.6717,1491276,0
2005-07-18,8.6913,10.429,8.4655,10.41,8488205,0
2005-07-19,10.028,10.548,9.526,9.615,7321335,0
2005-07-20,9.752,10.018,9.4283,9.722,2574250,0
2005-07-21,9.968,10.351,9.4964,9.575,3991718,0
2005-07-22,9.556,9.869,9.4964,9.585,1421485,0
2005-07-25,9.692,9.869,9.4283,9.4283,1413855,0
2005-07-26,9.4566,9.625,9.0352,9.1824,1483209,0
2005-07-27,9.153,9.575,9.1334,9.3889,860404,0
2005-07-28,10.184,10.263,9.585,9.682,3920620,0
2005-07-29,9.635,9.802,9.4383,9.4566,733860,0
2005-08-01,10.764,10.92,10.292,10.292,10861929,0
2005-08-02,10.302,10.332,9.822,9.869,1833214,0
2005-08-03,10.066,10.155,9.841,9.988,1183208,0
2005-08-04,10.322,10.459,9.928,9.958,2018804,0
2005-08-05,10.243,10.243,9.841,10.018,1335257,0
2005-08-08,10.095,10.095,9.4566,9.506,1325632,0
2005-08-09,9.516,9.712,9.2708,9.4964,907224,0
2005-08-10,9.575,9.575,8.986,9.1824,1117401,0
2005-08-11,9.0646,9.3297,8.8485,9.1628,866073,0
2005-08-12,9.772,10.125,9.3889,9.4383,4040505,0
2005-08-15,9.3297,9.4964,9.0942,9.1334,822839,0
2005-08-16,9.0842,9.595,8.986,9.2315,1145531,0
2005-08-17,9.4665,9.4665,9.0352,9.0842,645244,0
2005-08-18,9.0449,9.1628,8.9369,8.9958,528484,0
2005-08-19,8.986,9.1628,8.8878,8.9172,521962,0
2005-08-22,8.878,8.9958,8.5441,8.6422,1014788,0
2005-08-23,8.7404,9.4964,8.6913,8.7404,1064170,0
2005-08-24,8.7798,8.8289,8.5735,8.6325,492255,0
2005-08-25,8.6128,8.7307,8.495,8.5441,436006,0
2005-08-26,8.446,8.4753,8.3477,8.3477,375971,0
2005-08-29,8.3477,8.3477,8.0825,8.1807,439665,0
2005-08-30,8.102,8.1611,7.8861,7.9057,474328,0
2005-08-31,7.8861,7.9451,7.67,7.7583,627674,0
2005-09-01,7.6209,8.7111,7.6013,8.495,1615174,0
2005-09-02,8.6816,8.6816,8.0039,8.0433,609919,0
2005-09-06,8.0629,8.3182,8.0433,8.3182,544025,0
2005-09-07,8.3378,8.3869,8.1709,8.2495,573270,0
2005-09-08,8.2298,8.2789,8.0825,8.1217,245146,0
2005-09-09,8.3083,8.3281,8.102,8.2298,312909,0
2005-09-12,8.2495,10.018,8.1709,10.018,5469290,0
2005-09-13,9.822,9.948,9.1138,9.1726,3814332,0
2005-09-14,9.0352,9.261,8.5931,8.603,1652571,0
2005-09-15,8.6913,9.2806,8.6913,8.9958,1481128,0
2005-09-16,8.986,9.1628,8.7208,8.8583,945347,0
2005-09-19,9.0449,9.0449,8.5834,8.6619,448462,0
2005-09-20,8.9172,9.1726,8.6422,8.819,920663,0
2005-09-21,8.8387,8.8485,8.5931,8.6717,406501,0
2005-09-22,8.6422,8.7012,8.446,8.495,326243,0
2005-09-23,8.4655,8.4655,8.2004,8.3968,423193,0
2005-09-26,8.603,8.603,8.4065,8.5146,413082,0
2005-09-27,8.5146,8.9369,8.2986,8.8976,536665,0
2005-09-28,8.8485,8.9565,8.4557,8.5834,627883,0
2005-09-29,8.5441,9.4283,8.446,9.0842,2145964,0
2005-09-30,9.0252,9.831,8.8878,9.2413,2171243,0
2005-10-03,9.2511,9.625,8.9369,9.1824,987375,0
2005-10-04,9.3989,10.282,9.0548,9.869,5130562,0
2005-10-05,10.115,10.636,9.722,9.772,4090231,0
2005-10-06,9.822,9.869,8.7012,8.9271,1585037,0
2005-10-07,8.9172,9.4283,8.6913,9.0646,1022986,0
2005-10-10,9.0646,9.3791,8.986,9.1138,377355,0
2005-10-11,9.1628,9.575,8.9467,9.0252,973102,0
2005-10-12,9.0056,9.1234,8.7012,8.7307,600534,0
2005-10-13,8.7504,8.7896,8.2986,8.4557,802488,0
2005-10-14,8.5539,8.8289,8.4262,8.6325,492703,0
2005-10-17,8.5931,8.9664,8.5637,8.8878,441962,0
2005-10-18,8.9074,8.9074,8.6422,8.7012,237500,0
2005-10-19,8.6816,8.8289,8.4164,8.7012,476440,0
2005-10-20,8.8878,9.1726,8.5342,8.6717,722226,0
2005-10-21,8.6325,8.9761,8.5931,8.7012,453220,0
2005-10-24,8.7404,9.2806,8.7404,9.0056,1241652,0
2005-10-25,9.0252,9.202,8.8485,8.9369,450981,0
2005-10-26,8.9565,9.3989,8.8976,8.9565,1020808,0
2005-10-27,8.9761,8.9958,8.5342,8.6717,589766,0
2005-10-28,8.7404,8.9172,8.5637,8.7307,277283,0
2005-10-31,8.7208,8.9664,8.7208,8.8093,310331,0
2005-11-01,8.9664,9.0646,8.7404,8.8485,333815,0
