Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,5.4742,5.5276,5.4119,5.5187,3483,0
2005-02-28,5.5543,5.5543,5.4386,5.5454,6404,0
2005-03-01,5.5009,5.5009,5.492,5.492,337,0
2005-03-02,5.3051,5.3318,5.225,5.225,1932,0
2005-03-03,5.2161,5.2695,5.1359,5.1448,7650,0
2005-03-04,5.0825,5.0825,5.0736,5.0736,6853,0
2005-03-07,5.0736,5.0736,4.9935,5.0024,22659,0
2005-03-08,5.0558,5.0558,4.9846,4.9846,2921,0
2005-03-09,5.0736,5.0736,5.0736,5.0736,674,0
2005-03-10,4.9935,5.3051,4.9579,5.0469,9381,0
2005-03-11,5.0736,5.0736,4.9935,4.9935,1798,0
2005-03-14,5.0113,5.0113,5.0113,5.0113,674,0
2005-03-15,5.0736,5.1448,5.0736,5.1448,17194,0
2005-03-16,5.2606,5.2695,4.9757,5.1894,9810,0
2005-03-18,5.1894,5.4564,5.0647,5.0647,10721,0
2005-03-24,5.1448,5.1448,5.0647,5.0647,1460,0
2005-03-28,5.0469,5.4564,5.0469,5.4564,1180,0
2005-03-29,5.1716,5.2339,5.1716,5.1716,3820,0
2005-03-30,5.1716,5.4297,5.1716,5.4297,225,0
2005-03-31,5.1181,5.4297,5.1181,5.4297,635,0
2005-04-04,5.4208,5.4208,5.3763,5.3763,562,0
2005-04-06,5.1626,5.4119,5.0914,5.4119,1573,0
2005-04-07,5.1716,5.4119,5.1716,5.4119,674,0
2005-04-08,5.3852,5.4119,5.3852,5.4119,337,0
2005-04-11,5.3407,5.4119,5.3407,5.4119,1348,0
2005-04-12,5.3674,5.3674,5.3674,5.3674,337,0
2005-04-13,5.4208,5.4208,5.4208,5.4208,7639,0
2005-04-14,5.4297,5.4653,5.4297,5.4653,674,0
2005-04-18,5.1092,5.4119,5.0469,5.4119,2752,0
2005-04-19,5.0825,5.3407,5.0825,5.3407,2823,0
2005-04-22,5.3407,5.3407,5.0914,5.0914,3033,0
2005-04-25,4.8689,4.8689,4.317,4.317,37308,0
2005-04-26,4.0322,4.2013,4.0233,4.0945,11544,0
2005-04-27,4.0322,4.2102,3.9877,3.9877,10816,0
2005-04-28,3.9877,4.0144,3.7741,3.8453,7864,0
2005-04-29,4.0144,4.0144,3.9343,3.9343,704,0
2005-05-02,3.9966,3.9966,3.9165,3.9165,786,0
2005-05-03,3.7563,3.8542,3.7385,3.8008,6067,0
2005-05-04,3.7385,4.0411,3.7385,4.0055,8538,0
2005-05-05,3.7385,4.5752,3.7385,4.0055,3531,0
2005-05-06,4.5218,4.5218,4.0233,4.0945,10240,0
2005-05-09,4.1123,4.228,4.0945,4.1924,6516,0
2005-05-10,4.1657,4.1657,4.0945,4.139,3651,0
2005-05-11,4.317,4.317,4.2013,4.2013,3465,0
