Date,Open,High,Low,Close,Volume,OpenInt
1970-01-02,2.3455,2.4253,2.3374,2.4175,88448,0
1970-01-05,2.5054,2.5776,2.5054,2.5538,145911,0
1970-01-06,2.5538,2.5615,2.5134,2.5298,103936,0
1970-01-07,2.5218,2.5218,2.4576,2.4734,115432,0
1970-01-08,2.4816,2.5054,2.4816,2.4976,91444,0
1970-01-09,2.4895,2.4895,2.4495,2.4734,114929,0
1970-01-12,2.4734,2.4816,2.4253,2.4414,48472,0
1970-01-13,2.4414,2.4495,2.4175,2.4253,133416,0
1970-01-14,2.4253,2.4253,2.3933,2.4175,47468,0
1970-01-15,2.4175,2.4175,2.3695,2.3933,58964,0
1970-01-16,2.3775,2.3775,2.2252,2.2976,117925,0
1970-01-19,2.2976,2.3374,2.2976,2.3133,78452,0
1970-01-20,2.3133,2.3296,2.2976,2.3216,93441,0
1970-01-21,2.3216,2.3296,2.2733,2.2976,88448,0
1970-01-22,2.2976,2.3216,2.2814,2.2894,62962,0
1970-01-23,2.2894,2.3053,2.2414,2.2414,99941,0
1970-01-26,2.2414,2.2414,2.1932,2.2252,71456,0
1970-01-27,2.2252,2.2252,2.1855,2.2012,77955,0
1970-01-28,2.1932,2.1932,2.1454,2.1693,88947,0
1970-01-29,2.1454,2.1454,2.0814,2.1134,132916,0
1970-01-30,2.1134,2.1775,2.1053,2.1215,78452,0
1970-02-02,2.1371,2.2095,2.1371,2.1371,166397,0
1970-02-03,2.1371,2.2095,2.1294,2.1855,185386,0
1970-02-04,2.1855,2.2176,2.1855,2.2095,137914,0
1970-02-05,2.2095,2.2574,2.2095,2.2493,50967,0
1970-02-06,2.2656,2.3374,2.2656,2.3216,105935,0
1970-02-09,2.3374,2.3775,2.3374,2.3614,50967,0
1970-02-10,2.3614,2.3695,2.3296,2.3534,107437,0
1970-02-11,2.3534,2.3933,2.2976,2.3854,169392,0
1970-02-12,2.3854,2.4336,2.3614,2.4175,74952,0
1970-02-13,2.4175,2.4175,2.3933,2.4098,76953,0
1970-02-16,2.4336,2.4336,2.3133,2.3374,60460,0
1970-02-17,2.3374,2.3455,2.2814,2.2814,201376,0
1970-02-18,2.2894,2.3296,2.2894,2.3296,120929,0
1970-02-19,2.3296,2.3695,2.2814,2.2894,111931,0
1970-02-20,2.2894,2.2894,2.2493,2.2894,76451,0
1970-02-24,2.2894,2.3133,2.2656,2.2656,75455,0
1970-02-25,2.2656,2.3296,2.2493,2.3216,86947,0
1970-02-26,2.3216,2.3216,2.2894,2.3133,53469,0
1970-02-27,2.3133,2.3775,2.2976,2.3695,83446,0
1970-03-02,2.3775,2.4253,2.3775,2.3933,101937,0
1970-03-03,2.3933,2.4014,2.3534,2.3775,68957,0
1970-03-04,2.3775,2.3933,2.3614,2.3775,84947,0
1970-03-05,2.3854,2.4253,2.3854,2.3854,82950,0
1970-03-06,2.3854,2.3854,2.3374,2.3614,128421,0
1970-03-09,2.3614,2.3614,2.3053,2.3296,62462,0
1970-03-10,2.3296,2.3455,2.3133,2.3216,75455,0
1970-03-11,2.3216,2.3374,2.3053,2.3133,81450,0
1970-03-12,2.3133,2.3296,2.2976,2.3216,57965,0
1970-03-13,2.3216,2.3216,2.2894,2.2894,125419,0
1970-03-16,2.2894,2.3053,2.2414,2.2574,60961,0
1970-03-17,2.2574,2.2814,2.2331,2.2574,173389,0
1970-03-18,2.2574,2.2733,2.2493,2.2574,384264,0
1970-03-19,2.2574,2.2814,2.2493,2.2493,62462,0
1970-03-20,2.2493,2.2656,2.2176,2.2176,86448,0
1970-03-23,2.2176,2.2656,2.2095,2.2252,73955,0
1970-03-24,2.2252,2.2814,2.2176,2.2574,33980,0
1970-03-25,2.2574,2.3534,2.2493,2.2894,446724,0
1970-03-26,2.2976,2.3133,2.2976,2.3133,125922,0
1970-03-30,2.3133,2.3133,2.2894,2.2894,85945,0
1970-03-31,2.2976,2.3216,2.2976,2.3053,60961,0
1970-04-01,2.3374,2.3775,2.3374,2.3534,216866,0
1970-04-02,2.3695,2.4098,2.3695,2.3775,166900,0
1970-04-03,2.3933,2.4098,2.3933,2.4014,54964,0
1970-04-06,2.4014,2.4253,2.3933,2.4098,32979,0
1970-04-07,2.4098,2.4336,2.4014,2.4336,29982,0
1970-04-08,2.4336,2.4414,2.4098,2.4336,92445,0
1970-04-09,2.4414,2.4734,2.4414,2.4495,90445,0
1970-04-10,2.4495,2.4654,2.4414,2.4495,69957,0
1970-04-13,2.4495,2.4576,2.4414,2.4414,35480,0
1970-04-14,2.4414,2.4576,2.4253,2.4576,56462,0
1970-04-15,2.4576,2.4654,2.4414,2.4576,74455,0
1970-04-16,2.4576,2.4654,2.3933,2.3933,296814,0
1970-04-17,2.3854,2.3854,2.3534,2.3614,59465,0
1970-04-20,2.3614,2.3614,2.3053,2.3455,53967,0
1970-04-21,2.3455,2.3614,2.3053,2.3133,56462,0
1970-04-22,2.3133,2.3374,2.2493,2.2976,278829,0
1970-04-23,2.2894,2.2894,2.2414,2.2656,64462,0
1970-04-24,2.2656,2.2733,2.2012,2.2012,188882,0
1970-04-27,2.2012,2.2012,2.1693,2.1932,75951,0
1970-04-28,2.1932,2.1932,2.1533,2.1614,124923,0
1970-04-29,2.1614,2.2012,2.1533,2.2012,94944,0
1970-04-30,2.2012,2.2574,2.1855,2.2176,66460,0
1970-05-01,2.2176,2.2656,2.2176,2.2493,59962,0
1970-05-04,2.2331,2.2331,2.1614,2.1775,70456,0
1970-05-05,2.1775,2.2095,2.1614,2.1614,132418,0
1970-05-06,2.1614,2.2176,2.1614,2.1775,73455,0
1970-05-07,2.1775,2.1932,2.1614,2.1855,74455,0
1970-05-08,2.1775,2.1775,2.1533,2.1693,59962,0
1970-05-11,2.1693,2.1775,2.1533,2.1614,48472,0
1970-05-12,2.1533,2.1533,2.1134,2.1215,111429,0
1970-05-13,2.1215,2.1215,2.0573,2.0573,141412,0
1970-05-14,1.9693,1.9693,1.8892,1.9211,284825,0
1970-05-15,1.9211,2.0012,1.9052,1.9852,108433,0
1970-05-18,1.9852,2.0094,1.9532,2.0094,56965,0
1970-05-19,2.0411,2.0411,2.0094,2.0094,56462,0
1970-05-20,2.0094,2.0171,1.9452,1.9452,109932,0
1970-05-21,1.9452,1.9452,1.9052,1.937,94944,0
1970-05-22,1.937,1.977,1.9211,1.9452,86947,0
1970-05-25,1.9452,1.9613,1.8974,1.8974,67957,0
1970-05-26,1.8974,1.9613,1.8732,1.8732,162899,0
1970-05-27,1.8732,2.0493,1.8732,2.0411,98438,0
1970-05-28,2.0411,2.0732,2.0252,2.0732,169392,0
1970-05-29,2.0732,2.1134,2.0493,2.0974,76451,0
1970-06-01,2.0974,2.1371,2.0814,2.1053,82447,0
1970-06-02,2.1134,2.1614,2.1134,2.1614,53469,0
1970-06-03,2.1614,2.1855,2.1294,2.1775,66460,0
1970-06-04,2.1775,2.2095,2.1454,2.1454,129421,0
1970-06-05,2.1294,2.1294,2.0493,2.0493,63460,0
1970-06-08,2.0653,2.1614,2.0653,2.1371,65957,0
1970-06-09,2.1371,2.1932,2.1371,2.1614,122425,0
1970-06-10,2.1614,2.1775,2.1454,2.1533,37977,0
1970-06-11,2.1533,2.1693,2.1294,2.1294,86448,0
1970-06-12,2.1294,2.1454,2.1134,2.1371,69957,0
1970-06-15,2.1371,2.1454,2.1134,2.1294,76451,0
1970-06-16,2.1294,2.2012,2.1215,2.2012,93946,0
