Date,Open,High,Low,Close,Volume,OpenInt
2010-08-23,17.393,17.393,17.361,17.361,2004,0
2010-08-24,17.408,17.592,17.408,17.592,3073,0
2010-08-25,17.647,17.647,17.647,17.647,1378,0
2010-08-26,17.568,17.95,17.568,17.95,500,0
2010-08-27,17.568,17.911,17.568,17.911,1128,0
2010-08-30,18.005,18.005,17.647,17.743,1378,0
2010-08-31,17.647,17.647,17.632,17.632,249,0
2010-09-01,17.903,17.903,17.903,17.903,249,0
2010-09-02,17.879,17.903,17.68,17.879,500,0
2010-09-07,17.759,17.759,17.759,17.759,500,0
2010-09-08,17.992,17.992,17.992,17.992,249,0
2010-09-10,18.032,18.032,18.032,18.032,249,0
2010-09-13,18.103,18.229,18.088,18.229,3635,0
2010-09-14,18.229,18.229,17.903,17.903,1730,0
2010-09-15,18.229,18.229,18.229,18.229,1442,0
2010-09-17,18.229,18.325,18.229,18.325,4023,0
2010-09-20,18.526,18.526,18.526,18.526,990,0
2010-09-21,18.526,18.526,18.526,18.526,1254,0
2010-09-28,18.229,18.229,18.229,18.229,124,0
2010-09-30,18.351,18.351,18.351,18.351,124,0
2010-10-01,18.254,18.254,18.254,18.254,249,0
2010-10-04,18.351,18.351,17.992,18.229,4613,0
2010-10-05,18.126,18.325,18.126,18.325,707,0
2010-10-06,18.334,18.526,18.334,18.526,1692,0
2010-10-07,18.742,18.742,18.742,18.742,124,0
2010-10-11,18.837,18.846,18.837,18.837,971,0
2010-10-12,18.509,18.63,18.414,18.589,1229,0
2010-10-13,18.429,18.589,18.032,18.589,6272,0
2010-10-14,18.733,18.733,18.733,18.733,626,0
2010-10-19,18.351,18.438,18.351,18.438,1128,0
2010-10-20,18.438,18.438,18.438,18.438,124,0
2010-10-21,19.907,19.907,18.357,18.357,10050,0
2010-10-22,18.509,18.589,18.509,18.509,939,0
2010-10-25,18.548,18.548,17.992,18.509,7990,0
2010-10-26,18.509,18.749,18.502,18.749,10491,0
2010-10-28,18.949,18.964,18.949,18.949,753,0
2010-10-29,18.949,18.949,18.749,18.749,2445,0
2010-11-01,18.749,18.749,18.749,18.749,124,0
2010-11-02,19.546,19.546,19.546,19.546,915,0
2010-11-03,19.227,19.227,18.878,18.878,249,0
2010-11-05,18.909,18.909,18.868,18.868,1755,0
2010-11-09,18.868,19.067,18.693,19.067,2032,0
2010-11-10,18.749,18.749,18.676,18.676,500,0
2010-11-11,19.044,19.291,19.028,19.164,3842,0
2010-11-15,19.227,19.308,19.227,19.308,375,0
2010-11-16,19.227,19.243,19.227,19.243,2581,0
2010-11-17,18.82,19.227,18.548,19.148,3092,0
2010-11-18,18.478,19.125,18.478,19.125,2256,0
2010-11-19,19.125,19.125,19.125,19.125,124,0
2010-11-22,19.034,19.034,18.166,18.166,1004,0
2010-11-23,18.357,18.414,18.357,18.414,249,0
2010-11-24,18.924,19.053,18.638,19.053,2256,0
2010-11-26,18.949,19.067,18.589,19.067,6107,0
2010-11-29,19.308,19.507,19.148,19.386,7395,0
2010-11-30,19.467,19.849,19.467,19.849,2632,0
2010-12-01,19.81,19.81,19.419,19.419,249,0
2010-12-03,19.148,19.148,18.756,18.851,3447,0
2010-12-06,18.773,18.773,18.765,18.773,1254,0
2010-12-07,18.765,18.773,18.756,18.756,1630,0
2010-12-08,19.093,19.148,18.94,18.94,2694,0
2010-12-09,18.765,18.765,18.756,18.756,1128,0
2010-12-13,18.756,18.756,18.756,18.756,375,0
2010-12-14,18.756,18.756,18.756,18.756,814,0
2010-12-15,18.351,18.351,18.126,18.126,6392,0
2010-12-17,18.005,18.151,18.005,18.151,375,0
2010-12-20,17.95,18.47,17.95,18.47,3250,0
