Date,Open,High,Low,Close,Volume,OpenInt
2013-03-05,63.44,65.6,58.88,61.36,124503,0
2013-03-06,60.08,60.96,56,57.6,45995,0
2013-03-07,57.12,59.2,57.12,57.76,10261,0
2013-03-08,58.4,58.72,56.08,57.519,3488,0
2013-03-11,57.52,58.32,57.28,57.52,1753,0
2013-03-12,58,58.24,56.8,57.12,3355,0
2013-03-13,57.2,58.48,56.88,57.12,2650,0
2013-03-14,56.96,57.2,36.081,54.56,6764,0
2013-03-15,56.88,57.68,56,56.08,3591,0
2013-03-18,52.72,56.8,52.72,53.368,706,0
2013-03-19,54.16,54.16,53.36,53.52,3148,0
2013-03-20,52.64,53.6,52,53.6,1241,0
2013-03-21,52.64,52.8,52,52.08,1425,0
2013-03-22,52.32,54.64,52.24,54.64,1616,0
2013-03-25,52.001,55.76,52.001,53.2,923,0
2013-03-26,53.12,53.92,51.28,52.96,1413,0
2013-03-27,52,53.601,50,53.6,2282,0
2013-03-28,52.001,53.999,52.001,53.92,1375,0
2013-04-01,55.52,55.52,52,53.92,3206,0
2013-04-02,55.92,56,53.2,53.6,2275,0
2013-04-03,56.72,56.72,48,48.8,3948,0
2013-04-04,48.16,49.68,48,49.68,875,0
2013-04-05,49.2,51.92,48.56,51.68,1583,0
2013-04-08,51.92,52,46.48,48.4,3433,0
2013-04-09,48.8,48.8,48,48,464,0
2013-04-10,48.96,49.44,46,46.24,1739,0
2013-04-11,46.4,48,45.2,46.48,2151,0
2013-04-12,47.28,47.28,44,45.68,694,0
2013-04-15,46,46.4,42.56,42.8,1190,0
2013-04-16,45.28,45.28,42,44,2968,0
2013-04-17,41.6,41.6,38.56,40.08,3528,0
2013-04-18,39.92,40.72,39.28,40.72,1828,0
2013-04-19,40.72,40.8,39.599,39.92,2144,0
2013-04-22,39.92,40.24,39.84,40.16,1942,0
2013-04-23,38.08,40.16,36.8,37.28,1072,0
2013-04-24,37.36,37.36,36,36,4084,0
2013-04-25,36,36.96,31.6,32.4,11189,0
2013-04-26,32.4,32.4,30.72,31.6,5345,0
2013-04-29,31.76,38.72,31.76,36.4,8564,0
2013-04-30,37.2,38.4,35.92,36,2789,0
2013-05-01,35.52,35.802,35.04,35.36,488,0
2013-05-02,36.872,36.872,34.72,35.28,538,0
2013-05-03,35.12,38,35.12,36.08,6542,0
2013-05-06,38,39.12,36.88,38.48,8095,0
2013-05-07,38.08,40.16,38.08,40.16,3482,0
2013-05-08,40.16,41.76,39.28,39.28,645,0
2013-05-09,38.56,39.2,38.16,39.2,888,0
2013-05-10,38.88,39.68,38.88,39.68,807,0
2013-05-13,39.92,39.92,36.72,36.8,1154,0
2013-05-14,36.081,36.728,36.08,36.08,389,0
2013-05-15,35.92,39.6,35.92,39.6,743,0
2013-05-16,39.92,39.92,36,36,7120,0
2013-05-17,36,36.4,36,36.4,1179,0
2013-05-20,36,40.48,36,40.4,2225,0
2013-05-21,40.48,44,40.48,42.4,1338,0
2013-05-22,42.641,43.519,42.56,42.56,1249,0
2013-05-23,40.8,43.2,40.8,43.2,575,0
2013-05-24,41.12,41.68,36.961,41.68,1406,0
2013-05-28,44.399,44.399,44.399,44.399,94,0
2013-05-29,43.84,43.84,41.76,41.76,63,0
2013-05-30,42.16,42.16,38.8,40,463,0
2013-05-31,39.92,39.92,39.2,39.2,350,0
2013-06-03,39.04,40,38.96,39.84,1287,0
2013-06-04,40.08,40.08,33.6,36.13,4106,0
2013-06-05,35.44,36,34,34.8,3717,0
2013-06-06,34.64,37.04,34.48,36.4,1852,0
2013-06-10,37.04,37.36,36.4,37.36,575,0
2013-06-11,36.72,38.56,36.72,38.08,1534,0
2013-06-12,38.64,39.68,35.84,35.92,3431,0
2013-06-13,37.6,37.92,37.12,37.92,5225,0
2013-06-14,36.24,38.4,36.161,38.16,275,0
2013-06-17,38.24,38.96,35.6,36.8,764,0
2013-06-18,36.56,36.64,34.64,36,3214,0
2013-06-19,35.76,35.76,34.8,35.6,438,0
2013-06-20,34.64,35.28,34.24,34.24,775,0
2013-06-21,34.16,36.16,33.04,33.68,2839,0
2013-06-24,33.2,33.2,32.24,32.24,1600,0
2013-06-25,32.72,32.72,31.12,31.2,3335,0
2013-06-26,31.68,32.64,30.72,32.64,2954,0
2013-06-27,32.32,33.2,32,32.4,600,0
2013-06-28,32.8,33.519,31.04,33.519,663,0
2013-07-01,33.52,33.52,32,33.36,463,0
2013-07-02,33.2,33.28,33.04,33.04,1800,0
2013-07-03,32.799,32.8,32.799,32.8,250,0
2013-07-05,32.8,32.88,32.8,32.8,100,0
2013-07-08,33.6,33.601,32.8,32.8,720,0
2013-07-09,33.2,33.2,31.92,32.16,1386,0
2013-07-10,32.08,34.4,32.08,34.08,1811,0
2013-07-11,34.96,38.256,34.96,36,4897,0
2013-07-12,36.24,37.072,36.24,37.072,219,0
2013-07-15,36.32,38.48,36.32,38,1763,0
2013-07-16,36.32,37.24,36.32,37.2,113,0
2013-07-17,37.44,37.44,36.801,36.801,106,0
2013-07-23,36.72,36.72,34.8,36,1688,0
2013-07-24,34.4,34.48,34.4,34.4,669,0
2013-07-25,34.48,34.72,32.8,34,888,0
2013-07-26,34,38.16,34,37.52,1299,0
2013-07-29,37.36,38,36.8,37.52,550,0
2013-07-30,36.8,37.92,36.16,36.16,396,0
2013-07-31,36.08,37.48,36,37.48,302,0
2013-08-01,37.28,37.28,37.28,37.28,63,0
2013-08-02,37.599,37.599,37.344,37.344,175,0
2013-08-05,36.96,42.72,36.96,41.28,3490,0
2013-08-06,42.56,42.56,38.32,39.536,1044,0
2013-08-07,39.76,41.52,39.511,39.6,150,0
2013-08-08,40,40,40,40,125,0
2013-08-12,38.96,42.8,38.96,41.6,1055,0
2013-08-13,42.4,44,36.96,39.36,2029,0
2013-08-14,40.8,40.8,35.52,39.2,2064,0
2013-08-15,39.2,43.04,39.2,42.16,775,0
2013-08-16,39.841,39.841,39.84,39.84,63,0
2013-08-19,40.16,40.64,36.56,40.64,269,0
2013-08-20,40.16,40.405,39.281,40.16,1832,0
2013-08-21,39.44,39.52,38,39.52,765,0
2013-08-22,39.04,40.559,38.88,38.88,150,0
2013-08-23,38.96,39.2,38.8,39.2,397,0
2013-08-26,36.96,40,36.96,39.04,1213,0
2013-08-27,39.04,39.28,37.92,38,2238,0
2013-08-28,37.92,38,36.64,38,963,0
2013-08-29,36.8,37.36,34.8,34.8,2435,0
2013-08-30,33.44,35.6,33.44,35.6,25,0
2013-09-03,35.92,38,35.92,38,100,0
2013-09-04,36.8,36.8,36.08,36.08,438,0
2013-09-05,37.6,37.6,35.6,36,4956,0
2013-09-06,36.16,36.96,36,36,857,0
2013-09-09,37.6,39.36,37.6,39.28,88,0
2013-09-10,36.32,37.52,36,36.16,888,0
2013-09-11,37.2,37.2,37.2,37.2,50,0
2013-09-13,36.4,37.28,36,37.12,1728,0
2013-09-16,38.8,38.8,38.8,38.8,48,0
2013-09-18,36.401,39.12,36.401,38,184,0
2013-09-19,37.6,38.96,36.4,38.96,388,0
2013-09-20,36.4,38.097,36.4,36.4,904,0
2013-09-23,39.2,39.2,38.8,38.8,373,0
2013-09-24,38.24,38.24,36.118,36.792,341,0
2013-09-25,36.8,37.6,36.4,36.8,1613,0
2013-09-26,38,38,37.28,38,138,0
2013-09-27,37.12,38,36.88,37.2,525,0
2013-09-30,36.8,37.2,36.48,36.88,3663,0
2013-10-01,36.48,38.4,36.48,38.4,644,0
2013-10-02,38.08,39.2,38.08,38.48,2911,0
2013-10-03,38,38.4,38,38.4,1458,0
2013-10-04,38.56,38.64,38.4,38.4,2355,0
2013-10-07,38.56,38.56,38.4,38.4,139,0
2013-10-08,38.4,39.2,37.2,38.4,2650,0
2013-10-09,37.68,38.48,37.6,38.4,1663,0
2013-10-10,38,38.4,38,38.24,113,0
2013-10-11,39.44,41.12,39.04,40.48,775,0
2013-10-14,40.32,40.8,38.48,39.36,1288,0
2013-10-15,39.36,40,38.8,39.2,238,0
2013-10-16,38.88,39.2,38.4,38.88,1113,0
2013-10-17,39.12,40,39.12,40,25,0
2013-10-21,40,40,38,38.8,338,0
2013-10-22,39.04,39.04,39.04,39.04,13,0
2013-10-23,38.8,38.8,38.8,38.8,25,0
2013-10-24,39.2,39.6,38.96,39.6,113,0
2013-10-29,39.36,41.04,38.8,39.36,938,0
2013-10-30,40.08,40.08,39.6,39.6,100,0
2013-10-31,40.48,41.52,39.68,40,213,0
2013-11-01,39.92,39.92,39.92,39.92,13,0
2013-11-04,38.56,38.56,38.4,38.56,38,0
2013-11-05,42.4,43.04,40.8,42.8,63,0
2013-11-06,43.04,43.04,41.52,42,325,0
2013-11-07,41.92,42,39.2,39.2,725,0
2013-11-08,39.92,40.08,39.6,39.6,475,0
2013-11-12,39.84,41.44,38.56,41.36,2191,0
2013-11-13,44,44.032,41.6,41.6,138,0
2013-11-14,45.6,45.6,38.4,41.6,5874,0
2013-11-15,45.52,45.52,41.6,41.6,813,0
2013-11-18,43.44,43.44,42.4,42.4,138,0
2013-11-19,42.64,42.64,42.48,42.48,100,0
2013-11-20,43.2,43.2,43.2,43.2,13,0
