Date,Open,High,Low,Close,Volume,OpenInt
1987-11-05,1.935,2.0979,1.935,2.0979,852477,0
1987-11-06,2.1405,2.1491,2.0979,2.0979,476166,0
1987-11-09,2.0891,2.0979,2.055,2.0891,686395,0
1987-11-10,2.0723,2.0723,2.0205,2.0205,463551,0
1987-11-11,2.0205,2.2091,2.0205,2.1491,647502,0
1987-11-12,2.2176,2.2519,2.1663,2.1747,982819,0
1987-11-13,2.1834,2.192,2.1834,2.192,141904,0
1987-11-16,2.2691,2.3031,2.2091,2.2691,310086,0
1987-11-17,2.2091,2.2348,2.1663,2.2348,704264,0
1987-11-18,2.2348,2.2519,2.1663,2.2005,549746,0
1987-11-19,2.1405,2.192,2.1405,2.1663,754720,0
1987-11-20,2.1575,2.1575,2.1491,2.1575,517163,0
1987-11-23,2.1491,2.1663,2.1491,2.1575,468807,0
1987-11-24,2.1747,2.2432,2.1747,2.2091,237556,0
1987-11-25,2.1834,2.2947,2.1747,2.2602,352131,0
1987-11-27,2.2602,2.286,2.2602,2.2602,63069,0
1987-11-30,2.2432,2.2519,2.1663,2.1747,625427,0
1987-12-01,2.1663,2.1834,2.1575,2.1834,972309,0
1987-12-02,2.2091,2.2262,2.1575,2.1834,248071,0
1987-12-03,2.1663,2.1747,2.1405,2.1405,812532,0
1987-12-04,2.115,2.1747,2.0891,2.1747,2451259,0
1987-12-07,2.1405,2.1747,2.1405,2.1575,359492,0
1987-12-08,2.1834,2.2519,2.1663,2.2348,302727,0
1987-12-09,2.2176,2.2602,2.2091,2.2432,178695,0
1987-12-10,2.2262,2.2691,2.1663,2.2091,198663,0
1987-12-11,2.2091,2.2091,2.1663,2.1834,153468,0
1987-12-14,2.2005,2.2091,2.1747,2.1834,405739,0
1987-12-15,2.2091,2.2262,2.1491,2.1491,508752,0
1987-12-16,2.2091,2.2091,2.1663,2.1663,344774,0
1987-12-17,2.1491,2.2091,2.1491,2.1747,291164,0
1987-12-18,2.1405,2.2091,2.1405,2.2091,500344,0
1987-12-21,2.2005,2.3203,2.2005,2.3203,737901,0
1987-12-22,2.3203,2.3462,2.3031,2.3375,339519,0
1987-12-23,2.3203,2.432,2.3203,2.4058,228097,0
1987-12-24,2.4058,2.4147,2.3973,2.4147,211279,0
1987-12-28,2.4058,2.4058,2.3203,2.3462,428864,0
1987-12-29,2.3289,2.3289,2.2262,2.2947,547646,0
1987-12-30,2.2691,2.3801,2.2691,2.3801,726336,0
1987-12-31,2.3375,2.4147,2.3203,2.3973,193411,0
1988-01-04,2.3888,2.4487,2.3888,2.4058,436224,0
1988-01-05,2.4147,2.4228,2.3888,2.3888,223894,0
1988-01-06,2.3631,2.3801,2.3462,2.3801,350029,0
1988-01-07,2.3547,2.3973,2.3031,2.3973,155571,0
1988-01-08,2.3547,2.3801,2.3203,2.3375,179746,0
1988-01-11,2.286,2.3031,2.2432,2.286,359492,0
1988-01-12,2.286,2.3031,2.2432,2.2432,316395,0
1988-01-13,2.2348,2.286,2.2348,2.286,314291,0
1988-01-14,2.3203,2.3203,2.2091,2.2091,495088,0
1988-01-15,2.2262,2.286,2.2262,2.286,83040,0
1988-01-18,2.2691,2.2947,2.2691,2.286,168183,0
1988-01-19,2.286,2.2947,2.286,2.286,156621,0
1988-01-20,2.2602,2.2602,2.2348,2.2519,1334950,0
1988-01-21,2.3203,2.3203,2.2602,2.2602,257530,0
1988-01-22,2.2432,2.2691,2.2262,2.2691,88296,0
1988-01-25,2.2947,2.3203,2.2602,2.2602,183949,0
1988-01-26,2.2602,2.2602,2.1834,2.1834,290114,0
1988-01-27,2.2091,2.2348,2.2005,2.2091,388923,0
1988-01-28,2.2005,2.2176,2.1834,2.2005,153468,0
1988-01-29,2.2005,2.2348,2.2005,2.2091,100910,0
1988-02-01,2.2262,2.2602,2.2262,2.2348,290114,0
1988-02-02,2.2348,2.2602,2.2348,2.2519,313240,0
1988-02-03,2.2432,2.3031,2.2432,2.286,253326,0
1988-02-04,2.3031,2.3117,2.2947,2.3031,138751,0
