Date,Open,High,Low,Close,Volume,OpenInt
2017-10-04,24.68,24.75,24.64,24.75,299111,0
2017-10-05,24.79,24.9,24.75,24.9,113061,0
2017-10-06,24.85,24.85,24.76,24.77,69190,0
2017-10-09,24.82,24.82,24.7,24.82,15149,0
2017-10-10,24.8,24.9,24.8,24.9,65247,0
2017-10-11,24.9,24.95,24.82,24.95,91540,0
2017-10-12,25.02,25.09,25.02,25.02,37762,0
2017-10-13,25.0452,25.08,25.02,25.03,23120,0
2017-10-16,25,25.05,24.95,25,13431,0
2017-10-17,25.05,25.1,24.9,25.02,41647,0
2017-10-18,24.88,25.1,24.88,24.92,37280,0
2017-10-19,25.03,25.05,24.9713,25,39070,0
2017-10-20,25.09,25.09,24.75,24.81,59585,0
2017-10-23,24.8669,24.9938,24.8669,24.99,17755,0
2017-10-24,25.02,25.05,24.87,24.99,17777,0
2017-10-25,24.9543,25.01,24.9435,25,41231,0
2017-10-26,24.9904,25.04,24.91,24.98,18413,0
2017-10-27,25,25.06,25,25,21955,0
2017-10-30,25.1,25.1,25.0045,25.1,4876,0
2017-10-31,25.25,25.3,25.1,25.3,23780,0
2017-11-01,25.37,25.37,25.25,25.3,11558,0
2017-11-02,25.258,25.34,25.25,25.3206,4877,0
2017-11-03,25.38,25.39,25.3,25.38,2990,0
2017-11-06,25.4,25.6699,25.35,25.5026,29445,0
2017-11-07,25.49,25.5,25.45,25.45,11706,0
2017-11-08,25.41,25.4101,25.185,25.29,30836,0
2017-11-09,25.26,25.26,25.209,25.235,13947,0
2017-11-10,25.26,25.4075,25.25,25.3,29031,0
