Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,21.388,21.491,21.275,21.408,906220,0
2005-02-28,21.511,22.511,21.351,22.08,3414756,0
2005-03-01,22.128,22.25,21.811,21.994,1171596,0
2005-03-02,21.966,22.233,21.904,22.128,1412331,0
2005-03-03,22.185,22.332,21.763,21.876,1020738,0
2005-03-04,21.947,22.147,21.724,21.994,1296302,0
2005-03-07,21.994,22.801,21.994,22.716,1765989,0
2005-03-08,22.616,22.764,22.531,22.651,1507175,0
2005-03-09,22.521,22.725,22.37,22.597,1392274,0
2005-03-10,22.531,22.819,22.26,22.502,2469706,0
2005-03-11,22.616,22.885,22.426,22.706,1817935,0
2005-03-14,22.716,23.082,22.716,23.026,2407664,0
2005-03-15,23.045,23.419,22.942,22.999,1828594,0
2005-03-16,22.932,23.063,22.398,22.511,1501825,0
2005-03-17,22.511,22.999,22.408,22.866,1564106,0
2005-03-18,22.661,22.791,22.195,22.195,2765102,0
2005-03-21,22.322,22.635,22.156,22.25,1553097,0
2005-03-22,22.296,22.54,21.698,21.698,1603331,0
2005-03-23,21.529,21.529,20.959,21.361,3301114,0
2005-03-24,21.491,21.763,21.408,21.611,966701,0
2005-03-28,21.62,21.698,20.696,20.752,2948022,0
2005-03-29,20.844,21.117,20.039,20.228,4069228,0
2005-03-30,20.021,20.705,20.021,20.639,2372498,0
2005-03-31,20.566,20.686,20.359,20.489,1236482,0
2005-04-01,20.658,20.977,20.191,20.441,1408559,0
2005-04-04,20.294,20.376,19.854,20.143,2283723,0
2005-04-05,20.191,20.46,20.085,20.341,1339114,0
2005-04-06,20.489,20.724,20.294,20.294,1443227,0
2005-04-07,20.219,20.274,19.758,20.075,2182676,0
2005-04-08,19.883,19.948,19.423,19.636,3191778,0
2005-04-11,19.674,20.228,19.48,20.075,5067879,0
2005-04-12,19.957,20.696,19.835,20.441,3152137,0
2005-04-13,20.424,20.424,19.749,19.768,3208569,0
2005-04-14,19.711,19.797,18.524,18.954,6249896,0
2005-04-15,19.499,19.499,18.534,18.616,6685764,0
2005-04-18,18.805,19.281,18.422,19.189,3451050,0
2005-04-19,19.189,19.758,19.189,19.711,2960948,0
2005-04-20,19.892,19.892,19.252,19.345,2519425,0
2005-04-21,19.519,20.114,19.442,19.992,4754752,0
2005-04-22,20.124,20.181,19.336,19.442,2988944,0
2005-04-25,19.674,19.873,19.423,19.555,1695159,0
2005-04-26,19.546,19.546,18.607,18.906,3260872,0
2005-04-27,18.786,18.906,18.29,18.767,3677740,0
2005-04-28,18.655,18.711,18.064,18.064,3058837,0
2005-04-29,18.064,18.448,17.832,18.3,3453546,0
2005-05-02,18.3,18.74,18.3,18.74,2324938,0
2005-05-03,18.674,18.758,18.271,18.383,1964990,0
2005-05-04,18.439,18.805,18.241,18.701,3124130,0
2005-05-05,18.795,19.355,18.721,19.049,3144974,0
2005-05-06,19.234,19.573,19.143,19.336,2503708,0
2005-05-09,19.252,19.626,19.234,19.59,1686484,0
2005-05-10,19.564,19.655,19.318,19.365,1801602,0
2005-05-11,19.489,19.636,19.096,19.16,2584411,0
2005-05-12,19.143,19.271,17.868,18.17,5035613,0
2005-05-13,18.14,18.346,17.634,17.851,2781299,0
2005-05-16,17.999,18.597,17.999,18.467,2649691,0
2005-05-17,18.261,19.059,18.241,19.02,2658354,0
2005-05-18,19.01,19.527,19.01,19.433,2516574,0
2005-05-19,19.546,19.645,19.433,19.509,1525276,0
2005-05-20,19.555,19.555,19.153,19.189,1661775,0
2005-05-23,19.189,19.797,19.17,19.537,2102727,0
2005-05-24,19.47,19.788,19.076,19.749,3070913,0
2005-05-25,19.749,19.749,19.143,19.48,2737100,0
2005-05-26,19.47,19.711,19.394,19.47,1740345,0
2005-05-27,19.433,19.546,19.179,19.47,1293720,0
2005-05-31,19.328,19.423,18.655,18.795,1823583,0
2005-06-01,18.721,19.17,18.422,18.991,3201680,0
2005-06-02,18.991,19.226,18.75,19.105,1822803,0
2005-06-03,19.02,19.252,18.954,19.216,1482992,0
2005-06-06,19.189,19.308,18.991,19.143,1227393,0
2005-06-07,19.16,19.404,18.524,18.607,2074627,0
2005-06-08,18.187,18.413,17.017,17.587,5435229,0
2005-06-09,17.439,17.878,17.363,17.803,1491524,0
2005-06-10,17.878,18.019,17.615,17.785,1621762,0
2005-06-13,17.785,17.906,17.514,17.615,1474862,0
2005-06-14,17.587,17.681,17.468,17.624,1571223,0
2005-06-15,17.644,18.045,17.559,17.991,1800075,0
2005-06-16,18.019,18.346,17.878,18.28,1419871,0
2005-06-17,18.251,19.02,18.225,18.58,2907037,0
2005-06-20,18.58,18.58,18.112,18.439,1549214,0
2005-06-21,18.422,18.954,18.403,18.655,1766154,0
2005-06-22,18.457,18.701,18.17,18.346,1492648,0
2005-06-23,18.019,18.112,17.644,17.719,2203155,0
2005-06-24,17.644,17.962,17.42,17.615,1620129,0
2005-06-27,17.486,17.746,17.353,17.661,1238849,0
2005-06-28,17.69,18.225,17.69,18.14,1191100,0
2005-06-29,18.196,18.28,17.991,18.037,1018707,0
2005-06-30,18.112,18.375,17.943,17.999,1260753,0
2005-07-01,17.971,18.317,17.756,18.3,1352888,0
2005-07-05,18.251,18.75,17.943,18.684,2182386,0
2005-07-06,18.75,19.02,18.597,18.626,2233922,0
2005-07-07,18.439,18.861,18.15,18.842,1399794,0
2005-07-08,18.74,19.394,18.691,19.243,1543867,0
2005-07-11,19.124,19.607,19.068,19.308,1390036,0
2005-07-12,19.345,19.564,19.271,19.318,1086745,0
2005-07-13,19.328,19.47,18.963,19.179,1695222,0
2005-07-14,19.308,19.758,19.179,19.645,1650650,0
2005-07-15,18.906,18.954,18.29,18.73,4272377,0
2005-07-18,18.534,18.721,18.206,18.215,2123130,0
2005-07-19,18.241,18.241,17.55,17.746,5064758,0
2005-07-20,17.813,19.252,17.746,18.916,6641759,0
2005-07-21,18.777,18.954,18.327,18.684,2192142,0
2005-07-22,18.786,18.944,18.515,18.721,1547307,0
2005-07-25,18.646,18.758,17.943,18.064,2721343,0
2005-07-26,18.121,18.17,17.878,17.991,1843730,0
2005-07-27,18.112,18.271,17.785,17.888,1435050,0
2005-07-28,18.103,18.73,17.952,18.684,3717449,0
2005-07-29,18.616,18.664,18.225,18.375,3000258,0
2005-08-01,18.28,18.636,18.206,18.589,1852598,0
2005-08-02,18.58,18.823,18.251,18.767,1377715,0
2005-08-03,18.636,18.684,18.346,18.534,1470589,0
2005-08-04,18.439,18.515,18.009,18.121,2081765,0
2005-08-05,18.019,18.241,17.999,18.064,1628634,0
2005-08-08,18.055,18.308,17.888,17.952,1331283,0
2005-08-09,17.925,18.14,17.719,17.823,1355764,0
2005-08-10,17.737,18.187,17.478,17.719,2107297,0
2005-08-11,17.719,18.14,17.671,18.055,1887598,0
2005-08-12,17.925,18.215,17.69,18.16,1407111,0
2005-08-15,18.187,18.187,17.69,17.803,1412048,0
2005-08-16,17.737,17.878,17.353,17.411,1434388,0
2005-08-17,17.26,17.746,17.157,17.624,1794524,0
2005-08-18,17.458,17.615,17.147,17.478,1201219,0
2005-08-19,17.504,17.568,17.277,17.514,811910,0
2005-08-22,17.523,17.699,17.074,17.204,1499280,0
2005-08-23,17.222,17.268,16.605,16.623,1911432,0
2005-08-24,16.577,17.084,16.269,16.633,2465198,0
2005-08-25,16.623,16.989,16.491,16.979,1187935,0
2005-08-26,17.391,17.568,16.791,17.046,2261474,0
2005-08-29,17.007,17.007,16.72,16.902,1252616,0
2005-08-30,16.866,16.979,16.681,16.8,1674672,0
2005-08-31,16.763,17.036,16.279,16.912,2604505,0
2005-09-01,16.791,17.504,16.567,17.391,2033888,0
2005-09-02,17.494,17.915,17.176,17.26,1806437,0
2005-09-06,17.315,17.709,17.315,17.55,2382418,0
2005-09-07,17.559,17.615,17.286,17.458,1256393,0
2005-09-08,17.363,17.478,17.184,17.241,1567889,0
2005-09-09,17.065,17.094,16.672,16.857,2782106,0
2005-09-12,16.961,17.315,16.828,17.13,1538638,0
2005-09-13,17.017,17.046,16.773,16.828,1213253,0
2005-09-14,16.81,17.241,16.81,17.138,1843677,0
2005-09-15,17.157,17.363,17.007,17.167,1668108,0
2005-09-16,17.167,17.559,17.167,17.532,2393749,0
2005-09-19,17.486,17.486,17.13,17.241,687594,0
2005-09-20,16.763,17.624,16.691,16.998,2487250,0
2005-09-21,17.046,17.046,16.408,16.529,2663829,0
2005-09-22,16.425,16.931,16.388,16.892,2062412,0
2005-09-23,16.837,17.541,16.828,17.478,2443146,0
2005-09-26,17.486,18.121,17.138,17.286,2320866,0
2005-09-27,17.42,17.42,17.007,17.334,1070114,0
2005-09-28,17.334,17.504,16.892,17.027,1472831,0
2005-09-29,17.046,17.661,16.756,17.624,2007778,0
2005-09-30,17.624,18.215,17.486,17.794,1928218,0
2005-10-03,17.841,18.225,17.439,17.671,2008039,0
2005-10-04,17.568,17.896,17.429,17.559,1162461,0
2005-10-05,17.494,17.661,17.138,17.184,2157443,0
2005-10-06,17.478,17.933,17.325,17.615,3404804,0
2005-10-07,17.719,18.486,17.597,18.28,2669275,0
2005-10-10,18.17,18.393,17.803,18.215,2411601,0
2005-10-11,18.196,19.02,18.196,18.561,3946901,0
2005-10-12,18.448,18.534,17.728,17.859,2634595,0
2005-10-13,17.832,17.896,17.138,17.653,2348403,0
2005-10-14,18.346,18.375,17.671,17.841,3314195,0
2005-10-17,17.878,18.019,17.514,17.775,1635548,0
2005-10-18,17.737,17.851,17.468,17.578,1973030,0
2005-10-19,17.653,17.737,17.074,17.719,1912764,0
2005-10-20,17.597,18.019,17.353,17.458,1187982,0
2005-10-21,17.486,17.943,17.315,17.728,2651835,0
2005-10-24,17.832,18.457,17.785,18.422,2049775,0
2005-10-25,18.375,18.626,17.971,18.215,1121081,0
2005-10-26,18.15,18.28,17.785,17.794,1354357,0
2005-10-27,17.785,17.785,17.344,17.486,1597629,0
2005-10-28,17.615,17.906,17.344,17.878,1047581,0
2005-10-31,17.971,18.232,17.896,18.17,1223822,0
2005-11-01,18.103,18.626,18.083,18.457,1465516,0
2005-11-02,18.413,19.758,18.413,19.701,3136357,0
2005-11-03,19.749,20.075,19.555,19.948,2211828,0
2005-11-04,20.001,20.011,19.291,19.564,2175322,0
2005-11-07,19.674,20.191,19.573,20.171,1144536,0
2005-11-08,20.124,20.556,19.854,20.441,2260675,0
2005-11-09,20.499,20.743,20.143,20.696,1537087,0
2005-11-10,20.752,21.591,20.686,21.464,2614108,0
2005-11-11,21.256,21.754,21.051,21.37,2305619,0
2005-11-14,21.454,21.464,20.902,21.003,1777553,0
2005-11-15,21.62,21.821,21.361,21.464,2823191,0
2005-11-16,21.529,21.744,21.145,21.179,1668900,0
2005-11-17,21.218,21.573,21.218,21.435,993927,0
2005-11-18,21.545,21.782,21.351,21.754,788033,0
2005-11-21,21.734,21.84,21.444,21.679,1294714,0
2005-11-22,21.573,22.463,21.228,22.322,1776717,0
2005-11-23,22.408,22.408,21.937,22.175,1055073,0
2005-11-25,22.137,22.322,21.994,22.242,154777,0
2005-11-28,22.224,22.296,21.435,21.511,979410,0
2005-11-29,21.482,21.63,21.237,21.554,1305517,0
2005-11-30,21.444,21.84,20.959,20.959,3090834,0
2005-12-01,21.06,21.435,20.959,21.08,1327449,0
2005-12-02,21.041,21.208,20.619,21.117,1134688,0
2005-12-05,21.003,21.154,20.341,20.696,1751130,0
2005-12-06,20.844,21.089,20.743,20.844,923720,0
2005-12-07,20.733,20.921,20.508,20.629,601632,0
2005-12-08,20.508,20.686,20.114,20.367,1637564,0
2005-12-09,20.228,20.639,20.228,20.573,952626,0
2005-12-12,20.592,20.686,20.171,20.566,850620,0
2005-12-13,20.649,20.677,20.331,20.658,883180,0
2005-12-14,20.592,21.581,20.592,21.538,1973641,0
2005-12-15,21.417,21.679,21.218,21.464,953403,0
2005-12-16,21.454,21.744,21.388,21.734,1259558,0
2005-12-19,21.716,21.782,21.228,21.333,764945,0
2005-12-20,21.324,21.581,20.94,21.136,756052,0
2005-12-21,21.189,21.947,21.189,21.801,2034944,0
2005-12-22,21.792,21.947,21.511,21.744,886353,0
2005-12-23,21.64,21.947,21.554,21.821,614020,0
2005-12-27,21.866,21.937,21.343,21.529,593427,0
2005-12-28,21.611,21.611,21.041,21.37,530107,0
2005-12-29,21.464,21.62,21.07,21.351,539199,0
2005-12-30,21.275,21.408,20.844,21.189,682801,0
2006-01-03,21.189,21.474,20.359,21.275,1841448,0
2006-01-04,21.295,21.63,21.127,21.208,1064221,0
2006-01-05,21.06,21.275,20.854,21.154,1043038,0
2006-01-06,21.408,21.601,20.921,21.127,2059969,0
2006-01-09,20.967,21.333,20.967,21.256,1661471,0
2006-01-10,21.06,21.343,20.921,21.237,1062597,0
2006-01-11,21.295,21.482,21.098,21.482,723567,0
2006-01-12,21.38,21.792,21.179,21.707,1296897,0
2006-01-13,21.601,21.821,21.454,21.511,756516,0
2006-01-17,21.388,21.491,20.902,21.06,1212855,0
