Date,Open,High,Low,Close,Volume,OpenInt
1982-01-04,2.892,2.9211,2.8628,2.9016,483066,0
1982-01-05,2.9016,2.9211,2.892,2.892,373841,0
1982-01-06,2.9211,2.9308,2.9016,2.9016,271622,0
1982-01-07,2.9696,2.989,2.9308,2.9696,554785,0
1982-01-08,2.9794,2.989,2.9599,2.989,388267,0
1982-01-11,2.9406,2.9696,2.9211,2.9211,552312,0
1982-01-12,2.9308,2.9406,2.9211,2.9308,190424,0
1982-01-13,2.8628,2.9308,2.7853,2.8047,556434,0
1982-01-14,2.8241,2.8435,2.8047,2.8241,85733,0
1982-01-15,2.8822,2.9016,2.8435,2.8628,7532460,0
1982-01-18,2.8628,2.892,2.8241,2.8822,752216,0
1982-01-19,2.9016,2.9308,2.8628,2.8628,550250,0
1982-01-20,2.8822,2.9016,2.8532,2.892,365185,0
1982-01-21,2.9406,2.989,2.892,2.9599,185890,0
1982-01-22,2.9599,2.9794,2.9308,2.9406,405578,0
1982-01-25,2.9211,2.9599,2.8822,2.892,192897,0
1982-01-26,2.9599,2.989,2.9211,2.9406,279452,0
1982-01-27,2.989,3.0473,2.9308,2.989,240708,0
1982-01-28,3.0473,3.0957,2.989,3.0473,273271,0
1982-01-29,3.125,3.1735,3.0666,3.1345,779832,0
1982-02-01,3.057,3.0957,3.0085,3.0278,467817,0
1982-02-02,3.0666,3.0957,3.0278,3.0957,382496,0
1982-02-03,3.0861,3.0957,3.057,3.0861,172288,0
1982-02-04,3.0861,3.0957,3.0666,3.0666,174761,0
1982-02-05,3.1056,3.1345,3.0666,3.1345,309130,0
1982-02-08,3.0861,3.125,3.0278,3.0278,615374,0
1982-02-09,3.0182,3.0473,2.989,3.0182,287284,0
1982-02-10,3.0182,3.0278,2.989,2.989,276568,0
1982-02-11,2.989,3.0182,2.9696,2.989,197843,0
1982-02-12,3.0085,3.0182,2.989,2.989,136429,0
1982-02-16,2.989,3.0085,2.9696,2.989,207735,0
1982-02-17,3.0182,3.057,2.9794,3.0473,647112,0
1982-02-18,3.0861,3.1345,3.0182,3.0666,517688,0
1982-02-19,3.1056,3.1444,3.057,3.0861,357768,0
1982-02-22,3.1345,3.1735,3.0957,3.125,557257,0
1982-02-23,3.1345,3.1735,3.0957,3.1735,415470,0
1982-02-24,3.2511,3.3481,3.1444,3.3481,893178,0
1982-02-25,3.3385,3.4064,3.2705,3.2705,738615,0
1982-02-26,3.2607,3.2995,3.2219,3.2607,447619,0
1982-03-01,3.3385,3.4064,3.2607,3.4064,1481350,0
1982-03-02,3.3674,3.4064,3.3286,3.3385,1533696,0
1982-03-03,3.3093,3.3481,3.2705,3.3385,854847,0
1982-03-04,3.3093,3.3385,3.2705,3.3093,894003,0
1982-03-05,3.3093,3.3481,3.2705,3.2899,862677,0
1982-03-08,3.2607,3.3286,3.2024,3.2024,1016005,0
1982-03-09,3.2219,3.2705,3.1638,3.2414,2259119,0
1982-03-10,3.3093,3.3674,3.2607,3.3385,903071,0
1982-03-11,3.3286,3.3774,3.2607,3.3481,509033,0
1982-03-12,3.3385,3.3774,3.2995,3.3093,338806,0
1982-03-15,3.3286,3.3481,3.2995,3.2995,388267,0
1982-03-16,3.3286,3.3385,3.2995,3.2995,280277,0
1982-03-17,3.3093,3.3286,3.2899,3.2995,280277,0
1982-03-18,3.3774,3.4258,3.3286,3.4258,378374,0
1982-03-19,3.4839,3.5228,3.4452,3.4839,523460,0
1982-03-22,3.5325,3.5714,3.4839,3.5422,1165213,0
1982-03-23,3.5714,3.581,3.5422,3.581,809507,0
1982-03-24,3.5325,3.5714,3.4937,3.5033,697396,0
1982-03-25,3.5422,3.581,3.4937,3.5325,657827,0
1982-03-26,3.4839,3.5228,3.4452,3.4452,746857,0
1982-03-29,3.4258,3.4452,3.4064,3.4452,375078,0
1982-03-30,3.3093,3.3286,3.2995,3.3093,152503,0
1982-03-31,3.5228,3.5519,3.4646,3.5228,1532460,0
1982-04-01,3.5714,3.6102,3.5325,3.6102,526756,0
1982-04-02,3.5907,3.6198,3.5714,3.5714,875868,0
1982-04-05,3.5714,3.6102,3.5325,3.5714,622793,0
1982-04-06,3.5714,3.6102,3.5325,3.6102,414233,0
1982-04-07,3.6295,3.6587,3.6102,3.6295,708113,0
1982-04-08,3.6489,3.6587,3.6295,3.6295,154153,0
1982-04-12,3.6683,3.6877,3.6489,3.6489,286460,0
1982-04-13,3.6587,3.6683,3.6489,3.6489,255547,0
1982-04-14,3.6489,3.6587,3.6295,3.6587,434843,0
1982-04-15,3.6489,3.6587,3.6295,3.6489,257195,0
1982-04-16,3.6587,3.6877,3.6295,3.6683,202788,0
1982-04-19,3.6974,3.7266,3.6587,3.6974,602184,0
1982-04-20,3.7169,3.7266,3.6877,3.7169,359414,0
1982-04-21,3.7362,3.7751,3.6974,3.7751,598476,0
1982-04-22,3.7945,3.8042,3.7654,3.7751,546541,0
1982-04-23,3.8528,3.8818,3.8333,3.8431,1343684,0
1982-04-26,3.8431,3.8722,3.8042,3.8139,806622,0
1982-04-27,3.8139,3.8333,3.7945,3.7945,474411,0
1982-04-28,3.7654,3.7945,3.7362,3.7362,896889,0
1982-04-29,3.7266,3.7557,3.6877,3.6974,1034967,0
1982-04-30,3.7169,3.7266,3.6877,3.6877,343753,0
1982-05-03,3.7266,3.7557,3.6877,3.7169,424126,0
1982-05-04,3.7654,3.7945,3.7362,3.7654,864739,0
1982-05-05,3.7751,3.7945,3.7654,3.7654,295527,0
1982-05-06,3.7654,3.7945,3.7362,3.7557,1457855,0
1982-05-07,3.7654,3.7751,3.7362,3.7557,963661,0
1982-05-10,3.7654,3.7654,3.7557,3.7557,478945,0
1982-05-11,3.7654,3.7654,3.7557,3.7654,421241,0
1982-05-12,3.7362,3.7654,3.6974,3.7266,877104,0
1982-05-13,3.6974,3.7266,3.6683,3.6683,389916,0
1982-05-14,3.6877,3.6974,3.6683,3.6683,221749,0
1982-05-17,3.6974,3.7169,3.6877,3.6974,407227,0
1982-05-18,3.7169,3.7266,3.6877,3.6877,466580,0
1982-05-19,3.7169,3.7266,3.6877,3.6974,941402,0
1982-05-20,3.7169,3.7266,3.6974,3.6974,566738,0
1982-05-21,3.7362,3.7557,3.7169,3.7557,762932,0
1982-05-24,3.7169,3.7266,3.6974,3.6974,566738,0
1982-05-25,3.7557,3.7654,3.7362,3.7362,140139,0
1982-05-26,3.6683,3.7266,3.6198,3.6198,384145,0
1982-05-27,3.6295,3.6489,3.6102,3.6198,161983,0
1982-05-28,3.6489,3.6587,3.6198,3.6198,166930,0
1982-06-01,3.6489,3.6683,3.6198,3.6683,332624,0
1982-06-02,3.6974,3.7266,3.6587,3.7169,342928,0
1982-06-03,3.6974,3.7751,3.6102,3.6198,1049393,0
1982-06-04,3.6587,3.6683,3.6295,3.6489,323968,0
1982-06-07,3.6489,3.6587,3.6295,3.6587,193721,0
1982-06-08,3.6295,3.6587,3.6102,3.6198,406816,0
1982-06-09,3.5714,3.6102,3.5325,3.581,292230,0
1982-06-10,3.581,3.5907,3.5519,3.581,319434,0
1982-06-11,3.7169,3.7654,3.6587,3.7557,1504018,0
1982-06-14,3.7654,3.8042,3.7266,3.7557,218864,0
1982-06-15,3.8042,3.8431,3.7654,3.8431,475648,0
1982-06-16,3.8916,3.9498,3.8333,3.8431,947172,0
1982-06-17,3.8431,3.8528,3.8333,3.8431,678437,0
1982-06-18,3.8916,3.9206,3.8528,3.9206,445971,0
1982-06-21,3.9304,3.9982,3.8528,3.9304,657827,0
1982-06-22,4.008,4.0662,3.9498,4.008,1102563,0
1982-06-23,3.9595,3.9982,3.9206,3.9982,1692794,0
1982-06-24,3.9982,4.0274,3.9595,4.008,910490,0
1982-06-25,3.9886,4.008,3.9595,3.9693,939341,0
1982-06-28,3.9304,3.9595,3.8916,3.8916,677612,0
1982-06-29,3.8722,3.8916,3.8333,3.8431,1637976,0
1982-06-30,3.8722,3.8916,3.8431,3.8916,1181287,0
1982-07-01,3.9206,3.9498,3.8818,3.9206,425775,0
1982-07-02,3.9304,3.9595,3.911,3.9595,698222,0
1982-07-06,3.9498,3.9693,3.911,3.9304,549839,0
1982-07-07,3.9206,3.9304,3.8916,3.9206,271209,0
1982-07-08,3.8528,3.9304,3.7654,3.8528,630625,0
1982-07-09,3.911,3.9498,3.8625,3.9304,313252,0
1982-07-12,4.0274,4.0469,3.9982,4.0372,698633,0
1982-07-13,4.0469,4.076,4.0274,4.0372,818163,0
1982-07-14,4.0372,4.076,3.9982,4.076,659888,0
1982-07-15,4.1051,4.1341,4.076,4.1341,374253,0
