Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,18.185,18.258,17.983,18.258,209187,0
2005-02-28,18.176,18.258,17.919,18.14,322686,0
2005-03-01,18.002,18.267,17.928,18.185,707761,0
2005-03-02,18.185,18.239,17.965,18.104,197071,0
2005-03-03,18.277,18.286,17.837,18.002,234070,0
2005-03-04,18.122,18.122,17.691,17.91,395599,0
2005-03-07,17.857,18.012,17.766,17.91,276809,0
2005-03-08,17.956,17.956,17.6,17.663,259227,0
2005-03-09,17.691,17.737,17.39,17.455,282407,0
2005-03-10,17.528,17.857,17.417,17.727,361259,0
2005-03-11,17.691,17.866,17.618,17.857,392228,0
2005-03-14,17.884,18.076,17.829,18.076,264881,0
2005-03-15,18.002,18.295,17.919,17.919,380349,0
2005-03-16,17.829,18.02,17.417,17.556,549790,0
2005-03-17,17.462,17.556,17.235,17.317,439101,0
2005-03-18,17.226,17.291,17.051,17.235,779735,0
2005-03-21,17.273,17.39,17.051,17.255,470223,0
2005-03-22,17.199,17.39,17.106,17.19,399558,0
2005-03-23,17.098,17.39,17.088,17.255,346048,0
2005-03-24,17.362,17.409,17.124,17.124,328396,0
2005-03-28,17.134,17.352,16.258,16.68,990816,0
2005-03-29,16.769,16.813,16.431,16.485,893449,0
2005-03-30,16.559,16.906,16.521,16.869,592289,0
2005-03-31,16.813,16.85,16.319,16.439,975101,0
2005-04-01,16.566,16.67,16.12,16.414,658732,0
2005-04-04,16.405,16.641,16.239,16.604,563454,0
2005-04-05,16.688,16.688,16.405,16.431,391948,0
2005-04-06,16.566,16.722,16.387,16.387,385904,0
2005-04-07,16.448,16.541,16.311,16.414,285656,0
2005-04-08,16.414,16.423,16.192,16.285,210754,0
2005-04-11,16.338,16.396,16.074,16.111,341267,0
2005-04-12,16.165,16.338,15.956,16.23,693700,0
2005-04-13,16.074,16.906,16.056,16.503,618391,0
2005-04-14,16.439,16.651,16.329,16.405,494913,0
2005-04-15,16.476,16.476,15.808,15.863,607293,0
2005-04-18,16.002,16.184,15.801,16.175,350444,0
2005-04-19,16.311,16.311,15.91,16.138,284198,0
2005-04-20,16.201,16.258,15.808,15.9,295346,0
2005-04-21,14.896,16.074,14.028,16.002,1680541,0
2005-04-22,15.946,16.056,15.351,15.836,963969,0
2005-04-25,15.956,16.367,15.718,16.239,898424,0
2005-04-26,16.276,16.319,16.002,16.002,604323,0
2005-04-27,15.992,16.184,15.9,16.028,1253973,0
2005-04-28,15.965,15.965,15.57,15.681,565446,0
2005-04-29,15.561,15.818,15.561,15.709,447456,0
2005-05-02,15.792,15.854,15.636,15.671,324694,0
2005-05-03,15.728,16.267,15.636,16.038,727569,0
2005-05-04,15.992,16.338,15.956,16.201,437221,0
2005-05-05,16.184,16.431,16.074,16.239,348787,0
2005-05-06,16.192,16.338,16.165,16.22,267394,0
2005-05-09,16.156,16.319,16.084,16.249,217604,0
2005-05-10,16.184,16.448,16.084,16.267,463142,0
2005-05-11,16.239,16.358,15.992,16.13,260701,0
2005-05-12,16.22,16.22,16.028,16.175,515647,0
2005-05-13,16.093,16.448,16.084,16.138,365626,0
2005-05-16,16.249,16.358,16.102,16.239,418606,0
2005-05-17,16.201,16.348,16.093,16.267,217004,0
2005-05-18,16.239,16.457,16.138,16.439,294200,0
2005-05-19,16.431,16.431,16.267,16.311,433594,0
2005-05-20,16.276,16.348,16.138,16.239,309158,0
2005-05-23,16.301,16.311,16.175,16.249,366258,0
2005-05-24,16.311,16.311,16.184,16.22,222509,0
2005-05-25,16.13,16.22,16.002,16.102,246697,0
2005-05-26,16.22,16.22,16.002,16.175,323918,0
2005-05-27,16.138,16.22,16.047,16.148,145124,0
2005-05-31,16.22,16.22,16.002,16.165,297650,0
2005-06-01,16.22,16.258,16.038,16.111,330572,0
2005-06-02,16.175,16.448,16.084,16.431,846833,0
2005-06-03,16.431,16.632,16.239,16.448,657276,0
2005-06-06,16.531,17.106,16.467,16.961,436404,0
2005-06-07,17.106,17.19,16.85,16.898,347252,0
2005-06-08,17.051,17.106,16.83,16.888,314049,0
2005-06-09,16.97,17.134,16.84,17.124,523693,0
2005-06-10,17.19,17.263,16.925,17.017,198554,0
2005-06-13,17.07,17.235,16.906,17.152,328911,0
2005-06-14,17.017,17.115,16.898,17.017,422569,0
2005-06-15,16.878,17.06,16.76,16.806,313773,0
2005-06-16,16.878,17.134,16.797,17.115,263680,0
2005-06-17,17.142,17.171,16.697,16.732,551151,0
2005-06-20,16.97,17.409,16.822,17.317,592224,0
2005-06-21,17.282,17.445,17.245,17.39,524606,0
2005-06-22,17.435,17.538,17.37,17.426,574668,0
2005-06-23,17.399,17.455,16.934,17.098,305990,0
2005-06-24,17.07,17.309,16.697,16.934,4472864,0
2005-06-27,16.906,16.98,16.622,16.906,508959,0
2005-06-28,17.017,17.124,16.769,17.032,437003,0
2005-06-29,17.078,17.106,16.788,16.888,255497,0
2005-06-30,16.806,16.989,16.715,16.732,666382,0
2005-07-01,16.68,16.916,16.604,16.788,320958,0
2005-07-05,16.813,16.97,16.613,16.951,463028,0
2005-07-06,16.999,17.042,16.813,16.878,300147,0
2005-07-07,16.76,16.989,16.485,16.878,294613,0
2005-07-08,16.859,17.282,16.722,17.18,427432,0
2005-07-11,17.325,17.609,17.06,17.5,488012,0
2005-07-12,17.5,17.672,17.362,17.519,315794,0
2005-07-13,17.6,17.637,17.417,17.6,356164,0
2005-07-14,17.756,17.82,17.491,17.6,312145,0
2005-07-15,17.547,17.866,17.5,17.847,746319,0
2005-07-18,17.91,17.956,17.6,17.645,749062,0
2005-07-19,17.609,17.973,17.609,17.919,223582,0
2005-07-20,17.91,18.03,17.766,18.02,428070,0
2005-07-21,18.049,18.094,17.737,17.775,352411,0
2005-07-22,17.663,17.938,17.574,17.847,492431,0
2005-07-25,17.876,17.876,17.5,17.547,428346,0
2005-07-26,17.618,17.718,17.519,17.6,603613,0
2005-07-27,17.691,17.691,17.362,17.5,468066,0
2005-07-28,17.445,17.6,17.435,17.547,546826,0
2005-07-29,17.455,17.637,17.282,17.6,683432,0
2005-08-01,17.637,17.737,17.482,17.583,496853,0
2005-08-02,17.637,17.663,17.343,17.538,479343,0
2005-08-03,17.142,18.02,17.142,17.343,898308,0
2005-08-04,17.37,17.417,17.088,17.098,567731,0
2005-08-05,17.051,17.098,16.906,16.925,284041,0
2005-08-08,17.06,17.18,16.951,17.026,510489,0
2005-08-09,17.199,17.566,16.98,17.482,652856,0
2005-08-10,17.51,17.547,16.769,16.951,714759,0
2005-08-11,16.906,17.5,16.906,17.472,531252,0
2005-08-12,17.426,17.556,17.134,17.482,631401,0
2005-08-15,17.538,17.618,17.134,17.51,382481,0
2005-08-16,17.362,17.435,17.18,17.226,568332,0
2005-08-17,17.18,17.455,17.18,17.235,301440,0
2005-08-18,17.207,17.317,17.026,17.078,895915,0
2005-08-19,17.042,17.226,17.008,17.142,619399,0
2005-08-22,17.273,17.417,17.142,17.291,402575,0
2005-08-23,17.226,17.282,17.142,17.19,418349,0
2005-08-24,17.255,17.39,16.989,17.07,427490,0
