Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,8.1326,8.1559,8.1026,8.1559,265822,0
2005-02-28,8.2122,8.2276,8.1705,8.2068,316957,0
2005-03-01,8.2345,8.2345,8.1705,8.2017,336393,0
2005-03-02,8.1877,8.1877,8.1326,8.1603,420977,0
2005-03-03,8.1775,8.1775,8.0513,8.0806,374920,0
2005-03-04,8.0295,8.0513,7.937,8.0466,440065,0
2005-03-07,8.0295,8.0737,8.0237,8.0513,344275,0
2005-03-08,8.0295,8.0806,8.0237,8.0682,278785,0
2005-03-09,8.0513,8.0513,7.8809,7.9096,438661,0
2005-03-10,7.9096,7.9096,7.7995,7.8522,456351,0
2005-03-11,7.749,7.7841,7.6582,7.6806,495227,0
2005-03-14,7.67,7.6806,7.4866,7.509,636366,0
2005-03-15,7.4866,7.5151,7.4173,7.4513,629537,0
2005-03-16,7.4067,7.4067,7.3039,7.3219,674719,0
2005-03-17,7.2524,7.4354,7.2243,7.4173,732676,0
2005-03-18,7.4458,7.4513,7.2919,7.3219,428856,0
2005-03-21,7.2868,7.2868,7.1787,7.1899,545831,0
2005-03-22,7.1841,7.1899,7.098,7.1212,603967,0
2005-03-23,7.0641,7.0641,6.8754,6.9671,1216520,0
2005-03-24,6.9553,7.047,6.9553,7.0187,599241,0
2005-03-28,7.0297,7.047,6.8812,6.9097,517114,0
2005-03-29,6.9097,7.041,6.8985,7.041,549855,0
2005-03-30,7.0867,7.2187,7.0695,7.2187,458096,0
2005-03-31,7.2187,7.3491,7.2187,7.3373,418171,0
2005-04-01,7.3373,7.3373,7.2524,7.2752,593464,0
2005-04-04,7.2636,7.3276,7.2636,7.3163,324134,0
2005-04-05,7.3095,7.3614,7.2013,7.2348,418871,0
2005-04-06,7.2752,7.3334,7.2129,7.2807,251114,0
2005-04-07,7.2348,7.3664,7.2243,7.2919,266524,0
2005-04-08,7.3095,7.3219,7.2524,7.2919,250589,0
2005-04-11,7.2636,7.2868,7.2243,7.2348,270553,0
2005-04-12,7.2586,7.2636,7.1553,7.2586,368445,0
2005-04-13,7.2013,7.2187,7.1494,7.1955,328163,0
2005-04-14,7.2067,7.2067,7.1041,7.1787,291736,0
2005-04-15,7.1268,7.1613,7.041,7.0695,346381,0
2005-04-18,7.0297,7.098,7.0125,7.0581,340250,0
2005-04-19,7.0581,7.1725,7.0581,7.0811,386129,0
2005-04-20,7.0755,7.0927,7.0239,7.0641,332547,0
2005-04-21,7.0927,7.1097,7.0125,7.041,301898,0
2005-04-22,7.0297,7.0811,7.0012,7.0811,500828,0
2005-04-25,7.0581,7.1041,7.047,7.0867,364937,0
2005-04-26,7.0695,7.1097,7.0526,7.1097,386129,0
2005-04-27,7.1152,7.1787,7.0867,7.1787,331664,0
2005-04-28,7.1899,7.2524,7.1613,7.2524,352155,0
2005-04-29,7.2919,7.3219,7.2129,7.2524,334466,0
2005-05-02,7.2636,7.2636,7.2129,7.2294,314856,0
2005-05-03,7.2187,7.3039,7.2129,7.2868,316086,0
2005-05-04,7.3433,7.3884,7.2692,7.3729,365116,0
2005-05-05,7.3373,7.4067,7.3373,7.3664,401011,0
2005-05-06,7.3433,7.384,7.3039,7.3433,258118,0
2005-05-09,7.355,7.3884,7.3219,7.3664,287188,0
2005-05-10,7.378,7.4067,7.3491,7.4067,308904,0
2005-05-11,7.384,7.384,7.2982,7.355,288586,0
2005-05-12,7.355,7.3614,7.3219,7.355,178971,0
2005-05-13,7.3664,7.3884,7.3095,7.3491,301722,0
2005-05-16,7.3219,7.3433,7.2586,7.3219,299444,0
2005-05-17,7.2919,7.3334,7.2586,7.3039,307674,0
2005-05-18,7.3039,7.3884,7.2919,7.3219,395583,0
2005-05-19,7.3219,7.3373,7.2919,7.2982,262321,0
2005-05-20,7.2919,7.3664,7.2919,7.3614,278260,0
2005-05-23,7.3729,7.4067,7.3491,7.3884,361434,0
2005-05-24,7.4067,7.4235,7.3729,7.4009,288063,0
2005-05-25,7.3884,7.4235,7.3614,7.4235,382275,0
2005-05-26,7.4298,7.4354,7.3884,7.4354,279478,0
2005-05-27,7.4354,7.4695,7.4173,7.4354,295939,0
2005-05-31,7.4573,7.4983,7.4419,7.4924,286136,0
2005-06-01,7.5151,7.5564,7.4983,7.5317,327638,0
2005-06-02,7.5263,7.5564,7.4924,7.5381,252162,0
2005-06-03,7.5498,7.5843,7.4695,7.4924,331143,0
2005-06-06,7.509,7.5151,7.4354,7.4924,297172,0
2005-06-07,7.509,7.5209,7.4866,7.5209,294543,0
2005-06-08,7.5026,7.5209,7.4628,7.4866,345329,0
2005-06-09,7.4924,7.5317,7.4695,7.5151,251292,0
2005-06-10,7.5151,7.5263,7.4755,7.5209,248839,0
2005-06-13,7.4755,7.4755,7.3664,7.3664,342695,0
2005-06-14,7.3664,7.4173,7.3664,7.4009,340075,0
2005-06-15,7.3884,7.4118,7.355,7.4067,250240,0
2005-06-16,7.4298,7.4298,7.355,7.4298,358810,0
2005-06-17,7.4235,7.4513,7.378,7.4458,357581,0
2005-06-20,7.4458,7.4573,7.4067,7.4354,287887,0
2005-06-21,7.4513,7.4628,7.4419,7.4458,271604,0
2005-06-22,7.481,7.5442,7.4755,7.5263,398210,0
2005-06-23,7.5151,7.5564,7.509,7.5498,373175,0
2005-06-24,7.5263,7.56,7.4983,7.5381,257064,0
2005-06-27,7.56,7.56,7.4573,7.509,301191,0
2005-06-28,7.481,7.5209,7.4695,7.4983,191579,0
2005-06-29,7.4866,7.5209,7.4755,7.4983,228871,0
2005-06-30,7.5209,7.5381,7.4573,7.4866,269851,0
2005-07-01,7.5317,7.5317,7.4695,7.481,227823,0
