Date,Open,High,Low,Close,Volume,OpenInt
2010-12-07,17.242,17.427,17.242,17.36,12559,0
2010-12-08,17.36,17.36,17.134,17.134,3789,0
2010-12-09,17.05,17.058,17.016,17.016,4668,0
2010-12-10,17.029,17.174,17.029,17.142,3070,0
2010-12-13,17.208,17.208,17.134,17.134,1458,0
2010-12-14,17.15,17.15,16.899,16.906,11960,0
2010-12-15,16.798,16.798,16.798,16.798,297,0
2010-12-17,16.769,16.769,16.769,16.769,297,0
2010-12-21,17.208,17.275,17.208,17.275,5422,0
2010-12-22,17.462,17.462,17.462,17.462,880,0
2010-12-29,17.676,17.676,17.676,17.676,571,0
2010-12-30,17.815,17.815,17.815,17.815,571,0
2010-12-31,17.767,17.79,17.719,17.719,9025,0
2011-01-03,17.9,17.983,17.9,17.983,756,0
2011-01-04,17.936,17.949,17.503,17.503,52533,0
2011-01-05,17.619,17.619,17.455,17.59,13499,0
2011-01-06,17.819,17.819,17.448,17.455,21264,0
2011-01-07,17.455,17.455,17.33,17.427,6417,0
2011-01-10,17.541,17.541,17.338,17.471,19705,0
2011-01-11,17.338,17.338,17.338,17.338,135,0
2011-01-13,17.432,17.432,17.432,17.432,386,0
2011-01-14,17.427,17.448,17.368,17.44,19328,0
2011-01-18,17.477,17.477,17.374,17.392,3027,0
2011-01-19,17.398,17.413,17.29,17.29,8859,0
2011-01-20,17.275,17.384,17.275,17.33,6135,0
2011-01-21,17.306,17.306,17.306,17.306,297,0
2011-01-24,17.36,17.49,17.36,17.462,3151,0
2011-01-25,17.392,17.551,17.392,17.551,996,0
2011-01-26,17.687,17.694,17.669,17.694,3963,0
2011-01-27,17.86,17.874,17.86,17.874,2917,0
2011-01-31,17.696,17.696,17.696,17.696,1520,0
2011-02-01,17.694,17.803,17.694,17.803,3221,0
2011-02-02,17.768,17.775,17.73,17.73,2467,0
2011-02-03,17.682,17.682,17.682,17.682,725,0
2011-02-04,17.595,17.669,17.572,17.649,5425,0
