Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,20.627,21.305,20.59,21.305,491051,0
2005-02-28,21.305,22.186,21.305,22.186,465369,0
2005-03-01,22.343,22.384,21.751,21.919,752659,0
2005-03-02,22.051,22.21,21.876,21.902,295926,0
2005-03-03,22.218,22.676,22.148,22.518,428891,0
2005-03-04,22.66,22.703,22.412,22.553,261038,0
2005-03-07,22.694,22.729,22.518,22.65,243424,0
2005-03-08,22.605,22.904,22.384,22.694,610035,0
2005-03-09,22.518,22.518,22.025,22.113,380817,0
2005-03-10,22.051,22.186,21.778,21.842,326497,0
2005-03-11,21.778,22.113,21.585,21.832,447752,0
2005-03-14,22,22.421,22,22.105,522074,0
2005-03-15,22.176,22.553,22.176,22.297,647654,0
2005-03-16,22.297,22.66,22.297,22.518,851527,0
2005-03-17,22.588,22.967,22.466,22.491,650832,0
2005-03-18,22.466,22.588,22.297,22.412,445024,0
2005-03-21,22.438,23.047,22.43,22.694,462414,0
2005-03-22,22.755,23.32,22.755,22.772,574806,0
2005-03-23,22.772,23.04,22.491,22.509,359113,0
2005-03-24,22.553,23.07,22.553,22.614,348883,0
2005-03-28,22.624,23.062,22.384,22.887,547306,0
2005-03-29,23.206,23.608,22.877,22.897,490369,0
2005-03-30,23.336,23.408,22.772,23.353,609581,0
2005-03-31,23.408,23.963,23.266,23.81,545147,0
2005-04-01,23.81,23.899,23.547,23.828,516850,0
2005-04-04,23.802,23.802,23.425,23.643,424457,0
2005-04-05,23.732,24.401,23.705,24.093,620035,0
2005-04-06,24.093,24.261,23.705,23.785,614353,0
2005-04-07,23.794,23.794,23.054,23.143,993464,0
2005-04-08,23.099,23.099,22.369,22.378,1039151,0
2005-04-11,21.481,21.919,20.96,21.401,1987500,0
2005-04-12,20.863,21.691,20.828,21.373,704470,0
2005-04-13,21.364,21.401,21.032,21.162,647424,0
2005-04-14,21.162,21.444,20.96,21.129,520940,0
2005-04-15,21.065,21.199,20.951,21.048,445821,0
2005-04-18,21.032,21.181,20.476,20.811,966304,0
2005-04-19,20.977,21.472,20.951,21.286,732315,0
2005-04-20,21.223,21.472,20.45,20.6,557191,0
2005-04-21,20.687,21.278,20.668,21.171,699699,0
2005-04-22,21.171,21.314,20.828,20.89,488664,0
2005-04-25,20.96,21.339,20.854,21.305,563327,0
2005-04-26,21.305,21.305,20.634,20.777,595261,0
2005-04-27,20.627,21.481,20.45,21.092,926301,0
2005-04-28,22.967,22.975,20.581,21.815,2184444,0
2005-04-29,21.822,22.43,21.822,22.316,1016082,0
2005-05-02,22.79,23.16,22.527,22.958,969146,0
2005-05-03,22.949,23.794,22.676,23.425,1320186,0
2005-05-04,23.538,24.137,23.538,23.963,1098925,0
2005-05-05,24.13,24.181,23.74,23.971,403661,0
2005-05-06,24.137,24.391,23.891,24.05,438207,0
2005-05-09,24.216,24.77,23.954,24.374,508778,0
2005-05-10,24.762,25.096,24.384,24.524,472414,0
2005-05-11,24.691,24.726,24.419,24.708,334563,0
2005-05-12,24.691,24.745,24.031,24.181,503210,0
2005-05-13,24.286,24.34,23.487,24.305,948237,0
2005-05-16,25.168,26.724,25.168,26.249,1838400,0
2005-05-17,26.187,26.372,25.676,26.09,562532,0
2005-05-18,26.249,26.38,26.099,26.292,356273,0
2005-05-19,26.353,26.469,26.153,26.344,290924,0
2005-05-20,26.239,26.592,26.127,26.398,271833,0
2005-05-23,26.487,26.636,26.135,26.266,503666,0
2005-05-24,25.546,25.921,25.168,25.783,670606,0
2005-05-25,25.713,25.747,25.272,25.561,332179,0
2005-05-26,25.51,25.676,25.237,25.51,474006,0
2005-05-27,25.423,25.659,25.423,25.571,229672,0
2005-05-31,25.598,26.321,25.598,26.171,664698,0
2005-06-01,26.321,26.549,26.187,26.549,501619,0
2005-06-02,26.469,26.469,25.985,26.311,391158,0
2005-06-03,26.344,26.866,26.276,26.679,609466,0
2005-06-06,26.821,26.918,26.372,26.813,432979,0
2005-06-07,26.866,27.261,26.794,27.112,527300,0
2005-06-08,27.137,27.473,27.137,27.172,314565,0
2005-06-09,27.137,27.27,27.042,27.137,346384,0
2005-06-10,27.207,27.235,26.724,26.847,259672,0
2005-06-13,26.935,27.848,26.935,27.701,506394,0
2005-06-14,27.745,28.491,27.578,28.458,652083,0
2005-06-15,28.486,28.501,27.506,28.018,630490,0
2005-06-16,27.885,27.885,27.137,27.463,606284,0
2005-06-17,27.067,27.172,25.921,26.321,1406559,0
2005-06-20,26.389,26.609,26.321,26.512,777543,0
2005-06-21,26.512,26.935,26.504,26.636,296722,0
2005-06-22,26.724,26.873,26.292,26.38,287402,0
2005-06-23,26.311,26.714,26.301,26.38,332747,0
2005-06-24,26.389,26.398,26.073,26.285,309791,0
2005-06-27,26.285,26.521,26.187,26.398,288540,0
2005-06-28,26.461,27.216,26.461,27.128,435252,0
2005-06-29,27.165,27.41,27.112,27.199,357635,0
2005-06-30,27.207,27.27,26.873,26.873,288766,0
2005-07-01,26.873,27.104,26.697,27.058,304335,0
2005-07-05,27.155,27.438,27.094,27.165,446163,0
2005-07-06,27.146,27.525,26.866,26.997,404567,0
2005-07-07,26.461,27.137,26.433,26.997,273200,0
2005-07-08,27.032,27.913,26.987,27.682,467411,0
2005-07-11,27.848,28.564,27.848,28.397,483438,0
2005-07-12,28.018,28.027,27.112,27.55,704587,0
2005-07-13,27.55,27.559,26.575,26.618,698337,0
2005-07-14,26.118,26.372,25.607,25.969,778227,0
2005-07-15,25.96,26.276,25.685,25.978,312859,0
2005-07-18,25.985,26.697,25.951,26.504,388318,0
2005-07-19,26.626,26.724,26.424,26.672,303652,0
2005-07-20,26.626,26.901,26.626,26.734,355246,0
2005-07-21,26.398,26.54,25.913,25.96,327064,0
2005-07-22,26.019,26.222,25.168,25.985,668334,0
2005-07-25,26.081,26.433,26.019,26.363,214104,0
2005-07-26,26.372,26.987,26.372,26.565,386385,0
2005-07-27,26.901,26.926,26.521,26.831,175237,0
2005-07-28,26.794,26.866,26.487,26.592,235810,0
2005-07-29,26.424,26.433,24.622,24.919,1035402,0
2005-08-01,24.928,25.793,24.919,25.218,831980,0
2005-08-02,25.218,25.528,24.833,25.237,840844,0
2005-08-03,22.846,22.846,19.675,21.638,4702656,0
2005-08-04,21.638,22.57,21.63,22.421,1522927,0
2005-08-05,22.403,22.457,21.7,21.991,1155747,0
2005-08-08,21.982,22.218,21.815,22.121,948011,0
2005-08-09,22.051,22.051,21.558,21.576,1009601,0
2005-08-10,21.576,21.76,21.12,21.129,1128589,0
2005-08-11,21.102,21.25,20.627,20.846,954147,0
2005-08-12,21.012,21.057,20.687,20.977,472981,0
2005-08-15,20.89,21.199,20.74,20.97,421047,0
2005-08-16,20.977,21.207,20.723,21.032,511961,0
2005-08-17,21.022,21.065,20.714,21.032,529574,0
2005-08-18,21.032,21.295,20.898,21.162,537189,0
2005-08-19,21.162,21.199,21.004,21.057,454344,0
2005-08-22,21.022,21.129,20.863,20.881,359224,0
2005-08-23,20.863,20.89,20.634,20.758,482755,0
2005-08-24,20.792,20.944,20.687,20.732,457413,0
2005-08-25,20.767,21.032,20.653,20.96,535373,0
2005-08-26,20.96,21.102,20.828,21.102,613557,0
