Date,Open,High,Low,Close,Volume,OpenInt
2013-04-10,15.248,15.248,14.426,14.446,8279075,0
2013-04-11,14.417,14.645,14.153,14.566,909357,0
2013-04-12,14.586,14.83,14.273,14.738,820208,0
2013-04-15,14.586,14.817,14.571,14.744,390695,0
2013-04-16,14.659,14.711,14.518,14.711,202059,0
2013-04-17,14.651,14.738,14.58,14.625,240840,0
2013-04-18,14.571,14.619,14.559,14.613,350730,0
2013-04-19,14.598,14.651,14.58,14.631,381693,0
2013-04-22,14.58,14.75,14.559,14.719,53545,0
2013-04-23,14.723,14.871,14.664,14.73,68240,0
2013-04-24,14.651,14.692,14.619,14.671,24856,0
2013-04-25,14.604,14.772,14.604,14.772,37040,0
2013-04-26,14.719,14.817,14.678,14.783,48476,0
2013-04-29,14.882,14.882,14.783,14.877,70125,0
2013-04-30,14.805,14.949,14.783,14.85,267956,0
2013-05-01,14.91,14.971,14.703,14.91,187232,0
2013-05-02,14.789,15.083,14.757,15.048,134965,0
2013-05-03,14.93,15.181,14.916,15.148,121782,0
2013-05-06,15.209,15.319,15.148,15.241,239387,0
2013-05-07,15.314,15.559,15.096,15.514,143330,0
2013-05-08,15.434,15.91,15.319,15.585,215609,0
2013-05-09,15.488,15.593,15.102,15.52,85121,0
2013-05-10,15.441,15.573,15.282,15.506,39956,0
2013-05-13,15.58,15.832,15.447,15.745,109764,0
2013-05-14,15.673,15.719,15.461,15.58,64118,0
2013-05-15,15.673,15.673,15.234,15.447,203616,0
2013-05-16,15.413,15.745,15.148,15.447,91383,0
2013-05-17,15.406,15.731,15.319,15.673,8891,0
2013-05-20,15.686,16.112,15.355,15.984,35093,0
2013-05-21,15.95,16.275,15.783,16.275,27955,0
2013-05-22,15.933,16.382,15.916,16.244,32097,0
2013-05-23,16.184,16.236,15.727,15.944,98628,0
2013-05-24,16.079,16.143,15.772,15.984,44755,0
2013-05-28,16.126,16.256,15.877,16.011,32503,0
2013-05-29,16.038,16.038,15.713,15.925,77305,0
2013-05-30,15.838,15.944,15.647,15.91,39432,0
2013-05-31,15.511,15.785,15.249,15.471,69699,0
2013-06-03,15.514,15.686,15.248,15.5,74398,0
2013-06-04,15.335,15.727,15.335,15.593,37113,0
2013-06-05,15.461,15.488,14.899,15.13,111990,0
2013-06-06,15.083,15.307,14.978,15.123,49729,0
2013-06-07,15.295,15.295,15.048,15.234,34414,0
2013-06-10,15.13,15.248,14.89,15.158,70568,0
2013-06-11,15.004,15.075,14.798,14.916,44809,0
2013-06-12,14.996,15.075,14.923,14.982,30302,0
2013-06-13,14.93,15.075,14.789,15.075,65849,0
2013-06-14,15.07,15.209,14.938,15.169,42718,0
2013-06-17,15.088,15.314,14.989,15.148,12932,0
2013-06-18,14.817,15.195,14.817,15.083,19653,0
2013-06-19,15.083,15.413,14.805,14.943,67320,0
2013-06-20,14.757,14.91,14.645,14.645,36051,0
2013-06-21,14.783,15.031,14.285,14.465,58601,0
2013-06-24,14.446,14.512,13.709,14.255,86428,0
2013-06-25,14.255,14.54,13.969,13.99,113553,0
2013-06-26,14.122,14.592,14.115,14.417,32487,0
2013-06-27,14.417,14.83,14.417,14.711,30189,0
2013-06-28,13.99,14.789,13.99,14.598,15632,0
2013-07-01,14.566,15.158,14.566,14.817,18638,0
2013-07-02,14.26,15.22,14.26,15.083,14175,0
2013-07-03,15.096,15.139,14.882,14.916,52818,0
2013-07-05,15.048,15.388,14.533,14.692,29112,0
2013-07-08,15.004,15.266,14.684,14.85,158909,0
2013-07-09,15.015,15.139,14.659,14.916,27153,0
2013-07-10,14.949,15.056,14.664,14.955,297058,0
2013-07-11,15.015,15.413,15.015,15.202,39748,0
2013-07-12,15.22,16.429,15.22,15.632,140728,0
2013-07-15,15.658,16.079,15.647,15.651,37349,0
2013-07-16,15.606,15.898,15.606,15.727,13045,0
2013-07-17,15.727,15.824,15.393,15.393,18772,0
2013-07-18,15.295,15.978,15.295,15.87,39273,0
2013-07-19,15.647,16.268,15.452,15.647,11988,0
2013-07-22,15.838,16.079,15.651,15.892,32008,0
2013-07-23,16.574,17.348,15.824,16.826,73374,0
2013-07-24,16.872,16.872,16.038,16.162,161293,0
2013-07-25,16.256,16.549,16.112,16.112,25601,0
2013-07-26,16.135,16.395,15.427,15.906,28960,0
2013-07-29,15.91,16.423,15.727,16.307,22255,0
2013-07-30,16.574,16.574,15.898,16.143,16716,0
2013-07-31,16.079,16.275,15.818,16.07,23797,0
2013-08-01,16.162,16.646,15.91,16.11,33710,0
