Date,Open,High,Low,Close,Volume,OpenInt
2016-05-26,10,10.01,9.95,10,4621170,0
2016-05-27,10.01,10.01,10,10,41930,0
2016-05-31,10.05,10.05,10,10.0001,23620,0
2016-06-01,10,10.01,10,10.01,71653,0
2016-06-02,10,10.04,10,10.01,4550,0
2016-06-03,10.03,10.1,10.01,10.07,1100,0
2016-06-06,10.04,10.19,10.0162,10.04,3700,0
2016-06-07,10.29,10.29,10,10.01,8250,0
2016-06-08,10.0241,10.07,10.01,10.01,1950,0
2016-06-09,10.14,10.14,10.02,10.04,3313,0
2016-06-10,10.04,10.072,10.01,10.072,1100,0
2016-06-13,10.0288,10.04,10.0001,10.04,500,0
2016-06-14,10,10.0599,10,10.0599,2800,0
2016-06-15,10.06,10.06,10.06,10.06,100,0
2016-06-16,10,10.05,10,10.05,1400,0
2016-06-17,10.0558,10.0599,10.0558,10.0599,200,0
2016-06-20,10.0499,10.05,10,10,14400,0
2016-06-21,10.01,10.01,10,10.01,25200,0
2016-06-22,10.0018,10.0489,10,10.0489,11600,0
2016-06-23,10.0389,10.0389,10.0389,10.0389,100,0
2016-06-24,10,10.0392,9.99,10,78961,0
2016-06-29,10.05,10.05,10.04,10.04,200,0
2016-07-05,9.9808,10.0499,9.9808,10.0499,300,0
2016-07-06,10.05,10.05,10.03,10.03,205,0
2016-07-07,10.05,10.05,10,10.01,10899,0
2016-07-08,10.01,10.05,10,10.01,11251,0
2016-07-11,10.04,10.05,10.02,10.05,1520,0
2016-07-14,10,10.0799,10,10.0799,361,0
2016-07-15,10.09,10.09,10.06,10.06,200,0
2016-07-18,10.0001,10.1199,10.0001,10.1,411,0
2016-07-19,10.0301,10.0301,9.99,9.99,700,0
2016-07-20,10.06,10.06,10,10.04,12879,0
2016-07-22,10.04,10.07,10.04,10.07,1200,0
2016-07-25,10.05,10.05,10.05,10.05,200,0
2016-07-27,10.13,10.13,10.13,10.13,400,0
2016-07-28,10.13,10.15,10.13,10.15,200,0
2016-08-01,10.16,10.16,10.16,10.16,200,0
2016-08-05,10.1,10.1,9.96,10.038,3400,0
2016-08-09,10.14,10.14,10.03,10.03,3000,0
2016-08-10,10.01,10.0163,9.97,10.01,167900,0
2016-08-11,10.06,10.06,10.05,10.05,10900,0
2016-08-12,10,10,10,10,2299,0
2016-08-16,10.15,10.15,10.15,10.15,500,0
2016-08-19,10.2,10.41,10.2,10.35,1500,0
2016-08-31,10.09,10.09,10.0899,10.09,500,0
2016-09-02,10.07,10.07,10.0057,10.01,2716,0
2016-09-06,11.01,11.01,10.03,10.09,2851,0
2016-09-07,10.15,10.25,10.15,10.25,1582,0
2016-09-08,9.96,10.15,9.96,10.09,3378,0
2016-09-13,10.19,10.19,10.19,10.19,100,0
2016-09-14,10.2101,10.2101,10.09,10.19,5922,0
2016-09-15,10.22,10.22,10.03,10.19,203800,0
2016-09-16,10.21,10.21,10.21,10.21,500,0
2016-09-19,10.26,10.26,10.1,10.23,4500,0
2016-09-20,12.28,12.28,10.24,10.28,1960,0
2016-09-23,10.04,10.27,10.04,10.27,1300,0
2016-09-28,10.2957,10.31,10.2,10.25,121874,0
2016-10-03,10.25,10.25,10.25,10.25,200,0
2016-10-04,10.26,10.26,10.17,10.25,400,0
2016-10-05,10.21,10.21,10.21,10.21,900,0
2016-10-10,10.24,10.29,10.24,10.2892,1300,0
2016-10-13,10.3201,10.3201,10.32,10.32,200,0
