Date,Open,High,Low,Close,Volume,OpenInt
2006-10-12,23.712,23.712,23.712,23.712,0,0
2006-10-13,26.872,29.07,26.714,28.74,31975802,0
2006-10-16,29.717,29.859,28.581,28.625,5796490,0
2006-10-17,28.564,28.581,27.917,28.405,2723105,0
2006-10-18,28.831,28.831,27.805,27.93,2318866,0
2006-10-19,27.93,28.12,27.205,27.298,2315323,0
2006-10-20,27.505,28.294,27.268,28.217,2252058,0
2006-10-23,28.612,28.612,27.9,28.12,1802076,0
2006-10-24,28.137,28.581,28.009,28.294,1375314,0
2006-10-25,28.422,28.597,27.837,28.564,1897792,0
2006-10-26,28.815,31.505,28.564,30.525,7387972,0
2006-10-27,30.983,31.771,30.636,31.725,6077500,0
2006-10-30,32.042,33.352,31.805,32.137,3029417,0
2006-10-31,32.941,33.164,31.266,31.614,2065370,0
2006-11-01,31.93,32.294,31.22,31.22,1334885,0
2006-11-02,31.22,32.246,30.826,30.842,1283580,0
2006-11-03,31.046,31.565,30.983,31.378,1229873,0
2006-11-06,31.455,32.042,31.251,31.599,1316038,0
2006-11-07,31.614,31.85,31.236,31.549,1104994,0
2006-11-08,30.842,31.016,29.717,30.317,2424129,0
2006-11-09,30.477,31.93,30.193,31.93,1553265,0
2006-11-10,31.614,31.788,30.842,31.599,1196029,0
2006-11-13,31.549,31.549,31.172,31.424,519948,0
2006-11-14,31.488,31.708,31.142,31.523,812345,0
2006-11-15,31.523,31.805,31.378,31.648,925015,0
2006-11-16,31.549,31.742,31.378,31.742,584223,0
2006-11-17,31.614,31.614,31.046,31.251,759078,0
2006-11-20,31.378,31.441,30.555,30.826,667033,0
2006-11-21,30.665,30.744,30.033,30.445,2488909,0
2006-11-22,29.938,30.791,29.717,30.555,2295708,0
2006-11-24,30.065,30.35,30.003,30.303,221100,0
2006-11-27,30.033,30.193,29.164,29.877,1291111,0
2006-11-28,29.401,29.938,28.581,29.877,1223167,0
2006-11-29,30.272,30.333,29.877,30.098,716438,0
2006-11-30,30.033,30.146,29.654,29.987,385331,0
2006-12-01,29.922,29.956,29.575,29.751,580429,0
2006-12-04,29.433,29.717,29.355,29.654,479778,0
2006-12-05,29.702,30.146,29.528,30.003,578087,0
2006-12-06,30.003,30.208,29.609,30.193,908317,0
2006-12-07,30.35,30.428,29.877,30.367,570182,0
2006-12-08,30.131,30.744,30.114,30.587,852389,0
2006-12-11,30.587,30.826,29.892,29.971,781662,0
2006-12-12,30.033,31.331,29.639,31.172,1487476,0
2006-12-13,30.193,30.193,28.642,28.831,3579735,0
2006-12-14,28.484,28.99,27.9,28.389,2555397,0
2006-12-15,28.815,29.796,28.455,29.56,5981781,0
2006-12-18,29.401,29.48,28.658,28.74,1201340,0
2006-12-19,28.499,28.673,28.075,28.294,1429466,0
2006-12-20,28.294,28.723,28.137,28.375,669119,0
2006-12-21,28.294,28.499,28.059,28.217,733458,0
2006-12-22,28.294,28.359,28.104,28.217,840238,0
2006-12-26,28.217,28.359,27.9,27.93,503688,0
2006-12-27,27.93,28.009,27.522,27.679,725933,0
2006-12-28,28.294,28.294,27.679,28.059,837967,0
2006-12-29,28.104,28.294,27.93,28.12,744847,0
2007-01-03,28.248,28.771,28.12,28.74,1116130,0
2007-01-04,28.848,28.974,28.294,28.597,621926,0
2007-01-05,27.978,28.581,27.696,27.742,714606,0
2007-01-08,27.742,27.93,27.394,27.917,789636,0
2007-01-09,27.742,28.026,27.522,27.947,1253471,0
2007-01-10,28.091,28.405,27.821,28.104,684808,0
2007-01-11,28.104,29.245,28.042,28.359,1342542,0
2007-01-12,28.325,29.053,27.995,28.059,889210,0
2007-01-16,28.059,28.104,27.679,27.93,787925,0
2007-01-17,27.837,28.581,27.821,28.438,924823,0
2007-01-18,28.137,28.137,27.487,27.522,1288643,0
2007-01-19,27.473,27.947,26.842,27.947,1491966,0
2007-01-22,28.075,28.658,27.947,28.564,1490706,0
2007-01-23,28.484,29.07,28.137,28.848,833285,0
2007-01-24,28.533,29.103,28.184,28.898,1158069,0
2007-01-25,28.959,29.07,28.673,28.99,1231581,0
2007-01-26,28.848,29.37,28.74,29.148,1104928,0
2007-01-29,29.131,29.355,28.959,29.261,786532,0
2007-01-30,29.355,29.78,29.005,29.512,754648,0
