Date,Open,High,Low,Close,Volume,OpenInt
2015-12-10,0.77,0.77,0.75,0.75,11100,0
2015-12-11,0.68,0.76,0.68,0.76,4500,0
2015-12-14,0.76,1,0.76,0.86,3798,0
2015-12-15,0.88,1,0.88,1,15700,0
2015-12-16,1,1,0.5,0.5,3500,0
2015-12-17,0.75,0.8,0.75,0.75,6300,0
2015-12-18,1.2,1.2,0.76,1.14,9500,0
2015-12-24,1.2,1.98,1.2,1.5,1600,0
2015-12-28,0.85,0.88,0.85,0.86,650,0
2015-12-29,1.098,1.098,1.098,1.098,1500,0
2015-12-30,1.2,1.5,1.2,1.25,9900,0
2015-12-31,1.01,1.01,1,1,650,0
2016-01-05,0.55,0.55,0.55,0.55,400,0
2016-01-06,0.998,0.998,0.8965,0.8965,4550,0
2016-01-07,0.9,0.9,0.8002,0.81,3500,0
2016-01-08,1.98,1.98,1.0124,1.24,16150,0
2016-01-11,1.75,1.75,1.75,1.75,200,0
2016-01-12,1.2,1.2,0.95,0.95,200,0
2016-01-20,1.05,1.25,0.7426,0.9501,42602,0
2016-01-29,1.0062,1.0062,1.0062,1.0062,100,0
2016-02-04,0.7043,0.73,0.7043,0.73,3800,0
2016-02-05,0.7,0.7,0.7,0.7,100,0
2016-02-11,0.6,0.6939,0.6,0.6939,1375,0
2016-02-19,0.3621,1.19,0.3621,0.9567,310,0
2016-02-29,0.92,0.92,0.92,0.92,300,0
2016-03-07,1.12,1.14,0.6911,0.6911,1800,0
2016-03-09,0.61,0.61,0.57,0.57,511,0
2016-03-16,0.7,0.7,0.7,0.7,1500,0
2016-03-31,0.91,0.91,0.91,0.91,300,0
2016-04-29,0.91,0.91,0.91,0.91,300,0
2016-05-05,0.599,0.599,0.599,0.599,100,0
2016-05-12,0.416,0.416,0.416,0.416,100,0
2016-05-16,0.43,0.43,0.43,0.43,200,0
2016-05-20,0.5,0.5,0.5,0.5,100,0
2016-05-27,0.65,0.85,0.65,0.85,3600,0
2016-05-31,1.1,1.1,0.5207,0.5207,29385,0
2016-06-01,0.9994,0.9994,0.9994,0.9994,200,0
2016-06-14,0.54,0.54,0.5,0.54,1000,0
2016-06-15,0.5121,0.5121,0.5121,0.5121,1500,0
2016-06-17,0.602,0.602,0.4214,0.4214,300,0
2016-06-20,0.4,0.4,0.4,0.4,2700,0
2016-06-24,0.9696,0.9696,0.9196,0.9196,600,0
2016-06-27,0.9,1.1,0.9,1.04,1113,0
2016-07-05,0.8,0.8,0.8,0.8,1000,0
2016-07-06,0.8,0.8,0.8,0.8,250,0
2016-07-08,0.5,0.5,0.5,0.5,600,0
2016-07-11,0.5,0.5201,0.4001,0.5191,2991,0
2016-07-13,0.41,0.41,0.4,0.4,1000,0
2016-07-15,0.7,0.7,0.7,0.7,100,0
2016-07-18,0.7,0.784,0.69,0.784,2140,0
2016-07-19,0.4101,0.4102,0.4101,0.4102,507,0
2016-07-20,0.41,0.41,0.41,0.41,500,0
2016-07-26,0.42,0.42,0.42,0.42,1000,0
2016-07-29,0.75,0.78,0.75,0.75,500,0
2016-08-01,0.74,0.77,0.45,0.77,1251,0
2016-08-02,0.75,0.75,0.75,0.75,100,0
2016-08-03,0.5,0.5,0.42,0.42,500,0
2016-08-10,0.45,0.6739,0.45,0.6739,2000,0
2016-08-11,0.68,0.68,0.6698,0.67,1800,0
2016-08-15,0.4304,0.4304,0.43,0.43,1400,0
2016-08-16,0.6,0.6,0.5,0.5,2420,0
2016-08-17,0.59,0.68,0.59,0.67,8200,0
2016-08-18,0.44,0.67,0.43,0.67,4300,0
2016-08-19,0.67,0.67,0.5,0.5,3200,0
2016-08-22,0.66,0.66,0.6,0.6,2230,0
2016-08-23,0.64,0.66,0.5392,0.5402,17170,0
2016-08-24,0.67,0.72,0.67,0.72,2000,0
2016-08-26,0.69,0.7,0.56,0.56,3351,0
2016-08-29,0.5,0.65,0.5,0.64,4500,0
2016-08-31,0.43,0.454,0.43,0.45,1100,0
2016-09-06,0.35,0.44,0.35,0.44,1060,0
2016-09-07,0.45,0.61,0.45,0.61,1980,0
2016-09-12,0.43,0.43,0.4103,0.4103,1000,0
2016-09-13,0.5,0.6,0.44,0.59,13560,0
2016-09-20,0.3701,0.6799,0.3005,0.6799,3169,0
2016-09-22,0.68,0.68,0.68,0.68,14500,0
2016-09-26,0.3802,0.3802,0.3303,0.3702,1000,0
2016-09-28,0.6,0.68,0.6,0.6326,6100,0
2016-09-29,0.65,0.7,0.4103,0.7,8300,0
2016-09-30,0.8,1,0.8,1,4300,0
2016-10-05,0.9,0.9,0.9,0.9,5000,0
2016-10-17,0.9,0.9,0.9,0.9,430,0
2016-10-19,0.53,0.54,0.47,0.49,1200,0
2016-10-20,0.49,0.49,0.45,0.45,1300,0
2016-10-21,0.5,0.5,0.5,0.5,1400,0
2016-10-24,0.5,0.5,0.47,0.47,800,0
2016-10-25,0.48,0.48,0.47,0.48,900,0
2016-10-26,0.48,0.48,0.48,0.48,2000,0
2016-11-07,0.35,0.35,0.35,0.35,5200,0
2016-11-08,0.2105,0.2105,0.17,0.18,1500,0
2016-11-09,0.2,0.5,0.2,0.49,980,0
2016-11-10,0.45,0.45,0.45,0.45,100,0
2016-11-21,0.311,0.311,0.311,0.311,100,0
2016-11-28,0.2982,0.3876,0.2982,0.3876,679,0
2016-11-29,0.3898,0.3898,0.3898,0.3898,250,0
2016-12-01,0.2729,0.2729,0.2729,0.2729,100,0
2016-12-07,0.28,0.28,0.28,0.28,100,0
2016-12-13,0.22,0.22,0.21,0.22,560,0
2016-12-29,0.2202,0.2202,0.2202,0.2202,100,0
2017-01-09,0.21,0.21,0.21,0.21,100,0
2017-01-17,0.15,0.195,0.15,0.195,1900,0
2017-01-20,0.16,0.16,0.14,0.14,500,0
2017-01-25,0.13,0.1389,0.13,0.1302,1300,0
2017-01-27,0.14,0.1403,0.14,0.14,700,0
2017-01-30,0.1403,0.1403,0.14,0.14,500,0
2017-02-01,0.1214,0.1214,0.12,0.12,650,0
2017-02-08,0.1114,0.1114,0.1114,0.1114,2000,0
2017-02-13,0.1114,0.1448,0.04,0.1448,2601,0
2017-02-24,0.1414,0.1414,0.0914,0.0914,2000,0
2017-03-01,0.25,0.25,0.1,0.132,4447,0
2017-03-06,0.1716,0.1716,0.1716,0.1716,100,0
2017-03-09,0.17,0.17,0.1201,0.1201,400,0
2017-03-10,0.1201,0.1201,0.1201,0.1201,1075,0
2017-03-13,0.46,0.46,0.46,0.46,200,0
2017-03-14,0.2978,0.2983,0.2308,0.2983,2287,0
2017-03-16,0.1225,0.1901,0.1225,0.1227,2825,0
2017-03-20,0.1998,0.1998,0.19,0.19,1100,0
2017-03-28,0.1204,0.1206,0.1204,0.1206,450,0
2017-03-29,0.1501,0.1501,0.13,0.13,1550,0
2017-03-30,0.1601,0.1601,0.1601,0.1601,1500,0
2017-04-04,0.12,0.12,0.12,0.12,2500,0
2017-04-06,0.19,0.19,0.19,0.19,200,0
2017-04-12,0.17,0.17,0.17,0.17,422,0
2017-04-17,0.17,0.2,0.17,0.17,1400,0
2017-04-18,0.17,0.17,0.17,0.17,1528,0
2017-04-21,0.1204,0.1353,0.1201,0.1201,4400,0
2017-05-01,0.13,0.2989,0.13,0.2789,1100,0
2017-05-04,0.2297,0.2297,0.2293,0.2293,2600,0
2017-05-05,0.1204,0.1206,0.12,0.12,2500,0
2017-05-08,0.1202,0.1202,0.1202,0.1202,1100,0
2017-05-09,0.1889,0.2689,0.1889,0.1889,1000,0
2017-05-10,0.2496,0.2589,0.24,0.2496,1000,0
2017-05-11,0.201,0.201,0.201,0.201,100,0
2017-05-12,0.2,0.2,0.2,0.2,2500,0
2017-05-17,0.1401,0.161,0.1203,0.161,4500,0
2017-05-19,0.1404,0.1404,0.1402,0.1402,262,0
2017-05-24,0.1501,0.1501,0.1501,0.1501,300,0
2017-05-25,0.1204,0.1204,0.1201,0.1201,1000,0
2017-06-06,0.16,0.16,0.1202,0.16,1200,0
2017-06-15,0.1502,0.1502,0.1502,0.1502,600,0
2017-07-17,0.13,0.13,0.13,0.13,100,0
2017-07-21,0.12,0.12,0.12,0.12,200,0
2017-07-25,0.13,0.13,0.13,0.13,200,0
2017-08-14,0.13,0.13,0.13,0.13,500,0
2017-08-15,0.13,0.13,0.13,0.13,800,0
2017-08-16,0.13,0.13,0.13,0.13,200,0
2017-08-18,0.12,0.12,0.12,0.12,5400,0
2017-08-28,0.12,0.12,0.12,0.12,1500,0
2017-09-13,0.15,0.15,0.15,0.15,5270,0
2017-09-21,0.1,0.18,0.051,0.051,16370,0
2017-09-22,0.0701,0.0911,0.0701,0.091,2401,0
2017-09-25,0.1299,0.1299,0.1299,0.1299,360,0
2017-09-27,0.1299,0.1299,0.1299,0.1299,102,0
2017-09-29,0.0999,0.1029,0.0999,0.0999,9127,0
2017-10-06,0.1,0.1,0.1,0.1,600,0
2017-10-12,0.0701,0.1299,0.0701,0.0701,1160,0
2017-10-16,0.0911,0.0911,0.0911,0.0911,200,0
2017-10-19,0.0701,0.0701,0.0701,0.0701,1000,0
2017-10-23,0.07,0.07,0.07,0.07,100,0
2017-10-24,0.051,0.07,0.051,0.07,900,0
2017-10-31,0.0701,0.0705,0.0701,0.0705,200,0
2017-11-02,0.0701,0.0701,0.07,0.07,2500,0
2017-11-09,0.0701,0.1099,0.0701,0.1097,2200,0
