Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,43.82,43.82,41.44,43.4,22735,0
2005-02-28,42.28,42.77,39.9,39.9,53084,0
2005-03-01,39.55,41.72,39.55,41.65,23620,0
2005-03-02,41.51,42.21,39.41,39.76,17816,0
2005-03-03,40.18,40.74,38.57,38.99,26678,0
2005-03-04,39.76,40.25,38.57,39.41,15393,0
2005-03-07,39.27,40.53,38.5,38.57,24264,0
2005-03-08,38.5,38.92,36.75,36.96,26444,0
2005-03-09,36.89,36.89,34.58,34.72,74653,0
2005-03-10,34.65,37.73,34.65,37.73,61111,0
2005-03-11,37.73,38.01,36.54,37.87,26336,0
2005-03-14,38.15,41.58,37.73,41.16,51391,0
2005-03-15,41.93,41.93,38.5,38.85,71097,0
2005-03-16,39.06,39.06,36.75,37.17,44942,0
2005-03-17,37.38,37.38,35.7,36.82,53598,0
2005-03-18,37.03,37.38,35.7,37.38,88951,0
2005-03-21,38.22,38.5,35.7,37.1,42220,0
2005-03-22,36.89,37.59,36.19,36.4,32476,0
2005-03-23,36.4,36.75,35.84,36.26,19845,0
2005-03-24,37.17,37.17,35.56,35.63,34906,0
2005-03-28,36.19,37.45,35.63,36.89,20662,0
2005-03-29,36.54,36.82,34.3,34.3,33972,0
2005-03-30,34.79,36.68,34.3,36.54,28474,0
2005-03-31,37.17,37.94,34.65,35.77,49852,0
2005-04-01,35.7,36.33,33.46,35.56,42873,0
2005-04-04,35.49,35.77,33.95,34.23,31233,0
2005-04-05,34.58,34.72,31.71,32.41,58375,0
2005-04-06,32.41,33.95,32.41,32.9,41743,0
2005-04-07,32.76,33.46,32.27,32.55,35627,0
2005-04-08,32.2,32.9,29.96,30.1,44533,0
2005-04-11,30.73,32.13,29.61,29.75,60066,0
2005-04-12,29.75,31.5,29.05,31.5,36536,0
2005-04-13,31.78,32.2,30.03,30.73,19968,0
2005-04-14,30.45,31.29,29.61,29.61,38293,0
2005-04-15,29.82,31.99,29.75,30.24,27464,0
2005-04-18,30.59,31.15,29.4,29.54,43292,0
2005-04-19,29.75,30.8,29.61,30.24,46377,0
2005-04-20,30.66,30.8,29.47,29.61,46949,0
2005-04-21,29.61,31.78,29.61,31.78,43612,0
2005-04-22,31.64,31.85,30.24,30.73,35486,0
2005-04-25,31.22,31.99,30.87,31.5,22154,0
2005-04-26,31.57,33.11,30.31,30.45,27829,0
2005-04-27,30.38,31.5,29.82,30.8,13854,0
2005-04-28,30.59,31.5,29.4,29.4,32399,0
2005-04-29,29.47,30.66,29.33,30.59,35397,0
2005-05-02,30.87,31.5,29.96,31.5,21309,0
2005-05-03,31.15,33.11,30.52,30.94,17930,0
2005-05-04,31.08,34.23,30.87,33.95,20259,0
2005-05-05,33.95,33.95,32.34,33.95,18510,0
2005-05-06,33.95,34.58,32.27,32.27,38286,0
2005-05-09,32.76,33.46,31.15,33.25,25647,0
2005-05-10,32.83,32.83,31.5,32.41,17099,0
2005-05-11,32.13,33.46,31.43,33.39,26703,0
2005-05-12,33.32,34.16,32.2,32.76,47365,0
2005-05-13,32.55,32.62,29.96,29.96,53059,0
2005-05-16,30.52,31.64,30.45,31.43,30271,0
2005-05-17,32.41,34.65,31.64,33.46,43853,0
2005-05-18,33.74,35,32.97,34.93,32507,0
2005-05-19,35.21,35.7,33.95,35.63,23650,0
