Date,Open,High,Low,Close,Volume,OpenInt
2016-09-14,10,10.05,10,10,474690,0
2016-09-15,10.04,10.0999,10.02,10.08,6700,0
2016-09-16,10.02,10.03,10,10.01,24125,0
2016-09-19,10,10.04,10,10.04,8213,0
2016-09-20,10.01,10.05,10.01,10.05,4900,0
2016-09-21,10,10.03,10,10,100700,0
2016-09-22,10.01,10.01,10.01,10.01,100,0
2016-09-23,10,10.02,10,10.01,116900,0
2016-09-26,10.02,10.02,10.02,10.02,100,0
2016-09-27,10.01,10.01,10,10.01,17822,0
2016-09-28,10,10,10,10,23003,0
2016-09-29,10.01,10.05,10.01,10.02,7236,0
2016-09-30,10.02,10.02,10.02,10.02,13900,0
2016-10-03,10,10,10,10,237,0
2016-10-04,10,10,10,10,269,0
2016-10-05,10,10,10,10,787,0
2016-10-06,10.01,10.01,10.01,10.01,300,0
2016-10-07,10.01,10.01,10,10,558,0
2016-10-12,9.97,10.01,9.97,10.01,300,0
2016-10-14,10.02,10.02,10.02,10.02,900,0
2016-10-17,10.02,10.02,10.01,10.02,601,0
2016-10-18,10.02,10.02,10.02,10.02,696,0
2016-10-19,10.02,10.02,10.02,10.02,657,0
2016-10-20,10.02,10.02,10.02,10.02,267,0
2016-10-21,10.03,10.03,10.02,10.02,5000,0
2016-10-25,10.02,10.02,10.01,10.02,8083,0
2016-10-27,10,10.01,10,10.01,6138,0
2016-11-01,10.01,10.01,10,10,1501,0
2016-11-02,10.02,10.02,10.02,10.02,249,0
2016-11-03,10.0001,10.02,10,10,2600,0
2016-11-09,10.04,10.04,10,10,2282,0
2016-11-16,10,10,10,10,444,0
2016-11-22,10.02,10.02,10.02,10.02,215,0
2016-11-23,10.02,10.02,10.02,10.02,100,0
2016-11-25,10.02,10.02,10.02,10.02,857,0
2016-11-28,10.02,10.02,10.02,10.02,580,0
2016-11-29,10.0201,10.0201,10.0201,10.0201,100,0
2016-12-02,10.02,10.02,10.02,10.02,577,0
2016-12-07,10.03,10.03,10.03,10.03,833,0
2016-12-19,10.0599,10.06,10.05,10.0592,900,0
2016-12-22,10.07,10.2112,10.07,10.1917,2600,0
2016-12-30,10.1,10.16,10.1,10.1599,4550,0
2017-01-18,10.18,10.18,10.18,10.18,546,0
2017-01-19,10.24,10.24,10.24,10.24,100,0
2017-01-23,10.24,10.24,10.15,10.18,252754,0
2017-01-26,10.2,10.25,10.2,10.25,1161,0
2017-01-30,10.2,10.2,10.18,10.18,815,0
2017-02-07,10.18,10.18,10.18,10.18,1000,0
2017-02-09,10.18,10.18,10.18,10.18,558,0
2017-02-13,10.2,10.2,10.2,10.2,239,0
2017-02-15,10.2,10.2,10.2,10.2,151,0
2017-02-22,10.22,10.22,10.22,10.22,277,0
2017-02-28,10.28,10.28,10.28,10.28,100,0
2017-03-02,10.22,10.22,10.22,10.22,529,0
