Date,Open,High,Low,Close,Volume,OpenInt
2016-12-06,0.1831,0.19,0.1801,0.19,5235,0
2016-12-12,0.1811,0.1811,0.1701,0.1701,21500,0
2016-12-13,0.18,0.18,0.18,0.18,22000,0
2016-12-20,0.196,0.2,0.196,0.2,20000,0
2016-12-22,0.219,0.219,0.219,0.219,5000,0
2016-12-27,0.223,0.223,0.223,0.223,5000,0
2016-12-28,0.224,0.224,0.224,0.224,12000,0
2016-12-29,0.2912,0.2912,0.248,0.248,15400,0
2016-12-30,0.248,0.248,0.248,0.248,1300,0
2017-01-03,0.2,0.2,0.2,0.2,100135,0
2017-01-05,0.2,0.2,0.2,0.2,5000,0
2017-01-11,0.24,0.24,0.24,0.24,100,0
2017-01-17,0.24,0.24,0.24,0.24,10000,0
2017-01-19,0.249,0.25,0.249,0.25,65000,0
2017-01-20,0.3,0.3,0.3,0.3,200000,0
2017-01-23,0.3,0.3,0.3,0.3,1200,0
2017-01-27,0.3,0.39,0.3,0.3,157800,0
2017-01-30,0.32,0.32,0.32,0.32,400,0
2017-01-31,0.3,0.3,0.221,0.221,1700,0
2017-02-01,0.27,0.27,0.27,0.27,100,0
2017-02-02,0.3,0.32,0.3,0.32,60100,0
2017-02-03,0.32,0.32,0.211,0.32,300,0
2017-02-08,0.3,0.3,0.3,0.3,6000,0
2017-02-09,0.317,0.32,0.314,0.32,15000,0
2017-02-10,0.3,0.3,0.29,0.3,3800,0
2017-02-17,0.3999,0.3999,0.35,0.35,1200,0
2017-02-21,0.3499,0.3499,0.3499,0.3499,100,0
2017-02-24,0.3499,0.35,0.3499,0.3499,2500,0
2017-02-27,0.3499,0.3499,0.3499,0.3499,100,0
2017-03-09,0.3499,0.35,0.3499,0.35,18000,0
2017-03-13,0.3,0.3,0.3,0.3,1400,0
2017-03-14,0.3499,0.3499,0.315,0.315,1300,0
2017-03-15,0.32,0.32,0.32,0.32,500,0
2017-03-16,0.32,0.32,0.32,0.32,1000,0
2017-03-21,0.32,0.3499,0.32,0.3499,7700,0
2017-03-22,0.3499,0.3499,0.3499,0.3499,300,0
2017-04-03,0.35,0.35,0.35,0.35,1000,0
2017-04-06,0.3177,0.3177,0.3177,0.3177,1000,0
2017-04-10,0.3156,0.3156,0.3156,0.3156,2000,0
2017-04-11,0.315,0.3497,0.3149,0.3149,5914,0
2017-04-18,0.317,0.35,0.317,0.35,3000,0
2017-04-19,0.35,0.35,0.35,0.35,2000,0
2017-04-28,0.35,0.35,0.35,0.35,15000,0
2017-05-01,0.35,0.35,0.35,0.35,200,0
2017-05-05,0.35,0.35,0.35,0.35,17600,0
2017-05-30,0.35,0.35,0.35,0.35,10000,0
2017-06-15,0.332,0.332,0.332,0.332,1000,0
2017-06-19,0.32,0.32,0.3,0.3,9631,0
2017-06-29,0.32,0.32,0.3,0.31,1400,0
2017-07-03,0.32,0.32,0.32,0.32,1800,0
2017-07-05,0.305,0.305,0.305,0.305,2273,0
2017-07-06,0.32,0.32,0.32,0.32,2273,0
2017-07-07,0.35,0.35,0.35,0.35,200,0
2017-07-10,0.3201,0.3201,0.3201,0.3201,1000,0
2017-07-11,0.332,0.332,0.332,0.332,3694,0
2017-07-17,0.35,0.35,0.35,0.35,500,0
2017-07-19,0.33,0.33,0.3,0.32,45100,0
2017-07-21,0.32,0.32,0.32,0.32,10043,0
2017-07-24,0.35,0.35,0.35,0.35,500,0
2017-07-28,0.3151,0.33,0.31,0.31,10700,0
2017-07-31,0.32,0.32,0.32,0.32,500,0
2017-08-02,0.32,0.32,0.31,0.31,6500,0
2017-08-03,0.31,0.31,0.31,0.31,6200,0
2017-08-07,0.311,0.311,0.311,0.311,200,0
2017-08-09,0.3,0.322,0.3,0.31,116484,0
2017-08-10,0.32,0.32,0.3199,0.3199,200,0
2017-08-15,0.32,0.32,0.32,0.32,1111,0
2017-08-18,0.35,0.35,0.335,0.335,5100,0
2017-08-24,0.3375,0.3375,0.3375,0.3375,500,0
2017-08-30,0.325,0.325,0.325,0.325,100,0
2017-09-01,0.325,0.35,0.325,0.35,2700,0
2017-09-11,0.33,0.33,0.33,0.33,200,0
2017-09-12,0.3249,0.3249,0.3249,0.3249,280,0
2017-09-19,0.35,0.35,0.35,0.35,400,0
2017-09-20,0.35,0.35,0.35,0.35,300,0
2017-09-25,0.35,0.35,0.35,0.35,100,0
2017-09-29,0.35,0.35,0.345,0.345,5700,0
2017-10-05,0.34,0.35,0.34,0.35,4700,0
2017-10-06,0.35,0.35,0.35,0.35,200,0
2017-10-10,0.335,0.335,0.335,0.335,160,0
2017-10-12,0.35,0.35,0.34,0.34,920,0
2017-10-17,0.3351,0.3351,0.3351,0.3351,390,0
2017-10-19,0.35,0.35,0.35,0.35,500,0
2017-10-24,0.34,0.35,0.34,0.35,5400,0
2017-10-26,0.3351,0.3351,0.3351,0.3351,480,0
2017-10-31,0.35,0.35,0.335,0.335,3000,0
2017-11-01,0.35,0.35,0.3499,0.35,4000,0
2017-11-02,0.35,0.35,0.35,0.35,1000,0
2017-11-06,0.4793,0.4793,0.4793,0.4793,100,0
2017-11-09,0.47,0.47,0.42,0.42,1100,0
2017-11-10,0.45,0.45,0.45,0.45,100,0
