Date,Open,High,Low,Close,Volume,OpenInt
2015-11-19,11,11.99,9.72,10.1,7131400,0
2015-11-20,10.5,10.65,10,10.15,630500,0
2015-11-23,10.45,10.45,10,10.22,296000,0
2015-11-24,10.05,10.4,10,10.21,117300,0
2015-11-25,10.06,10.35,10.06,10.18,175900,0
2015-11-27,10.18,10.3,10.06,10.07,46100,0
2015-11-30,10.18,10.35,10,10.11,54800,0
2015-12-01,10.1,10.77,10.06,10.46,421952,0
2015-12-02,10.46,10.61,10.01,10.21,175334,0
2015-12-03,10.11,10.32,9.26,9.6,650972,0
2015-12-04,9.73,9.8,9.01,9.78,382900,0
2015-12-07,9.75,10,9.7,9.78,145100,0
2015-12-08,9.7,9.85,9.7,9.83,48912,0
2015-12-09,9.75,10.14,9.5,9.74,308600,0
2015-12-10,9.7,10.14,9.7,10.02,83500,0
2015-12-11,10,10.74,10,10.42,124100,0
2015-12-14,10.4,10.61,10,10,350635,0
2015-12-15,10.45,10.45,10,10,145900,0
2015-12-16,10.19,10.21,9.95,10.02,131600,0
2015-12-17,10.5,10.5,10,10,243400,0
2015-12-18,10.12,10.19,9.8,9.89,299800,0
2015-12-21,9.95,10.1,9.84,9.89,61500,0
2015-12-22,9.99,10.06,9.8,9.89,31343,0
2015-12-23,9.89,9.94,9.7,9.85,84800,0
2015-12-24,9.8,10,9.8,9.87,45731,0
2015-12-28,9.82,9.95,9.6,9.61,31569,0
2015-12-29,9.75,9.75,9.25,9.31,100144,0
2015-12-30,9.3,9.72,9.3,9.64,63352,0
2015-12-31,9.6,9.86,9.42,9.6,46010,0
2016-01-04,9.43,9.6116,9,9.06,174171,0
2016-01-05,9.08,9.2985,8.8,8.93,89702,0
2016-01-06,8.86,9.07,8.83,9,45661,0
2016-01-07,8.86,9.06,8.8,8.93,46612,0
2016-01-08,8.94,9,8.6,8.6,49005,0
2016-01-11,8.64,8.84,8.6,8.63,26188,0
2016-01-12,8.62,8.66,8.29,8.55,20163,0
2016-01-13,8.55,8.55,8.13,8.17,46815,0
2016-01-14,8.19,8.49,8.01,8.29,38740,0
2016-01-15,8.01,8.19,7.63,7.72,76351,0
2016-01-19,7.8,8.35,7.66,7.72,96700,0
2016-01-20,7.71,8.04,7.623,7.84,34638,0
2016-01-21,7.9,8.03,7.6967,7.96,43672,0
2016-01-22,8.05,8.05,7.81,7.95,192761,0
2016-01-25,7.91,7.91,7.66,7.67,9359,0
2016-01-26,7.71,7.71,6.77,6.91,115636,0
2016-01-27,6.95,7.09,6.2,6.85,223406,0
2016-01-28,6.75,7.0327,6.01,6.2,75385,0
2016-01-29,6.3,7.75,6.3,7.5901,294294,0
2016-02-01,7.56,9.425,7.15,9.21,243826,0
2016-02-02,9.29,9.51,8.2,8.77,163635,0
2016-02-03,8.82,10.15,8.82,10,455779,0
2016-02-04,9.99,10.58,9.47,10.38,736972,0
2016-02-05,10.29,10.59,9.139,10.35,869065,0
2016-02-08,10.13,10.435,9.1101,10,708903,0
2016-02-09,10.34,10.74,8.51,9.37,220783,0
2016-02-10,9.42,9.95,9.07,9.39,344887,0
2016-02-11,9.23,9.355,9.1,9.29,80776,0
2016-02-12,9.36,9.52,9.15,9.51,177835,0
2016-02-16,9.66,10,8.9401,9.59,184405,0
2016-02-17,9.72,10,9.205,9.49,178230,0
2016-02-18,9.49,10,9.4064,9.72,97305,0
2016-02-19,9.68,9.91,9.18,9.56,46117,0
2016-02-22,9.76,9.9025,8.9707,9.61,41985,0
2016-02-23,9.53,9.83,9.01,9.24,95569,0
2016-02-24,9.16,9.722,8.99,9.59,65714,0
2016-02-25,9.55,9.7,9.36,9.52,39172,0
2016-02-26,9.54,9.95,9.49,9.92,75641,0
2016-02-29,9.89,9.89,9.32,9.36,49195,0
2016-03-01,9.54,10.305,9.38,10.22,183684,0
2016-03-02,10.15,11.1,10.03,10.73,159739,0
2016-03-03,10.72,10.97,10.08,10.76,76499,0
