Date,Open,High,Low,Close,Volume,OpenInt
2010-08-23,37.923,37.923,37.923,37.923,110,0
2010-08-24,37.645,37.645,36.936,37.026,1497,0
2010-08-25,36.672,36.955,36.672,36.955,214,0
2010-08-26,37.016,37.016,36.327,36.963,965,0
2010-08-27,37.194,37.429,37.194,37.429,1820,0
2010-08-30,37.523,37.606,37.151,37.151,2164,0
2010-08-31,37.065,37.4,36.868,37.372,537,0
2010-09-01,37.665,37.726,36.466,37.726,3318,0
2010-09-07,37.841,38.018,37.841,38.018,3318,0
2010-09-08,38.119,38.119,38.119,38.119,428,0
2010-09-09,38.402,38.402,37.923,38.297,5362,0
2010-09-10,38.232,38.251,37.841,38.139,1508,0
2010-09-13,38.421,38.421,38.149,38.149,642,0
2010-09-15,38.354,38.354,38.345,38.354,14127,0
2010-09-17,38.54,38.59,38.54,38.59,10060,0
2010-09-22,38.794,38.794,38.635,38.766,323,0
2010-09-23,38.616,38.616,38.364,38.364,662,0
2010-09-24,38.821,38.905,38.821,38.868,2177,0
2010-09-27,38.681,38.821,38.681,38.821,214,0
2010-09-28,38.54,38.54,38.149,38.149,323,0
2010-09-30,39.195,40.876,39.008,39.486,30286,0
2010-10-01,39.446,39.446,39.027,39.055,1925,0
2010-10-04,39.241,39.241,39.241,39.241,214,0
2010-10-05,39.195,39.195,39.102,39.102,642,0
2010-10-06,39.289,45.566,39.289,44.848,19882,0
2010-10-07,43.915,43.915,41.12,41.344,4900,0
2010-10-08,41.166,42.839,41.166,42.839,1277,0
2010-10-11,40.661,40.661,40.402,40.402,970,0
2010-10-12,40.792,40.792,40.792,40.792,265,0
2010-10-13,41.111,42.231,41.111,42.072,2796,0
2010-10-14,42.231,42.231,42.044,42.231,7270,0
2010-10-15,42.465,42.465,42.42,42.42,727,0
2010-10-18,42.044,42.044,41.577,41.577,214,0
2010-10-19,41.111,41.111,40.436,40.436,1283,0
2010-10-22,41.045,41.045,40.896,40.896,323,0
2010-10-25,41.381,41.381,41.381,41.381,265,0
2010-10-27,41.344,41.344,40.651,40.651,1069,0
2010-10-28,40.651,41.12,40.651,41.065,323,0
2010-10-29,41.586,41.586,41.586,41.586,214,0
