Date,Open,High,Low,Close,Volume,OpenInt
2012-08-16,30.5,32.5,30,30.8,25407,0
2012-08-17,30.5,30.55,30,30.01,1753,0
2012-08-20,30.1,30.3,30,30,4620,0
2012-08-21,30.1,31,30,30,2216,0
2012-08-22,30.9,30.9,30,30.2,4591,0
2012-08-23,30.1,30.4,30,30,4778,0
2012-08-24,30.1,31.9,30,30.3,6706,0
2012-08-27,30.4,30.4,30,30.1,3365,0
2012-08-28,30.1,30.3,29.42,30,22111,0
2012-08-29,29.999,30,29.1,29.899,620,0
2012-08-30,30,30,29.3,29.5,2106,0
2012-08-31,32,35,29,35,2390,0
2012-09-04,35.9,35.9,30,30,1188,0
2012-09-05,29.6,31.9,29.6,31,476,0
2012-09-06,31,31.999,30.1,30.9,1291,0
2012-09-07,30.1,30.6,29.9,30,1966,0
2012-09-10,30,30,29,29.9,1480,0
2012-09-11,30,30,29,29.9,2451,0
2012-09-12,29.5,30,28.7,29.9,2819,0
2012-09-13,30,30,27.5,28.5,1352,0
2012-09-14,28.4,28.5,25,28.4,2137,0
2012-09-17,28.4,28.4,25,27.5,4700,0
2012-09-18,27.5,27.5,26,27.5,2316,0
2012-09-19,26.4,30.1,26.4,30.1,4932,0
2012-09-20,30.1,30.1,29,30,3767,0
2012-09-21,30,30,25.3,25.3,5261,0
2012-09-24,26.8,29.4,26.8,27.5,3058,0
2012-09-25,27.4,27.4,25.4,27.1,1789,0
2012-09-26,27.1,27.2,25.601,27.1,1053,0
2012-09-27,27.485,27.485,26.9,26.9,350,0
2012-09-28,26.2,27.5,26.2,27.1,760,0
2012-10-01,28.4,28.7,26.9,26.9,4018,0
2012-10-02,27.6,28.5,26.5,27,1349,0
2012-10-03,26.3,27.1,26.1,26.4,975,0
2012-10-04,26.4,28.5,26.4,27,1206,0
2012-10-05,27,27.3,26.401,26.6,5458,0
2012-10-08,26.5,27.2,26,26,1514,0
2012-10-09,26,26.4,26,26.4,641,0
2012-10-10,26.4,26.4,25,25.2,772,0
2012-10-11,25.2,25.8,25.1,25.5,1042,0
2012-10-12,25,28.399,25,26.5,5266,0
2012-10-15,28.5,28.5,25.2,25.2,2099,0
2012-10-16,25.2,27.434,25.2,26.1,740,0
2012-10-17,26.1,28.9,26.1,26.5,2796,0
2012-10-18,26.5,28.4,26.1,26.1,2631,0
2012-10-19,27,27.7,26.101,26.4,220,0
2012-10-22,27.5,27.5,24.7,24.8,7811,0
2012-10-23,27.2,27.2,23.6,23.6,841,0
2012-10-24,25.2,25.4,24.6,24.6,717,0
2012-10-25,23.6,24.5,23.6,24,1734,0
2012-10-26,24,24.297,23.6,23.6,1410,0
2012-10-31,24.8,26.9,23.7,25.5,1929,0
2012-11-01,23.9,25.499,23.7,23.8,1038,0
