Date,Open,High,Low,Close,Volume,OpenInt
2005-05-02,17.481,17.481,17.481,17.481,0,0
2005-05-03,17.631,19.514,17.49,18.945,3464289,0
2005-05-04,19.815,20.788,19.134,20.41,1337285,0
2005-05-05,22.157,22.157,20.874,21.393,915569,0
2005-05-06,21.789,21.968,20.363,20.41,487190,0
2005-05-09,20.505,20.505,19.369,19.625,233826,0
2005-05-10,19.369,20.607,19.088,20.03,258440,0
2005-05-11,20.203,21.12,19.901,20.646,179085,0
2005-05-12,20.788,21.168,20.551,20.695,132191,0
2005-05-13,21.12,21.12,20.456,20.752,101607,0
2005-05-16,21.014,21.014,20.436,20.77,78068,0
2005-05-17,20.665,20.788,19.854,20.126,240241,0
2005-05-18,19.757,21.071,19.588,20.854,287809,0
2005-05-19,19.91,21.676,19.91,21.402,243945,0
2005-05-20,21.296,22.149,21.212,21.828,401259,0
2005-05-23,22.157,22.157,21.544,22.044,129482,0
2005-05-24,22.348,22.489,21.259,21.789,178672,0
2005-05-25,20.56,21.259,20.03,20.937,254644,0
2005-05-26,20.788,21.666,20.221,21.269,108313,0
2005-05-27,21.579,21.579,20.569,20.816,26984,0
2005-05-31,20.486,20.864,19.845,20.742,114758,0
2005-06-01,20.533,21.913,20.533,21.913,131149,0
2005-06-02,21.42,23.593,21.402,23.141,202052,0
2005-06-03,23.253,24.521,22.649,24.367,175817,0
2005-06-06,24.301,25.032,23.979,24.793,130439,0
2005-06-07,24.917,26.683,24.568,26.343,293007,0
2005-06-08,26.494,26.59,25.805,26.221,451736,0
2005-06-09,25.891,26.26,25.2,25.871,118518,0
2005-06-10,25.891,26.24,25.085,25.418,93502,0
2005-06-13,25.701,26.013,25.143,25.391,92376,0
2005-06-14,25.748,25.985,25.418,25.985,39594,0
2005-06-15,25.597,27.157,25.597,26.636,225414,0
2005-06-16,26.797,27.213,26.08,27.022,62731,0
2005-06-17,27.271,27.959,27.032,27.12,163450,0
2005-06-20,27.166,27.3,26.305,26.466,61884,0
2005-06-21,26.72,26.73,25.607,26.221,163719,0
2005-06-22,25.797,25.871,25.085,25.502,91227,0
2005-06-23,25.22,26.626,25.085,26.126,42917,0
2005-06-24,25.843,26.401,25.268,25.391,606591,0
2005-06-27,25.19,25.919,23.878,25.607,106855,0
2005-06-28,25.51,26.551,25.258,26.523,43898,0
2005-06-29,26.523,27.022,25.927,25.937,67737,0
2005-06-30,26.192,26.93,26.192,26.6,41400,0
2005-07-01,26.73,26.73,25.852,26.269,33138,0
2005-07-05,26.07,27.052,26.06,27.022,68293,0
2005-07-06,26.873,27.401,26.475,26.854,35214,0
2005-07-07,26.411,27.497,26.315,26.835,22495,0
2005-07-08,26.873,27.354,26.466,27.203,51981,0
2005-07-11,27.316,27.401,26.494,26.892,65210,0
2005-07-12,26.73,26.873,25.656,26.702,43209,0
2005-07-13,26.626,26.921,26.457,26.902,17825,0
2005-07-14,26.636,26.854,26.288,26.551,69085,0
2005-07-15,26.353,26.636,26.324,26.551,70491,0
2005-07-18,26.646,26.646,26.24,26.475,45754,0
2005-07-19,26.618,26.646,25.18,26.26,74833,0
2005-07-20,25.985,26.126,25.315,25.692,34762,0
2005-07-21,25.777,25.777,24.763,24.783,26763,0
2005-07-22,24.673,25.502,24.578,25.482,84622,0
2005-07-25,25.578,25.739,24.898,25.52,40308,0
2005-07-26,25.739,26.08,25.428,26.023,39695,0
2005-07-27,25.833,26.033,24.898,25.474,53236,0
2005-07-28,25.315,25.871,25.133,25.871,34202,0
2005-07-29,25.701,26.023,25.4,25.636,23601,0
2005-08-01,25.55,26.551,25.51,25.891,105142,0
2005-08-02,26.09,26.457,26.08,26.154,44818,0
2005-08-03,26.25,26.25,25.587,25.797,34713,0
2005-08-04,25.673,26.211,25.673,25.797,16539,0
2005-08-05,25.909,25.909,25.587,25.587,15863,0
2005-08-08,25.52,25.995,25.342,25.805,22449,0
2005-08-09,25.673,25.805,25.334,25.721,35850,0
2005-08-10,26.107,30.237,26.098,29.81,665412,0
2005-08-11,29.594,32.219,29.594,31.372,331072,0
2005-08-12,31.086,31.278,30.379,31.151,134859,0
2005-08-15,30.906,31.607,30.351,30.945,88364,0
2005-08-16,30.793,31.372,30.672,30.756,78358,0
2005-08-17,30.756,31.143,29.904,30.72,80896,0
2005-08-18,30.567,31.124,30.227,30.711,124451,0
2005-08-19,30.692,31.598,30.491,31.095,101616,0
2005-08-22,31.324,31.372,30.682,31.199,38172,0
2005-08-23,31.229,31.229,30.002,30.322,199779,0
2005-08-24,29.895,30.426,29.895,30.247,78574,0
2005-08-25,30.076,30.331,28.734,29.149,118488,0
2005-08-26,28.934,28.934,26.976,27.789,163057,0
2005-08-29,27.6,27.78,26.996,27.713,34309,0
2005-08-30,27.572,27.639,27.316,27.61,16466,0
2005-08-31,27.695,28.744,27.411,28.744,45909,0
2005-09-01,28.528,29.019,27.931,28.412,30465,0
2005-09-02,28.348,28.376,27.052,27.213,22340,0
2005-09-06,26.947,27.488,26.75,27.335,46919,0
2005-09-07,27.344,27.344,26.93,27.1,38778,0
2005-09-08,26.825,27.022,25.238,26.09,180885,0
2005-09-09,26.004,26.278,25.474,26.126,35256,0
2005-09-12,26.211,26.883,26.09,26.72,34582,0
2005-09-13,26.72,27.243,26.26,27.12,48668,0
2005-09-14,26.938,27.12,26.73,26.864,26056,0
2005-09-15,26.788,26.967,26.523,26.854,44162,0
2005-09-16,27.013,27.686,26.912,27.572,62608,0
2005-09-19,27.695,27.968,27.372,27.968,118880,0
2005-09-20,28.016,28.499,28.007,28.422,60810,0
2005-09-21,28.441,28.677,28.15,28.298,32353,0
2005-09-22,28.499,29.235,28.16,29.055,35395,0
2005-09-23,28.819,29.121,28.28,29.019,37157,0
2005-09-26,29.055,30.085,29.055,30.085,61942,0
2005-09-27,30.085,30.085,29.433,29.719,21642,0
2005-09-28,29.719,30.189,29.235,29.254,30026,0
2005-09-29,30.002,30.692,29.594,29.849,50407,0
2005-09-30,30.16,30.237,29.69,30.237,26748,0
2005-10-03,30.039,30.481,30.039,30.141,12939,0
2005-10-04,29.992,30.274,29.802,30.068,14539,0
2005-10-05,30.237,30.237,28.412,28.412,42704,0
2005-10-06,28.348,28.348,27.44,27.886,26671,0
2005-10-07,28.092,28.348,27.798,28.243,9406,0
2005-10-10,28.082,28.639,28.082,28.357,4834,0
2005-10-11,28.63,28.687,27.166,27.308,15805,0
2005-10-12,27.193,27.252,25.277,25.492,87467,0
2005-10-13,25.334,25.787,25.277,25.57,74247,0
2005-10-14,25.748,25.748,25.059,25.446,45011,0
2005-10-17,25.51,25.777,25.418,25.57,37986,0
2005-10-18,25.57,25.777,23.621,23.832,132757,0
2005-10-19,24.048,24.048,23.463,23.859,150114,0
2005-10-20,23.951,24.717,23.575,23.989,421752,0
2005-10-21,23.832,24.163,23.555,24.038,100277,0
2005-10-24,23.934,25.587,23.934,25.305,52590,0
2005-10-25,25.324,26.439,25.286,26.343,63974,0
2005-10-26,26.448,27.469,26.192,27.091,57833,0
2005-10-27,27.281,27.45,27.213,27.213,36292,0
2005-10-28,27.147,27.877,27.022,27.77,54200,0
2005-10-31,27.713,28.422,27.713,27.78,100675,0
2005-11-01,27.704,30.616,27.686,30.002,138326,0
2005-11-02,30.002,30.351,29.746,30.049,64907,0
2005-11-03,30.237,31.519,30.237,31.519,131967,0
2005-11-04,31.693,31.693,30.783,31.278,51414,0
2005-11-07,31.588,32.1,31.258,31.758,67443,0
2005-11-08,31.758,34.063,30.936,33.109,150934,0
2005-11-09,34.338,34.338,31.372,32.163,134296,0
2005-11-10,30.906,34.215,30.616,33.043,363415,0
2005-11-11,33.582,34.964,33.241,34.819,172637,0
2005-11-14,35.074,35.368,34.111,34.547,63613,0
2005-11-15,33.592,34.13,30.002,30.371,332605,0
2005-11-16,30.131,30.312,28.177,28.639,321437,0
2005-11-17,28.819,29.244,28.537,28.847,256495,0
2005-11-18,28.924,28.924,26.72,27.536,320674,0
