Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,1.55,1.55,1.55,1.55,5300,0
2005-02-28,1.53,1.59,1.5,1.53,38708,0
2005-03-01,1.53,1.56,1.53,1.56,2550,0
2005-03-02,1.53,1.54,1.51,1.54,22900,0
2005-03-03,1.5,1.5,1.47,1.5,8000,0
2005-03-04,1.47,1.56,1.47,1.56,10000,0
2005-03-07,1.65,1.96,1.65,1.85,63523,0
2005-03-08,1.9,1.9,1.75,1.75,14504,0
2005-03-09,1.65,1.87,1.65,1.75,34400,0
2005-03-10,1.75,1.78,1.75,1.78,4220,0
2005-03-11,1.83,1.93,1.82,1.82,15350,0
2005-03-14,1.9,1.9,1.87,1.87,7500,0
2005-03-15,1.75,1.88,1.75,1.75,12420,0
2005-03-16,1.75,1.8,1.75,1.8,3700,0
2005-03-17,1.75,1.88,1.75,1.8,24500,0
2005-03-18,1.79,1.82,1.78,1.82,25000,0
2005-03-21,1.86,1.86,1.79,1.79,26300,0
2005-03-22,1.82,1.86,1.8,1.85,36840,0
2005-03-23,1.88,1.88,1.82,1.84,10120,0
2005-03-24,1.86,1.86,1.82,1.84,38700,0
2005-03-28,1.82,1.82,1.7,1.75,30700,0
2005-03-29,1.75,1.75,1.7,1.7,10150,0
2005-03-30,1.8,1.8,1.8,1.8,6900,0
2005-03-31,1.8,1.93,1.8,1.93,36100,0
2005-04-01,1.91,1.95,1.85,1.95,38200,0
2005-04-04,2,2,1.91,1.93,31500,0
2005-04-05,1.93,1.93,1.83,1.89,7000,0
2005-04-06,1.9,2.11,1.9,2.11,167900,0
2005-04-07,2.15,2.5,2.15,2.38,122300,0
2005-04-08,2.48,2.48,2.15,2.36,66400,0
2005-04-11,2.33,2.37,2.32,2.35,146200,0
2005-04-12,2.35,2.43,2.15,2.43,71200,0
2005-04-13,2.44,2.65,2.3,2.4,123800,0
2005-04-14,2.42,2.42,2.2,2.35,61800,0
2005-04-15,2.25,2.3,2.15,2.2,57400,0
2005-04-18,2,2.11,1.95,2.1,78200,0
2005-04-19,2.13,2.39,2.13,2.17,28200,0
2005-04-20,2.18,2.2,2.06,2.06,29000,0
2005-04-21,2.1,2.18,2,2,24200,0
2005-04-22,2.05,2.05,1.97,2.03,21900,0
2005-04-25,2.02,2.03,1.98,2,9600,0
2005-04-26,1.95,2.14,1.95,2.14,15800,0
2005-04-27,2.22,2.4,2.16,2.23,59900,0
2005-04-28,2.33,2.33,2.23,2.28,19200,0
2005-04-29,2.35,2.35,2.23,2.25,10000,0
2005-05-02,2.25,2.25,1.9,2.05,122500,0
2005-05-03,2.05,2.18,2.05,2.18,23300,0
2005-05-04,2.18,2.25,2.1,2.22,39400,0
2005-05-05,2.23,2.3,2.23,2.3,16700,0
2005-05-06,2.26,2.26,2.2,2.2,7400,0
2005-05-09,2.25,2.3,2.22,2.3,18900,0
2005-05-10,2.2,2.27,2.2,2.25,22100,0
2005-05-11,2.15,2.2,2.15,2.2,14000,0
2005-05-12,2.25,2.25,2.15,2.24,13200,0
2005-05-13,2.24,2.27,2.15,2.25,45000,0
2005-05-16,2.27,2.27,2.15,2.25,63000,0
2005-05-17,2.25,2.25,2.15,2.23,15900,0
2005-05-18,2.2,2.22,2.1,2.19,25900,0
2005-05-19,2.18,2.24,2.17,2.18,63700,0
2005-05-20,2.2,2.2,2.12,2.15,18500,0
2005-05-23,2.15,2.24,2.15,2.24,14100,0
2005-05-24,2.19,2.2,2.14,2.18,65800,0
2005-05-25,2.22,2.24,2.13,2.2,80100,0
2005-05-26,2.23,2.23,2.15,2.22,28300,0
2005-05-27,2.22,2.27,2.22,2.24,26800,0
2005-05-31,2.15,2.24,2.15,2.18,42600,0
2005-06-01,2.18,2.24,2.15,2.18,42300,0
2005-06-02,2.17,2.17,2.15,2.17,2800,0
2005-06-03,2.15,2.2,2.15,2.2,500,0
2005-06-06,2.25,2.25,2.15,2.22,17300,0
2005-06-07,2.22,2.24,2.18,2.2,10100,0
2005-06-08,2.25,2.25,2.19,2.2,5000,0
2005-06-09,2.2,2.24,2.19,2.21,14600,0
2005-06-10,2.24,2.24,2.15,2.2,5600,0
2005-06-13,2.14,2.23,2.11,2.2,22000,0
2005-06-14,2.17,2.25,2.15,2.15,54300,0
2005-06-15,2.11,2.2,2.11,2.2,22200,0
2005-06-16,2.2,2.2,2.17,2.17,14000,0
2005-06-17,2.15,2.22,2.1,2.17,21700,0
2005-06-20,2.15,2.19,2.15,2.19,5300,0
2005-06-21,2.2,2.25,2.2,2.24,52500,0
2005-06-22,2.24,2.25,2.2,2.23,53000,0
2005-06-23,2.2,2.21,2.17,2.17,18200,0
2005-06-24,2.16,2.28,2.16,2.28,34400,0
2005-06-27,2.3,2.35,2.3,2.35,62900,0
2005-06-28,2.4,2.67,2.35,2.67,29600,0
2005-06-29,2.68,2.81,2.63,2.75,184400,0
2005-06-30,2.79,2.79,2.3,2.39,116100,0
2005-07-01,2.39,2.39,2.25,2.3,5300,0
2005-07-05,2.23,2.26,2.18,2.26,43400,0
