Date,Open,High,Low,Close,Volume,OpenInt
2012-10-25,9.1008,9.408,8.9949,9.408,1122582,0
2012-10-26,9.1913,9.3651,9.1371,9.3407,181537,0
2012-10-31,9.4948,9.4948,9.1913,9.408,107740,0
2012-11-01,9.3154,9.3154,9.2228,9.2552,50466,0
2012-11-02,9.2725,9.3222,9.2486,9.259,50017,0
2012-11-05,9.2803,9.2803,9.008,9.2123,198310,0
2012-11-06,9.2803,9.3251,8.8158,9.2552,134753,0
2012-11-07,9.3154,9.3456,9.2552,9.2552,99629,0
2012-11-08,9.3349,9.3709,9.2085,9.2656,181484,0
2012-11-09,9.2725,9.3456,9.2123,9.261,49193,0
2012-11-12,9.2228,9.408,9.1981,9.408,43967,0
2012-11-13,9.2656,9.3651,9.2552,9.2656,62345,0
2012-11-14,9.2552,9.3583,9.2228,9.2552,132554,0
2012-11-15,9.2171,9.2552,9.008,9.2352,89093,0
2012-11-16,9.3095,9.4021,9.1913,9.4021,28202,0
2012-11-19,9.261,9.408,9.2276,9.2656,24500,0
2012-11-20,9.2656,9.2861,9.1114,9.261,67669,0
2012-11-21,9.3154,9.3407,9.2057,9.261,61173,0
2012-11-23,9.2861,9.292,9.2552,9.2552,2994,0
2012-11-26,9.2861,9.3778,9.2228,9.2861,25888,0
2012-11-27,9.292,9.408,9.2803,9.2861,51788,0
2012-11-28,9.408,9.408,9.1628,9.2552,23019,0
2012-11-29,9.2552,9.3154,9.1056,9.1761,16361,0
2012-11-30,9.292,9.408,9.2552,9.2552,23872,0
2012-12-03,9.408,9.408,9.1771,9.1866,12560,0
2012-12-04,9.1913,9.408,9.1761,9.3154,42948,0
2012-12-05,9.408,9.4373,9.1866,9.4373,43285,0
2012-12-06,9.2123,9.3778,9.2123,9.2552,11214,0
2012-12-07,9.4948,9.4948,9.2352,9.2352,14348,0
2012-12-10,9.2552,9.2725,9.2057,9.2725,849,0
2012-12-11,9.408,9.408,9.1771,9.3456,12889,0
2012-12-12,9.4343,9.656,9.4343,9.4607,15583,0
2012-12-13,9.448,9.562,9.3085,9.4665,18656,0
2012-12-14,9.531,9.531,9.3456,9.3456,17637,0
2012-12-17,9.516,9.531,9.4665,9.531,7552,0
2012-12-18,9.4665,9.531,9.4665,9.4665,15371,0
2012-12-19,9.562,9.562,9.3085,9.4665,8399,0
2012-12-20,9.531,9.531,9.2705,9.2842,21141,0
2012-12-21,9.2142,9.554,9.1951,9.4977,25607,0
2012-12-24,9.4928,9.554,9.4928,9.554,10654,0
2012-12-26,9.523,9.624,9.3407,9.3456,26309,0
2012-12-27,9.611,9.611,9.3085,9.3085,42043,0
2012-12-28,9.713,9.713,9.1951,9.2085,67742,0
2012-12-31,9.2705,9.4041,9.1704,9.3583,17834,0
2013-01-02,9.3524,9.4928,9.2142,9.4928,9828,0
2013-01-03,9.4928,9.523,9.3963,9.523,3771,0
2013-01-04,9.4977,9.504,9.4665,9.4665,9033,0
2013-01-07,9.41,9.523,9.41,9.504,10420,0
2013-01-08,9.504,9.504,9.4665,9.504,16269,0
2013-01-09,9.4977,9.4977,9.3349,9.3719,13190,0
2013-01-10,9.4041,9.4607,9.2773,9.2773,33852,0
2013-01-11,9.2773,9.4538,9.1819,9.1819,18309,0
2013-01-14,9.3787,9.656,9.3719,9.562,28824,0
2013-01-15,9.523,9.713,9.3719,9.4538,29253,0
2013-01-16,9.3719,9.593,9.3456,9.4977,11923,0
2013-01-17,9.37,9.674,9.3592,9.4665,12934,0
2013-01-18,9.562,9.562,9.4997,9.531,17114,0
2013-01-22,9.562,9.648,9.4665,9.593,29625,0
2013-01-23,9.624,9.624,9.511,9.593,18540,0
2013-01-24,9.531,9.656,9.4977,9.656,25982,0
2013-01-25,9.536,9.624,9.536,9.593,9176,0
2013-01-28,9.536,9.681,9.3719,9.3856,62235,0
2013-01-29,9.4343,9.562,9.3456,9.486,39658,0
2013-01-30,9.3904,9.648,9.3904,9.593,7138,0
2013-01-31,9.593,9.593,9.506,9.575,19783,0
2013-02-01,9.607,9.611,9.4782,9.593,57709,0
2013-02-04,9.531,9.593,9.4704,9.4704,35617,0
2013-02-05,9.593,9.593,9.4967,9.562,34435,0
2013-02-06,9.562,9.562,9.4665,9.52,33116,0
2013-02-07,9.4665,9.4977,9.4343,9.4782,12236,0
2013-02-08,9.531,9.611,9.501,9.593,23212,0
2013-02-11,9.611,9.611,9.4665,9.4977,17403,0
2013-02-12,9.611,9.624,9.4782,9.624,39911,0
2013-02-13,9.4704,9.656,9.4704,9.624,22747,0
2013-02-14,9.4665,9.593,9.4665,9.574,4502,0
2013-02-15,9.617,9.624,9.516,9.624,27253,0
2013-02-19,9.607,9.713,9.554,9.687,35048,0
2013-02-20,9.681,9.713,9.58,9.624,34087,0
2013-02-21,9.624,9.624,9.531,9.531,11567,0
2013-02-22,9.701,9.731,9.562,9.562,32830,0
2013-02-25,9.701,9.701,9.4665,9.4665,36171,0
2013-02-26,9.4704,9.731,9.4704,9.558,42831,0
