Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,0.38406,0.3939,0.38406,0.3939,12390,0
2005-02-28,0.38406,0.38406,0.37422,0.37422,76683,0
2005-03-01,0.37422,0.37422,0.33481,0.35452,111475,0
2005-03-02,0.34467,0.37422,0.34467,0.35452,15790,0
2005-03-03,0.35452,0.35452,0.35452,0.35452,1015,0
2005-03-04,0.35452,0.35452,0.35452,0.35452,3910,0
2005-03-07,0.35452,0.36436,0.35452,0.35452,38090,0
2005-03-08,0.35452,0.35452,0.35452,0.35452,508,0
2005-03-09,0.36436,0.3939,0.36436,0.3939,100146,0
2005-03-10,0.3939,0.3939,0.3939,0.3939,609,0
2005-03-11,0.3939,0.3939,0.36436,0.36436,14521,0
2005-03-14,0.36436,0.38406,0.36436,0.37422,15353,0
2005-03-15,0.36436,0.37422,0.35452,0.35452,50773,0
2005-03-16,0.34467,0.35452,0.34467,0.35452,2031,0
2005-03-17,0.34467,0.34467,0.34467,0.34467,16066,0
2005-03-18,0.34467,0.37422,0.34467,0.37422,21046,0
2005-03-21,0.37422,0.37422,0.34467,0.37422,14218,0
2005-03-22,0.34467,0.37422,0.34467,0.37422,38745,0
2005-03-23,0.35452,0.38406,0.35452,0.38406,609,0
2005-03-24,0.35452,0.38406,0.35452,0.38406,2315,0
2005-03-28,0.38406,0.3939,0.36436,0.36436,43666,0
2005-03-29,0.36436,0.37422,0.36436,0.37422,77278,0
2005-03-30,0.34467,0.35452,0.34467,0.35452,4321,0
2005-03-31,0.34467,0.34467,0.34467,0.34467,7921,0
2005-04-01,0.35452,0.35452,0.34467,0.34467,9241,0
2005-04-05,0.33481,0.34467,0.33481,0.34467,4569,0
2005-04-06,0.34467,0.35452,0.34467,0.35452,9423,0
2005-04-07,0.35452,0.35452,0.34467,0.34467,6458,0
2005-04-08,0.34467,0.35452,0.34467,0.35452,9139,0
2005-04-11,0.34467,0.34467,0.34467,0.34467,4569,0
2005-04-12,0.32498,0.46284,0.32498,0.45298,230072,0
2005-04-13,0.48253,0.48253,0.42344,0.42344,21249,0
2005-04-14,0.42344,0.44313,0.40375,0.40375,78128,0
2005-04-15,0.3939,0.3939,0.37422,0.3939,67021,0
2005-04-18,0.35452,0.35452,0.32498,0.34467,83209,0
2005-04-19,0.34467,0.47269,0.29543,0.47269,233630,0
2005-04-20,0.47269,0.47269,0.43329,0.43329,23152,0
2005-04-21,0.43329,0.43329,0.37422,0.37422,2234,0
2005-04-22,0.42344,0.43329,0.42344,0.43329,4061,0
2005-04-25,0.43329,0.43329,0.43329,0.43329,5078,0
2005-04-26,0.3939,0.43329,0.3939,0.4136,26930,0
2005-04-27,0.40375,0.43329,0.40375,0.43329,17477,0
2005-04-28,0.40375,0.46284,0.40375,0.46284,2437,0
2005-04-29,0.4136,0.46284,0.4136,0.45298,7616,0
2005-05-02,0.4136,0.5909,0.4136,0.5416,50835,0
2005-05-03,0.5022,0.5515,0.5022,0.5219,6854,0
2005-05-04,0.512,0.5515,0.49238,0.5515,8530,0
2005-05-05,0.5022,0.5515,0.49238,0.5515,18786,0
2005-05-06,0.512,0.512,0.46284,0.512,41126,0
2005-05-10,0.44313,0.512,0.42344,0.512,27054,0
2005-05-11,0.40375,0.49238,0.40375,0.47269,5332,0
2005-05-12,0.40375,0.48253,0.40375,0.48253,8651,0
2005-05-13,0.40375,0.44313,0.38406,0.44313,47219,0
2005-05-16,0.4136,0.4136,0.36436,0.4136,11881,0
2005-05-17,0.4136,0.4136,0.4136,0.4136,4061,0
2005-05-18,0.4136,0.4136,0.36436,0.38406,19375,0
2005-05-19,0.36436,0.37422,0.36436,0.37422,1116,0
2005-05-20,0.37422,0.45298,0.36436,0.45298,13827,0
2005-05-23,0.36436,0.45298,0.36436,0.45298,8631,0
2005-05-24,0.36436,0.45298,0.36436,0.36436,508,0
