Date,Open,High,Low,Close,Volume,OpenInt
2017-02-15,4.19,4.19,3.9,4,342520,0
2017-02-16,4.15,4.15,3.9,3.94,114671,0
2017-02-17,3.9,4.15,3.9,4.09,112388,0
2017-02-21,4.21,4.21,4.01,4.01,135671,0
2017-02-22,4.05,4.0796,3.95,4.05,89009,0
2017-02-23,4.138,4.138,3.8,3.94,81528,0
2017-02-24,3.95,3.99,3.7829,3.9,72481,0
2017-02-27,3.8,3.9,3.55,3.57,203638,0
2017-02-28,3.61,3.69,3.497,3.51,131952,0
2017-03-01,3.56,3.6,3.5,3.51,127784,0
2017-03-02,3.54,3.55,3.52,3.54,53378,0
2017-03-03,3.55,4,3.54,3.93,177833,0
2017-03-06,4,4.44,3.921,4.16,175029,0
2017-03-07,4.28,4.28,4.02,4.17,49229,0
2017-03-08,4.25,4.25,4.17,4.2,65942,0
2017-03-09,4.2,4.3264,4.15,4.19,50183,0
2017-03-10,4.19,4.26,4.18,4.25,41107,0
2017-03-13,4.26,4.35,4.18,4.3413,57182,0
2017-03-14,4.38,4.5,4.15,4.2,80745,0
2017-03-15,4.3,4.35,4.0616,4.32,108982,0
2017-03-16,4.21,4.35,4.21,4.29,55985,0
2017-03-17,4.34,4.49,4.29,4.49,100022,0
2017-03-20,4.5,4.5,4.3508,4.3899,60502,0
2017-03-21,4.35,4.41,3.9799,3.98,124543,0
2017-03-22,3.98,4.1399,3.75,4.01,187091,0
2017-03-23,4.0301,4.18,3.79,4.07,394422,0
2017-03-24,4.12,4.45,4.096,4.2,183676,0
2017-03-27,4.2,4.25,4,4.22,368932,0
2017-03-28,4.18,4.27,4.03,4.12,407058,0
2017-03-29,4.08,4.23,4.0501,4.14,34883,0
2017-03-30,4.17,4.3228,4.1201,4.15,92471,0
2017-03-31,4.12,4.21,4.075,4.13,31256,0
2017-04-03,4.1,4.67,4.08,4.43,632634,0
2017-04-04,4.43,4.43,4.29,4.31,80977,0
2017-04-05,4.24,4.38,4.12,4.19,229215,0
2017-04-06,4.2012,4.32,4.1602,4.32,61083,0
2017-04-07,4.32,4.32,4.2042,4.21,29605,0
2017-04-10,4.2,4.24,4.12,4.13,42845,0
2017-04-11,4.18,4.239,3.97,3.97,103881,0
2017-04-12,4.2129,4.2129,3.75,3.83,121195,0
2017-04-13,3.8664,3.88,3.77,3.88,50183,0
2017-04-17,3.87,4.08,3.75,3.94,158665,0
2017-04-18,3.9,3.969,3.7501,3.82,90692,0
2017-04-19,3.77,4,3.77,3.87,72038,0
2017-04-20,3.94,3.949,3.84,3.84,85197,0
2017-04-21,3.85,3.85,3.72,3.74,79266,0
2017-04-24,3.8,3.859,3.65,3.82,177520,0
2017-04-25,3.91,3.91,3.7,3.81,58363,0
2017-04-26,3.84,3.84,3.7,3.74,79145,0
2017-04-27,3.7,3.8,3.7,3.74,151580,0
2017-04-28,3.77,3.81,3.6,3.71,148117,0
2017-05-01,3.8,3.95,3.75,3.86,291498,0
2017-05-02,3.9,3.95,3.68,3.76,187096,0
2017-05-03,3.78,3.9,3.74,3.86,60977,0
2017-05-04,3.8,4,3.7999,3.94,251139,0
2017-05-05,3.88,4.1,3.88,4,205340,0
2017-05-08,3.9,4.09,3.869,4.08,216356,0
2017-05-09,4.1,4.3,4.09,4.24,280310,0
2017-05-10,4.2,4.2,3.98,4.08,94899,0
2017-05-11,3.95,4.0272,3.9,4,49039,0
2017-05-12,3.87,4.28,3.855,4.2507,197728,0
2017-05-15,4.15,4.25,4.03,4.05,101497,0
2017-05-16,4.02,4.4,3.86,4.23,543794,0
2017-05-17,4.12,4.336,4.08,4.29,247981,0
2017-05-18,4.32,4.63,4.18,4.58,359135,0
2017-05-19,4.55,5.37,4.55,5.32,671449,0
2017-05-22,5.37,6.19,5.37,5.67,1390061,0
