Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,17.761,17.761,17.752,17.752,2472,0
2005-02-28,17.806,18.204,17.806,18.204,2812,0
2005-03-03,18.204,18.677,18.204,18.677,6293,0
2005-03-04,18.668,18.668,18.668,18.668,112,0
2005-03-07,18.746,19.672,18.746,19.672,4607,0
2005-03-08,19.805,20.241,19.805,20.038,9324,0
2005-03-09,20.136,20.136,20.136,20.136,112,0
2005-03-10,20.073,20.109,19.984,20.109,1799,0
2005-03-14,19.976,19.976,19.787,19.787,3372,0
2005-03-15,19.939,19.939,19.76,19.76,3485,0
2005-03-21,19.76,19.76,19.76,19.76,112,0
2005-03-23,19.584,19.584,18.781,18.781,5393,0
2005-03-24,18.695,18.695,18.695,18.695,221,0
2005-03-28,18.695,18.695,18.604,18.604,789,0
2005-03-29,18.505,18.505,18.38,18.38,221,0
2005-03-30,18.299,18.299,18.221,18.221,2243,0
2005-03-31,18.221,18.221,18.221,18.221,2243,0
2005-04-07,18.131,18.131,17.945,17.945,789,0
2005-04-08,18.025,18.247,17.357,17.797,9211,0
2005-04-11,17.626,17.626,17.626,17.626,676,0
2005-04-12,17.672,17.717,17.626,17.626,333,0
2005-04-13,17.626,17.717,17.626,17.717,2243,0
2005-04-18,17.554,17.563,17.545,17.545,1799,0
2005-04-19,17.761,17.761,17.545,17.545,1346,0
2005-04-20,17.761,17.761,17.455,17.455,2020,0
2005-04-21,17.312,17.536,17.312,17.473,6963,0
2005-04-22,17.518,17.518,17.518,17.518,1123,0
2005-04-25,17.536,17.663,17.536,17.663,3595,0
2005-04-27,17.626,17.654,17.626,17.654,333,0
2005-04-28,17.581,17.581,17.527,17.527,789,0
2005-04-29,17.581,17.618,17.581,17.618,1123,0
2005-05-02,17.626,17.626,17.626,17.626,563,0
2005-05-03,17.554,17.554,17.357,17.357,563,0
2005-05-04,17.312,17.312,17.312,17.312,333,0
2005-05-05,17.437,17.473,17.437,17.473,676,0
2005-05-09,17.491,17.545,17.437,17.536,3595,0
2005-05-11,17.554,17.761,17.554,17.581,2696,0
2005-05-12,17.797,18.695,17.797,18.695,6963,0
2005-05-13,18.704,18.781,18.704,18.781,1460,0
2005-05-16,18.949,19.36,18.695,18.87,8200,0
2005-05-17,19.048,19.76,19.048,19.76,10559,0
2005-05-18,19.939,20.518,19.939,20.429,4717,0
2005-05-19,20.312,20.312,19.227,19.227,3485,0
2005-05-24,19.343,19.36,19.343,19.36,1799,0
2005-05-25,19.36,19.36,19.36,19.36,1123,0
2005-05-26,19.28,19.28,19.138,19.138,676,0
2005-05-27,19.138,19.584,19.138,19.584,6963,0
2005-05-31,19.547,19.547,19.511,19.511,2359,0
2005-06-03,19.334,19.334,19.138,19.138,333,0
2005-06-06,19.138,19.138,19.129,19.129,1123,0
2005-06-10,19.048,19.048,19.048,19.048,563,0
2005-06-14,18.915,18.915,18.781,18.781,443,0
2005-06-20,18.604,18.737,18.604,18.737,1573,0
2005-06-22,18.65,18.65,18.559,18.559,563,0
2005-06-23,18.569,18.604,18.569,18.604,333,0
2005-06-27,18.505,18.505,18.505,18.505,112,0
2005-06-29,18.38,18.38,18.38,18.38,112,0
2005-06-30,18.29,18.29,18.29,18.29,221,0
2005-07-05,18.272,18.425,18.272,18.425,1573,0
2005-07-07,18.569,18.569,18.559,18.559,1013,0
2005-07-13,18.425,18.425,18.335,18.335,221,0
2005-07-14,18.496,18.496,18.469,18.469,1234,0
2005-07-15,18.559,18.559,18.559,18.559,221,0
2005-07-19,18.559,18.65,18.559,18.65,901,0
2005-07-20,18.686,18.686,16.912,17.672,100208,0
2005-07-21,17.69,17.892,17.69,17.85,11910,0
2005-07-22,17.875,17.892,17.875,17.892,1234,0
2005-07-25,17.98,17.98,17.936,17.98,2132,0
2005-07-26,18.016,18.016,17.998,18.016,1234,0
